企業名,会計年度,四半期,y_hat_ml2,best_hyparam
はるやまホールディングス,2018,Q1,2.216637883656176,[1000]
はるやまホールディングス,2018,Q2,-20.621473522761704,[1000]
はるやまホールディングス,2018,Q3,30.232832799757404,[1000]
はるやまホールディングス,2018,Q4,69.74621541741817,[1000]
はるやまホールディングス,2019,Q1,-20.027777690087206,[1000]
はるやまホールディングス,2019,Q2,-15.877685004603961,[1000]
はるやまホールディングス,2019,Q3,-3.3826210762178732,[1000]
はるやまホールディングス,2019,Q4,25.13220367330254,[1000]
はるやまホールディングス,2020,Q1,-70.29946112802294,[1000]
はるやまホールディングス,2020,Q2,-100.51958215909883,[1000]
はるやまホールディングス,2020,Q3,-28.70294906319345,[1000]
はるやまホールディングス,2020,Q4,-43.52152165189547,[1000]
ぴあ,2018,Q1,35.7073356248424,[1]
ぴあ,2018,Q2,18.540121658674042,[1]
ぴあ,2018,Q3,10.545309080842717,[1]
ぴあ,2018,Q4,6.948003747918044,[1]
ぴあ,2019,Q1,4.382789292584588,[1]
ぴあ,2019,Q2,26.037738546624354,[1]
ぴあ,2019,Q3,-10.467807050439259,[1]
ぴあ,2019,Q4,35.58535222122972,[1]
ぴあ,2020,Q1,-182.07301236465338,[1]
ぴあ,2020,Q2,-100.48889882112134,[1]
ぴあ,2020,Q3,36.41936474102688,[1]
ぴあ,2020,Q4,-22.323932850513618,[1]
りらいあコミュニケーションズ,2018,Q1,11.6640967986012,[1000]
りらいあコミュニケーションズ,2018,Q2,10.208189912277778,[1000]
りらいあコミュニケーションズ,2018,Q3,11.776326356324635,[1000]
りらいあコミュニケーションズ,2018,Q4,18.72923425378363,[1000]
りらいあコミュニケーションズ,2019,Q1,-72.0853424148626,[1000]
りらいあコミュニケーションズ,2019,Q2,-9.15738609169389,[1000]
りらいあコミュニケーションズ,2019,Q3,-51.82716187938185,[1000]
りらいあコミュニケーションズ,2019,Q4,-18.494736826005358,[1000]
りらいあコミュニケーションズ,2020,Q1,5.721039972593717,[1000]
りらいあコミュニケーションズ,2020,Q2,13.444784623704587,[1000]
りらいあコミュニケーションズ,2020,Q3,-2.604165186246849,[1000]
りらいあコミュニケーションズ,2020,Q4,-18.5757463528155,[1000]
わかもと製薬,2018,Q1,2.5794723429862607,[1000]
わかもと製薬,2018,Q2,0.3615986215217113,[1000]
わかもと製薬,2018,Q3,3.472218214362755,[1000]
わかもと製薬,2018,Q4,1.093513981438491,[1000]
わかもと製薬,2019,Q1,-1.301069488943586,[1000]
わかもと製薬,2019,Q2,-8.480925889346453,[1000]
わかもと製薬,2019,Q3,-10.56903284371383,[1000]
わかもと製薬,2019,Q4,-12.219208331117152,[1000]
わかもと製薬,2020,Q1,-4.103074574304346,[1000]
わかもと製薬,2020,Q2,-9.217213316855982,[1000]
わかもと製薬,2020,Q3,3.3742156510473325,[1000]
わかもと製薬,2020,Q4,-3.8465436765432726,[1000]
アイカ工業,2018,Q1,38.55182098603946,[0.1]
アイカ工業,2018,Q2,63.72136082486067,[0.1]
アイカ工業,2018,Q3,60.562668104201705,[0.1]
アイカ工業,2018,Q4,56.85785731087856,[0.1]
アイカ工業,2019,Q1,50.20534055064442,[0.1]
アイカ工業,2019,Q2,46.44925090892598,[0.1]
アイカ工業,2019,Q3,44.544538466378896,[0.1]
アイカ工業,2019,Q4,53.1658801469468,[0.1]
アイカ工業,2020,Q1,26.04947315099787,[0.1]
アイカ工業,2020,Q2,29.458322065901342,[0.1]
アイカ工業,2020,Q3,63.52900496048807,[0.1]
アイカ工業,2020,Q4,68.84475550575742,[0.1]
アイコム,2018,Q1,15.75909372000741,[1000]
アイコム,2018,Q2,29.982428281508692,[1000]
アイコム,2018,Q3,40.27292957235245,[1000]
アイコム,2018,Q4,133.3542014753559,[1000]
アイコム,2019,Q1,-15.020663217785149,[1000]
アイコム,2019,Q2,24.24454099990905,[1000]
アイコム,2019,Q3,43.32784483084059,[1000]
アイコム,2019,Q4,46.403049621747584,[1000]
アイコム,2020,Q1,-18.8825972815282,[1000]
アイコム,2020,Q2,-17.833254983579927,[1000]
アイコム,2020,Q3,46.264903601792454,[1000]
アイコム,2020,Q4,57.55251283604498,[1000]
アイシン,2018,Q1,212.7662633987669,[1000]
アイシン,2018,Q2,30.204185265256918,[1000]
アイシン,2018,Q3,104.54600007639185,[1000]
アイシン,2018,Q4,128.73285474961574,[1000]
アイシン,2019,Q1,123.68959714862743,[1000]
アイシン,2019,Q2,-32.69156030327876,[1000]
アイシン,2019,Q3,24.502523033169155,[1000]
アイシン,2019,Q4,6.015173669894523,[1000]
アイシン,2020,Q1,-216.3031816779191,[1000]
アイシン,2020,Q2,154.47266436873207,[1000]
アイシン,2020,Q3,208.1068178342428,[1000]
アイシン,2020,Q4,130.7956457016515,[1000]
アイダエンジニアリング,2018,Q1,5.836232367129824,[1]
アイダエンジニアリング,2018,Q2,2.9902085707924044,[1]
アイダエンジニアリング,2018,Q3,5.335525436393361,[1]
アイダエンジニアリング,2018,Q4,25.543840312897018,[1]
アイダエンジニアリング,2019,Q1,2.5522499936586733,[1]
アイダエンジニアリング,2019,Q2,17.54856014887045,[1]
アイダエンジニアリング,2019,Q3,13.811376761281274,[1]
アイダエンジニアリング,2019,Q4,27.98368943720436,[1]
アイダエンジニアリング,2020,Q1,-1.1380849092526049,[1]
アイダエンジニアリング,2020,Q2,42.26424169502635,[1]
アイダエンジニアリング,2020,Q3,13.578124955849518,[1]
アイダエンジニアリング,2020,Q4,16.67874452325728,[1]
アイチコーポレーション,2018,Q1,5.633309258841297,[1000]
アイチコーポレーション,2018,Q2,20.59630496300079,[1000]
アイチコーポレーション,2018,Q3,17.462867933977716,[1000]
アイチコーポレーション,2018,Q4,22.567850473277062,[1000]
アイチコーポレーション,2019,Q1,12.070693285725316,[1000]
アイチコーポレーション,2019,Q2,20.268789617515097,[1000]
アイチコーポレーション,2019,Q3,11.260544968837129,[1000]
アイチコーポレーション,2019,Q4,17.610909021184025,[1000]
アイチコーポレーション,2020,Q1,9.425282237842703,[1000]
アイチコーポレーション,2020,Q2,17.535576124040062,[1000]
アイチコーポレーション,2020,Q3,12.832110267043307,[1000]
アイチコーポレーション,2020,Q4,21.27694244393797,[1000]
アイティフォー,2018,Q1,4.375141319029551,[100]
アイティフォー,2018,Q2,5.677351885458066,[100]
アイティフォー,2018,Q3,8.290060204932228,[100]
アイティフォー,2018,Q4,23.812395458018198,[100]
アイティフォー,2019,Q1,3.3408153108307985,[100]
アイティフォー,2019,Q2,7.799196600253378,[100]
アイティフォー,2019,Q3,9.766832010926812,[100]
アイティフォー,2019,Q4,20.126024991933022,[100]
アイティフォー,2020,Q1,6.750586907279288,[100]
アイティフォー,2020,Q2,14.378060868496474,[100]
アイティフォー,2020,Q3,10.96659387613094,[100]
アイティフォー,2020,Q4,22.520685064689097,[100]
アイティメディア,2018,Q1,7.69216537935273,[100]
アイティメディア,2018,Q2,6.161445100054761,[100]
アイティメディア,2018,Q3,6.493932389352484,[100]
アイティメディア,2018,Q4,11.957914841761946,[100]
アイティメディア,2019,Q1,5.41133453837101,[100]
アイティメディア,2019,Q2,8.812820070414475,[100]
アイティメディア,2019,Q3,8.999423818473694,[100]
アイティメディア,2019,Q4,11.706038847319382,[100]
アイティメディア,2020,Q1,10.863609400816365,[100]
アイティメディア,2020,Q2,15.754060646836315,[100]
アイティメディア,2020,Q3,18.313950789071644,[100]
アイティメディア,2020,Q4,20.524075414674236,[100]
アイネス,2018,Q1,-3.004556261630012,[1000]
アイネス,2018,Q2,15.3700168903272,[1000]
アイネス,2018,Q3,-1.2419148559846658,[1000]
アイネス,2018,Q4,16.413070353976927,[1000]
アイネス,2019,Q1,13.134777716270712,[1000]
アイネス,2019,Q2,20.214159085220537,[1000]
アイネス,2019,Q3,3.499453303520948,[1000]
アイネス,2019,Q4,-83.98803598683662,[1000]
アイネス,2020,Q1,30.294763521245585,[1000]
アイネス,2020,Q2,38.230237158342696,[1000]
アイネス,2020,Q3,70.75219440363651,[1000]
アイネス,2020,Q4,56.13878305696687,[1000]
アイネット,2018,Q1,14.37341374634832,[0.001]
アイネット,2018,Q2,24.310140340418627,[0.001]
アイネット,2018,Q3,27.920179963991586,[0.001]
アイネット,2018,Q4,18.273546123930572,[0.001]
アイネット,2019,Q1,23.011714616966742,[0.001]
アイネット,2019,Q2,32.82107501363271,[0.001]
アイネット,2019,Q3,26.9154068246238,[0.001]
アイネット,2019,Q4,26.062512149172107,[0.001]
アイネット,2020,Q1,7.641811926809737,[0.001]
アイネット,2020,Q2,33.46023405838912,[0.001]
アイネット,2020,Q3,25.914883144647973,[0.001]
アイネット,2020,Q4,32.567829808817116,[0.001]
アイホン,2018,Q1,15.898030782888966,[100]
アイホン,2018,Q2,77.19293664544932,[100]
アイホン,2018,Q3,28.73929171891914,[100]
アイホン,2018,Q4,62.33584771588066,[100]
アイホン,2019,Q1,46.68489619750184,[100]
アイホン,2019,Q2,88.6528519389372,[100]
アイホン,2019,Q3,10.278007249563704,[100]
アイホン,2019,Q4,1.1350628005024515,[100]
アイホン,2020,Q1,-1.6944572974259486,[100]
アイホン,2020,Q2,55.82591517453379,[100]
アイホン,2020,Q3,44.67628907526914,[100]
アイホン,2020,Q4,-8.174492957985821,[100]
アイロムグループ,2018,Q1,42.07994211322517,[1000]
アイロムグループ,2018,Q2,53.30524389485706,[1000]
アイロムグループ,2018,Q3,46.62234448202874,[1000]
アイロムグループ,2018,Q4,55.422598487456995,[1000]
アイロムグループ,2019,Q1,21.514736350264812,[1000]
アイロムグループ,2019,Q2,-83.43493361281713,[1000]
アイロムグループ,2019,Q3,-17.09385415143258,[1000]
アイロムグループ,2019,Q4,44.82941132293982,[1000]
アイロムグループ,2020,Q1,32.28414914265633,[1000]
アイロムグループ,2020,Q2,34.02259241678192,[1000]
アイロムグループ,2020,Q3,55.234373472699076,[1000]
アイロムグループ,2020,Q4,34.70662765868633,[1000]
アキレス,2018,Q1,38.905514469001666,[100]
アキレス,2018,Q2,31.954009979029777,[100]
アキレス,2018,Q3,30.768713106529923,[100]
アキレス,2018,Q4,-19.616872661931048,[100]
アキレス,2019,Q1,5.9905402472280525,[100]
アキレス,2019,Q2,0.6375549508572549,[100]
アキレス,2019,Q3,-13.984488636903816,[100]
アキレス,2019,Q4,-32.95057792023867,[100]
アキレス,2020,Q1,78.43283816987159,[100]
アキレス,2020,Q2,88.30457491232059,[100]
アキレス,2020,Q3,-7.207047949889745,[100]
アキレス,2020,Q4,22.078673187623714,[100]
アクシアル　リテイリング,2018,Q1,58.131304036151306,[1000]
アクシアル　リテイリング,2018,Q2,83.73061569338653,[1000]
アクシアル　リテイリング,2018,Q3,88.97447198053717,[1000]
アクシアル　リテイリング,2018,Q4,55.055931058245996,[1000]
アクシアル　リテイリング,2019,Q1,79.18949832979082,[1000]
アクシアル　リテイリング,2019,Q2,72.13317410788088,[1000]
アクシアル　リテイリング,2019,Q3,85.07286423930776,[1000]
アクシアル　リテイリング,2019,Q4,58.612999329151734,[1000]
アクシアル　リテイリング,2020,Q1,102.02639526329222,[1000]
アクシアル　リテイリング,2020,Q2,94.93019986650606,[1000]
アクシアル　リテイリング,2020,Q3,90.87495259769705,[1000]
アクシアル　リテイリング,2020,Q4,47.897407867768244,[1000]
アクセル,2018,Q1,-66.89349299523813,[1000]
アクセル,2018,Q2,-6.277376814136584,[1000]
アクセル,2018,Q3,-3.2377227795326355,[1000]
アクセル,2018,Q4,-16.420886074258547,[1000]
アクセル,2019,Q1,9.4194937150084,[1000]
アクセル,2019,Q2,-6.8631177397351415,[1000]
アクセル,2019,Q3,19.657595227249562,[1000]
アクセル,2019,Q4,-5.223751386804295,[1000]
アクセル,2020,Q1,24.538341506591912,[1000]
アクセル,2020,Q2,-1.61446612263029,[1000]
アクセル,2020,Q3,14.060393166884143,[1000]
