企業名,会計年度,四半期,y_hat_mlm4
あらた,2018,Q1,263.8590951408937
あらた,2018,Q2,186.01313518096117
あらた,2018,Q3,-90.79743570349774
あらた,2018,Q4,43.66363535322307
あらた,2019,Q1,137.05657740180777
あらた,2019,Q2,196.03132408644797
あらた,2019,Q3,167.58812898423685
あらた,2019,Q4,98.03767405306326
あらた,2020,Q1,152.02477164469587
あらた,2020,Q2,4.99275513796465
あらた,2020,Q3,127.6700627455275
あらた,2020,Q4,352.72502858623284
いすゞ自動車,2018,Q1,-48.08807230946104
いすゞ自動車,2018,Q2,10.090124842299929
いすゞ自動車,2018,Q3,-5.821929249897153
いすゞ自動車,2018,Q4,47.93350232539558
いすゞ自動車,2019,Q1,22.77441307158142
いすゞ自動車,2019,Q2,54.843473614682125
いすゞ自動車,2019,Q3,42.939282430664434
いすゞ自動車,2019,Q4,7.193926254607277
いすゞ自動車,2020,Q1,38.96256632166842
いすゞ自動車,2020,Q2,209.1427734351414
いすゞ自動車,2020,Q3,-100.36557513737262
いすゞ自動車,2020,Q4,221.18306087121164
いなげや,2018,Q1,2.71319628432218
いなげや,2018,Q2,-7.883368552029651
いなげや,2018,Q3,-15.547409706964572
いなげや,2018,Q4,9.709801995938506
いなげや,2019,Q1,-18.61140294959978
いなげや,2019,Q2,-12.330398616888715
いなげや,2019,Q3,2.713089101800051
いなげや,2019,Q4,-44.19757336737439
いなげや,2020,Q1,121.15812906576252
いなげや,2020,Q2,39.844788259924826
いなげや,2020,Q3,37.82617331485926
いなげや,2020,Q4,-23.688825644538156
かどや製油,2018,Q1,177.46346461672238
かどや製油,2018,Q2,155.84785605971706
かどや製油,2018,Q3,49.74062973009313
かどや製油,2018,Q4,133.05495099947802
かどや製油,2019,Q1,107.87420544390716
かどや製油,2019,Q2,-104.77681821519718
かどや製油,2019,Q3,169.09056135164428
かどや製油,2019,Q4,-74.45048184742336
かどや製油,2020,Q1,-17.83912040416908
かどや製油,2020,Q2,-104.82470612462748
かどや製油,2020,Q3,-5.047126093528277
かどや製油,2020,Q4,13.75972792395055
きんでん,2018,Q1,8.720783474206883
きんでん,2018,Q2,18.71017866572788
きんでん,2018,Q3,19.23326034254751
きんでん,2018,Q4,87.59303468461178
きんでん,2019,Q1,30.037822841531067
きんでん,2019,Q2,42.347870466507345
きんでん,2019,Q3,16.503502401102082
きんでん,2019,Q4,89.05998364863035
きんでん,2020,Q1,8.90596985628872
きんでん,2020,Q2,4.155548225455277
きんでん,2020,Q3,74.84776289349361
きんでん,2020,Q4,62.058641347324055
さくらインターネット,2018,Q1,21.54654312352386
さくらインターネット,2018,Q2,0.8427376768722752
さくらインターネット,2018,Q3,23.787398018174372
さくらインターネット,2018,Q4,-4.475748024975928
さくらインターネット,2019,Q1,55.900221496699146
さくらインターネット,2019,Q2,2.107645153059252
さくらインターネット,2019,Q3,-15.231218755618158
さくらインターネット,2019,Q4,5.9885259763622685
さくらインターネット,2020,Q1,841.1431451358023
さくらインターネット,2020,Q2,1618.8715786523246
さくらインターネット,2020,Q3,435.38853106202305
さくらインターネット,2020,Q4,174.64184653085852
たけびし,2018,Q1,46.09656214681422
たけびし,2018,Q2,50.13932251682877
たけびし,2018,Q3,56.730563276855264
たけびし,2018,Q4,42.08280641251122
たけびし,2019,Q1,57.451043264068176
たけびし,2019,Q2,61.56492314305433
たけびし,2019,Q3,42.6140031056957
たけびし,2019,Q4,53.464732072191055
たけびし,2020,Q1,-4.63543558650872
たけびし,2020,Q2,79.48841478633585
たけびし,2020,Q3,26.947248140795693
たけびし,2020,Q4,42.19776113184889
なとり,2018,Q1,76.64377516231752
なとり,2018,Q2,21.51041181275059
なとり,2018,Q3,-7.787320775960325
なとり,2018,Q4,2.156212056546792
なとり,2019,Q1,64.67738609475055
なとり,2019,Q2,38.10111969237414
なとり,2019,Q3,51.09345072602082
なとり,2019,Q4,-105.02932308817373
なとり,2020,Q1,18.63865063038247
なとり,2020,Q2,14.027546254475965
なとり,2020,Q3,165.437199094089
なとり,2020,Q4,-87.03037104583564
はせがわ,2018,Q1,5.443404433622163
はせがわ,2018,Q2,37.94455876458596
はせがわ,2018,Q3,12.766408106809195
はせがわ,2018,Q4,-50.43459595008926
はせがわ,2019,Q1,-7.8235311032904065
はせがわ,2019,Q2,8.162930944073196
はせがわ,2019,Q3,-40.5849072499459
はせがわ,2019,Q4,-57.78411247501117
はせがわ,2020,Q1,-36.942377420986304
はせがわ,2020,Q2,-65.33587962541787
はせがわ,2020,Q3,-64.74799959835241
はせがわ,2020,Q4,6.037545044174294
はるやまホールディングス,2018,Q1,-80.56425540366945
はるやまホールディングス,2018,Q2,-34.65412331355401
はるやまホールディングス,2018,Q3,1206.626211098006
はるやまホールディングス,2018,Q4,-9.148708779810477
はるやまホールディングス,2019,Q1,-40.23429512576877
はるやまホールディングス,2019,Q2,70.419363441717
はるやまホールディングス,2019,Q3,0.41743332976716374
はるやまホールディングス,2019,Q4,30.241636238652063
はるやまホールディングス,2020,Q1,-154.3321732020613
はるやまホールディングス,2020,Q2,-33.07805003607427
はるやまホールディングス,2020,Q3,-59.476805296006205
はるやまホールディングス,2020,Q4,-83.3171783436137
ぴあ,2018,Q1,-48.06368149887976
ぴあ,2018,Q2,16.984866765063998
ぴあ,2018,Q3,80.50662962754359
ぴあ,2018,Q4,107.25522936072412
ぴあ,2019,Q1,44.58853012410516
ぴあ,2019,Q2,6.257486258641279
ぴあ,2019,Q3,24.035568461084722
ぴあ,2019,Q4,111.26613146611771
ぴあ,2020,Q1,322.24245268881725
ぴあ,2020,Q2,464.6661616214478
ぴあ,2020,Q3,163.19306755886385
ぴあ,2020,Q4,322.87223746287145
やまや,2018,Q1,57.817149884354876
やまや,2018,Q2,97.22442007422069
やまや,2018,Q3,65.11898739569187
やまや,2018,Q4,130.69716506512123
やまや,2019,Q1,63.88733292982653
やまや,2019,Q2,84.53958394044912
やまや,2019,Q3,137.95771438711654
やまや,2019,Q4,27.903346282715574
やまや,2020,Q1,-10.022107437174782
やまや,2020,Q2,144.807520851934
やまや,2020,Q3,-379.0779605515072
やまや,2020,Q4,-937.4444742073465
りらいあコミュニケーションズ,2018,Q1,-17.74035984519935
りらいあコミュニケーションズ,2018,Q2,89.29132205260487
りらいあコミュニケーションズ,2018,Q3,34.73255932442058
りらいあコミュニケーションズ,2018,Q4,21.31680649099627
りらいあコミュニケーションズ,2019,Q1,-2035.9076046980001
りらいあコミュニケーションズ,2019,Q2,-208.08409422056752
りらいあコミュニケーションズ,2019,Q3,-1029.3814930170706
りらいあコミュニケーションズ,2019,Q4,-1785.3707481038175
りらいあコミュニケーションズ,2020,Q1,19.717431055584825
りらいあコミュニケーションズ,2020,Q2,20.64300485098397
りらいあコミュニケーションズ,2020,Q3,30.294827130023577
りらいあコミュニケーションズ,2020,Q4,-46.26832458749436
わかもと製薬,2018,Q1,-3.037158882793875
わかもと製薬,2018,Q2,-26.82295334424407
わかもと製薬,2018,Q3,1.6370500286973027
わかもと製薬,2018,Q4,-2.6008054399118237
わかもと製薬,2019,Q1,-3.7372662076234064
わかもと製薬,2019,Q2,-15.609091019117614
わかもと製薬,2019,Q3,-25.180113906034762
わかもと製薬,2019,Q4,-45.90777746904126
わかもと製薬,2020,Q1,-18.562063315745263
わかもと製薬,2020,Q2,32.904618935916005
わかもと製薬,2020,Q3,21.365180386230122
わかもと製薬,2020,Q4,-21.833237807480515
アイカ工業,2018,Q1,44.7682795781144
アイカ工業,2018,Q2,38.29458033540891
アイカ工業,2018,Q3,50.64060987857829
アイカ工業,2018,Q4,26.979242957324004
アイカ工業,2019,Q1,59.79502295605738
アイカ工業,2019,Q2,49.42672979433547
アイカ工業,2019,Q3,46.42619175141323
アイカ工業,2019,Q4,54.175257802802435
アイカ工業,2020,Q1,44.62768167385889
アイカ工業,2020,Q2,37.756192137103426
アイカ工業,2020,Q3,49.73957939414413
アイカ工業,2020,Q4,77.99003572517927
アイコム,2018,Q1,6.344733610807452
アイコム,2018,Q2,-10.133849562408614
アイコム,2018,Q3,12.057196793493404
アイコム,2018,Q4,185.6826732388913
アイコム,2019,Q1,-95.10503049097952
アイコム,2019,Q2,83.55476447023648
アイコム,2019,Q3,53.37332528720617
アイコム,2019,Q4,-84.49854254013644
アイコム,2020,Q1,26.883939125654706
アイコム,2020,Q2,-153.61807065643234
アイコム,2020,Q3,88.69653100230539
アイコム,2020,Q4,-70.08804560935914
アイシン,2018,Q1,295.7270393665617
アイシン,2018,Q2,143.7690280792849
アイシン,2018,Q3,82.64680184616736
アイシン,2018,Q4,256.60630388251593
アイシン,2019,Q1,355.3769692326823
アイシン,2019,Q2,-219.47077145292053
アイシン,2019,Q3,98.00074286927543
アイシン,2019,Q4,159.71830059691638
アイシン,2020,Q1,-163.85445204930443
