企業名,会計年度,四半期,0
あらた,2018,Q1,126.52347148068395
あらた,2018,Q2,91.00845022659443
あらた,2018,Q3,117.66251327982627
あらた,2018,Q4,95.43088871437755
あらた,2019,Q1,112.5684286965654
あらた,2019,Q2,109.44584649265246
あらた,2019,Q3,118.46245897964099
あらた,2019,Q4,110.7480004822622
あらた,2020,Q1,110.06872654249047
あらた,2020,Q2,104.46220693920958
あらた,2020,Q3,141.73123213654327
あらた,2020,Q4,122.28551130040574
いすゞ自動車,2018,Q1,32.39948690605027
いすゞ自動車,2018,Q2,33.58143873157669
いすゞ自動車,2018,Q3,34.9832084880035
いすゞ自動車,2018,Q4,31.30185235688824
いすゞ自動車,2019,Q1,44.562691758515
いすゞ自動車,2019,Q2,27.816211455064796
いすゞ自動車,2019,Q3,38.56163148670376
いすゞ自動車,2019,Q4,25.339708444988652
いすゞ自動車,2020,Q1,34.9498129109144
いすゞ自動車,2020,Q2,15.468182040259217
いすゞ自動車,2020,Q3,18.24479048162681
いすゞ自動車,2020,Q4,28.89049854938369
いなげや,2018,Q1,4.04750931111583
いなげや,2018,Q2,9.077285558634408
いなげや,2018,Q3,15.540965774246551
いなげや,2018,Q4,4.651360737174582
いなげや,2019,Q1,-4.669175420405905
いなげや,2019,Q2,5.5551153828386886
いなげや,2019,Q3,9.887881746339632
いなげや,2019,Q4,-16.64602160662318
いなげや,2020,Q1,0.49713602610802
いなげや,2020,Q2,10.109097392569504
いなげや,2020,Q3,7.468402541951221
いなげや,2020,Q4,14.587039702629262
かどや製油,2018,Q1,74.89634760340941
かどや製油,2018,Q2,115.49513806247465
かどや製油,2018,Q3,110.32736115141014
かどや製油,2018,Q4,87.9499899365343
かどや製油,2019,Q1,66.06607917000969
かどや製油,2019,Q2,86.08961675198644
かどや製油,2019,Q3,80.39658250005925
かどや製油,2019,Q4,43.33183045629023
かどや製油,2020,Q1,72.13892616092075
かどや製油,2020,Q2,68.4254013388061
かどや製油,2020,Q3,64.81798613436274
