企業名,会計年度,四半期,rolling_sample,pruned_trials,complete_trials,best_trial_val_error,best_trial_params,final_train_epochs,final_train_min_loss,y_test,y_hat
あらた,2018,Q1,0,64,36,4.155846795583784e-07,"dict_items([('hidden_units', 469), ('learning_rate', 0.009257882265203587)])",176,"tensor(28.0214, grad_fn=<MseLossBackward>)",105.42,113.71706
あらた,2018,Q2,1,67,33,0.00010373370605520904,"dict_items([('hidden_units', 52), ('learning_rate', 0.09548245009147957)])",1000,"tensor(2521.1519, grad_fn=<MseLossBackward>)",90.44,83.72521
あらた,2018,Q3,2,66,34,0.001239371718838811,"dict_items([('hidden_units', 755), ('learning_rate', 0.00673169039032249)])",334,"tensor(24.8099, grad_fn=<MseLossBackward>)",106.24,102.86775
あらた,2018,Q4,3,59,41,5.0054604798788205e-05,"dict_items([('hidden_units', 320), ('learning_rate', 0.016173142856922677)])",1000,"tensor(3121.0134, grad_fn=<MseLossBackward>)",99.22,102.15744
あらた,2019,Q1,4,62,38,2.672360096767079e-05,"dict_items([('hidden_units', 552), ('learning_rate', 0.008671375900668847)])",265,"tensor(33.5305, grad_fn=<MseLossBackward>)",116.85,112.046875
あらた,2019,Q2,5,64,36,7.484696106985211e-05,"dict_items([('hidden_units', 591), ('learning_rate', 0.008642447324945639)])",340,"tensor(23.1441, grad_fn=<MseLossBackward>)",101.76,115.84064
あらた,2019,Q3,6,67,33,4.843148053623736e-05,"dict_items([('hidden_units', 518), ('learning_rate', 0.008381375522481402)])",201,"tensor(44.1316, grad_fn=<MseLossBackward>)",113.93,123.375626
あらた,2019,Q4,7,63,37,1.0280453466293693e-07,"dict_items([('hidden_units', 529), ('learning_rate', 0.008285727663658933)])",747,"tensor(9.1701, grad_fn=<MseLossBackward>)",79.9,113.55988
あらた,2020,Q1,8,65,35,0.0001983298861887306,"dict_items([('hidden_units', 407), ('learning_rate', 0.007385513855846443)])",128,"tensor(86.0173, grad_fn=<MseLossBackward>)",145.23,114.642075
あらた,2020,Q2,9,65,35,0.00010794146510306746,"dict_items([('hidden_units', 646), ('learning_rate', 0.007794812509349836)])",1000,"tensor(5136.3398, grad_fn=<MseLossBackward>)",120.68,149.07037
あらた,2020,Q3,10,67,33,0.0004290062061045319,"dict_items([('hidden_units', 579), ('learning_rate', 0.006599756303381668)])",183,"tensor(60.2799, grad_fn=<MseLossBackward>)",153.35,123.02921
あらた,2020,Q4,11,64,36,8.950573828769848e-05,"dict_items([('hidden_units', 486), ('learning_rate', 0.00996143470811569)])",1000,"tensor(6196.5649, grad_fn=<MseLossBackward>)",61.403446,163.18034
