企業名,会計年度,四半期,y_hat_ml2
ぴあ,2020,Q2,-100.48889882158367
ぴあ,2020,Q3,36.41936474113111
ぴあ,2020,Q4,-22.32393285129183
やまや,2018,Q1,115.61777865423105
やまや,2018,Q2,64.50823511567714
やまや,2018,Q3,155.39138299112895
やまや,2018,Q4,31.935435015605265
やまや,2019,Q1,91.5402558337658
やまや,2019,Q2,-85.34369993292248
やまや,2019,Q3,132.04949761567292
やまや,2019,Q4,-47.75501494058943
やまや,2020,Q1,-150.169243586251
やまや,2020,Q2,37.99122010562195
やまや,2020,Q3,-369.56543293077954
やまや,2020,Q4,-132.42404768732774
りらいあコミュニケーションズ,2018,Q1,12.125515002163318
りらいあコミュニケーションズ,2018,Q2,10.437389620529617
りらいあコミュニケーションズ,2018,Q3,8.352672977789368
りらいあコミュニケーションズ,2018,Q4,18.771362130122217
りらいあコミュニケーションズ,2019,Q1,-707.2297019389617
りらいあコミュニケーションズ,2019,Q2,479.628093301345
りらいあコミュニケーションズ,2019,Q3,-1920.4929115314333
りらいあコミュニケーションズ,2019,Q4,-1676.28043504262
りらいあコミュニケーションズ,2020,Q1,41.81874768218722
りらいあコミュニケーションズ,2020,Q2,126.4799619715874
りらいあコミュニケーションズ,2020,Q3,80.1701421867391
りらいあコミュニケーションズ,2020,Q4,-59.93579102642411
わかもと製薬,2018,Q1,14.140574997050544
わかもと製薬,2018,Q2,-0.8533734334090433
わかもと製薬,2018,Q3,4.356495233206942
わかもと製薬,2018,Q4,-21.2868924089646
わかもと製薬,2019,Q1,-5.533925004681287
わかもと製薬,2019,Q2,-36.1090848410574
わかもと製薬,2019,Q3,-26.360251960876717
わかもと製薬,2019,Q4,-17.242305737285818
わかもと製薬,2020,Q1,-18.88606828415846
わかもと製薬,2020,Q2,-10.916155620261073
わかもと製薬,2020,Q3,-12.260427941139213
わかもと製薬,2020,Q4,-17.549148509148516
アイカ工業,2018,Q1,40.0708158688104
アイカ工業,2018,Q2,62.57866345464255
アイカ工業,2018,Q3,62.22419030397175
アイカ工業,2018,Q4,60.59741077021917
アイカ工業,2019,Q1,52.54493796620455
アイカ工業,2019,Q2,50.48320241014826
アイカ工業,2019,Q3,43.15347232122682
アイカ工業,2019,Q4,51.8374698696591
アイカ工業,2020,Q1,23.934993980341588
アイカ工業,2020,Q2,30.51639671476862
アイカ工業,2020,Q3,63.30601688464041
アイカ工業,2020,Q4,67.73618255295676
アイコム,2018,Q1,15.228121801158563
アイコム,2018,Q2,25.47784383057836
アイコム,2018,Q3,58.51460015216319
アイコム,2018,Q4,197.8700176169355
アイコム,2019,Q1,-175.58573823891214
アイコム,2019,Q2,26.59323035457956
アイコム,2019,Q3,46.03822471696013
アイコム,2019,Q4,28.340731737861176
アイコム,2020,Q1,-26.84759697952154
アイコム,2020,Q2,-64.93162393580212
アイコム,2020,Q3,89.11925358685643
アイコム,2020,Q4,79.70122148438135
アイシン,2018,Q1,257.3085266902558
アイシン,2018,Q2,4.657926702211199
アイシン,2018,Q3,82.65430367381194
アイシン,2018,Q4,162.35329112076676
アイシン,2019,Q1,140.55512201385557
アイシン,2019,Q2,-47.0311736465927
アイシン,2019,Q3,4.381931800601564
アイシン,2019,Q4,-47.42632480793991
アイシン,2020,Q1,-285.97110202400427
アイシン,2020,Q2,165.40765382855722
アイシン,2020,Q3,238.288388260402
アイシン,2020,Q4,156.9619078645362
アイダエンジニアリング,2018,Q1,5.836232367221584
アイダエンジニアリング,2018,Q2,2.990208570771728
アイダエンジニアリング,2018,Q3,5.335525436324964
アイダエンジニアリング,2018,Q4,25.543840312957386
アイダエンジニアリング,2019,Q1,2.5522499936693954
アイダエンジニアリング,2019,Q2,17.548560148917232
アイダエンジニアリング,2019,Q3,13.811376761213324
アイダエンジニアリング,2019,Q4,27.9836894371973
アイダエンジニアリング,2020,Q1,-1.1380849091535623
アイダエンジニアリング,2020,Q2,42.26424169498154
アイダエンジニアリング,2020,Q3,13.5781249557551
アイダエンジニアリング,2020,Q4,16.678744523316453
アイチコーポレーション,2018,Q1,0.2876948962025984
アイチコーポレーション,2018,Q2,18.236154548236986
アイチコーポレーション,2018,Q3,24.546910907297686
アイチコーポレーション,2018,Q4,30.627859401124283
アイチコーポレーション,2019,Q1,18.321875555016696
アイチコーポレーション,2019,Q2,22.10414239116747
アイチコーポレーション,2019,Q3,-0.7645424369049714
アイチコーポレーション,2019,Q4,14.90975021836083
アイチコーポレーション,2020,Q1,2.908742603045745
アイチコーポレーション,2020,Q2,18.284431965659778
アイチコーポレーション,2020,Q3,18.665732008678408
アイチコーポレーション,2020,Q4,19.937010725336705
アイティフォー,2018,Q1,3.624497630086397
アイティフォー,2018,Q2,4.576234234224794
アイティフォー,2018,Q3,8.752568034400625
アイティフォー,2018,Q4,22.59581700279489
アイティフォー,2019,Q1,2.943068913741776
アイティフォー,2019,Q2,10.9233940379109
アイティフォー,2019,Q3,10.038103260258406
アイティフォー,2019,Q4,19.07057961555268
アイティフォー,2020,Q1,6.947833470085328
アイティフォー,2020,Q2,17.390435249239125
アイティフォー,2020,Q3,12.6663645768798
アイティフォー,2020,Q4,24.78089747133497
アイティメディア,2018,Q1,3.7239491279649
アイティメディア,2018,Q2,3.180710216699506
アイティメディア,2018,Q3,5.140597174027549
アイティメディア,2018,Q4,12.746604013423806
アイティメディア,2019,Q1,7.131560792899158
アイティメディア,2019,Q2,15.777696240321422
アイティメディア,2019,Q3,10.267696241331826
アイティメディア,2019,Q4,12.945656126172114
アイティメディア,2020,Q1,9.35067305304592
アイティメディア,2020,Q2,17.86789154357165
アイティメディア,2020,Q3,23.525829022912298
アイティメディア,2020,Q4,22.0279140717634
アイネス,2018,Q1,2.894583005015871
アイネス,2018,Q2,11.918786651189324
アイネス,2018,Q3,-1.7532942808395262
アイネス,2018,Q4,26.619873768395
アイネス,2019,Q1,-12.512334442719927
アイネス,2019,Q2,88.07333407108271
アイネス,2019,Q3,-55.236103307133504
アイネス,2019,Q4,-64.40921266279386
アイネス,2020,Q1,-83.85739493616258
アイネス,2020,Q2,36.90473327043355
アイネス,2020,Q3,-9.753982521461808
アイネス,2020,Q4,43.90777644162425
アイネット,2018,Q1,9.883290327789826
アイネット,2018,Q2,29.23505723782923
アイネット,2018,Q3,29.819485517365106
アイネット,2018,Q4,27.475855392262527
アイネット,2019,Q1,21.2384329825031
アイネット,2019,Q2,27.10600105183677
アイネット,2019,Q3,27.5183568588178
アイネット,2019,Q4,25.004596501473017
アイネット,2020,Q1,12.380789330605126
アイネット,2020,Q2,26.83020337903352
アイネット,2020,Q3,17.178078629876854
アイネット,2020,Q4,32.73251390367296
アイホン,2018,Q1,33.46799819245591
アイホン,2018,Q2,46.943385315076185
アイホン,2018,Q3,39.3220945045889
アイホン,2018,Q4,70.23873369833024
アイホン,2019,Q1,38.76159433213383
アイホン,2019,Q2,93.01896997117844
アイホン,2019,Q3,-6.790977997879431
アイホン,2019,Q4,-41.01665686496344
アイホン,2020,Q1,-6.090855527672694
アイホン,2020,Q2,45.27258284342796
アイホン,2020,Q3,46.256094590908965
アイホン,2020,Q4,-32.38601222555549
アイロムグループ,2018,Q1,26.71458129507656
アイロムグループ,2018,Q2,20.31935860492457
アイロムグループ,2018,Q3,2.494371168434484
アイロムグループ,2018,Q4,251.12684807201927
アイロムグループ,2019,Q1,48.67366250590136
アイロムグループ,2019,Q2,-153.3741187749181
アイロムグループ,2019,Q3,-3.178820704827217
アイロムグループ,2019,Q4,34.29783766581613
アイロムグループ,2020,Q1,60.10209325367987
アイロムグループ,2020,Q2,50.21760504579996
アイロムグループ,2020,Q3,83.44140464953975
アイロムグループ,2020,Q4,101.21120647212322
アキレス,2018,Q1,51.404891329956406
アキレス,2018,Q2,38.83668304906588
アキレス,2018,Q3,2.9860351883249514
アキレス,2018,Q4,-84.56245432404567
アキレス,2019,Q1,-8.715052551692608
アキレス,2019,Q2,-28.735291377600195
アキレス,2019,Q3,29.99051900872493
アキレス,2019,Q4,-64.55030897748331
アキレス,2020,Q1,54.647606042437154
アキレス,2020,Q2,16.10471693730058
アキレス,2020,Q3,-36.95641463859902
アキレス,2020,Q4,33.33081764802163
アクシアル　リテイリング,2018,Q1,57.29096377395196
アクシアル　リテイリング,2018,Q2,84.76339469523596
アクシアル　リテイリング,2018,Q3,120.45120248733164
アクシアル　リテイリング,2018,Q4,77.137163172437
アクシアル　リテイリング,2019,Q1,104.51483630134666
アクシアル　リテイリング,2019,Q2,50.46034533003777
アクシアル　リテイリング,2019,Q3,68.76897192369387
アクシアル　リテイリング,2019,Q4,72.34184243921216
アクシアル　リテイリング,2020,Q1,123.74237220050252
アクシアル　リテイリング,2020,Q2,73.6986924805608
アクシアル　リテイリング,2020,Q3,71.02400490184655
アクシアル　リテイリング,2020,Q4,59.35559028972936
アクセル,2018,Q1,-81.32182143630581
アクセル,2018,Q2,23.90615063313328
アクセル,2018,Q3,-19.76918298918134
アクセル,2018,Q4,-37.19518271629608
アクセル,2019,Q1,39.24022644853973
アクセル,2019,Q2,-26.10246800805092
アクセル,2019,Q3,66.37888362439904
アクセル,2019,Q4,-16.95358012772283
アクセル,2020,Q1,17.92851381663975
アクセル,2020,Q2,17.283197775139733
アクセル,2020,Q3,-2.35905994423386
アクセル,2020,Q4,-4.8847456626357415
アジアパイルホールディングス,2018,Q1,-14.583464225595776
アジアパイルホールディングス,2018,Q2,0.4269775647340257
アジアパイルホールディングス,2018,Q3,-16.99464924590022
アジアパイルホールディングス,2018,Q4,26.363911377978404
アジアパイルホールディングス,2019,Q1,52.74910784227985
アジアパイルホールディングス,2019,Q2,-4.655330059317018
アジアパイルホールディングス,2019,Q3,17.010391354421877
アジアパイルホールディングス,2019,Q4,12.075809739181372
アジアパイルホールディングス,2020,Q1,16.320533342761408
アジアパイルホールディングス,2020,Q2,8.199713395251969
アジアパイルホールディングス,2020,Q3,23.58706609447098
アジアパイルホールディングス,2020,Q4,5.319492626808156
アステラス製薬,2018,Q1,32.70287377329274
アステラス製薬,2018,Q2,35.228704711745465
アステラス製薬,2018,Q3,52.49660179583232
アステラス製薬,2018,Q4,16.71301994396486
アステラス製薬,2019,Q1,33.323476724240464
アステラス製薬,2019,Q2,23.096218668349906
アステラス製薬,2019,Q3,40.258111673270136
アステラス製薬,2019,Q4,32.661782861169726
アステラス製薬,2020,Q1,27.83674260142779
アステラス製薬,2020,Q2,37.204970820984826
アステラス製薬,2020,Q3,66.2023355722088
アステラス製薬,2020,Q4,29.6590708201114
アズビル,2018,Q1,60.55701839952698
アズビル,2018,Q2,57.4513845677303
アズビル,2018,Q3,20.5249555915411
アズビル,2018,Q4,226.68512330876035
アズビル,2019,Q1,49.0105508016387
アズビル,2019,Q2,-110.2726296724906
アズビル,2019,Q3,-77.6656862797569
アズビル,2019,Q4,60.93569859167007
アズビル,2020,Q1,-10.85678416800779
アズビル,2020,Q2,4.340846013450623
アズビル,2020,Q3,26.555053995822167
アズビル,2020,Q4,37.0659946069702
アズワン,2018,Q1,73.65620975184582
アズワン,2018,Q2,55.3407385961588
アズワン,2018,Q3,73.77630404250137
アズワン,2018,Q4,87.41883694819269
アズワン,2019,Q1,63.63822264001854
アズワン,2019,Q2,76.9453520599195
アズワン,2019,Q3,74.21678368614448
アズワン,2019,Q4,88.49520353453414
アズワン,2020,Q1,32.62417204617394
アズワン,2020,Q2,56.343711210789394
アズワン,2020,Q3,109.45442487848386
アズワン,2020,Q4,153.71859435526602
アツギ,2018,Q1,-52.02442136563549
アツギ,2018,Q2,6.800188725636238
アツギ,2018,Q3,18.06497659782659
アツギ,2018,Q4,-60.71896907474783
アツギ,2019,Q1,-129.27998813981202
アツギ,2019,Q2,-45.94982069572077
アツギ,2019,Q3,-13.50281017236908
アツギ,2019,Q4,-202.51789880856143
アツギ,2020,Q1,-3.066567771773803
アツギ,2020,Q2,-517.2963145434852
アツギ,2020,Q3,-218.4112614352616
アツギ,2020,Q4,-41.89246838308573
アドウェイズ,2018,Q1,15.655679688509792
アドウェイズ,2018,Q2,0.0392731701936952
アドウェイズ,2018,Q3,-0.8699503758953746
アドウェイズ,2018,Q4,-3.5160123364880445
アドウェイズ,2019,Q1,-6.553971092361227
アドウェイズ,2019,Q2,4.670286164286544
アドウェイズ,2019,Q3,-0.5534881500335658
アドウェイズ,2019,Q4,15.851986394911693
アドウェイズ,2020,Q1,-1.0614942809772714
アドウェイズ,2020,Q2,16.3700342895594
アドウェイズ,2020,Q3,17.717389830032502
アドウェイズ,2020,Q4,-5.754226163177794
アドソル日進,2018,Q1,22.440271481800472
アドソル日進,2018,Q2,14.279625564410408
アドソル日進,2018,Q3,16.65502697676336
アドソル日進,2018,Q4,1.5797116397184094
アドソル日進,2019,Q1,27.73830671561474
アドソル日進,2019,Q2,26.572191827997013
アドソル日進,2019,Q3,28.654070307085448
アドソル日進,2019,Q4,10.206926567936785
アドソル日進,2020,Q1,34.53770978550219
アドソル日進,2020,Q2,30.05177732892997
アドソル日進,2020,Q3,29.978730045714908
アドソル日進,2020,Q4,16.693394380452446
アドバネクス,2018,Q1,44.75223108455802
アドバネクス,2018,Q2,-52.54800838840003
アドバネクス,2018,Q3,-42.96875750862774
アドバネクス,2018,Q4,19.210926247360543
アドバネクス,2019,Q1,-103.21704875579326
アドバネクス,2019,Q2,43.67047403687603
アドバネクス,2019,Q3,46.234261442892674
アドバネクス,2019,Q4,92.47954847435898
アドバネクス,2020,Q1,-154.26072232220673
アドバネクス,2020,Q2,-88.27318730725332
アドバネクス,2020,Q3,125.31639726800822
アドバネクス,2020,Q4,-184.9494465615896
アドバンテスト,2018,Q1,92.92421566461276
アドバンテスト,2018,Q2,58.74355689957329
アドバンテスト,2018,Q3,66.05661351325753
アドバンテスト,2018,Q4,37.53430232268884
アドバンテスト,2019,Q1,57.22342411898403
アドバンテスト,2019,Q2,65.61991523057335
アドバンテスト,2019,Q3,50.14254208436236
アドバンテスト,2019,Q4,59.557827884393305
アドバンテスト,2020,Q1,65.72867794873706
アドバンテスト,2020,Q2,73.47899585334031
アドバンテスト,2020,Q3,38.003272505427205
アドバンテスト,2020,Q4,101.6642924047532
アドヴァングループ,2018,Q1,-62.29960958454441
アドヴァングループ,2018,Q2,32.806910505731366
アドヴァングループ,2018,Q3,57.56686820304674
アドヴァングループ,2018,Q4,-11.9325503256552
アドヴァングループ,2019,Q1,47.21515165561249
アドヴァングループ,2019,Q2,31.728524152125743
アドヴァングループ,2019,Q3,38.72881753713858
アドヴァングループ,2019,Q4,33.34651801024535
アドヴァングループ,2020,Q1,12.003286689083438
アドヴァングループ,2020,Q2,22.75588342315291
アドヴァングループ,2020,Q3,24.45108279953854
アドヴァングループ,2020,Q4,21.20264994132708
アネスト岩田,2018,Q1,10.214613710270708
アネスト岩田,2018,Q2,22.760532170362307
アネスト岩田,2018,Q3,20.304744972550505
アネスト岩田,2018,Q4,2.96217555518861
アネスト岩田,2019,Q1,22.65586010926603
アネスト岩田,2019,Q2,22.99063935861724
アネスト岩田,2019,Q3,11.988222897889797
アネスト岩田,2019,Q4,14.55964409245226
アネスト岩田,2020,Q1,11.825240220959188
アネスト岩田,2020,Q2,36.81880425311474
アネスト岩田,2020,Q3,27.795536929732915
アネスト岩田,2020,Q4,17.704731649360088
アマダ,2018,Q1,-1.172742467677356
アマダ,2018,Q2,10.802398718051869
アマダ,2018,Q3,17.143757204781643
アマダ,2018,Q4,48.556060014552855
アマダ,2019,Q1,20.365826370274128
アマダ,2019,Q2,23.27323373061849
アマダ,2019,Q3,42.44211508539743
アマダ,2019,Q4,18.662173969199905
アマダ,2020,Q1,23.54358515182349
アマダ,2020,Q2,28.470249464993884
アマダ,2020,Q3,30.942004749297965
アマダ,2020,Q4,20.624205984427483
アマノ,2018,Q1,-5.318652659378737
アマノ,2018,Q2,34.63479275919954
アマノ,2018,Q3,35.69230978089964
アマノ,2018,Q4,66.24744262647437
アマノ,2019,Q1,7.816091328851272
アマノ,2019,Q2,31.4717155557928
アマノ,2019,Q3,32.0111764338032
アマノ,2019,Q4,35.963151337122405
アマノ,2020,Q1,16.82092565384407
アマノ,2020,Q2,-3.2554466391189862
アマノ,2020,Q3,-13.027531279994976
アマノ,2020,Q4,23.477255624072868
アミューズ,2018,Q1,118.55407981910513
アミューズ,2018,Q2,-0.2128928094060995
アミューズ,2018,Q3,58.04818340582594
アミューズ,2018,Q4,79.96768071190533
アミューズ,2019,Q1,71.1190967731678
アミューズ,2019,Q2,18.54039051226277
アミューズ,2019,Q3,51.15927937745096
アミューズ,2019,Q4,80.18330567696023
アミューズ,2020,Q1,55.79317761111484
アミューズ,2020,Q2,60.4528224818992
アミューズ,2020,Q3,65.93547078775299
アミューズ,2020,Q4,-12.439589558247658
アリアケジャパン,2018,Q1,66.23803161872284
アリアケジャパン,2018,Q2,66.71255612528368
アリアケジャパン,2018,Q3,77.03016444158057
アリアケジャパン,2018,Q4,96.21262270251664
アリアケジャパン,2019,Q1,-336.8683626122218
アリアケジャパン,2019,Q2,-99.1603257235198
アリアケジャパン,2019,Q3,-1478.0709576339068
アリアケジャパン,2019,Q4,243.22368902290992
アリアケジャパン,2020,Q1,-575.9046026451219
アリアケジャパン,2020,Q2,84.23700059183247
アリアケジャパン,2020,Q3,14.526754945572948
アリアケジャパン,2020,Q4,147.54532006046475
アルインコ,2018,Q1,-18.446147979004408
アルインコ,2018,Q2,36.7590008516881
アルインコ,2018,Q3,28.66488761079336
アルインコ,2018,Q4,7.659048975718115
アルインコ,2019,Q1,26.85623293569338
アルインコ,2019,Q2,36.49137221729265
アルインコ,2019,Q3,44.07734142033827
アルインコ,2019,Q4,10.960800799223112
アルインコ,2020,Q1,7.522039153947745
アルインコ,2020,Q2,-0.2141391177416824
アルインコ,2020,Q3,16.541541831001176
アルインコ,2020,Q4,23.431153659977664
アルコニックス,2018,Q1,77.28590077492868
アルコニックス,2018,Q2,100.64724981719732
アルコニックス,2018,Q3,121.73870732398451
アルコニックス,2018,Q4,86.00936495991385
アルコニックス,2019,Q1,60.10986135159104
アルコニックス,2019,Q2,52.11844049463237
アルコニックス,2019,Q3,-44.74176010308136
アルコニックス,2019,Q4,-2.0115153220237687
アルコニックス,2020,Q1,85.68441668381331
アルコニックス,2020,Q2,62.61070437796485
アルコニックス,2020,Q3,31.428447489080384
アルコニックス,2020,Q4,25.906896913029243
アルゴグラフィックス,2018,Q1,80.43251449414842
アルゴグラフィックス,2018,Q2,72.98001003533768
アルゴグラフィックス,2018,Q3,65.57822185620353
アルゴグラフィックス,2018,Q4,111.0525612804792
アルゴグラフィックス,2019,Q1,147.92027682868036
アルゴグラフィックス,2019,Q2,58.30462465294174
アルゴグラフィックス,2019,Q3,37.53066326422133
アルゴグラフィックス,2019,Q4,6.534590373451096
アルゴグラフィックス,2020,Q1,156.97921607521903
アルゴグラフィックス,2020,Q2,50.15983811477162
アルゴグラフィックス,2020,Q3,20.11292856884047
アルゴグラフィックス,2020,Q4,40.05247860504315
アルビス,2018,Q1,46.8297747833244
アルビス,2018,Q2,37.8712660918069
アルビス,2018,Q3,103.42281209227583
アルビス,2018,Q4,125.2295444811558
アルビス,2019,Q1,-112.40608537481894
アルビス,2019,Q2,2.635634252432215
アルビス,2019,Q3,12.25949963405924
アルビス,2019,Q4,-75.69171867092305
アルビス,2020,Q1,226.63500678037536
アルビス,2020,Q2,165.01269709127004
アルビス,2020,Q3,224.0146354880928
アルビス,2020,Q4,-16.0134208096292
アルファ,2018,Q1,-83.81707326112536
アルファ,2018,Q2,-291.93362758682923
アルファ,2018,Q3,105.06642226460256
アルファ,2018,Q4,286.94871517880495
アルファ,2019,Q1,-284.4413294711595
アルファ,2019,Q2,68.43548549917116
アルファ,2019,Q3,297.4193832630041
アルファ,2019,Q4,35.39989543534575
アルファ,2020,Q1,-489.488120179834
アルファ,2020,Q2,656.7283380520366
アルファ,2020,Q3,658.5649476174073
アルファ,2020,Q4,91.43642838447404
アルファシステムズ,2018,Q1,39.67210685411662
アルファシステムズ,2018,Q2,43.033659242656704
アルファシステムズ,2018,Q3,41.24979053334006
アルファシステムズ,2018,Q4,47.681633307600336
アルファシステムズ,2019,Q1,22.36407300596492
アルファシステムズ,2019,Q2,25.719757043129427
アルファシステムズ,2019,Q3,35.23308269198198
アルファシステムズ,2019,Q4,50.1470848255754
アルファシステムズ,2020,Q1,-8.424995643937649
アルファシステムズ,2020,Q2,66.09356824632454
アルファシステムズ,2020,Q3,21.475518239019703
アルファシステムズ,2020,Q4,49.57841386009913
アルフレッサ　ホールディングス,2018,Q1,38.728990015380575
アルフレッサ　ホールディングス,2018,Q2,42.073488703668055
アルフレッサ　ホールディングス,2018,Q3,58.19122122136625
アルフレッサ　ホールディングス,2018,Q4,11.530221459324382
アルフレッサ　ホールディングス,2019,Q1,43.61533294297955
アルフレッサ　ホールディングス,2019,Q2,89.97331975250299
アルフレッサ　ホールディングス,2019,Q3,77.70324284016307
アルフレッサ　ホールディングス,2019,Q4,67.59106654546206
アルフレッサ　ホールディングス,2020,Q1,47.09567326597696
アルフレッサ　ホールディングス,2020,Q2,33.983603195947225
アルフレッサ　ホールディングス,2020,Q3,50.3486209194931
アルフレッサ　ホールディングス,2020,Q4,25.17547436467619
アルプスアルパイン,2018,Q1,61.53038239523707
アルプスアルパイン,2018,Q2,125.68407673913455
アルプスアルパイン,2018,Q3,37.51843124437806
アルプスアルパイン,2018,Q4,-58.54148611345132
アルプスアルパイン,2019,Q1,24.24057839550188
アルプスアルパイン,2019,Q2,44.80621775113622
アルプスアルパイン,2019,Q3,-16.026680925372823
アルプスアルパイン,2019,Q4,-113.54349970027828
アルプスアルパイン,2020,Q1,-46.33915042997714
アルプスアルパイン,2020,Q2,-24.88754697296924
アルプスアルパイン,2020,Q3,41.85565969669803
アルプスアルパイン,2020,Q4,44.13002687565535
アルプス物流,2018,Q1,29.2757107171162
アルプス物流,2018,Q2,-16.61581431144083
アルプス物流,2018,Q3,-11.45381955623742
アルプス物流,2018,Q4,18.694972132431133
アルプス物流,2019,Q1,15.980726608250578
アルプス物流,2019,Q2,18.26659899201222
アルプス物流,2019,Q3,30.03771440872229
アルプス物流,2019,Q4,9.668300684420558
