企業名,会計年度,四半期,y_hat_mraf
やまや,2018,Q3,98.271714861535
やまや,2018,Q4,47.192314861535024
やまや,2019,Q1,87.51669999999994
やまや,2019,Q2,55.73620000000002
やまや,2019,Q3,111.98189999999992
やまや,2019,Q4,44.8286
やまや,2020,Q1,-27.5642
やまや,2020,Q2,41.48210000000001
やまや,2020,Q3,87.00091486153495
やまや,2020,Q4,-156.34489999999988
りらいあコミュニケーションズ,2018,Q1,12.423800000000002
りらいあコミュニケーションズ,2018,Q2,10.438999999999997
りらいあコミュニケーションズ,2018,Q3,14.829200000000013
りらいあコミュニケーションズ,2018,Q4,22.834100000000003
りらいあコミュニケーションズ,2019,Q1,10.3714
りらいあコミュニケーションズ,2019,Q2,15.434244231734324
りらいあコミュニケーションズ,2019,Q3,-4.764655768265674
りらいあコミュニケーションズ,2019,Q4,23.00794423173433
りらいあコミュニケーションズ,2020,Q1,12.33111057933582
りらいあコミュニケーションズ,2020,Q2,21.681232695202976
りらいあコミュニケーションズ,2020,Q3,15.124200000000004
りらいあコミュニケーションズ,2020,Q4,31.846200000000017
わかもと製薬,2018,Q1,3.0367999999999995
わかもと製薬,2018,Q2,-1.7339000000000016
わかもと製薬,2018,Q3,2.677200000000001
わかもと製薬,2018,Q4,3.3325
わかもと製薬,2019,Q1,1.0884999999999994
わかもと製薬,2019,Q2,-6.1598000000000015
わかもと製薬,2019,Q3,-11.24089999999999
わかもと製薬,2019,Q4,-11.395999999999994
わかもと製薬,2020,Q1,-2.5637
わかもと製薬,2020,Q2,-5.346900000000001
わかもと製薬,2020,Q3,-1.2478000000000002
わかもと製薬,2020,Q4,3.8432
アイカ工業,2018,Q1,42.10769999999999
アイカ工業,2018,Q2,48.44470000000002
アイカ工業,2018,Q3,48.75899999999999
アイカ工業,2018,Q4,49.81510000000001
アイカ工業,2019,Q1,51.188100000000034
アイカ工業,2019,Q2,52.16970000000002
アイカ工業,2019,Q3,54.22060000000002
アイカ工業,2019,Q4,50.1548
アイカ工業,2020,Q1,43.67599999999995
アイカ工業,2020,Q2,52.31310000000001
アイカ工業,2020,Q3,50.72030000000002
アイカ工業,2020,Q4,45.2407
アイコム,2018,Q1,3.2078999999999955
アイコム,2018,Q2,24.39740000000001
アイコム,2018,Q3,15.171099999999994
アイコム,2018,Q4,58.71140000000001
アイコム,2019,Q1,40.81300000000001
アイコム,2019,Q2,28.515500000000017
アイコム,2019,Q3,27.17950000000001
アイコム,2019,Q4,69.22420000000005
アイコム,2020,Q1,10.927500000000002
アイコム,2020,Q2,11.657699999999988
アイコム,2020,Q3,21.0233
アイコム,2020,Q4,75.75440000000002
アイシン,2018,Q1,129.96100896862126
アイシン,2018,Q2,79.50310000000002
アイシン,2018,Q3,118.59696690987526
