企業名,会計年度,四半期,y_hat_ml1,best_hyparam
あらた,2018,Q1,89.69062007862203,[10]
あらた,2018,Q2,76.53945937146653,[10]
あらた,2018,Q3,92.8597369477225,[10]
あらた,2018,Q4,69.80896783650522,[10]
あらた,2019,Q1,117.06648484049327,[10]
あらた,2019,Q2,111.08960980628345,[10]
あらた,2019,Q3,109.84863850224156,[10]
あらた,2019,Q4,93.8058434683653,[10]
あらた,2020,Q1,136.78642320528274,[10]
あらた,2020,Q2,94.49464101110792,[10]
あらた,2020,Q3,120.14842169489961,[10]
あらた,2020,Q4,103.54471904293351,[10]
いすゞ自動車,2018,Q1,34.756859179386225,[10]
いすゞ自動車,2018,Q2,34.93502290790201,[10]
いすゞ自動車,2018,Q3,44.9148904164716,[10]
いすゞ自動車,2018,Q4,38.2682953348848,[10]
いすゞ自動車,2019,Q1,41.573211912514935,[10]
いすゞ自動車,2019,Q2,22.45795666011174,[10]
いすゞ自動車,2019,Q3,36.68251177445358,[10]
いすゞ自動車,2019,Q4,19.747999067394115,[10]
いすゞ自動車,2020,Q1,7.605413668151355,[10]
いすゞ自動車,2020,Q2,16.69706231269932,[10]
いすゞ自動車,2020,Q3,44.807134610494224,[10]
いすゞ自動車,2020,Q4,31.880174474493362,[10]
いなげや,2018,Q1,6.514722222222222,[1000]
いなげや,2018,Q2,6.404722222222222,[1000]
いなげや,2018,Q3,6.19,[1000]
いなげや,2018,Q4,6.118333333333333,[1000]
いなげや,2019,Q1,4.9494444444444445,[1000]
いなげや,2019,Q2,5.456666666666667,[1000]
いなげや,2019,Q3,5.241944444444445,[1000]
いなげや,2019,Q4,5.008333333333333,[1000]
いなげや,2020,Q1,4.897222222222222,[1000]
いなげや,2020,Q2,6.317777777777777,[1000]
いなげや,2020,Q3,6.699722222222222,[1000]
いなげや,2020,Q4,7.260277777777777,[1000]
かどや製油,2018,Q1,134.01809464784856,[0.01]
かどや製油,2018,Q2,161.8752712245551,[0.01]
かどや製油,2018,Q3,93.78067689798263,[0.01]
かどや製油,2018,Q4,31.50261025039208,[0.01]
かどや製油,2019,Q1,173.41775415496272,[0.01]
かどや製油,2019,Q2,166.40819913377345,[0.01]
かどや製油,2019,Q3,51.954382848887235,[0.01]
