企業名,会計年度,四半期,rolling_sample,pruned_trials,complete_trials,best_trial_val_error,best_trial_params,final_train_epochs,final_train_min_loss,y_test,y_hat
あらた,2018,Q1,0,220,80,1.648747627314151e-08,"dict_items([('hidden_units', 741), ('learning_rate', 0.16657370920682169)])",443,"tensor(2.1339e-07, grad_fn=<MseLossBackward>)",105.42,120.75483
あらた,2018,Q2,1,210,90,1.9614888060459634e-06,"dict_items([('hidden_units', 944), ('learning_rate', 0.20712154332306457)])",9,"tensor(485.8267, grad_fn=<MseLossBackward>)",90.44,46.831818
あらた,2018,Q3,2,198,102,1.1701478797476739e-05,"dict_items([('hidden_units', 340), ('learning_rate', 0.4723417330003648)])",30,"tensor(234.5975, grad_fn=<MseLossBackward>)",106.24,82.026924
あらた,2018,Q4,3,180,120,3.91423782275524e-08,"dict_items([('hidden_units', 580), ('learning_rate', 0.34811747514463887)])",13,"tensor(349.8849, grad_fn=<MseLossBackward>)",99.22,115.74112
あらた,2019,Q1,4,205,95,1.552863750475808e-06,"dict_items([('hidden_units', 236), ('learning_rate', 0.7644834092437269)])",117,"tensor(133.9780, grad_fn=<MseLossBackward>)",116.85,99.16101
あらた,2019,Q2,5,194,106,9.574464456818532e-06,"dict_items([('hidden_units', 406), ('learning_rate', 0.5316072911481701)])",18,"tensor(298.0398, grad_fn=<MseLossBackward>)",101.76,84.58243
あらた,2019,Q3,6,204,96,1.3825606401951518e-06,"dict_items([('hidden_units', 906), ('learning_rate', 0.21922292490601364)])",14,"tensor(418.3885, grad_fn=<MseLossBackward>)",113.93,132.42975
あらた,2019,Q4,7,204,96,8.672322110214736e-06,"dict_items([('hidden_units', 808), ('learning_rate', 0.2740362178577265)])",18,"tensor(422.1540, grad_fn=<MseLossBackward>)",79.9,77.55027
あらた,2020,Q1,8,209,91,4.3120579107380763e-07,"dict_items([('hidden_units', 713), ('learning_rate', 0.19533016241409443)])",398,"tensor(0.2856, grad_fn=<MseLossBackward>)",145.23,117.496346
あらた,2020,Q2,9,201,99,9.054688376863851e-08,"dict_items([('hidden_units', 589), ('learning_rate', 0.4810802432034685)])",13,"tensor(539.0256, grad_fn=<MseLossBackward>)",120.68,129.5699
あらた,2020,Q3,10,187,113,3.4152819807786727e-06,"dict_items([('hidden_units', 391), ('learning_rate', 0.6072657178548146)])",14,"tensor(471.4168, grad_fn=<MseLossBackward>)",153.35,132.32706
あらた,2020,Q4,11,166,134,5.414382258095429e-07,"dict_items([('hidden_units', 823), ('learning_rate', 0.380763124384753)])",9,"tensor(645.4183, grad_fn=<MseLossBackward>)",61.403446,58.417526
