企業名,会計年度,四半期,y_hat_men_i_tuned,best_hyparam
なとり,2019,Q4,-14.840432138736572,[10.  1.]
なとり,2020,Q1,25.857963750026432,[10.  1.]
なとり,2020,Q2,27.600301586105743,[10.  1.]
なとり,2020,Q3,84.00567750851286,[10.  1.]
なとり,2020,Q4,-14.37704854828229,[10.  1.]
はせがわ,2018,Q1,-9.75987580792048,[1.  0.2]
はせがわ,2018,Q2,24.095451658042492,[1.  0.2]
はせがわ,2018,Q3,-4.394337533182679,[1.  0.2]
はせがわ,2018,Q4,-4.485718156775093,[1.  0.2]
はせがわ,2019,Q1,-21.333438060669096,[1.  0.2]
はせがわ,2019,Q2,19.53978560761449,[1.  0.2]
はせがわ,2019,Q3,-24.152338567932077,[1.  0.2]
はせがわ,2019,Q4,-33.507476800777425,[1.  0.2]
はせがわ,2020,Q1,-20.617033607090463,[1.  0.2]
はせがわ,2020,Q2,9.941300782102985,[1.  0.2]
はせがわ,2020,Q3,-1.0952171654056713,[1.  0.2]
はせがわ,2020,Q4,2.5772281240876396,[1.  0.2]
はるやまホールディングス,2018,Q1,-2.2355598230057154,[100.    0.5]
はるやまホールディングス,2018,Q2,-24.473807130660575,[100.    0.5]
はるやまホールディングス,2018,Q3,22.87831786528257,[100.    0.5]
はるやまホールディングス,2018,Q4,65.62803295913801,[100.    0.5]
はるやまホールディングス,2019,Q1,-11.555530173534791,[100.    0.5]
はるやまホールディングス,2019,Q2,-28.854727533055467,[100.    0.5]
はるやまホールディングス,2019,Q3,4.2940551842680605,[100.    0.5]
はるやまホールディングス,2019,Q4,40.92394330756334,[100.    0.5]
はるやまホールディングス,2020,Q1,-38.10360031353845,[100.    0.5]
はるやまホールディングス,2020,Q2,-69.58303215616736,[100.    0.5]
はるやまホールディングス,2020,Q3,-35.98058269147785,[100.    0.5]
はるやまホールディングス,2020,Q4,-26.725768215026065,[100.    0.5]
ぴあ,2018,Q1,24.91182518662,[1000.    0.]
ぴあ,2018,Q2,13.568390425051069,[1000.    0.]
ぴあ,2018,Q3,13.644220876449594,[1000.    0.]
ぴあ,2018,Q4,32.30074233341166,[1000.    0.]
ぴあ,2019,Q1,23.149009818780968,[1000.    0.]
ぴあ,2019,Q2,1.1112899108953407,[1000.    0.]
ぴあ,2019,Q3,-6.663277356087171,[1000.    0.]
ぴあ,2019,Q4,6.007058358531129,[1000.    0.]
ぴあ,2020,Q1,-22.84873200398703,[1000.    0.]
ぴあ,2020,Q2,-88.66703215310272,[1000.    0.]
ぴあ,2020,Q3,-33.16266977191703,[1000.    0.]
ぴあ,2020,Q4,-39.765201818957436,[1000.    0.]
やまや,2018,Q1,80.52423946167501,[1.e+03 2.e-01]
やまや,2018,Q2,62.55167211663066,[1.e+03 2.e-01]
やまや,2018,Q3,129.16459135166582,[1.e+03 2.e-01]
やまや,2018,Q4,56.75718942296021,[1.e+03 2.e-01]
やまや,2019,Q1,84.72405907720712,[1.e+03 2.e-01]
やまや,2019,Q2,67.27652575937839,[1.e+03 2.e-01]
やまや,2019,Q3,133.48727169795902,[1.e+03 2.e-01]
やまや,2019,Q4,29.506960943653027,[1.e+03 2.e-01]
やまや,2020,Q1,-10.114135250563066,[1.e+03 2.e-01]
やまや,2020,Q2,2.459926323208265,[1.e+03 2.e-01]
やまや,2020,Q3,45.4982824533833,[1.e+03 2.e-01]
やまや,2020,Q4,-346.27948478217945,[1.e+03 2.e-01]
りらいあコミュニケーションズ,2018,Q1,19.275339210742114,[1.e+04 1.e-01]
りらいあコミュニケーションズ,2018,Q2,18.871728099631007,[1.e+04 1.e-01]
りらいあコミュニケーションズ,2018,Q3,18.319783655186562,[1.e+04 1.e-01]
りらいあコミュニケーションズ,2018,Q4,17.515894766297674,[1.e+04 1.e-01]
りらいあコミュニケーションズ,2019,Q1,12.504228099631005,[1.e+04 1.e-01]
りらいあコミュニケーションズ,2019,Q2,12.33617254407545,[1.e+04 1.e-01]
りらいあコミュニケーションズ,2019,Q3,12.095616988519895,[1.e+04 1.e-01]
りらいあコミュニケーションズ,2019,Q4,12.367283655186561,[1.e+04 1.e-01]
りらいあコミュニケーションズ,2020,Q1,12.664228099631005,[1.e+04 1.e-01]
りらいあコミュニケーションズ,2020,Q2,12.314783655186561,[1.e+04 1.e-01]
りらいあコミュニケーションズ,2020,Q3,12.19361111111111,[1.e+04 1.e-01]
りらいあコミュニケーションズ,2020,Q4,12.34222222222222,[1.e+04 1.e-01]
わかもと製薬,2018,Q1,0.5997222222222222,[1.e+03 1.e-01]
わかもと製薬,2018,Q2,0.7313888888888889,[1.e+03 1.e-01]
わかもと製薬,2018,Q3,0.5477777777777777,[1.e+03 1.e-01]
わかもと製薬,2018,Q4,0.6452777777777778,[1.e+03 1.e-01]
わかもと製薬,2019,Q1,0.41527777777777775,[1.e+03 1.e-01]
わかもと製薬,2019,Q2,0.2905555555555555,[1.e+03 1.e-01]
わかもと製薬,2019,Q3,-0.5833333333333331,[1.e+03 1.e-01]
わかもと製薬,2019,Q4,-0.49249999999999994,[1.e+03 1.e-01]
わかもと製薬,2020,Q1,-0.5677777777777778,[1.e+03 1.e-01]
わかもと製薬,2020,Q2,-0.4897222222222221,[1.e+03 1.e-01]
わかもと製薬,2020,Q3,-0.9772222222222222,[1.e+03 1.e-01]
わかもと製薬,2020,Q4,-0.8527777777777777,[1.e+03 1.e-01]
