,,MLM.1,MLM.2
あらた,MAE,20.53013027259581,29.458013931314667
あらた,MAPE,0.20053458969469642,0.2983598114733862
あらた,MSE,0.057927070273080285,0.1577481354543576
あらた,RMSE,23.791413131997118,35.75639329346883
あらた,RMSPE,0.24068043184496798,0.39717519491322417
いすゞ自動車,MAE,21.83713144944241,10.378339911017358
いすゞ自動車,MAPE,1.4069492012203775,0.5094529773271675
いすゞ自動車,MSE,8.717807529640845,0.8330570286621533
いすゞ自動車,RMSE,34.761949997521576,15.121483423154139
いすゞ自動車,RMSPE,2.9525933566342735,0.9127195783274035
いなげや,MAE,21.860784908238784,17.376977321223787
いなげや,MAPE,2.690945054524805,1.5322009751949863
いなげや,MSE,18.385336400297305,3.986890809156422
いなげや,RMSE,26.32942351015679,23.127608174477874
いなげや,RMSPE,4.287812542578943,1.9967200127099498
かどや製油,MAE,34.40945231719886,23.30205889743905
かどや製油,MAPE,0.9645277816269306,0.37277946999134226
かどや製油,MSE,4.098593078271232,0.19423312467291357
かどや製油,RMSE,45.32205269842701,28.986057339056412
かどや製油,RMSPE,2.024498228764657,0.44071887260805337
きんでん,MAE,5.3682222051532476,7.576675501201834
きんでん,MAPE,0.18425843234184514,0.28341135525996625
きんでん,MSE,0.07660914359532736,0.14299660183368504
きんでん,RMSE,6.896520604085313,9.006646955965945
きんでん,RMSPE,0.27678356814545074,0.3781489148915874
さくらインターネット,MAE,144.97883588139408,65.94372224773353
さくらインターネット,MAPE,93.84324586896298,60.27517334501919
さくらインターネット,MSE,26918.74622913721,21452.742757138294
さくらインターネット,RMSE,233.88356229062433,133.97893821970777
さくらインターネット,RMSPE,164.06933360362385,146.46754847794202
たけびし,MAE,10.75215644790437,10.231449826836622
たけびし,MAPE,0.41091381122538184,0.3932063404838974
たけびし,MSE,0.26350383320471943,0.26859019218404345
たけびし,RMSE,13.219125426014031,12.722084219164921
たけびし,RMSPE,0.5133262444145238,0.5182568785689616
なとり,MAE,12.010778337597941,13.773934080068889
なとり,MAPE,0.4913789539416907,0.5738068751737372
なとり,MSE,0.3907454601062299,0.7158079182576521
なとり,RMSE,15.19063664581309,19.084095395004766
なとり,RMSPE,0.625096360656683,0.8460543234672654
はせがわ,MAE,20.290637778285927,14.580401184612136
はせがわ,MAPE,57.35294906268138,43.24033391699373
はせがわ,MSE,37422.52620676082,21324.42771969514
はせがわ,RMSE,23.818583385454595,18.619815874577704
はせがわ,RMSPE,193.44902741228972,146.02885920151243
はるやまホールディングス,MAE,43.56418162105024,33.86748004733267
はるやまホールディングス,MAPE,0.7456046495982046,0.6258279960070409
はるやまホールディングス,MSE,0.7399616046034553,0.5155727344605956
はるやまホールディングス,RMSE,66.71398211186313,48.7660992276534
はるやまホールディングス,RMSPE,0.860210209543839,0.7180339368446282
ぴあ,MAE,38.18682496571996,43.206338963698386
ぴあ,MAPE,2.092926526928522,1.7166799022900705
ぴあ,MSE,15.088660024536482,5.821054142669188
ぴあ,RMSE,63.06103877163959,72.96074249229012
ぴあ,RMSPE,3.884412442640004,2.4126860845682323
やまや,MAE,147.27975358175743,138.0436459320198
やまや,MAPE,4.692777586516789,2.355732394643512
やまや,MSE,115.92494835232718,22.836588850227525
やまや,RMSE,253.6564520705606,242.4972201500232
やまや,RMSPE,10.766844865248462,4.778764364375745
りらいあコミュニケーションズ,MAE,39.07174964524443,81.09199714456402
りらいあコミュニケーションズ,MAPE,1.1942245896647259,2.226006447448802
りらいあコミュニケーションズ,MSE,5.183865129340726,14.070679037941915
りらいあコミュニケーションズ,RMSE,65.25523755579873,148.98862724081545
りらいあコミュニケーションズ,RMSPE,2.276810297179088,3.751090379868488
わかもと製薬,MAE,10.508974074290057,10.19569712191963
わかもと製薬,MAPE,2.595509980100409,3.0559630940883196
わかもと製薬,MSE,14.528514298868918,22.759655464614497
わかもと製薬,RMSE,13.802547530501055,13.517072690415127
わかもと製薬,RMSPE,3.811628824907918,4.77070806742715
アイカ工業,MAE,9.067671122250431,9.336991650638913
アイカ工業,MAPE,0.222774496283036,0.2532408046525192
アイカ工業,MSE,0.09738568621252756,0.17751053261915387
アイカ工業,RMSE,11.239916180481185,12.47062948394389
アイカ工業,RMSPE,0.3120667976772402,0.42131998839261575
アイコム,MAE,23.278672002084992,26.692452886544633
アイコム,MAPE,1.2322790846174116,1.3472750664163033
アイコム,MSE,2.5166383442663167,3.3518624224155804
アイコム,RMSE,28.141797281173876,30.690162223736184
アイコム,RMSPE,1.5863916112569167,1.8308092261116613
アイシン,MAE,112.1318517309726,127.31281779929095
アイシン,MAPE,0.9503819460548012,1.146817634986485
アイシン,MSE,2.029698503084934,1.8798201019100167
アイシン,RMSE,167.25475470646057,163.72350303683416
アイシン,RMSPE,1.4246748762735075,1.3710653164273454
アイダエンジニアリング,MAE,10.8354400487534,9.077448987676602
アイダエンジニアリング,MAPE,1.6031893977526857,1.6467593519984582
アイダエンジニアリング,MSE,7.894250660576938,10.333611179834138
アイダエンジニアリング,RMSE,14.966322260654657,11.689884597917283
アイダエンジニアリング,RMSPE,2.8096709167760086,3.214593470383796
アイチコーポレーション,MAE,5.828981216068143,5.932708010193209
アイチコーポレーション,MAPE,0.40159465337454975,0.38334268819230216
アイチコーポレーション,MSE,0.23770672626704747,0.1993161144938775
アイチコーポレーション,RMSE,6.397490388534495,6.485274602901686
アイチコーポレーション,RMSPE,0.4875517677816864,0.4464483335100239
アイティフォー,MAE,3.1801506955463084,3.1037813874442093
アイティフォー,MAPE,0.40318275336250187,0.2978571123837635
