企業名,会計年度,四半期,y_hat_mraf_part0,best_hyparam
はせがわ,2019,Q3,-9.1237,[100 10]
はせがわ,2019,Q4,-5.5011,[100 10]
はせがわ,2020,Q1,-14.083499999999985,[100 10]
はせがわ,2020,Q2,20.68870000000002,[100 10]
はせがわ,2020,Q3,-3.8067000000000037,[100 10]
はせがわ,2020,Q4,3.5011999999999994,[100 10]
はるやまホールディングス,2018,Q1,-0.34480000000000055,[100 10]
はるやまホールディングス,2018,Q2,-23.96400000000002,[100 10]
はるやまホールディングス,2018,Q3,33.053999999999974,[100 10]
はるやまホールディングス,2018,Q4,59.84749999999998,[100 10]
はるやまホールディングス,2019,Q1,-17.5519,[100 10]
はるやまホールディングス,2019,Q2,-25.44780000000001,[100 10]
はるやまホールディングス,2019,Q3,9.576100000000002,[100 10]
はるやまホールディングス,2019,Q4,45.63279999999997,[100 10]
はるやまホールディングス,2020,Q1,-17.0841,[100 10]
はるやまホールディングス,2020,Q2,-42.97030000000002,[100 10]
はるやまホールディングス,2020,Q3,-13.0395,[100 10]
はるやまホールディングス,2020,Q4,-2.696900000000001,[100 10]
ぴあ,2018,Q1,14.29678524579221,[1000 5]
ぴあ,2018,Q2,19.35250451095546,[1000 5]
ぴあ,2018,Q3,12.654927775724262,[1000 5]
ぴあ,2018,Q4,12.772328213113655,[1000 5]
ぴあ,2019,Q1,18.545056008266602,[1000 5]
ぴあ,2019,Q2,10.313541919109463,[1000 5]
ぴあ,2019,Q3,10.536263180738318,[1000 5]
ぴあ,2019,Q4,12.874129372592229,[1000 5]
ぴあ,2020,Q1,-2.2342758356365837,[1000 5]
ぴあ,2020,Q2,-33.4927256474673,[1000 5]
ぴあ,2020,Q3,-12.424604733139258,[1000 5]
ぴあ,2020,Q4,-51.898739769235426,[1000 5]
りらいあコミュニケーションズ,2018,Q1,12.811109397075128,[1000 5]
りらいあコミュニケーションズ,2018,Q2,9.98026654628704,[1000 5]
りらいあコミュニケーションズ,2018,Q3,14.818005995871196,[1000 5]
りらいあコミュニケーションズ,2018,Q4,22.685571902704663,[1000 5]
