企業名,会計年度,四半期,y_hat_mlm3
あらた,2018,Q1,117.33960560437413
あらた,2018,Q2,147.8706487034865
あらた,2018,Q3,84.91029659077185
あらた,2018,Q4,83.04288291730518
あらた,2019,Q1,135.3953550804249
あらた,2019,Q2,117.81944543315649
あらた,2019,Q3,101.35523721908794
あらた,2019,Q4,96.15841949530522
あらた,2020,Q1,111.00981128480635
あらた,2020,Q2,127.9969609068994
あらた,2020,Q3,124.69078485808996
あらた,2020,Q4,126.11283101222398
いすゞ自動車,2018,Q1,20.49994446682601
いすゞ自動車,2018,Q2,23.298117511826575
いすゞ自動車,2018,Q3,48.15659082675515
いすゞ自動車,2018,Q4,27.642116281060623
いすゞ自動車,2019,Q1,39.60987937692906
いすゞ自動車,2019,Q2,18.141974788711565
いすゞ自動車,2019,Q3,42.24175314880881
いすゞ自動車,2019,Q4,13.594780931087001
いすゞ自動車,2020,Q1,26.760061844209815
いすゞ自動車,2020,Q2,12.600321564969065
いすゞ自動車,2020,Q3,28.80550799815839
いすゞ自動車,2020,Q4,50.44932915925304
いなげや,2018,Q1,3.3849348651882565
いなげや,2018,Q2,9.032565143269608
いなげや,2018,Q3,19.344528010103147
いなげや,2018,Q4,6.468287797106171
いなげや,2019,Q1,2.7962221844064175
いなげや,2019,Q2,-1.1797025786445374
いなげや,2019,Q3,7.579918298613393
いなげや,2019,Q4,-37.556173717462116
いなげや,2020,Q1,0.7341448420675079
いなげや,2020,Q2,15.088616541825601
いなげや,2020,Q3,45.00159835375655
いなげや,2020,Q4,16.593215999596314
かどや製油,2018,Q1,90.94840203333524
かどや製油,2018,Q2,128.8267782707212
かどや製油,2018,Q3,81.96582480545658
かどや製油,2018,Q4,27.415883427330755
かどや製油,2019,Q1,17.229094235930006
かどや製油,2019,Q2,63.25550132804392
かどや製油,2019,Q3,73.45309863134162
かどや製油,2019,Q4,28.15502197457272
かどや製油,2020,Q1,50.8459438625714
かどや製油,2020,Q2,77.3393053619493
かどや製油,2020,Q3,50.505269740604035
かどや製油,2020,Q4,19.793906611983857
きんでん,2018,Q1,4.36052464452365
きんでん,2018,Q2,29.894022468697983
きんでん,2018,Q3,39.17424122172497
きんでん,2018,Q4,84.59073375448742
きんでん,2019,Q1,5.99847829903706
きんでん,2019,Q2,30.804198266943843
きんでん,2019,Q3,36.61705131979153
きんでん,2019,Q4,76.47346884401549
きんでん,2020,Q1,23.04341998773566
きんでん,2020,Q2,35.901405664442876
きんでん,2020,Q3,43.97751389103553
きんでん,2020,Q4,67.88308535467894
さくらインターネット,2018,Q1,-394.2967247070992
さくらインターネット,2018,Q2,-134.93592824727693
さくらインターネット,2018,Q3,-19.11742743855666
さくらインターネット,2018,Q4,146.4088397402361
さくらインターネット,2019,Q1,-65.85086366395944
さくらインターネット,2019,Q2,-32.288520914624314
さくらインターネット,2019,Q3,4.9918324971786205
さくらインターネット,2019,Q4,34.32496081318618
さくらインターネット,2020,Q1,-0.1288904701978879
さくらインターネット,2020,Q2,2.754070870859863
さくらインターネット,2020,Q3,-0.9834691038997221
さくらインターネット,2020,Q4,-36.93292107010123
たけびし,2018,Q1,48.79971523407053
たけびし,2018,Q2,43.58784977840452
たけびし,2018,Q3,46.01660549814977
