,MLM.1,MLM.2
MAE,60.12612479755852,71.75213462916302
MAPE,5.778863078119971,14.285042602426318
MSE,29555.807146614276,1118622.1025931328
RMSE,443.7201204826569,523.6309264460087
RMSPE,171.91802449602042,1057.6493287442358
