企業名,会計年度,四半期,y_hat_msvm
アイロムグループ,2018,Q2,1.1152506191068348
アイロムグループ,2018,Q3,3.9038310293188063
アイロムグループ,2018,Q4,8.195583242586805
アイロムグループ,2019,Q1,11.37603624460905
アイロムグループ,2019,Q2,11.3514125675051
アイロムグループ,2019,Q3,9.389416465899757
アイロムグループ,2019,Q4,9.427988190347245
アイロムグループ,2020,Q1,11.383364469422036
アイロムグループ,2020,Q2,9.451800565190284
アイロムグループ,2020,Q3,11.453776966052391
アイロムグループ,2020,Q4,13.5623410648362
アキレス,2018,Q1,9.912186038935163
アキレス,2018,Q2,12.080955448982474
アキレス,2018,Q3,14.053394119408669
アキレス,2018,Q4,11.966915261595496
アキレス,2019,Q1,9.857650334108566
アキレス,2019,Q2,11.820779067829875
アキレス,2019,Q3,13.510787686391566
アキレス,2019,Q4,15.294887329296888
アキレス,2020,Q1,16.975955884704536
アキレス,2020,Q2,17.411722001814287
アキレス,2020,Q3,17.656438455891717
アキレス,2020,Q4,18.317471052154282
アクシアル　リテイリング,2018,Q1,36.75250058763406
アクシアル　リテイリング,2018,Q2,39.9365811039505
アクシアル　リテイリング,2018,Q3,43.48111813023843
アクシアル　リテイリング,2018,Q4,45.41492373709944
アクシアル　リテイリング,2019,Q1,46.35650349936194
アクシアル　リテイリング,2019,Q2,48.642161739996965
アクシアル　リテイリング,2019,Q3,51.072815806587414
アクシアル　リテイリング,2019,Q4,54.162345870563385
アクシアル　リテイリング,2020,Q1,56.78105604416266
アクシアル　リテイリング,2020,Q2,58.91328956178127
アクシアル　リテイリング,2020,Q3,61.34205348977251
アクシアル　リテイリング,2020,Q4,62.46432588469365
アクセル,2018,Q1,18.31495826151531
アクセル,2018,Q2,16.51133945224587
アクセル,2018,Q3,15.022414908001025
アクセル,2018,Q4,14.191993466585727
アクセル,2019,Q1,12.728098605235687
アクセル,2019,Q2,10.145445484043588
アクセル,2019,Q3,9.496018088725501
アクセル,2019,Q4,10.271096358923206
アクセル,2020,Q1,11.067457548426257
アクセル,2020,Q2,11.789306428101632
アクセル,2020,Q3,9.570005398500903
アクセル,2020,Q4,9.560983150176876
アジアパイルホールディングス,2018,Q1,13.531087644105803
アジアパイルホールディングス,2018,Q2,14.628764072539866
アジアパイルホールディングス,2018,Q3,15.102450364265858
アジアパイルホールディングス,2018,Q4,15.863370541654973
アジアパイルホールディングス,2019,Q1,15.659570126880684
アジアパイルホールディングス,2019,Q2,16.38723145340524
アジアパイルホールディングス,2019,Q3,16.306885147983923
アジアパイルホールディングス,2019,Q4,16.290966690764524
アジアパイルホールディングス,2020,Q1,16.24461485298924
アジアパイルホールディングス,2020,Q2,16.486317356738542
アジアパイルホールディングス,2020,Q3,16.702959205476564
アジアパイルホールディングス,2020,Q4,16.872966870621244
アステラス製薬,2018,Q1,27.931745368403142
アステラス製薬,2018,Q2,27.351498978383912
アステラス製薬,2018,Q3,26.32158396329811
アステラス製薬,2018,Q4,26.256609759512102
アステラス製薬,2019,Q1,26.377780179071433
アステラス製薬,2019,Q2,26.28532459675555
アステラス製薬,2019,Q3,27.47405003590358
アステラス製薬,2019,Q4,27.394506696062315
アステラス製薬,2020,Q1,27.47541571940919
アステラス製薬,2020,Q2,27.092466343646763
アステラス製薬,2020,Q3,26.285817768627613
アステラス製薬,2020,Q4,26.21422316476525
アズビル,2018,Q1,25.977130093757577
アズビル,2018,Q2,26.32527211320216
アズビル,2018,Q3,28.924118284348808
アズビル,2018,Q4,33.1909595820595
アズビル,2019,Q1,32.53273784966171
アズビル,2019,Q2,32.50776508695682
アズビル,2019,Q3,31.76516152195207
アズビル,2019,Q4,34.72774293403427
アズビル,2020,Q1,34.705206629178136
アズビル,2020,Q2,34.65118504955644
アズビル,2020,Q3,31.79875349205442
アズビル,2020,Q4,34.72251297053361
アズワン,2018,Q1,46.378375510917195
アズワン,2018,Q2,47.26157607172277
アズワン,2018,Q3,48.10927909594362
アズワン,2018,Q4,49.380168193267394
アズワン,2019,Q1,50.05179008077252
アズワン,2019,Q2,50.16388170140186
アズワン,2019,Q3,51.1147521741757
アズワン,2019,Q4,52.586387885122484
アズワン,2020,Q1,54.08152919705611
アズワン,2020,Q2,54.99024239487916
アズワン,2020,Q3,57.886532675138106
アズワン,2020,Q4,57.87893016147271
アツギ,2018,Q1,0.8053557669563509
アツギ,2018,Q2,-0.35356154282809993
アツギ,2018,Q3,0.7554386088992804
アツギ,2018,Q4,2.4253466437938345
アツギ,2019,Q1,0.5685001157227394
アツギ,2019,Q2,-1.0248817122237974
アツギ,2019,Q3,0.6464515520483454
アツギ,2019,Q4,-1.3680895701320648
アツギ,2020,Q1,-2.2872496157585642
アツギ,2020,Q2,-4.187048934624186
アツギ,2020,Q3,-2.4851202612641923
アツギ,2020,Q4,-4.549321400215107
アドウェイズ,2018,Q1,4.020975200021221
アドウェイズ,2018,Q2,4.019724352829267
アドウェイズ,2018,Q3,3.5040777054067274
アドウェイズ,2018,Q4,3.6004540107998393
アドウェイズ,2019,Q1,3.598880670595224
アドウェイズ,2019,Q2,3.262152444601563
アドウェイズ,2019,Q3,3.0611816719128964
アドウェイズ,2019,Q4,3.030129523326252
アドウェイズ,2020,Q1,3.0297592345020092
アドウェイズ,2020,Q2,3.0458010839481187
アドウェイズ,2020,Q3,3.0457589686295914
アドウェイズ,2020,Q4,3.0620180251375073
アドソル日進,2018,Q1,17.5886168248643
アドソル日進,2018,Q2,17.75876579511665
アドソル日進,2018,Q3,17.951704284243274
アドソル日進,2018,Q4,18.515872019559797
アドソル日進,2019,Q1,18.208790632775983
アドソル日進,2019,Q2,18.5807534670027
アドソル日進,2019,Q3,18.644090975454322
アドソル日進,2019,Q4,18.68285882511763
アドソル日進,2020,Q1,18.652394086447384
アドソル日進,2020,Q2,18.888004378214532
アドソル日進,2020,Q3,19.55422030188799
アドソル日進,2020,Q4,20.5024271849111
アドバネクス,2018,Q1,3.8424781439963285
アドバネクス,2018,Q2,2.816825030116766
アドバネクス,2018,Q3,2.4620473953120228
アドバネクス,2018,Q4,1.9887708778385655
アドバネクス,2019,Q1,0.27171932114674613
アドバネクス,2019,Q2,-0.2535000827675786
アドバネクス,2019,Q3,0.4641157658491788
アドバネクス,2019,Q4,-0.32366288517812136
アドバネクス,2020,Q1,-0.3171116766670341
アドバネクス,2020,Q2,-0.3522895504574113
アドバネクス,2020,Q3,-2.3949663358641136
アドバネクス,2020,Q4,-0.12082402646473489
アドバンテスト,2018,Q1,7.408300901702849
アドバンテスト,2018,Q2,8.458198451208059
アドバンテスト,2018,Q3,9.257011113796958
アドバンテスト,2018,Q4,10.28722114618101
アドバンテスト,2019,Q1,11.753238473274441
アドバンテスト,2019,Q2,14.144110488346563
アドバンテスト,2019,Q3,14.848925174584378
アドバンテスト,2019,Q4,17.005310362996774
アドバンテスト,2020,Q1,18.76469991520199
アドバンテスト,2020,Q2,22.663630968544215
アドバンテスト,2020,Q3,28.034302817285912
アドバンテスト,2020,Q4,29.960026793946458
アドヴァングループ,2018,Q1,21.440510646281965
アドヴァングループ,2018,Q2,22.92491862001374
アドヴァングループ,2018,Q3,23.571425061670308
アドヴァングループ,2018,Q4,22.85072875099175
アドヴァングループ,2019,Q1,23.43554262658317
アドヴァングループ,2019,Q2,23.42937191796339
アドヴァングループ,2019,Q3,24.96053442419132
アドヴァングループ,2019,Q4,26.813584290593784
アドヴァングループ,2020,Q1,27.45378700570335
アドヴァングループ,2020,Q2,27.06170177507747
アドヴァングループ,2020,Q3,26.569882021146412
アドヴァングループ,2020,Q4,26.15072501139897
アネスト岩田,2018,Q1,14.754889266267174
アネスト岩田,2018,Q2,15.259546673356493
アネスト岩田,2018,Q3,15.267652753743251
アネスト岩田,2018,Q4,16.359014056243915
アネスト岩田,2019,Q1,15.347852048516764
アネスト岩田,2019,Q2,15.0994885696872
アネスト岩田,2019,Q3,15.411840393883411
アネスト岩田,2019,Q4,15.270526043092994
アネスト岩田,2020,Q1,15.335356188121082
アネスト岩田,2020,Q2,15.397355255500845
アネスト岩田,2020,Q3,15.480129051614808
アネスト岩田,2020,Q4,16.607910869921607
アマダ,2018,Q1,9.264884248668185
アマダ,2018,Q2,10.535243371171056
アマダ,2018,Q3,11.672881248701898
アマダ,2018,Q4,12.703354958889339
アマダ,2019,Q1,13.259652481960632
アマダ,2019,Q2,13.32698028851425
アマダ,2019,Q3,13.745593533928915
アマダ,2019,Q4,13.82493154204509
アマダ,2020,Q1,13.568060455718747
アマダ,2020,Q2,14.24209522888418
アマダ,2020,Q3,13.785455535908149
アマダ,2020,Q4,13.955872244243537
アマノ,2018,Q1,17.319385121924736
アマノ,2018,Q2,17.720334333856805
アマノ,2018,Q3,18.301074139293824
アマノ,2018,Q4,19.882963519035936
アマノ,2019,Q1,19.230259534986036
アマノ,2019,Q2,19.818633381687167
アマノ,2019,Q3,19.874937985744328
アマノ,2019,Q4,21.414305993284987
アマノ,2020,Q1,20.312518531360844
アマノ,2020,Q2,20.30893918046
アマノ,2020,Q3,20.33907937532532
アマノ,2020,Q4,23.664346318272152
アミューズ,2018,Q1,39.687469076290945
アミューズ,2018,Q2,42.63871828418821
アミューズ,2018,Q3,42.970482704714186
アミューズ,2018,Q4,47.21295807265111
アミューズ,2019,Q1,52.670601543274124
アミューズ,2019,Q2,54.64136742285854
アミューズ,2019,Q3,55.259947246586904
アミューズ,2019,Q4,57.318493901705025
アミューズ,2020,Q1,56.47437463961699
アミューズ,2020,Q2,54.55285976465463
アミューズ,2020,Q3,54.1156632264255
アミューズ,2020,Q4,52.5575943873017
アリアケジャパン,2018,Q1,38.512931421058404
アリアケジャパン,2018,Q2,41.44688164989505
アリアケジャパン,2018,Q3,44.07123335570894
アリアケジャパン,2018,Q4,42.79834383808941
アリアケジャパン,2019,Q1,43.80738629123954
アリアケジャパン,2019,Q2,46.06154608760762
アリアケジャパン,2019,Q3,47.01002039799083
アリアケジャパン,2019,Q4,47.405646254781345
アリアケジャパン,2020,Q1,47.33487273254973
アリアケジャパン,2020,Q2,48.54874229928374
アリアケジャパン,2020,Q3,50.55977736629253
アリアケジャパン,2020,Q4,51.8420427975524
アルインコ,2018,Q1,22.882711710198272
アルインコ,2018,Q2,22.87475864385991
アルインコ,2018,Q3,24.06338810060051
アルインコ,2018,Q4,25.208599562380243
アルインコ,2019,Q1,24.67387822470788
アルインコ,2019,Q2,24.267186464305595
アルインコ,2019,Q3,25.31935358904157
アルインコ,2019,Q4,26.133455245364956
アルインコ,2020,Q1,25.68975959045228
アルインコ,2020,Q2,25.193662661134667
アルインコ,2020,Q3,24.849762973349613
アルインコ,2020,Q4,24.915981806526332
アルコニックス,2018,Q1,69.64587277453084
アルコニックス,2018,Q2,65.7862402571125
アルコニックス,2018,Q3,63.600603946848956
アルコニックス,2018,Q4,63.30397065196302
アルコニックス,2019,Q1,63.2100817188421
アルコニックス,2019,Q2,62.5624610923908
アルコニックス,2019,Q3,59.985129553979014
アルコニックス,2019,Q4,57.1820957691324
アルコニックス,2020,Q1,56.701856132212754
アルコニックス,2020,Q2,54.446373195686185
アルコニックス,2020,Q3,52.90956024824072
アルコニックス,2020,Q4,52.599958146676215
アルゴグラフィックス,2018,Q1,35.98102106867848
アルゴグラフィックス,2018,Q2,38.08208453100887
アルゴグラフィックス,2018,Q3,40.0947459765134
アルゴグラフィックス,2018,Q4,41.838047456796296
アルゴグラフィックス,2019,Q1,40.87003458165283
アルゴグラフィックス,2019,Q2,41.20890091562975
アルゴグラフィックス,2019,Q3,42.358607142010456
アルゴグラフィックス,2019,Q4,44.543453710431585
アルゴグラフィックス,2020,Q1,42.97127235010274
アルゴグラフィックス,2020,Q2,45.09529752968575
アルゴグラフィックス,2020,Q3,45.289981724493295
アルゴグラフィックス,2020,Q4,45.41605653804556
アルビス,2018,Q1,26.773256312988014
アルビス,2018,Q2,28.195751009706342
アルビス,2018,Q3,29.339104854800613
アルビス,2018,Q4,30.99297081210457
アルビス,2019,Q1,33.644597277159534
アルビス,2019,Q2,34.433469084134195
アルビス,2019,Q3,33.58146256825036
アルビス,2019,Q4,37.43944293604714
アルビス,2020,Q1,37.42843960222728
アルビス,2020,Q2,38.32943743697429
アルビス,2020,Q3,38.69162939459145
アルビス,2020,Q4,39.71467782687842
アルファ,2018,Q1,33.15359346957891
アルファ,2018,Q2,34.96200561096728
アルファ,2018,Q3,39.38272541396707
アルファ,2018,Q4,42.080673905132684
アルファ,2019,Q1,41.93849195797466
アルファ,2019,Q2,43.3023766161716
アルファ,2019,Q3,43.1188340866668
アルファ,2019,Q4,42.96416002787776
アルファ,2020,Q1,40.8306681372296
アルファ,2020,Q2,40.867579327011626
アルファ,2020,Q3,40.992827290599536
アルファ,2020,Q4,36.57328391545377
アルファシステムズ,2018,Q1,23.909329549701983
アルファシステムズ,2018,Q2,24.396942323540575
アルファシステムズ,2018,Q3,24.328582570786693
アルファシステムズ,2018,Q4,24.51119274412675
アルファシステムズ,2019,Q1,24.23938045439542
アルファシステムズ,2019,Q2,24.113475545603762
アルファシステムズ,2019,Q3,24.821530793174595
アルファシステムズ,2019,Q4,25.785027799749336
アルファシステムズ,2020,Q1,25.401810315200986
アルファシステムズ,2020,Q2,27.000718624198278
アルファシステムズ,2020,Q3,28.674542508065958
アルファシステムズ,2020,Q4,29.717999172835242
アルフレッサ　ホールディングス,2018,Q1,47.01555917220108
アルフレッサ　ホールディングス,2018,Q2,46.80660535673213
アルフレッサ　ホールディングス,2018,Q3,43.21610635830421
アルフレッサ　ホールディングス,2018,Q4,43.74925002451847
アルフレッサ　ホールディングス,2019,Q1,40.47935870153219
アルフレッサ　ホールディングス,2019,Q2,39.83000788359228
アルフレッサ　ホールディングス,2019,Q3,39.9438545763667
アルフレッサ　ホールディングス,2019,Q4,40.47522676951433
アルフレッサ　ホールディングス,2020,Q1,43.56334759410598
アルフレッサ　ホールディングス,2020,Q2,43.54694021423824
アルフレッサ　ホールディングス,2020,Q3,42.78384727478002
アルフレッサ　ホールディングス,2020,Q4,41.8962239229671
アルプスアルパイン,2018,Q1,20.063942451925932
アルプスアルパイン,2018,Q2,20.15392746632253
アルプスアルパイン,2018,Q3,21.349018150089083
アルプスアルパイン,2018,Q4,21.49359738894929
アルプスアルパイン,2019,Q1,20.493521673556963
アルプスアルパイン,2019,Q2,19.9552179283816
アルプスアルパイン,2019,Q3,20.80219411700422
アルプスアルパイン,2019,Q4,19.71708149349907
アルプスアルパイン,2020,Q1,19.136431163645533
アルプスアルパイン,2020,Q2,19.343394601645144
アルプスアルパイン,2020,Q3,19.343806728043575
アルプスアルパイン,2020,Q4,25.45895020667756
アルプス物流,2018,Q1,25.546331335387443
アルプス物流,2018,Q2,25.56774074768313
アルプス物流,2018,Q3,25.69385748339938
アルプス物流,2018,Q4,24.981407457973997
アルプス物流,2019,Q1,24.683797615961204
アルプス物流,2019,Q2,24.476779116853614
アルプス物流,2019,Q3,23.80389998900536
アルプス物流,2019,Q4,23.391804817899054
アルプス物流,2020,Q1,23.06164998215868
アルプス物流,2020,Q2,22.890116568643116
アルプス物流,2020,Q3,22.999948378904207
アルプス物流,2020,Q4,23.246698738752045
