企業名,会計年度,四半期,y_hat_men
アイティフォー,2019,Q2,7.380115738347687
アイティフォー,2019,Q3,8.432262116590643
アイティフォー,2019,Q4,21.50990322390873
アイティフォー,2020,Q1,8.191654635538864
アイティフォー,2020,Q2,14.258253305031166
アイティフォー,2020,Q3,10.260566075105803
アイティフォー,2020,Q4,23.5368266540928
アイティメディア,2018,Q1,16.19095701324106
アイティメディア,2018,Q2,10.977839513857992
アイティメディア,2018,Q3,11.257494687214653
アイティメディア,2018,Q4,9.264958480013076
アイティメディア,2019,Q1,14.508332574596253
アイティメディア,2019,Q2,13.068178845558682
アイティメディア,2019,Q3,9.570581960067996
アイティメディア,2019,Q4,10.44213003391347
アイティメディア,2020,Q1,10.837480630256104
アイティメディア,2020,Q2,15.954518881829932
アイティメディア,2020,Q3,18.843868111423507
アイティメディア,2020,Q4,18.25736633791073
アイネス,2018,Q1,-2.886631900483666
アイネス,2018,Q2,14.54748646779896
アイネス,2018,Q3,-3.634943240016222
アイネス,2018,Q4,15.308953032022186
アイネス,2019,Q1,12.65079427825245
アイネス,2019,Q2,43.63177039049929
アイネス,2019,Q3,0.1646719320806511
アイネス,2019,Q4,-54.69174166787196
アイネス,2020,Q1,-65.53785803407001
アイネス,2020,Q2,66.24687555411796
アイネス,2020,Q3,53.4652530610885
アイネス,2020,Q4,69.65534498153933
アイネット,2018,Q1,10.33063033696411
アイネット,2018,Q2,26.54060352353932
アイネット,2018,Q3,26.143970043713704
アイネット,2018,Q4,29.22625782501352
アイネット,2019,Q1,19.182904369709437
アイネット,2019,Q2,32.151464243100065
アイネット,2019,Q3,27.79157265560879
アイネット,2019,Q4,26.23127814309907
アイネット,2020,Q1,18.546115311485195
アイネット,2020,Q2,19.60555759662128
アイネット,2020,Q3,22.26631900490608
アイネット,2020,Q4,31.0491199454062
アイホン,2018,Q1,13.62979695132438
アイホン,2018,Q2,76.30956735897249
アイホン,2018,Q3,29.223504605426957
アイホン,2018,Q4,62.4419357932474
アイホン,2019,Q1,46.82974312006387
アイホン,2019,Q2,86.28923787847083
アイホン,2019,Q3,9.067626904798669
アイホン,2019,Q4,-14.383418523806384
アイホン,2020,Q1,-3.7307087650856623
アイホン,2020,Q2,53.84796224377696
アイホン,2020,Q3,43.16700821998509
アイホン,2020,Q4,-16.596119829149348
アイロムグループ,2018,Q1,44.46943140147424
アイロムグループ,2018,Q2,65.46341474152504
アイロムグループ,2018,Q3,106.2176865968844
アイロムグループ,2018,Q4,175.82159410265888
アイロムグループ,2019,Q1,91.10825476376668
アイロムグループ,2019,Q2,-68.37096976437198
アイロムグループ,2019,Q3,-3.3546811340383567
アイロムグループ,2019,Q4,32.48876235748011
アイロムグループ,2020,Q1,52.29300148904917
アイロムグループ,2020,Q2,31.10891826727385
アイロムグループ,2020,Q3,73.50579860503689
アイロムグループ,2020,Q4,57.2210712714992
アキレス,2018,Q1,42.68394261517375
アキレス,2018,Q2,26.725542054503983
アキレス,2018,Q3,40.4219115613417
アキレス,2018,Q4,-19.63909821719805
アキレス,2019,Q1,-8.601107493632524
アキレス,2019,Q2,0.7962661907506448
アキレス,2019,Q3,-8.327449388200666
アキレス,2019,Q4,-6.230911253485305
アキレス,2020,Q1,89.83462065931812
アキレス,2020,Q2,51.97567451456577
アキレス,2020,Q3,-3.754579557254376
アキレス,2020,Q4,-28.38336201497637
アクシアル　リテイリング,2018,Q1,61.64446869226029
アクシアル　リテイリング,2018,Q2,90.1595161381365
アクシアル　リテイリング,2018,Q3,108.96351282539636
アクシアル　リテイリング,2018,Q4,71.81603576306998
アクシアル　リテイリング,2019,Q1,92.27979471023669
アクシアル　リテイリング,2019,Q2,64.89690961356854
アクシアル　リテイリング,2019,Q3,83.35958402125652
アクシアル　リテイリング,2019,Q4,87.2577160976839
アクシアル　リテイリング,2020,Q1,121.13549551713872
アクシアル　リテイリング,2020,Q2,69.48479566255075
アクシアル　リテイリング,2020,Q3,78.73357664379071
アクシアル　リテイリング,2020,Q4,49.63804653013438
アクセル,2018,Q1,-12.18870381998194
アクセル,2018,Q2,-4.9634875920069526
アクセル,2018,Q3,-0.1961123718836841
アクセル,2018,Q4,-8.870125868479471
アクセル,2019,Q1,9.259961964117686
アクセル,2019,Q2,-31.91045931572036
アクセル,2019,Q3,61.15986056625513
アクセル,2019,Q4,-9.935642594662964
アクセル,2020,Q1,30.10526526351048
アクセル,2020,Q2,6.640970120556542
アクセル,2020,Q3,11.250269731418255
アクセル,2020,Q4,4.172806104874244
アジアパイルホールディングス,2018,Q1,9.362998978814147
アジアパイルホールディングス,2018,Q2,1.1931072641401386
アジアパイルホールディングス,2018,Q3,11.73607016894087
アジアパイルホールディングス,2018,Q4,25.76520064783917
アジアパイルホールディングス,2019,Q1,51.23959481889434
アジアパイルホールディングス,2019,Q2,8.656485687334879
アジアパイルホールディングス,2019,Q3,24.91160539171328
アジアパイルホールディングス,2019,Q4,12.336132632839655
アジアパイルホールディングス,2020,Q1,14.29963222665413
アジアパイルホールディングス,2020,Q2,15.489133335185857
アジアパイルホールディングス,2020,Q3,17.854592205666158
アジアパイルホールディングス,2020,Q4,8.424330074946795
アステラス製薬,2018,Q1,32.7433107476927
アステラス製薬,2018,Q2,31.830704805251983
アステラス製薬,2018,Q3,45.87545941657573
アステラス製薬,2018,Q4,25.540330833796368
アステラス製薬,2019,Q1,45.80732998928545
アステラス製薬,2019,Q2,28.911691084818685
アステラス製薬,2019,Q3,34.76939823547653
アステラス製薬,2019,Q4,25.24764682855462
アステラス製薬,2020,Q1,30.83723215403328
アステラス製薬,2020,Q2,42.318871776467205
アステラス製薬,2020,Q3,44.28251630011282
アステラス製薬,2020,Q4,15.328856011846277
アズビル,2018,Q1,48.94677042393454
アズビル,2018,Q2,54.1524198480642
アズビル,2018,Q3,8.955680250130257
アズビル,2018,Q4,209.30059816819607
アズビル,2019,Q1,59.319619207631405
アズビル,2019,Q2,-44.20705283206525
アズビル,2019,Q3,-69.5317200285204
アズビル,2019,Q4,50.063948387511374
アズビル,2020,Q1,6.982819626162911
アズビル,2020,Q2,21.50794959612251
アズビル,2020,Q3,31.5712851273908
アズビル,2020,Q4,50.06464906653166
アズワン,2018,Q1,73.44955554287452
アズワン,2018,Q2,68.86338285075826
アズワン,2018,Q3,71.61084400918865
アズワン,2018,Q4,83.7512148564078
アズワン,2019,Q1,69.2394745517483
アズワン,2019,Q2,73.46793064828455
アズワン,2019,Q3,77.44238550028854
アズワン,2019,Q4,96.11842563939332
アズワン,2020,Q1,65.38124518720966
アズワン,2020,Q2,66.94189253283858
アズワン,2020,Q3,105.37896359411369
アズワン,2020,Q4,114.321875387266
アツギ,2018,Q1,-10.44476672080507
アツギ,2018,Q2,-0.1864438772888661
アツギ,2018,Q3,44.717340543731154
アツギ,2018,Q4,-3.802228992394864
アツギ,2019,Q1,-92.39765407131864
アツギ,2019,Q2,-42.73081678193033
アツギ,2019,Q3,-25.43191641748497
アツギ,2019,Q4,-109.1367675002624
アツギ,2020,Q1,78.88860236118647
アツギ,2020,Q2,-514.5486724412981
アツギ,2020,Q3,-44.258534785625216
アツギ,2020,Q4,-167.43734344039825
アドウェイズ,2018,Q1,2.8966421665596584
アドウェイズ,2018,Q2,13.626613408012922
アドウェイズ,2018,Q3,11.340577416994767
アドウェイズ,2018,Q4,10.180699965276991
アドウェイズ,2019,Q1,8.795720349432656
アドウェイズ,2019,Q2,6.363550515512856
アドウェイズ,2019,Q3,11.662223049244602
アドウェイズ,2019,Q4,1.722949484438541
アドウェイズ,2020,Q1,1.7850125619765187
アドウェイズ,2020,Q2,-4.993328480058505
アドウェイズ,2020,Q3,1.9099833181742336
アドウェイズ,2020,Q4,11.0866675752929
アドソル日進,2018,Q1,13.961635680294728
アドソル日進,2018,Q2,10.840964725911494
アドソル日進,2018,Q3,14.80409694693476
アドソル日進,2018,Q4,8.989999122523528
アドソル日進,2019,Q1,27.558590158415686
アドソル日進,2019,Q2,28.53527694873061
アドソル日進,2019,Q3,27.510491367570403
アドソル日進,2019,Q4,14.352611919949172
アドソル日進,2020,Q1,32.450306192405534
アドソル日進,2020,Q2,29.564149073345128
アドソル日進,2020,Q3,32.2219708406503
アドソル日進,2020,Q4,17.71708624484469
アドバネクス,2018,Q1,0.3674588386483135
アドバネクス,2018,Q2,0.2688580313774085
アドバネクス,2018,Q3,0.3206441689450878
アドバネクス,2018,Q4,-63.70722213562579
アドバネクス,2019,Q1,-40.90217770792631
アドバネクス,2019,Q2,22.593295578169464
アドバネクス,2019,Q3,-0.0949128728346959
アドバネクス,2019,Q4,-21.584554108445104
アドバネクス,2020,Q1,-58.33128392522462
アドバネクス,2020,Q2,-103.97390546536931
アドバネクス,2020,Q3,-61.88347401702667
アドバネクス,2020,Q4,-86.04113010202775
アドバンテスト,2018,Q1,86.42510440218142
アドバンテスト,2018,Q2,69.7217969871384
アドバンテスト,2018,Q3,81.74657394424997
アドバンテスト,2018,Q4,38.70648402286488
アドバンテスト,2019,Q1,56.18830703243854
アドバンテスト,2019,Q2,65.37643624504176
アドバンテスト,2019,Q3,53.43703245656269
アドバンテスト,2019,Q4,49.72464806612317
アドバンテスト,2020,Q1,63.66138451565823
アドバンテスト,2020,Q2,75.09054943459347
アドバンテスト,2020,Q3,50.12886275349916
アドバンテスト,2020,Q4,105.10559600547546
アドヴァングループ,2018,Q1,-7.699395181597698
アドヴァングループ,2018,Q2,28.81196644771896
アドヴァングループ,2018,Q3,43.94007895067798
アドヴァングループ,2018,Q4,-5.982625063937951
アドヴァングループ,2019,Q1,47.90675476640357
アドヴァングループ,2019,Q2,27.833858468230563
アドヴァングループ,2019,Q3,41.34515401142673
アドヴァングループ,2019,Q4,31.2414683024802
アドヴァングループ,2020,Q1,24.407369313402235
アドヴァングループ,2020,Q2,25.352389025482907
アドヴァングループ,2020,Q3,23.37598860281733
アドヴァングループ,2020,Q4,22.885031310144377
アネスト岩田,2018,Q1,20.074753513356228
アネスト岩田,2018,Q2,27.96283888811292
アネスト岩田,2018,Q3,20.273341790261327
アネスト岩田,2018,Q4,19.947004258571887
アネスト岩田,2019,Q1,17.234315612829633
アネスト岩田,2019,Q2,23.578089971459605
アネスト岩田,2019,Q3,11.267163109246816
アネスト岩田,2019,Q4,19.00157451027394
アネスト岩田,2020,Q1,12.03479493734128
アネスト岩田,2020,Q2,18.594623155418603
アネスト岩田,2020,Q3,19.59668949611863
アネスト岩田,2020,Q4,19.42134459421092
アマダ,2018,Q1,4.808350444115854
アマダ,2018,Q2,19.64173866250355
アマダ,2018,Q3,26.75367069085741
アマダ,2018,Q4,28.27500464864277
アマダ,2019,Q1,15.742149351790896
アマダ,2019,Q2,31.05473367999524
アマダ,2019,Q3,14.890331998181964
アマダ,2019,Q4,23.893428589293272
アマダ,2020,Q1,4.916528366807041
アマダ,2020,Q2,26.48665451730128
アマダ,2020,Q3,27.161750413565407
アマダ,2020,Q4,19.037449333240797
アマノ,2018,Q1,4.88083468635574
アマノ,2018,Q2,36.77369117712744
アマノ,2018,Q3,31.348883810921045
アマノ,2018,Q4,59.58314471816889
アマノ,2019,Q1,18.232740230898308
アマノ,2019,Q2,40.249238125391386
アマノ,2019,Q3,28.936421561248043
アマノ,2019,Q4,40.3946345139001
アマノ,2020,Q1,-0.771023998653078
アマノ,2020,Q2,23.089368112656
アマノ,2020,Q3,17.63130785600829
アマノ,2020,Q4,41.76528194375789
アミューズ,2018,Q1,74.96148549945197
アミューズ,2018,Q2,0.420023246470631
アミューズ,2018,Q3,58.37679026016205
アミューズ,2018,Q4,83.0834961500698
アミューズ,2019,Q1,73.74141604251052
アミューズ,2019,Q2,31.35782224369089
アミューズ,2019,Q3,56.75293705755357
アミューズ,2019,Q4,53.00986921460324
アミューズ,2020,Q1,59.00521601950032
アミューズ,2020,Q2,55.9677772560717
アミューズ,2020,Q3,62.60384411082211
アミューズ,2020,Q4,-3.994232033638873
アリアケジャパン,2018,Q1,59.44419660792325
アリアケジャパン,2018,Q2,65.4615710588395
アリアケジャパン,2018,Q3,78.91284279810759
アリアケジャパン,2018,Q4,68.18524924003945
アリアケジャパン,2019,Q1,-606.3610840988493
アリアケジャパン,2019,Q2,82.14117697544458
アリアケジャパン,2019,Q3,-890.8310700441781
アリアケジャパン,2019,Q4,74.01474128022916
アリアケジャパン,2020,Q1,-269.8572186904951
アリアケジャパン,2020,Q2,-63.14598016620442
アリアケジャパン,2020,Q3,129.50639693484666
アリアケジャパン,2020,Q4,105.99774293272102
アルインコ,2018,Q1,11.389490300555938
アルインコ,2018,Q2,28.98488203411374
アルインコ,2018,Q3,32.01141904389192
アルインコ,2018,Q4,7.538478070990717
アルインコ,2019,Q1,30.01068429680453
アルインコ,2019,Q2,28.77521168116332
アルインコ,2019,Q3,35.35993052082115
アルインコ,2019,Q4,7.661187375546191
アルインコ,2020,Q1,9.583451407699512
アルインコ,2020,Q2,11.72527547372474
アルインコ,2020,Q3,32.239636139204904
アルインコ,2020,Q4,5.7469483172851135
アルコニックス,2018,Q1,109.87617791286011
アルコニックス,2018,Q2,94.16203432993142
アルコニックス,2018,Q3,102.3993543822986
アルコニックス,2018,Q4,53.4578718449026
アルコニックス,2019,Q1,33.38020073831636
アルコニックス,2019,Q2,40.02492271854396
アルコニックス,2019,Q3,-57.513840169380174
アルコニックス,2019,Q4,-0.0135848475109838
アルコニックス,2020,Q1,58.32696195683742
アルコニックス,2020,Q2,66.21697581065145
アルコニックス,2020,Q3,33.50089602050657
アルコニックス,2020,Q4,24.9443875465587
アルゴグラフィックス,2018,Q1,91.38544971634803
アルゴグラフィックス,2018,Q2,73.9926272531391
アルゴグラフィックス,2018,Q3,69.56359768504512
アルゴグラフィックス,2018,Q4,115.1072716077245
アルゴグラフィックス,2019,Q1,169.33710450455982
アルゴグラフィックス,2019,Q2,32.235278373184784
アルゴグラフィックス,2019,Q3,35.693295376104025
アルゴグラフィックス,2019,Q4,-4.230336936234245
アルゴグラフィックス,2020,Q1,29.904722731390763
アルゴグラフィックス,2020,Q2,47.1318090684182
アルゴグラフィックス,2020,Q3,24.202670481502413
アルゴグラフィックス,2020,Q4,36.20598037428147
アルビス,2018,Q1,72.3367481766334
アルビス,2018,Q2,28.270735920761894
アルビス,2018,Q3,108.41122740656114
アルビス,2018,Q4,74.75036177098416
アルビス,2019,Q1,10.02106111428077
アルビス,2019,Q2,79.82010814596616
アルビス,2019,Q3,-52.39871043522847
アルビス,2019,Q4,-9.469692329648955
アルビス,2020,Q1,-12.52971917921662
アルビス,2020,Q2,161.03875946282204
アルビス,2020,Q3,140.09387857521145
アルビス,2020,Q4,-6.347984799388144
アルファ,2018,Q1,51.17808676512573
アルファ,2018,Q2,-72.05178931104274
アルファ,2018,Q3,7.123569568711332
アルファ,2018,Q4,165.3890450530483
アルファ,2019,Q1,-168.95871555099473
アルファ,2019,Q2,-32.34198303531252
アルファ,2019,Q3,137.1547090579246
アルファ,2019,Q4,95.07725296720643
アルファ,2020,Q1,-250.6049472618154
アルファ,2020,Q2,518.9290944895743
アルファ,2020,Q3,74.26263076303886
アルファ,2020,Q4,-51.25286026238901
アルファシステムズ,2018,Q1,41.23942159094372
アルファシステムズ,2018,Q2,43.03370737854584
アルファシステムズ,2018,Q3,38.04533362296808
アルファシステムズ,2018,Q4,46.68645802222496
アルファシステムズ,2019,Q1,33.7689488317836
アルファシステムズ,2019,Q2,34.2065748820049
アルファシステムズ,2019,Q3,37.28556295708465
アルファシステムズ,2019,Q4,48.96544129583595
アルファシステムズ,2020,Q1,7.514333628663145
アルファシステムズ,2020,Q2,61.15015058414068
アルファシステムズ,2020,Q3,30.21841212340007
アルファシステムズ,2020,Q4,53.96727700717232
アルフレッサ　ホールディングス,2018,Q1,41.36839445922495
アルフレッサ　ホールディングス,2018,Q2,36.07705272641009
アルフレッサ　ホールディングス,2018,Q3,65.23053148194971
アルフレッサ　ホールディングス,2018,Q4,9.884324551423962
アルフレッサ　ホールディングス,2019,Q1,52.43969148011187
アルフレッサ　ホールディングス,2019,Q2,61.30986685854208
アルフレッサ　ホールディングス,2019,Q3,58.53493431447272
アルフレッサ　ホールディングス,2019,Q4,40.60306801938209
アルフレッサ　ホールディングス,2020,Q1,30.334211710802656
アルフレッサ　ホールディングス,2020,Q2,30.86086816941924
アルフレッサ　ホールディングス,2020,Q3,37.923918909658624
アルフレッサ　ホールディングス,2020,Q4,8.026821424956594
アルプスアルパイン,2018,Q1,61.39832230081959
アルプスアルパイン,2018,Q2,81.20783530888075
アルプスアルパイン,2018,Q3,41.55603571525718
アルプスアルパイン,2018,Q4,-51.74672318182235
アルプスアルパイン,2019,Q1,3.4485578931244447
アルプスアルパイン,2019,Q2,60.68609201044992
アルプスアルパイン,2019,Q3,1.5911953900126008
アルプスアルパイン,2019,Q4,-99.08618687180636
アルプスアルパイン,2020,Q1,-54.8145033477924
アルプスアルパイン,2020,Q2,-13.408070840461347
アルプスアルパイン,2020,Q3,39.05259451156239
アルプスアルパイン,2020,Q4,24.32094255922657
アルプス物流,2018,Q1,16.64923961101114
アルプス物流,2018,Q2,6.721936290223848
アルプス物流,2018,Q3,22.60111402623362
アルプス物流,2018,Q4,17.333738170295167
アルプス物流,2019,Q1,13.748007375446631
アルプス物流,2019,Q2,16.361635680696423
アルプス物流,2019,Q3,25.980313263933077
アルプス物流,2019,Q4,9.66019156928293
アルプス物流,2020,Q1,8.666750541181711
アルプス物流,2020,Q2,17.856856717125783
