企業名,会計年度,四半期,y_hat_mmlp
ＷＤＢホールディングス,2018,Q1,54.542397
ＷＤＢホールディングス,2018,Q2,86.343796
ＷＤＢホールディングス,2018,Q3,42.32088
ＷＤＢホールディングス,2018,Q4,151.39795
ＷＤＢホールディングス,2019,Q1,-29.075357
ＷＤＢホールディングス,2019,Q2,85.81832
ＷＤＢホールディングス,2019,Q3,56.416145
ＷＤＢホールディングス,2019,Q4,-9.342775
ＷＤＢホールディングス,2020,Q1,-191.58308
ＷＤＢホールディングス,2020,Q2,-68.19692
ＷＤＢホールディングス,2020,Q3,200.8608
ＷＤＢホールディングス,2020,Q4,39.8083
