企業名,会計年度,四半期,y_hat_mlgb
アドバンテスト,2019,Q3,14.452027711603376
アドバンテスト,2019,Q4,16.015916572676765
アドバンテスト,2020,Q1,18.10813871026039
アドバンテスト,2020,Q2,19.52924981713295
アドバンテスト,2020,Q3,22.270083258549374
アドバンテスト,2020,Q4,24.484527736902237
アドヴァングループ,2018,Q1,24.8643031095465
アドヴァングループ,2018,Q2,25.226803114844692
アドヴァングループ,2018,Q3,25.568469760318596
アドヴァングループ,2018,Q4,25.720136454535854
アドヴァングループ,2019,Q1,26.62346976664331
アドヴァングループ,2019,Q2,26.724580887291168
アドヴァングループ,2019,Q3,27.127080880933338
アドヴァングループ,2019,Q4,27.649303134944702
アドヴァングループ,2020,Q1,28.16346983446015
アドヴァングループ,2020,Q2,28.450414303276276
アドヴァングループ,2020,Q3,28.210414306985008
アドヴァングループ,2020,Q4,27.726525402731365
アネスト岩田,2018,Q1,12.076111055082745
アネスト岩田,2018,Q2,12.474166608519024
アネスト岩田,2018,Q3,13.093611074818504
アネスト岩田,2018,Q4,13.509444415569305
アネスト岩田,2019,Q1,13.60861110024982
アネスト岩田,2019,Q2,13.760277767976126
アネスト岩田,2019,Q3,14.06777775949902
アネスト岩田,2019,Q4,14.267777754200829
アネスト岩田,2020,Q1,14.571111089653439
アネスト岩田,2020,Q2,14.6894444293446
アネスト岩田,2020,Q3,14.872777773274315
アネスト岩田,2020,Q4,15.308611128065321
アマダ,2018,Q1,8.927698991364903
アマダ,2018,Q2,9.5213100992971
アマダ,2018,Q3,10.393810101267364
アマダ,2018,Q4,10.972976765284935
アマダ,2019,Q1,11.750754543062714
アマダ,2019,Q2,12.154087875866228
アマダ,2019,Q3,12.77992121502757
アマダ,2019,Q4,13.141865658263365
アマダ,2020,Q1,13.383532332877317
アマダ,2020,Q2,13.888532319830524
アマダ,2020,Q3,14.182143435710007
アマダ,2020,Q4,14.416310097608301
アマノ,2018,Q1,18.263888807760345
アマノ,2018,Q2,18.747777685523033
アマノ,2018,Q3,19.648610974351566
アマノ,2018,Q4,20.232777643534874
アマノ,2019,Q1,21.268610949317615
アマノ,2019,Q2,21.822222067250145
アマノ,2019,Q3,22.83416646718979
アマノ,2019,Q4,23.32194428311454
アマノ,2020,Q1,24.08472208844291
アマノ,2020,Q2,24.08722209268146
アマノ,2020,Q3,24.623055424955155
アマノ,2020,Q4,25.193055437670814
アミューズ,2018,Q1,47.58936373392741
アミューズ,2018,Q2,48.486030366685654
アミューズ,2018,Q3,49.10436365339491
アミューズ,2018,Q4,52.166863679885864
アミューズ,2019,Q1,59.6149193710751
アミューズ,2019,Q2,62.034919341405235
アミューズ,2019,Q3,62.13491935200162
アミューズ,2019,Q4,62.91853043768141
アミューズ,2020,Q1,61.02658597628275
アミューズ,2020,Q2,59.7829749054379
アミューズ,2020,Q3,60.04103038046095
アミューズ,2020,Q4,59.287697076797485
アリアケジャパン,2018,Q1,34.90083351234595
アリアケジャパン,2018,Q2,36.41416675349077
アリアケジャパン,2018,Q3,38.13777785003185
アリアケジャパン,2018,Q4,38.64111115369532
アリアケジャパン,2019,Q1,48.330000418755745
アリアケジャパン,2019,Q2,50.03000044822693
アリアケジャパン,2019,Q3,51.244167142444184
アリアケジャパン,2019,Q4,52.8980561097463
アリアケジャパン,2020,Q1,54.14388950665792
アリアケジャパン,2020,Q2,55.100556161668564
アリアケジャパン,2020,Q3,56.1838894950019
アリアケジャパン,2020,Q4,57.30666716893514
アルインコ,2018,Q1,20.79333320673969
アルインコ,2018,Q2,21.360277637011475
アルインコ,2018,Q3,22.013610996305943
アルインコ,2018,Q4,22.839444290432667
アルインコ,2019,Q1,23.045277619527447
アルインコ,2019,Q2,23.552222037480938
アルインコ,2019,Q3,24.21666648404466
アルインコ,2019,Q4,24.929999825855095
アルインコ,2020,Q1,24.64416650020414
アルインコ,2020,Q2,25.05138871818781
アルインコ,2020,Q3,24.677222044103676
アルインコ,2020,Q4,24.98222203138802
アルコニックス,2018,Q1,94.49128585391574
アルコニックス,2018,Q2,91.38267464107938
アルコニックス,2018,Q3,82.90739727020264
アルコニックス,2018,Q4,80.3821194966634
アルコニックス,2019,Q1,80.03934168815613
アルコニックス,2019,Q2,78.46989724371169
アルコニックス,2019,Q3,77.55378625128004
アルコニックス,2019,Q4,74.00684195094638
アルコニックス,2020,Q1,74.23406415515475
アルコニックス,2020,Q2,68.87656407886081
アルコニックス,2020,Q3,66.97378640704684
アルコニックス,2020,Q4,64.99350855085585
アルゴグラフィックス,2018,Q1,34.4633329593473
アルゴグラフィックス,2018,Q2,36.63361071381304
アルゴグラフィックス,2018,Q3,38.51555513176653
アルゴグラフィックス,2018,Q4,40.537221870488594
アルゴグラフィックス,2019,Q1,41.58644916117191
アルゴグラフィックス,2019,Q2,42.800615802407265
アルゴグラフィックス,2019,Q3,43.73144908911652
アルゴグラフィックス,2019,Q4,44.84756015572283
アルゴグラフィックス,2020,Q1,45.145893535680244
アルゴグラフィックス,2020,Q2,45.537560265925194
アルゴグラフィックス,2020,Q3,46.144504667984116
アルゴグラフィックス,2020,Q4,47.05172692404853
アルビス,2018,Q1,26.401666696700786
アルビス,2018,Q2,28.100833378732204
アルビス,2018,Q3,29.666944463219906
アルビス,2018,Q4,31.546111039817333
アルビス,2019,Q1,32.57999990632137
アルビス,2019,Q2,32.81055546469159
アルビス,2019,Q3,33.60472215546502
アルビス,2019,Q4,34.57083325253593
アルビス,2020,Q1,35.464166601498924
アルビス,2020,Q2,37.058611035346985
アルビス,2020,Q3,38.478333254655205
アルビス,2020,Q4,39.665277659893036
アルファ,2018,Q1,28.79416667090522
アルファ,2018,Q2,30.318055576748318
アルファ,2018,Q3,31.618055661519367
アルファ,2018,Q4,32.99777783287896
アルファ,2019,Q1,33.43194450272454
アルファ,2019,Q2,34.03361116515266
アルファ,2019,Q3,34.129166788525055
アルファ,2019,Q4,33.34388902452257
アルファ,2020,Q1,25.49333339267307
アルファ,2020,Q2,23.404166751437717
アルファ,2020,Q3,20.40083334181044
アルファ,2020,Q4,20.051388846503365
アルファシステムズ,2018,Q1,25.533283233642578
アルファシステムズ,2018,Q2,25.896060996585422
アルファシステムズ,2018,Q3,25.815227667490642
アルファシステムズ,2018,Q4,25.722172101338703
アルファシステムズ,2019,Q1,25.63272762298584
アルファシステムズ,2019,Q2,25.557727601793076
アルファシステムズ,2019,Q3,26.394394238789875
アルファシステムズ,2019,Q4,28.005505402882893
アルファシステムズ,2020,Q1,28.189116530948215
アルファシステムズ,2020,Q2,28.553283214569092
アルファシステムズ,2020,Q3,29.09744993845622
アルファシステムズ,2020,Q4,31.323838869730633
アルフレッサ　ホールディングス,2018,Q1,56.02929067611694
アルフレッサ　ホールディングス,2018,Q2,56.09290170669556
アルフレッサ　ホールディングス,2018,Q3,55.73567946751913
アルフレッサ　ホールディングス,2018,Q4,56.082346227433945
アルフレッサ　ホールディングス,2019,Q1,55.27512396706475
アルフレッサ　ホールディングス,2019,Q2,53.52679067187839
アルフレッサ　ホールディングス,2019,Q3,53.069290743933784
アルフレッサ　ホールディングス,2019,Q4,53.44901302125719
アルフレッサ　ホールディングス,2020,Q1,56.97540182537503
アルフレッサ　ホールディングス,2020,Q2,56.731235133277046
アルフレッサ　ホールディングス,2020,Q3,56.31484625074599
アルフレッサ　ホールディングス,2020,Q4,56.502068519592285
アルプスアルパイン,2018,Q1,26.41138870517413
アルプスアルパイン,2018,Q2,28.26333315173785
アルプスアルパイン,2018,Q3,30.368333184056812
アルプスアルパイン,2018,Q4,31.398055371310974
アルプスアルパイン,2019,Q1,29.522777640157276
アルプスアルパイン,2019,Q2,28.869444333844715
アルプスアルパイン,2019,Q3,29.40888872742653
アルプスアルパイン,2019,Q4,29.01916649275356
アルプスアルパイン,2020,Q1,27.249999864233864
アルプスアルパイン,2020,Q2,26.266944272650612
アルプスアルパイン,2020,Q3,25.85555537376139
アルプスアルパイン,2020,Q4,26.830833168493378
アルプス物流,2018,Q1,28.313615587022568
アルプス物流,2018,Q2,28.227226734161377
アルプス物流,2018,Q3,28.136671172247993
アルプス物流,2018,Q4,27.747782283359104
アルプス物流,2019,Q1,27.38167116377089
アルプス物流,2019,Q2,27.036393377516006
アルプス物流,2019,Q3,26.845282236735027
アルプス物流,2019,Q4,26.671948856777615
アルプス物流,2020,Q1,26.700282202826607
アルプス物流,2020,Q2,26.315282185872395
アルプス物流,2020,Q3,25.99472663137648
アルプス物流,2020,Q4,26.07528217633565
