企業名,会計年度,四半期,y_hat_mmlp
りらいあコミュニケーションズ,2019,Q2,27.411703
りらいあコミュニケーションズ,2019,Q3,-127.93302
りらいあコミュニケーションズ,2019,Q4,23.084225
りらいあコミュニケーションズ,2020,Q1,20.971308
りらいあコミュニケーションズ,2020,Q2,2.4601316
りらいあコミュニケーションズ,2020,Q3,-0.04573998
りらいあコミュニケーションズ,2020,Q4,6.77546
わかもと製薬,2018,Q1,-1.4043185
わかもと製薬,2018,Q2,-3.4012237
わかもと製薬,2018,Q3,0.9593088
わかもと製薬,2018,Q4,2.0087812
わかもと製薬,2019,Q1,-6.269009
わかもと製薬,2019,Q2,-10.277544
わかもと製薬,2019,Q3,-14.446204
わかもと製薬,2019,Q4,-25.112156
わかもと製薬,2020,Q1,-5.39057
わかもと製薬,2020,Q2,-13.092364
わかもと製薬,2020,Q3,-5.6076145
わかもと製薬,2020,Q4,-9.601851
アイカ工業,2018,Q1,49.830265
アイカ工業,2018,Q2,42.440258
アイカ工業,2018,Q3,28.727364
アイカ工業,2018,Q4,53.75102
アイカ工業,2019,Q1,71.07455
アイカ工業,2019,Q2,70.437256
アイカ工業,2019,Q3,73.741844
アイカ工業,2019,Q4,74.49131
アイカ工業,2020,Q1,74.43182
アイカ工業,2020,Q2,68.73386
アイカ工業,2020,Q3,36.224625
アイカ工業,2020,Q4,35.431084
アイコム,2018,Q1,-9.989092
アイコム,2018,Q2,19.908514
アイコム,2018,Q3,17.495552
アイコム,2018,Q4,81.29832
アイコム,2019,Q1,26.513268
アイコム,2019,Q2,28.693151
アイコム,2019,Q3,42.064903
アイコム,2019,Q4,64.2857
アイコム,2020,Q1,17.405653
アイコム,2020,Q2,13.590469
アイコム,2020,Q3,16.276648
アイコム,2020,Q4,56.07139
アイシン,2018,Q1,137.36714
アイシン,2018,Q2,106.49426
アイシン,2018,Q3,142.6375
アイシン,2018,Q4,127.514725
アイシン,2019,Q1,98.04947
アイシン,2019,Q2,90.695244
アイシン,2019,Q3,93.41332
アイシン,2019,Q4,67.36138
アイシン,2020,Q1,117.56174
アイシン,2020,Q2,-95.348495
アイシン,2020,Q3,48.60093
アイシン,2020,Q4,78.1917
アイダエンジニアリング,2018,Q1,16.605629
アイダエンジニアリング,2018,Q2,11.649543
アイダエンジニアリング,2018,Q3,11.906528
アイダエンジニアリング,2018,Q4,18.460314
アイダエンジニアリング,2019,Q1,15.362485
アイダエンジニアリング,2019,Q2,14.068885
アイダエンジニアリング,2019,Q3,15.523
アイダエンジニアリング,2019,Q4,14.289046
アイダエンジニアリング,2020,Q1,9.795833
アイダエンジニアリング,2020,Q2,10.825501
アイダエンジニアリング,2020,Q3,3.7422845
アイダエンジニアリング,2020,Q4,20.899708
アイチコーポレーション,2018,Q1,6.956039
アイチコーポレーション,2018,Q2,25.167162
アイチコーポレーション,2018,Q3,19.125013
アイチコーポレーション,2018,Q4,24.576077
アイチコーポレーション,2019,Q1,8.877279
アイチコーポレーション,2019,Q2,23.643158
アイチコーポレーション,2019,Q3,13.629373
アイチコーポレーション,2019,Q4,21.136364
アイチコーポレーション,2020,Q1,9.720493
アイチコーポレーション,2020,Q2,15.193776
アイチコーポレーション,2020,Q3,14.716996
アイチコーポレーション,2020,Q4,12.562898
アイティフォー,2018,Q1,8.77145
アイティフォー,2018,Q2,9.631876
アイティフォー,2018,Q3,2.690154
アイティフォー,2018,Q4,12.871115
アイティフォー,2019,Q1,4.796954
アイティフォー,2019,Q2,10.013269
アイティフォー,2019,Q3,3.716221
アイティフォー,2019,Q4,12.285121
アイティフォー,2020,Q1,4.326797
アイティフォー,2020,Q2,7.4047904
アイティフォー,2020,Q3,6.9934807
アイティフォー,2020,Q4,19.014528
アイティメディア,2018,Q1,-2.9432416
アイティメディア,2018,Q2,-3.2096636
アイティメディア,2018,Q3,-6.986159
アイティメディア,2018,Q4,4.753454
アイティメディア,2019,Q1,-3.5802174
アイティメディア,2019,Q2,-2.0440683
アイティメディア,2019,Q3,4.1348586
アイティメディア,2019,Q4,9.603198
アイティメディア,2020,Q1,7.358663
アイティメディア,2020,Q2,12.82383
アイティメディア,2020,Q3,16.164127
アイティメディア,2020,Q4,21.192772
アイネス,2018,Q1,-3.7917533
アイネス,2018,Q2,25.400507
アイネス,2018,Q3,-4.334612
アイネス,2018,Q4,20.413788
アイネス,2019,Q1,1.7303555
アイネス,2019,Q2,25.736025
アイネス,2019,Q3,-0.15996575
アイネス,2019,Q4,-66.3151
アイネス,2020,Q1,74.63143
アイネス,2020,Q2,22.283825
アイネス,2020,Q3,66.80038
アイネス,2020,Q4,35.888756
アイネット,2018,Q1,15.408917
アイネット,2018,Q2,18.972937
アイネット,2018,Q3,20.1831
アイネット,2018,Q4,17.582306
アイネット,2019,Q1,13.049992
アイネット,2019,Q2,17.526945
アイネット,2019,Q3,15.654264
アイネット,2019,Q4,30.832533
アイネット,2020,Q1,25.10173
アイネット,2020,Q2,27.405874
アイネット,2020,Q3,25.211298
アイネット,2020,Q4,25.954311
アイホン,2018,Q1,37.099743
アイホン,2018,Q2,55.21942
アイホン,2018,Q3,22.643078
アイホン,2018,Q4,42.00866
アイホン,2019,Q1,23.504633
アイホン,2019,Q2,47.157402
アイホン,2019,Q3,26.366058
アイホン,2019,Q4,47.75547
アイホン,2020,Q1,23.272184
アイホン,2020,Q2,56.509464
アイホン,2020,Q3,33.556507
アイホン,2020,Q4,58.511177
アイロムグループ,2018,Q1,-70.381676
アイロムグループ,2018,Q2,-22.730175
アイロムグループ,2018,Q3,16.108421
アイロムグループ,2018,Q4,160.63458
アイロムグループ,2019,Q1,37.974518
アイロムグループ,2019,Q2,54.05821
アイロムグループ,2019,Q3,148.15594
アイロムグループ,2019,Q4,44.149494
アイロムグループ,2020,Q1,14.619062
アイロムグループ,2020,Q2,-3.908773
アイロムグループ,2020,Q3,76.54454
アイロムグループ,2020,Q4,53.942566
アキレス,2018,Q1,23.130527
アキレス,2018,Q2,28.890234
アキレス,2018,Q3,24.963417
アキレス,2018,Q4,17.048096
