企業名,会計年度,四半期,y_hat
アイティメディア,2019,Q2,11.138189146301112
アイティメディア,2019,Q3,6.80708590956336
アイティメディア,2019,Q4,9.72115205157381
アイティメディア,2020,Q1,10.522579708702956
アイティメディア,2020,Q2,17.609756757712397
アイティメディア,2020,Q3,20.045031290621075
アイティメディア,2020,Q4,18.097772846259247
アイネス,2018,Q1,-4.82738814911141
アイネス,2018,Q2,15.973442532923855
アイネス,2018,Q3,2.296647241327003
アイネス,2018,Q4,15.921401026076419
アイネス,2019,Q1,-4.098829649620873
アイネス,2019,Q2,23.037563930814787
アイネス,2019,Q3,-13.515097717319279
アイネス,2019,Q4,-168.0491486989763
アイネス,2020,Q1,-44.24925911013804
アイネス,2020,Q2,30.15092947941278
アイネス,2020,Q3,64.2309996771263
アイネス,2020,Q4,68.24860607205926
アイネット,2018,Q1,11.483671095569722
アイネット,2018,Q2,28.7333491249939
アイネット,2018,Q3,27.525039647301714
アイネット,2018,Q4,30.16689360147072
アイネット,2019,Q1,19.98126636558382
アイネット,2019,Q2,32.66317794764607
アイネット,2019,Q3,26.917382202282816
アイネット,2019,Q4,26.84036549485755
アイネット,2020,Q1,12.161798799578605
アイネット,2020,Q2,22.886937640809254
アイネット,2020,Q3,22.524184706583025
アイネット,2020,Q4,32.413754733262145
アイホン,2018,Q1,6.155014724754366
アイホン,2018,Q2,67.06939793246256
アイホン,2018,Q3,24.27268567870854
アイホン,2018,Q4,58.689184846297266
アイホン,2019,Q1,47.69091872489024
アイホン,2019,Q2,77.67177064531839
アイホン,2019,Q3,24.18620770672616
アイホン,2019,Q4,34.2780144233092
アイホン,2020,Q1,-4.993890405853335
アイホン,2020,Q2,28.992844287836533
アイホン,2020,Q3,49.70342304513224
アイホン,2020,Q4,20.063211522082337
アイロムグループ,2018,Q1,-10.268634873264546
アイロムグループ,2018,Q2,61.89011287547524
アイロムグループ,2018,Q3,87.46886626110891
アイロムグループ,2018,Q4,154.00997491082467
アイロムグループ,2019,Q1,56.64661623409222
アイロムグループ,2019,Q2,-69.55382960728603
アイロムグループ,2019,Q3,-6.490024259892934
アイロムグループ,2019,Q4,42.284544845917644
アイロムグループ,2020,Q1,43.31786856058968
アイロムグループ,2020,Q2,32.43644702248936
アイロムグループ,2020,Q3,76.15588469016299
アイロムグループ,2020,Q4,29.456814626317126
アキレス,2018,Q1,41.04344203206866
アキレス,2018,Q2,24.098962433951872
アキレス,2018,Q3,33.8959689344926
アキレス,2018,Q4,-12.313696946201834
アキレス,2019,Q1,11.27267240227982
アキレス,2019,Q2,-3.7101709109253544
アキレス,2019,Q3,-21.517997744800407
アキレス,2019,Q4,-16.205710232948604
アキレス,2020,Q1,94.13490278039566
アキレス,2020,Q2,48.414428757326995
アキレス,2020,Q3,-8.660016096528462
アキレス,2020,Q4,-25.173053097816513
アクシアル　リテイリング,2018,Q1,67.25200147030307
アクシアル　リテイリング,2018,Q2,100.3270868689616
アクシアル　リテイリング,2018,Q3,107.30075745292103
アクシアル　リテイリング,2018,Q4,48.84402956852798
アクシアル　リテイリング,2019,Q1,72.64782730760786
アクシアル　リテイリング,2019,Q2,73.05892127836286
アクシアル　リテイリング,2019,Q3,83.56081880259956
アクシアル　リテイリング,2019,Q4,80.7699928972014
アクシアル　リテイリング,2020,Q1,99.36037790546817
アクシアル　リテイリング,2020,Q2,96.89004166704377
アクシアル　リテイリング,2020,Q3,103.40440538217075
アクシアル　リテイリング,2020,Q4,41.13932033615422
アクセル,2018,Q1,-10.528891108962462
アクセル,2018,Q2,-4.874344632594816
アクセル,2018,Q3,-2.5496198034492625
アクセル,2018,Q4,-11.371401932916227
アクセル,2019,Q1,6.142652808483781
アクセル,2019,Q2,-27.235794502752466
アクセル,2019,Q3,56.41978568850519
アクセル,2019,Q4,-3.1314289931561916
アクセル,2020,Q1,28.086872988840774
アクセル,2020,Q2,-5.614973494261811
アクセル,2020,Q3,9.739831388986335
アクセル,2020,Q4,16.72202574718634
アジアパイルホールディングス,2018,Q1,16.779393001776988
アジアパイルホールディングス,2018,Q2,14.253785964948364
アジアパイルホールディングス,2018,Q3,26.308766004650465
アジアパイルホールディングス,2018,Q4,32.994799660494124
アジアパイルホールディングス,2019,Q1,51.68422979052745
アジアパイルホールディングス,2019,Q2,10.716948052621753
アジアパイルホールディングス,2019,Q3,18.5787602759021
アジアパイルホールディングス,2019,Q4,15.54128753492742
アジアパイルホールディングス,2020,Q1,14.897650314089738
アジアパイルホールディングス,2020,Q2,22.007138130498458
アジアパイルホールディングス,2020,Q3,17.979357724870752
アジアパイルホールディングス,2020,Q4,12.966127629941159
アステラス製薬,2018,Q1,36.01605019467119
アステラス製薬,2018,Q2,29.208316080986204
アステラス製薬,2018,Q3,43.421854310741665
アステラス製薬,2018,Q4,21.629136254353703
アステラス製薬,2019,Q1,43.58917238202109
アステラス製薬,2019,Q2,30.9261136142975
アステラス製薬,2019,Q3,32.005998211450475
アステラス製薬,2019,Q4,24.12108665729969
アステラス製薬,2020,Q1,30.115097632804193
アステラス製薬,2020,Q2,34.32091844187834
アステラス製薬,2020,Q3,34.99430234434256
アステラス製薬,2020,Q4,12.012174211509308
アズビル,2018,Q1,27.50042128256564
アズビル,2018,Q2,45.646715641301626
アズビル,2018,Q3,36.03056063765857
アズビル,2018,Q4,162.78113018503012
アズビル,2019,Q1,16.518193645067356
アズビル,2019,Q2,-11.873540266285815
アズビル,2019,Q3,1.4995982325498574
アズビル,2019,Q4,46.47896735594595
アズビル,2020,Q1,12.512903762567273
アズビル,2020,Q2,30.30738738558787
アズビル,2020,Q3,37.61005003854402
アズビル,2020,Q4,57.03663599309077
アズワン,2018,Q1,73.29075118783376
アズワン,2018,Q2,68.305121989371
アズワン,2018,Q3,70.81187670857801
アズワン,2018,Q4,85.15803914089364
アズワン,2019,Q1,72.02957793626715
アズワン,2019,Q2,73.82234535234923
アズワン,2019,Q3,78.64831549503984
アズワン,2019,Q4,97.6304859591447
アズワン,2020,Q1,65.84199654407274
アズワン,2020,Q2,69.17218025036549
アズワン,2020,Q3,104.3675316396991
アズワン,2020,Q4,160.5873208966409
アツギ,2018,Q1,-12.52673976944169
アツギ,2018,Q2,0.8490686510865839
アツギ,2018,Q3,33.921062647721584
アツギ,2018,Q4,3.0618325466582212
アツギ,2019,Q1,-68.58901570827983
アツギ,2019,Q2,56.10418827678231
アツギ,2019,Q3,-7.799485022737833
アツギ,2019,Q4,-377.1419983983303
アツギ,2020,Q1,42.93361939911236
アツギ,2020,Q2,-533.6284867630446
アツギ,2020,Q3,-72.25109820103427
アツギ,2020,Q4,-259.9427198768914
アドウェイズ,2018,Q1,4.9455721111096835
アドウェイズ,2018,Q2,12.387254775608335
アドウェイズ,2018,Q3,8.423416941491244
アドウェイズ,2018,Q4,7.70402565552811
アドウェイズ,2019,Q1,15.628690529573873
アドウェイズ,2019,Q2,11.649642551861461
アドウェイズ,2019,Q3,13.576819364924138
アドウェイズ,2019,Q4,-1.210321436677431
アドウェイズ,2020,Q1,3.48433827584589
アドウェイズ,2020,Q2,-2.999586135045277
アドウェイズ,2020,Q3,3.057031590766173
アドウェイズ,2020,Q4,12.351494996978786
アドソル日進,2018,Q1,16.652092769804447
アドソル日進,2018,Q2,17.369979666598038
アドソル日進,2018,Q3,17.327672098006893
アドソル日進,2018,Q4,14.253137008693347
アドソル日進,2019,Q1,22.26172874327367
アドソル日進,2019,Q2,23.99399740272079
アドソル日進,2019,Q3,24.205352101315494
アドソル日進,2019,Q4,18.639050660274194
アドソル日進,2020,Q1,27.03660241398388
アドソル日進,2020,Q2,26.45890997225376
アドソル日進,2020,Q3,27.010016578722777
アドソル日進,2020,Q4,17.575051801643184
アドバネクス,2018,Q1,-3.595232344054647
アドバネクス,2018,Q2,0.8863725875195567
アドバネクス,2018,Q3,-6.818250213258723
アドバネクス,2018,Q4,-65.14062410357387
アドバネクス,2019,Q1,-26.354627239634112
アドバネクス,2019,Q2,14.939516474382552
アドバネクス,2019,Q3,12.602108921441761
アドバネクス,2019,Q4,-28.1121797238407
アドバネクス,2020,Q1,-56.62829897489146
アドバネクス,2020,Q2,-61.87979713088236
アドバネクス,2020,Q3,-33.574004608951185
アドバネクス,2020,Q4,-31.12940451952233
アドバンテスト,2018,Q1,71.4850372358107
アドバンテスト,2018,Q2,79.20889782666538
アドバンテスト,2018,Q3,82.33023584551782
アドバンテスト,2018,Q4,50.60282878752902
アドバンテスト,2019,Q1,60.82600072443303
アドバンテスト,2019,Q2,78.57084088639076
アドバンテスト,2019,Q3,53.66829227668405
アドバンテスト,2019,Q4,48.89565643786833
アドバンテスト,2020,Q1,62.120375188496055
アドバンテスト,2020,Q2,68.17200004852319
アドバンテスト,2020,Q3,68.62465414257042
アドバンテスト,2020,Q4,89.39320563993815
アドヴァングループ,2018,Q1,12.868683643413398
アドヴァングループ,2018,Q2,17.02760733616006
アドヴァングループ,2018,Q3,43.210118914707735
アドヴァングループ,2018,Q4,1.1048390111176474
アドヴァングループ,2019,Q1,30.4401490466512
アドヴァングループ,2019,Q2,25.853883543771797
アドヴァングループ,2019,Q3,37.64323078405789
アドヴァングループ,2019,Q4,27.622111783341293
アドヴァングループ,2020,Q1,26.065598974097476
アドヴァングループ,2020,Q2,25.143983468468065
アドヴァングループ,2020,Q3,19.5301925370619
アドヴァングループ,2020,Q4,25.867839828568776
アネスト岩田,2018,Q1,20.41601944695051
アネスト岩田,2018,Q2,23.216096007276455
アネスト岩田,2018,Q3,20.940232945657286
アネスト岩田,2018,Q4,13.76926313246469
アネスト岩田,2019,Q1,19.097309449255036
アネスト岩田,2019,Q2,24.243718611781063
アネスト岩田,2019,Q3,9.38798808783098
アネスト岩田,2019,Q4,14.915192631446075
アネスト岩田,2020,Q1,12.128469016543741
アネスト岩田,2020,Q2,18.697800384845145
アネスト岩田,2020,Q3,19.9115653342447
アネスト岩田,2020,Q4,19.26328616660058
アマダ,2018,Q1,7.272967947774861
アマダ,2018,Q2,23.121780223079085
アマダ,2018,Q3,19.774578066912845
アマダ,2018,Q4,28.090983478751102
アマダ,2019,Q1,15.006847395983575
アマダ,2019,Q2,22.69649804766942
アマダ,2019,Q3,15.62895334341286
アマダ,2019,Q4,22.69731047004797
アマダ,2020,Q1,-1.7218472096068727
アマダ,2020,Q2,16.529382689206436
アマダ,2020,Q3,10.87177879003302
アマダ,2020,Q4,18.065733089330692
アマノ,2018,Q1,11.715444336902394
アマノ,2018,Q2,36.47335139185655
アマノ,2018,Q3,31.423519837459033
アマノ,2018,Q4,56.312594808920444
アマノ,2019,Q1,17.957630333831695
アマノ,2019,Q2,40.19838810638329
アマノ,2019,Q3,29.116763369916892
アマノ,2019,Q4,45.172638424836386
アマノ,2020,Q1,-1.0014018142443994
アマノ,2020,Q2,25.038820922625966
アマノ,2020,Q3,23.07581743481306
アマノ,2020,Q4,37.83260639291541
アミューズ,2018,Q1,65.78467471696263
アミューズ,2018,Q2,8.900766377534595
アミューズ,2018,Q3,58.39614370692151
アミューズ,2018,Q4,81.94460187409878
アミューズ,2019,Q1,73.57562843516749
アミューズ,2019,Q2,29.013558676605783
アミューズ,2019,Q3,68.70284649264448
アミューズ,2019,Q4,44.9192994810376
アミューズ,2020,Q1,48.69318134345909
アミューズ,2020,Q2,64.30982758308312
アミューズ,2020,Q3,53.89006423817361
アミューズ,2020,Q4,3.51744046773603
アリアケジャパン,2018,Q1,59.97052405045561
アリアケジャパン,2018,Q2,69.25930361985313
アリアケジャパン,2018,Q3,79.12406739669734
アリアケジャパン,2018,Q4,101.40432531734263
アリアケジャパン,2019,Q1,-550.7287827209219
アリアケジャパン,2019,Q2,-220.66787167097527
アリアケジャパン,2019,Q3,-1007.9214771926734
アリアケジャパン,2019,Q4,-28.48583373980493
アリアケジャパン,2020,Q1,-90.81980735390232
アリアケジャパン,2020,Q2,-43.99480074001007
アリアケジャパン,2020,Q3,96.52901610094258
アリアケジャパン,2020,Q4,144.178089078938
アルインコ,2018,Q1,8.381927287925178
アルインコ,2018,Q2,27.167191872813945
アルインコ,2018,Q3,32.30139281691773
アルインコ,2018,Q4,8.207873682296011
アルインコ,2019,Q1,28.363548604111546
アルインコ,2019,Q2,23.60251561201075
アルインコ,2019,Q3,38.916217588154126
アルインコ,2019,Q4,15.519406557291575
アルインコ,2020,Q1,25.273704425796375
アルインコ,2020,Q2,9.329556969060718
アルインコ,2020,Q3,-5.003567591627473
アルインコ,2020,Q4,-7.146578846399681
アルコニックス,2018,Q1,92.85353946074206
アルコニックス,2018,Q2,97.57060363963862
アルコニックス,2018,Q3,106.2949468015735
アルコニックス,2018,Q4,91.96533462576257
アルコニックス,2019,Q1,-32.785575695623265
アルコニックス,2019,Q2,-10.683742813306253
アルコニックス,2019,Q3,-61.73771432606948
アルコニックス,2019,Q4,38.17347018814962
アルコニックス,2020,Q1,49.222823685115586
アルコニックス,2020,Q2,60.852934689548874
アルコニックス,2020,Q3,36.39210457647931
アルコニックス,2020,Q4,20.84481566774923
アルゴグラフィックス,2018,Q1,96.58898657529343
アルゴグラフィックス,2018,Q2,78.68273521806388
アルゴグラフィックス,2018,Q3,67.58819406878712
アルゴグラフィックス,2018,Q4,113.21935236849865
アルゴグラフィックス,2019,Q1,112.94602427935837
アルゴグラフィックス,2019,Q2,-13.835992022229107
アルゴグラフィックス,2019,Q3,20.67415452048357
アルゴグラフィックス,2019,Q4,27.46280495062274
アルゴグラフィックス,2020,Q1,-1.3982605799133978
アルゴグラフィックス,2020,Q2,46.57523047592417
アルゴグラフィックス,2020,Q3,27.298896914774478
アルゴグラフィックス,2020,Q4,36.01758267228673
アルビス,2018,Q1,55.63539447610171
アルビス,2018,Q2,60.364591350798634
アルビス,2018,Q3,44.72733824681174
アルビス,2018,Q4,58.13299758808549
アルビス,2019,Q1,31.234564285812993
アルビス,2019,Q2,86.515574788757
アルビス,2019,Q3,4.508931835092653
アルビス,2019,Q4,23.339944573412595
アルビス,2020,Q1,22.863384087509424
アルビス,2020,Q2,86.06294986474174
アルビス,2020,Q3,79.62191271165058
アルビス,2020,Q4,32.67225664745021
アルファ,2018,Q1,4.658353042916758
アルファ,2018,Q2,-4.482295843348652
アルファ,2018,Q3,85.18515274663878
アルファ,2018,Q4,87.91114521621785
アルファ,2019,Q1,-61.08009781637156
アルファ,2019,Q2,-4.946675633882478
アルファ,2019,Q3,194.78574057249807
アルファ,2019,Q4,97.30501424602787
アルファ,2020,Q1,-263.78136468696584
アルファ,2020,Q2,441.4364696591947
アルファ,2020,Q3,-53.204758184275626
アルファ,2020,Q4,-92.75007532900503
アルファシステムズ,2018,Q1,42.271213422445896
アルファシステムズ,2018,Q2,44.46407371587206
アルファシステムズ,2018,Q3,35.740511188326025
アルファシステムズ,2018,Q4,44.414482501885644
アルファシステムズ,2019,Q1,39.00552878134792
アルファシステムズ,2019,Q2,4.8628490026335385
アルファシステムズ,2019,Q3,36.66693875838074
アルファシステムズ,2019,Q4,47.58259414252437
アルファシステムズ,2020,Q1,18.52078673455612
アルファシステムズ,2020,Q2,42.18903947290822
アルファシステムズ,2020,Q3,38.35852759793765
アルファシステムズ,2020,Q4,57.625717317079506
アルフレッサ　ホールディングス,2018,Q1,41.98682533933549
アルフレッサ　ホールディングス,2018,Q2,39.071170509483466
アルフレッサ　ホールディングス,2018,Q3,67.52959999442753
アルフレッサ　ホールディングス,2018,Q4,16.741954021647345
アルフレッサ　ホールディングス,2019,Q1,51.729057779304284
アルフレッサ　ホールディングス,2019,Q2,60.935612574819324
アルフレッサ　ホールディングス,2019,Q3,52.87840433174654
アルフレッサ　ホールディングス,2019,Q4,45.7256526853007
アルフレッサ　ホールディングス,2020,Q1,29.6905905856986
アルフレッサ　ホールディングス,2020,Q2,31.28716570655093
アルフレッサ　ホールディングス,2020,Q3,38.31020143469601
アルフレッサ　ホールディングス,2020,Q4,2.481664188090811
アルプスアルパイン,2018,Q1,57.7185418535855
アルプスアルパイン,2018,Q2,89.5278031562448
アルプスアルパイン,2018,Q3,36.296978779501046
アルプスアルパイン,2018,Q4,-43.19338325134723
アルプスアルパイン,2019,Q1,-4.361373251191878
アルプスアルパイン,2019,Q2,63.42342580675607
アルプスアルパイン,2019,Q3,14.818228821831099
アルプスアルパイン,2019,Q4,-111.701473236937
アルプスアルパイン,2020,Q1,-51.58866725500367
アルプスアルパイン,2020,Q2,-19.303395055303124
アルプスアルパイン,2020,Q3,12.366672541904565
アルプスアルパイン,2020,Q4,7.832452412614373
アルプス物流,2018,Q1,14.674414115513418
アルプス物流,2018,Q2,15.294372153184522
アルプス物流,2018,Q3,25.43550240173808
アルプス物流,2018,Q4,17.134425374720845
アルプス物流,2019,Q1,14.940457696987245
アルプス物流,2019,Q2,16.010549711619632
アルプス物流,2019,Q3,21.110315857482238
アルプス物流,2019,Q4,11.100532384222088
アルプス物流,2020,Q1,8.748292684721509
