企業名,会計年度,四半期,y_hat_ols2
あらた,2018,Q1,113.4902217817712
あらた,2018,Q2,157.0274511743728
あらた,2018,Q3,84.54521905065894
あらた,2018,Q4,111.75359715930084
あらた,2019,Q1,126.18178910785991
あらた,2019,Q2,112.47588751456692
あらた,2019,Q3,98.20398905811908
あらた,2019,Q4,96.75514513502594
あらた,2020,Q1,101.19964193299802
あらた,2020,Q2,157.58533785111422
あらた,2020,Q3,100.64773009086048
あらた,2020,Q4,119.74676365360165
いすゞ自動車,2018,Q1,19.63138887904799
いすゞ自動車,2018,Q2,27.054625722535548
いすゞ自動車,2018,Q3,44.97807021910978
いすゞ自動車,2018,Q4,30.287266032667134
いすゞ自動車,2019,Q1,38.96756458411164
いすゞ自動車,2019,Q2,24.714056773346627
いすゞ自動車,2019,Q3,41.5320004341165
いすゞ自動車,2019,Q4,6.776070319529211
いすゞ自動車,2020,Q1,25.61480716649185
いすゞ自動車,2020,Q2,14.629762347075667
いすゞ自動車,2020,Q3,34.69873549253495
いすゞ自動車,2020,Q4,27.75426078208525
いなげや,2018,Q1,1.6292055616983987
いなげや,2018,Q2,5.536231542184453
いなげや,2018,Q3,14.422334606218122
いなげや,2018,Q4,4.404831657698651
いなげや,2019,Q1,1.021545536284009
いなげや,2019,Q2,-5.898780546282978
いなげや,2019,Q3,4.569406743648642
いなげや,2019,Q4,-35.61114203843056
いなげや,2020,Q1,4.912676229282283
いなげや,2020,Q2,12.213312422109
いなげや,2020,Q3,41.77816412621729
いなげや,2020,Q4,13.846887634710924
かどや製油,2018,Q1,81.25130567588303
かどや製油,2018,Q2,126.78899854269594
かどや製油,2018,Q3,100.17821381410567
かどや製油,2018,Q4,22.080367097976705
かどや製油,2019,Q1,32.20288271896516
かどや製油,2019,Q2,80.72318808710861
かどや製油,2019,Q3,80.39824122735581
かどや製油,2019,Q4,18.50487581673724
かどや製油,2020,Q1,49.408406471924536
かどや製油,2020,Q2,74.52812156172286
かどや製油,2020,Q3,49.86059487568218
かどや製油,2020,Q4,25.245641997495117
きんでん,2018,Q1,2.193066622947057
きんでん,2018,Q2,25.51878817169966
きんでん,2018,Q3,34.399554969172755
きんでん,2018,Q4,84.80923117963911
きんでん,2019,Q1,6.081428048174786
きんでん,2019,Q2,29.019550325559408
きんでん,2019,Q3,33.52442417755674
きんでん,2019,Q4,75.95767600140168
きんでん,2020,Q1,23.43846876567653
きんでん,2020,Q2,36.57544452459331
きんでん,2020,Q3,42.53815472964265
きんでん,2020,Q4,74.18452033194701
さくらインターネット,2018,Q1,-4.992855441252686
さくらインターネット,2018,Q2,2.814553691596302
さくらインターネット,2018,Q3,33.1015355847328
さくらインターネット,2018,Q4,-100.92223361723302
さくらインターネット,2019,Q1,42.91229475112175
さくらインターネット,2019,Q2,-8.314183120713835
さくらインターネット,2019,Q3,-114.54723875867136
さくらインターネット,2019,Q4,-433.9453983675148
さくらインターネット,2020,Q1,-7.16804378192154
さくらインターネット,2020,Q2,-9.992744943969242
さくらインターネット,2020,Q3,-1.4684685818015168
さくらインターネット,2020,Q4,-17.93511633227365
たけびし,2018,Q1,46.53778282229201
たけびし,2018,Q2,44.662473528699536
たけびし,2018,Q3,50.279158404580016
たけびし,2018,Q4,55.53604066552344
たけびし,2019,Q1,41.9427974026413
たけびし,2019,Q2,48.89086442636199
たけびし,2019,Q3,45.89250484549802
たけびし,2019,Q4,27.14928420063154
たけびし,2020,Q1,26.426356286581157
たけびし,2020,Q2,30.770726828568318
たけびし,2020,Q3,32.99844778938035
たけびし,2020,Q4,37.908784344561525
なとり,2018,Q1,25.81414174828797
なとり,2018,Q2,13.326512733501204
なとり,2018,Q3,42.86448115768462
なとり,2018,Q4,-9.158245330676891
なとり,2019,Q1,40.670112665580746
なとり,2019,Q2,24.652487496180584
なとり,2019,Q3,59.87967538552039
なとり,2019,Q4,-24.534871165007644
なとり,2020,Q1,22.52487534654665
なとり,2020,Q2,18.597130426516287
なとり,2020,Q3,49.30469351292777
なとり,2020,Q4,-24.91185361911039
はせがわ,2018,Q1,-11.038173062755943
はせがわ,2018,Q2,18.45390601798917
はせがわ,2018,Q3,4.158981176111638
はせがわ,2018,Q4,-1.4271671551202871
はせがわ,2019,Q1,-20.91188408332073
はせがわ,2019,Q2,13.213915278385002
はせがわ,2019,Q3,-11.706958482323444
はせがわ,2019,Q4,-25.984085365515057
はせがわ,2020,Q1,-48.22601418956651
はせがわ,2020,Q2,-1.76806519128354
はせがわ,2020,Q3,-34.76889070341463
はせがわ,2020,Q4,-20.27260627486703
はるやまホールディングス,2018,Q1,7.658578693998379
はるやまホールディングス,2018,Q2,-27.67807339938849
はるやまホールディングス,2018,Q3,35.67843505377118
はるやまホールディングス,2018,Q4,52.02849206592328
はるやまホールディングス,2019,Q1,-13.35514327941155
はるやまホールディングス,2019,Q2,-48.87386825831232
はるやまホールディングス,2019,Q3,6.481982655104275
はるやまホールディングス,2019,Q4,36.94570429844112
はるやまホールディングス,2020,Q1,-18.151230591662625
はるやまホールディングス,2020,Q2,-55.95489225782649
はるやまホールディングス,2020,Q3,-36.53520485879199
はるやまホールディングス,2020,Q4,1.6389714680926772
ぴあ,2018,Q1,22.85165141084648
ぴあ,2018,Q2,26.467331367356906
ぴあ,2018,Q3,25.985698226062937
ぴあ,2018,Q4,31.36079490434122
ぴあ,2019,Q1,27.985190770100644
ぴあ,2019,Q2,13.02971934273205
ぴあ,2019,Q3,5.596511222649042
ぴあ,2019,Q4,-1.878607783147345
ぴあ,2020,Q1,9.667739497357957
