企業名,会計年度,四半期,rolling_sample,pruned_trials,complete_trials,best_trial_val_error,best_trial_params,final_train_epochs,final_train_min_loss,y_test,y_hat
いなげや,2019,Q3,6,255,45,0.7872354984283447,"dict_items([('hidden_units', 878), ('learning_rate', 0.0024406062952489677)])",11,"tensor(143.0506, grad_fn=<MseLossBackward>)",9.56,6.132206
いなげや,2019,Q4,7,244,56,0.6573713421821594,"dict_items([('hidden_units', 620), ('learning_rate', 0.004119660604678301)])",9,"tensor(139.9914, grad_fn=<MseLossBackward>)",11.13,5.609745
いなげや,2020,Q1,8,203,97,0.7709366679191589,"dict_items([('hidden_units', 382), ('learning_rate', 0.007687401684977377)])",10,"tensor(139.3615, grad_fn=<MseLossBackward>)",45.75,6.139928
いなげや,2020,Q2,9,232,68,0.807156503200531,"dict_items([('hidden_units', 881), ('learning_rate', 0.0040110231779911425)])",9,"tensor(180.5047, grad_fn=<MseLossBackward>)",22.33,7.255159
いなげや,2020,Q3,10,209,91,0.7510895729064941,"dict_items([('hidden_units', 752), ('learning_rate', 0.00314497537518512)])",11,"tensor(186.8298, grad_fn=<MseLossBackward>)",30.09,7.4644
いなげや,2020,Q4,11,217,83,0.5945222973823547,"dict_items([('hidden_units', 639), ('learning_rate', 0.005779349916674993)])",10,"tensor(202.1949, grad_fn=<MseLossBackward>)",-9.19,9.0909395
かどや製油,2018,Q1,0,197,103,0.07302535325288773,"dict_items([('hidden_units', 957), ('learning_rate', 0.1501353416688631)])",22,"tensor(643.4105, grad_fn=<MseLossBackward>)",127.07,54.57553
かどや製油,2018,Q2,1,210,90,0.09326712042093277,"dict_items([('hidden_units', 827), ('learning_rate', 0.1986913426455199)])",9,"tensor(819.6705, grad_fn=<MseLossBackward>)",101.03,20.421688
かどや製油,2018,Q3,2,197,103,0.09451329708099365,"dict_items([('hidden_units', 509), ('learning_rate', 0.30981303696964047)])",13,"tensor(901.1389, grad_fn=<MseLossBackward>)",81.07,63.746998
かどや製油,2018,Q4,3,182,118,0.09047058969736099,"dict_items([('hidden_units', 748), ('learning_rate', 0.20221819120059875)])",22,"tensor(920.5040, grad_fn=<MseLossBackward>)",11.46,58.857048
かどや製油,2019,Q1,4,190,110,0.5779451131820679,"dict_items([('hidden_units', 612), ('learning_rate', 0.05372574560895004)])",9,"tensor(947.6984, grad_fn=<MseLossBackward>)",98.69,57.200634
かどや製油,2019,Q2,5,215,85,0.5751859545707703,"dict_items([('hidden_units', 950), ('learning_rate', 0.03062705872746513)])",10,"tensor(992.1597, grad_fn=<MseLossBackward>)",70.47,62.313385
かどや製油,2019,Q3,6,203,97,0.5920894742012024,"dict_items([('hidden_units', 260), ('learning_rate', 0.1325692908910648)])",9,"tensor(1000.8911, grad_fn=<MseLossBackward>)",60.82,67.334625
かどや製油,2019,Q4,7,203,97,0.5530210137367249,"dict_items([('hidden_units', 814), ('learning_rate', 0.03675527570957608)])",10,"tensor(1025.3628, grad_fn=<MseLossBackward>)",47.48,67.44138
かどや製油,2020,Q1,8,195,105,0.5040501952171326,"dict_items([('hidden_units', 348), ('learning_rate', 0.0897931393178489)])",9,"tensor(981.3665, grad_fn=<MseLossBackward>)",79.34,63.552883
かどや製油,2020,Q2,9,197,103,0.502040684223175,"dict_items([('hidden_units', 190), ('learning_rate', 0.16491380253399687)])",9,"tensor(1009.6963, grad_fn=<MseLossBackward>)",68.44,62.653027
かどや製油,2020,Q3,10,192,108,0.04787313938140869,"dict_items([('hidden_units', 584), ('learning_rate', 0.2221397494506254)])",7,"tensor(1026.8661, grad_fn=<MseLossBackward>)",61.14,88.72704
かどや製油,2020,Q4,11,208,92,0.02719169110059738,"dict_items([('hidden_units', 820), ('learning_rate', 0.14049145381918998)])",7,"tensor(986.1091, grad_fn=<MseLossBackward>)",19.52,90.24568
きんでん,2018,Q1,0,206,94,0.38462725281715393,"dict_items([('hidden_units', 339), ('learning_rate', 0.07253336952147196)])",13,"tensor(245.9261, grad_fn=<MseLossBackward>)",8.01,14.89962
きんでん,2018,Q2,1,218,82,0.37708523869514465,"dict_items([('hidden_units', 917), ('learning_rate', 0.019267948629373994)])",8,"tensor(243.2880, grad_fn=<MseLossBackward>)",27.73,25.56204
きんでん,2018,Q3,2,210,90,0.3250826299190521,"dict_items([('hidden_units', 926), ('learning_rate', 0.019027293621465716)])",8,"tensor(240.5086, grad_fn=<MseLossBackward>)",31.43,26.363485
きんでん,2018,Q4,3,188,112,0.37060609459877014,"dict_items([('hidden_units', 517), ('learning_rate', 0.04764063679223221)])",13,"tensor(238.3185, grad_fn=<MseLossBackward>)",65.78,16.341654
きんでん,2019,Q1,4,186,114,0.44113579392433167,"dict_items([('hidden_units', 569), ('learning_rate', 0.03592591845259128)])",8,"tensor(291.6075, grad_fn=<MseLossBackward>)",15.17,28.850132
きんでん,2019,Q2,5,211,89,0.3878917396068573,"dict_items([('hidden_units', 957), ('learning_rate', 0.021537001952706813)])",8,"tensor(286.5857, grad_fn=<MseLossBackward>)",31.97,30.33415
きんでん,2019,Q3,6,175,125,0.3353961408138275,"dict_items([('hidden_units', 650), ('learning_rate', 0.03135337882022943)])",8,"tensor(289.9268, grad_fn=<MseLossBackward>)",40.36,29.353027
きんでん,2019,Q4,7,213,87,0.17330467700958252,"dict_items([('hidden_units', 826), ('learning_rate', 0.05136633079362753)])",11,"tensor(293.7978, grad_fn=<MseLossBackward>)",62.84,16.191578
きんでん,2020,Q1,8,194,106,0.23296695947647095,"dict_items([('hidden_units', 897), ('learning_rate', 0.046686153922588965)])",11,"tensor(334.1577, grad_fn=<MseLossBackward>)",13.2,19.056837
きんでん,2020,Q2,9,179,121,0.282111257314682,"dict_items([('hidden_units', 521), ('learning_rate', 0.06607479240174521)])",7,"tensor(337.9674, grad_fn=<MseLossBackward>)",33.3,37.64682
きんでん,2020,Q3,10,236,64,0.2285802811384201,"dict_items([('hidden_units', 777), ('learning_rate', 0.045058761328149385)])",12,"tensor(328.5943, grad_fn=<MseLossBackward>)",47.09,20.976385
きんでん,2020,Q4,11,212,88,0.26127341389656067,"dict_items([('hidden_units', 823), ('learning_rate', 0.04892098977481383)])",13,"tensor(332.9671, grad_fn=<MseLossBackward>)",63.349377,18.764975
さくらインターネット,2018,Q1,0,242,58,0.260346382856369,"dict_items([('hidden_units', 466), ('learning_rate', 0.0032758686144642173)])",670,"tensor(4084870.2500, grad_fn=<MseLossBackward>)",1.04,223.87473
さくらインターネット,2018,Q2,1,234,66,0.20879173278808594,"dict_items([('hidden_units', 352), ('learning_rate', 0.0029370948464044317)])",466,"tensor(4285596., grad_fn=<MseLossBackward>)",1.84,111.258804
さくらインターネット,2018,Q3,2,227,73,0.15423567593097687,"dict_items([('hidden_units', 102), ('learning_rate', 0.0027181057273309448)])",203,"tensor(4466350., grad_fn=<MseLossBackward>)",0.98,27.814259
さくらインターネット,2018,Q4,3,211,89,0.14678867161273956,"dict_items([('hidden_units', 344), ('learning_rate', 0.0029732723352448556)])",383,"tensor(3867695.5000, grad_fn=<MseLossBackward>)",-1.45,94.45466
さくらインターネット,2019,Q1,4,265,35,0.5778567790985107,"dict_items([('hidden_units', 241), ('learning_rate', 0.0014524092562912263)])",622,"tensor(2210556.7500, grad_fn=<MseLossBackward>)",4.37,44.596817
さくらインターネット,2019,Q2,5,232,68,0.6283953785896301,"dict_items([('hidden_units', 419), ('learning_rate', 0.001008570881591909)])",1039,"tensor(1987771.7500, grad_fn=<MseLossBackward>)",0.49,50.242355
さくらインターネット,2019,Q3,6,274,26,0.5324527025222778,"dict_items([('hidden_units', 805), ('learning_rate', 0.0005005831532529436)])",2579,"tensor(1342299.8750, grad_fn=<MseLossBackward>)",-1.35,42.402683
さくらインターネット,2019,Q4,7,256,44,0.7723005414009094,"dict_items([('hidden_units', 529), ('learning_rate', 0.0007684472451521486)])",1037,"tensor(1151373.7500, grad_fn=<MseLossBackward>)",0.88,37.401222
さくらインターネット,2020,Q1,8,257,43,0.762178361415863,"dict_items([('hidden_units', 61), ('learning_rate', 0.0003123785274883856)])",763,"tensor(1042585.1250, grad_fn=<MseLossBackward>)",4.43,5.2683964
さくらインターネット,2020,Q2,9,274,26,0.7812080979347229,"dict_items([('hidden_units', 187), ('learning_rate', 5.8258183568139656e-05)])",940,"tensor(271733.3750, grad_fn=<MseLossBackward>)",4.54,4.262936
さくらインターネット,2020,Q3,10,234,66,0.6669262051582336,"dict_items([('hidden_units', 198), ('learning_rate', 0.0013670227811612603)])",434,"tensor(3.2721, grad_fn=<MseLossBackward>)",5.27,6.162476
さくらインターネット,2020,Q4,11,239,61,0.6646792888641357,"dict_items([('hidden_units', 730), ('learning_rate', 0.0005910307995664133)])",1337,"tensor(0.0006, grad_fn=<MseLossBackward>)",6.55,7.095244
たけびし,2018,Q1,0,224,76,0.022038534283638,"dict_items([('hidden_units', 667), ('learning_rate', 0.09517245885470567)])",18,"tensor(95.9864, grad_fn=<MseLossBackward>)",42.78,18.179495
たけびし,2018,Q2,1,198,102,0.01509801298379898,"dict_items([('hidden_units', 736), ('learning_rate', 0.09576430826496056)])",18,"tensor(92.0255, grad_fn=<MseLossBackward>)",43.45,18.627491
たけびし,2018,Q3,2,231,69,0.014742355793714523,"dict_items([('hidden_units', 636), ('learning_rate', 0.11436220110865206)])",14,"tensor(101.0044, grad_fn=<MseLossBackward>)",55.45,32.706654
たけびし,2018,Q4,3,221,79,0.014123760163784027,"dict_items([('hidden_units', 488), ('learning_rate', 0.17480984480253547)])",22,"tensor(118.0909, grad_fn=<MseLossBackward>)",32.96,30.027956
たけびし,2019,Q1,4,207,93,0.02398259937763214,"dict_items([('hidden_units', 760), ('learning_rate', 0.11072678352103404)])",18,"tensor(120.5103, grad_fn=<MseLossBackward>)",28.51,18.24683
たけびし,2019,Q2,5,205,95,0.04752424359321594,"dict_items([('hidden_units', 718), ('learning_rate', 0.09452168061946083)])",10,"tensor(116.4739, grad_fn=<MseLossBackward>)",37.9,15.511425
たけびし,2019,Q3,6,208,92,0.042408537119627,"dict_items([('hidden_units', 737), ('learning_rate', 0.0930890382947686)])",10,"tensor(120.9098, grad_fn=<MseLossBackward>)",22.81,17.081835
たけびし,2019,Q4,7,208,92,0.07479709386825562,"dict_items([('hidden_units', 672), ('learning_rate', 0.09111169651357308)])",7,"tensor(138.8880, grad_fn=<MseLossBackward>)",21.65,44.966984
たけびし,2020,Q1,8,236,64,0.07882718741893768,"dict_items([('hidden_units', 622), ('learning_rate', 0.08240622053623095)])",7,"tensor(114.3707, grad_fn=<MseLossBackward>)",26.59,42.830204
たけびし,2020,Q2,9,202,98,0.03504513204097748,"dict_items([('hidden_units', 709), ('learning_rate', 0.07343113891064153)])",16,"tensor(111.5620, grad_fn=<MseLossBackward>)",22.84,33.14739
たけびし,2020,Q3,10,196,104,0.02944757603108883,"dict_items([('hidden_units', 864), ('learning_rate', 0.05550418041388021)])",7,"tensor(114.3642, grad_fn=<MseLossBackward>)",23.19,43.13834
たけびし,2020,Q4,11,221,79,0.026958510279655457,"dict_items([('hidden_units', 629), ('learning_rate', 0.07251217029798587)])",7,"tensor(105.1827, grad_fn=<MseLossBackward>)",18.756794,44.38707
なとり,2018,Q1,0,198,102,0.8721339702606201,"dict_items([('hidden_units', 971), ('learning_rate', 0.00642659694821175)])",12,"tensor(763.0473, grad_fn=<MseLossBackward>)",21.3,21.42446
なとり,2018,Q2,1,169,131,0.8366703391075134,"dict_items([('hidden_units', 980), ('learning_rate', 0.00785405144338739)])",11,"tensor(764.2126, grad_fn=<MseLossBackward>)",19.69,21.408585
