企業名,会計年度,四半期,y_hat_ml2_i_tuned_simple,best_hyparam
はせがわ,2020,Q4,1.5194591234156576,[10]
はるやまホールディングス,2018,Q1,2.21663788365575,[1000]
はるやまホールディングス,2018,Q2,-20.621473522761534,[1000]
はるやまホールディングス,2018,Q3,30.232832799756608,[1000]
はるやまホールディングス,2018,Q4,69.74621541741854,[1000]
はるやまホールディングス,2019,Q1,-20.027777690087433,[1000]
はるやまホールディングス,2019,Q2,-15.877685004604132,[1000]
はるやまホールディングス,2019,Q3,-3.382621076217916,[1000]
はるやまホールディングス,2019,Q4,25.132203673302257,[1000]
はるやまホールディングス,2020,Q1,-70.29946112802288,[1000]
はるやまホールディングス,2020,Q2,-100.51958215909883,[1000]
はるやまホールディングス,2020,Q3,-28.702949063193522,[1000]
はるやまホールディングス,2020,Q4,-43.521521651895185,[1000]
ぴあ,2018,Q1,35.707335624460114,[1]
ぴあ,2018,Q2,18.540121659644,[1]
ぴあ,2018,Q3,10.545309079818026,[1]
ぴあ,2018,Q4,6.94800374779599,[1]
ぴあ,2019,Q1,4.382789293154561,[1]
ぴあ,2019,Q2,26.03773854709786,[1]
ぴあ,2019,Q3,-10.46780705038486,[1]
ぴあ,2019,Q4,35.585352224811174,[1]
ぴあ,2020,Q1,-182.07301236927987,[1]
ぴあ,2020,Q2,-100.48889882158367,[1]
ぴあ,2020,Q3,36.41936474113111,[1]
ぴあ,2020,Q4,-22.32393285129183,[1]
やまや,2018,Q1,93.6600947476237,[1000]
やまや,2018,Q2,83.72838902488962,[1000]
やまや,2018,Q3,172.2386281566222,[1000]
やまや,2018,Q4,50.594981965928746,[1000]
やまや,2019,Q1,66.7968422679701,[1000]
やまや,2019,Q2,27.325476490251972,[1000]
やまや,2019,Q3,130.8856947984234,[1000]
やまや,2019,Q4,-28.467383889014997,[1000]
やまや,2020,Q1,-142.42455614823453,[1000]
やまや,2020,Q2,-9.32520648474749,[1000]
やまや,2020,Q3,-124.41684911987414,[1000]
やまや,2020,Q4,-241.1038143984382,[1000]
りらいあコミュニケーションズ,2018,Q1,11.6640967986012,[1000]
りらいあコミュニケーションズ,2018,Q2,10.20818991227777,[1000]
りらいあコミュニケーションズ,2018,Q3,11.776326356324637,[1000]
りらいあコミュニケーションズ,2018,Q4,18.72923425378363,[1000]
りらいあコミュニケーションズ,2019,Q1,-72.08534241486322,[1000]
りらいあコミュニケーションズ,2019,Q2,-9.157386091693905,[1000]
りらいあコミュニケーションズ,2019,Q3,-51.82716187938201,[1000]
