企業名,会計年度,四半期,y_hat_ml1_i_tuned,best_hyparam
あらた,2018,Q1,89.00235234719025,[10.72267222]
あらた,2018,Q2,76.35454185093607,[10.72267222]
あらた,2018,Q3,92.34826990118873,[10.72267222]
あらた,2018,Q4,69.70259871409563,[10.72267222]
あらた,2019,Q1,116.62330875281003,[10.72267222]
あらた,2019,Q2,110.2364456507755,[10.72267222]
あらた,2019,Q3,109.60874382813196,[10.72267222]
あらた,2019,Q4,92.98521505764293,[10.72267222]
あらた,2020,Q1,136.25501196733316,[10.72267222]
あらた,2020,Q2,94.27271394449062,[10.72267222]
あらた,2020,Q3,119.95882382654415,[10.72267222]
あらた,2020,Q4,103.14501989012359,[10.72267222]
いすゞ自動車,2018,Q1,36.034110185619085,[6.73415066]
いすゞ自動車,2018,Q2,34.22001774985324,[6.73415066]
いすゞ自動車,2018,Q3,47.20817543948944,[6.73415066]
いすゞ自動車,2018,Q4,33.797809740523974,[6.73415066]
いすゞ自動車,2019,Q1,43.20568602608526,[6.73415066]
いすゞ自動車,2019,Q2,19.838724881022543,[6.73415066]
いすゞ自動車,2019,Q3,36.00261154855661,[6.73415066]
いすゞ自動車,2019,Q4,17.633456307192947,[6.73415066]
いすゞ自動車,2020,Q1,6.433591104613847,[6.73415066]
いすゞ自動車,2020,Q2,18.999964285942728,[6.73415066]
いすゞ自動車,2020,Q3,46.92661433662299,[6.73415066]
いすゞ自動車,2020,Q4,30.27552136764938,[6.73415066]
いなげや,2018,Q1,6.822469792482626,[68.92612104]
いなげや,2018,Q2,6.076888577289912,[68.92612104]
いなげや,2018,Q3,7.776688263097007,[68.92612104]
いなげや,2018,Q4,5.568630125227539,[68.92612104]
いなげや,2019,Q1,0.9445598667760962,[68.92612104]
いなげや,2019,Q2,-0.533090845480892,[68.92612104]
いなげや,2019,Q3,2.949315152744461,[68.92612104]
いなげや,2019,Q4,0.4455458896281712,[68.92612104]
いなげや,2020,Q1,1.5914421749452003,[68.92612104]
いなげや,2020,Q2,6.046308112955511,[68.92612104]
いなげや,2020,Q3,7.87992625784096,[68.92612104]
いなげや,2020,Q4,7.4965833466752905,[68.92612104]
かどや製油,2018,Q1,134.01809464784833,[0.01]
かどや製油,2018,Q2,161.8752712245552,[0.01]
かどや製油,2018,Q3,93.78067689798536,[0.01]
かどや製油,2018,Q4,31.502610250390262,[0.01]
かどや製油,2019,Q1,173.41775415496136,[0.01]
かどや製油,2019,Q2,166.40819913377436,[0.01]
かどや製油,2019,Q3,51.95438284888405,[0.01]
かどや製油,2019,Q4,142.24247387023934,[0.01]
かどや製油,2020,Q1,39.21242622607451,[0.01]
かどや製油,2020,Q2,38.890083593016925,[0.01]
かどや製油,2020,Q3,36.15521327629699,[0.01]
かどや製油,2020,Q4,30.121183084075938,[0.01]
きんでん,2018,Q1,7.448576303938697,[0.01321941]
きんでん,2018,Q2,25.734544298145252,[0.01321941]
