企業名,会計年度,四半期,y_hat_men,best_hyparam
なとり,2019,Q4,-14.840432138736597,[10.  1.]
なとり,2020,Q1,25.857963750026467,[10.  1.]
なとり,2020,Q2,27.600301586105765,[10.  1.]
なとり,2020,Q3,84.0056775085129,[10.  1.]
なとり,2020,Q4,-14.37704854828231,[10.  1.]
はせがわ,2018,Q1,-9.75987580792048,[1.  0.2]
はせがわ,2018,Q2,24.09545165804245,[1.  0.2]
はせがわ,2018,Q3,-4.394337533182664,[1.  0.2]
はせがわ,2018,Q4,-4.485718156775135,[1.  0.2]
はせがわ,2019,Q1,-21.33343806066921,[1.  0.2]
はせがわ,2019,Q2,19.539785607614448,[1.  0.2]
はせがわ,2019,Q3,-24.15233856793202,[1.  0.2]
はせがわ,2019,Q4,-33.50747680077728,[1.  0.2]
はせがわ,2020,Q1,-20.617033607090434,[1.  0.2]
はせがわ,2020,Q2,9.941300782103013,[1.  0.2]
はせがわ,2020,Q3,-1.0952171654056997,[1.  0.2]
はせがわ,2020,Q4,2.577228124087611,[1.  0.2]
はるやまホールディングス,2018,Q1,-2.235559823005701,[100.    0.5]
はるやまホールディングス,2018,Q2,-24.47380713066056,[100.    0.5]
はるやまホールディングス,2018,Q3,22.87831786528257,[100.    0.5]
はるやまホールディングス,2018,Q4,65.62803295913811,[100.    0.5]
はるやまホールディングス,2019,Q1,-11.555530173534848,[100.    0.5]
はるやまホールディングス,2019,Q2,-28.85472753305543,[100.    0.5]
はるやまホールディングス,2019,Q3,4.2940551842680605,[100.    0.5]
はるやまホールディングス,2019,Q4,40.92394330756334,[100.    0.5]
はるやまホールディングス,2020,Q1,-38.103600313538486,[100.    0.5]
はるやまホールディングス,2020,Q2,-69.58303215616738,[100.    0.5]
はるやまホールディングス,2020,Q3,-35.98058269147788,[100.    0.5]
はるやまホールディングス,2020,Q4,-26.72576821502593,[100.    0.5]
ぴあ,2018,Q1,24.911825186620106,[1000.    0.]
ぴあ,2018,Q2,13.56839042505129,[1000.    0.]
ぴあ,2018,Q3,13.644220876449491,[1000.    0.]
ぴあ,2018,Q4,32.300742333411826,[1000.    0.]
ぴあ,2019,Q1,23.149009818780954,[1000.    0.]
ぴあ,2019,Q2,1.1112899108954117,[1000.    0.]
ぴあ,2019,Q3,-6.6632773560871605,[1000.    0.]
ぴあ,2019,Q4,6.0070583585307435,[1000.    0.]
ぴあ,2020,Q1,-22.848732003986846,[1000.    0.]
ぴあ,2020,Q2,-88.66703215310272,[1000.    0.]
ぴあ,2020,Q3,-33.162669771916526,[1000.    0.]
ぴあ,2020,Q4,-39.76520181895791,[1000.    0.]
りらいあコミュニケーションズ,2018,Q1,19.275339210742114,[1.e+03 5.e-01]
りらいあコミュニケーションズ,2018,Q2,18.871728099631007,[1.e+03 5.e-01]
りらいあコミュニケーションズ,2018,Q3,18.319783655186562,[1.e+03 5.e-01]
りらいあコミュニケーションズ,2018,Q4,17.515894766297674,[1.e+03 5.e-01]
りらいあコミュニケーションズ,2019,Q1,12.504228099631005,[1.e+03 5.e-01]
りらいあコミュニケーションズ,2019,Q2,12.33617254407545,[1.e+03 5.e-01]
りらいあコミュニケーションズ,2019,Q3,12.095616988519895,[1.e+03 5.e-01]
りらいあコミュニケーションズ,2019,Q4,12.367283655186561,[1.e+03 5.e-01]
りらいあコミュニケーションズ,2020,Q1,12.664228099631005,[1.e+03 5.e-01]
りらいあコミュニケーションズ,2020,Q2,12.314783655186561,[1.e+03 5.e-01]
りらいあコミュニケーションズ,2020,Q3,12.19361111111111,[1.e+03 5.e-01]
りらいあコミュニケーションズ,2020,Q4,12.34222222222222,[1.e+03 5.e-01]
わかもと製薬,2018,Q1,0.5997222222222222,[1.e+03 1.e-01]
わかもと製薬,2018,Q2,0.7313888888888889,[1.e+03 1.e-01]
わかもと製薬,2018,Q3,0.5477777777777777,[1.e+03 1.e-01]
わかもと製薬,2018,Q4,0.6452777777777778,[1.e+03 1.e-01]
わかもと製薬,2019,Q1,0.41527777777777775,[1.e+03 1.e-01]
わかもと製薬,2019,Q2,0.2905555555555555,[1.e+03 1.e-01]
わかもと製薬,2019,Q3,-0.5833333333333331,[1.e+03 1.e-01]
わかもと製薬,2019,Q4,-0.49249999999999994,[1.e+03 1.e-01]
わかもと製薬,2020,Q1,-0.5677777777777778,[1.e+03 1.e-01]
わかもと製薬,2020,Q2,-0.4897222222222221,[1.e+03 1.e-01]
わかもと製薬,2020,Q3,-0.9772222222222222,[1.e+03 1.e-01]
わかもと製薬,2020,Q4,-0.8527777777777777,[1.e+03 1.e-01]
アイカ工業,2018,Q1,45.20935464157644,[0.1 0.1]
アイカ工業,2018,Q2,57.395140168446616,[0.1 0.1]
アイカ工業,2018,Q3,65.53383313071058,[0.1 0.1]
アイカ工業,2018,Q4,60.697854381961385,[0.1 0.1]
アイカ工業,2019,Q1,49.49087813631699,[0.1 0.1]
アイカ工業,2019,Q2,49.06255304128351,[0.1 0.1]
アイカ工業,2019,Q3,44.88405481554829,[0.1 0.1]
アイカ工業,2019,Q4,52.70831024806071,[0.1 0.1]
アイカ工業,2020,Q1,36.05051135299115,[0.1 0.1]
アイカ工業,2020,Q2,35.767376362830596,[0.1 0.1]
アイカ工業,2020,Q3,63.030995459777266,[0.1 0.1]
アイカ工業,2020,Q4,65.28608008829458,[0.1 0.1]
アイコム,2018,Q1,19.39976468702025,[1.e+03 1.e-01]
アイコム,2018,Q2,24.061134882465645,[1.e+03 1.e-01]
アイコム,2018,Q3,25.598269754755663,[1.e+03 1.e-01]
アイコム,2018,Q4,95.02997369416741,[1.e+03 1.e-01]
アイコム,2019,Q1,4.979484233344678,[1.e+03 1.e-01]
アイコム,2019,Q2,17.243268989816272,[1.e+03 1.e-01]
アイコム,2019,Q3,37.94665851332694,[1.e+03 1.e-01]
アイコム,2019,Q4,59.9225309918986,[1.e+03 1.e-01]
アイコム,2020,Q1,-2.560668694180709,[1.e+03 1.e-01]
アイコム,2020,Q2,6.454573273675425,[1.e+03 1.e-01]
アイコム,2020,Q3,20.41121363504612,[1.e+03 1.e-01]
アイコム,2020,Q4,48.112816180304684,[1.e+03 1.e-01]
アイシン,2018,Q1,171.58487525590328,[100.    0.3]
アイシン,2018,Q2,52.59242402005965,[100.    0.3]
アイシン,2018,Q3,99.76706164902411,[100.    0.3]
アイシン,2018,Q4,122.90736248668762,[100.    0.3]
アイシン,2019,Q1,122.65512061121485,[100.    0.3]
アイシン,2019,Q2,-8.04626091735189,[100.    0.3]
アイシン,2019,Q3,55.46642764393363,[100.    0.3]
アイシン,2019,Q4,20.32946723073718,[100.    0.3]
アイシン,2020,Q1,-176.27332230807207,[100.    0.3]
アイシン,2020,Q2,84.49751461949451,[100.    0.3]
アイシン,2020,Q3,202.4487861740015,[100.    0.3]
アイシン,2020,Q4,89.70017734112501,[100.    0.3]
アイダエンジニアリング,2018,Q1,24.985918356298384,[1. 1.]
アイダエンジニアリング,2018,Q2,10.091927215985763,[1. 1.]
アイダエンジニアリング,2018,Q3,5.894219705279539,[1. 1.]
アイダエンジニアリング,2018,Q4,21.33991293387284,[1. 1.]
アイダエンジニアリング,2019,Q1,11.174504462584691,[1. 1.]
アイダエンジニアリング,2019,Q2,21.206735054391377,[1. 1.]
アイダエンジニアリング,2019,Q3,16.596311031258633,[1. 1.]
アイダエンジニアリング,2019,Q4,26.15742570174823,[1. 1.]
アイダエンジニアリング,2020,Q1,4.202749749726328,[1. 1.]
アイダエンジニアリング,2020,Q2,19.71887468229914,[1. 1.]
アイダエンジニアリング,2020,Q3,12.535936735381101,[1. 1.]
アイダエンジニアリング,2020,Q4,26.1776004242592,[1. 1.]
アイチコーポレーション,2018,Q1,5.359387517914101,[10.   0.1]
アイチコーポレーション,2018,Q2,19.692225515364353,[10.   0.1]
アイチコーポレーション,2018,Q3,18.259034585189106,[10.   0.1]
アイチコーポレーション,2018,Q4,22.821344602198792,[10.   0.1]
アイチコーポレーション,2019,Q1,11.607618141452821,[10.   0.1]
アイチコーポレーション,2019,Q2,19.213864784209747,[10.   0.1]
