企業名,会計年度,四半期,rolling_sample,pruned_trials,complete_trials,best_trial_val_error,best_trial_params,final_train_epochs,final_train_min_loss,y_test,y_hat
いなげや,2019,Q3,6,77,23,0.7821432948112488,"dict_items([('hidden_units', 160), ('learning_rate', 0.020867408998619677)])",252,"tensor(3.3428e-08, grad_fn=<MseLossBackward>)",9.56,3.820202
いなげや,2019,Q4,7,56,44,0.6537886261940002,"dict_items([('hidden_units', 953), ('learning_rate', 0.004683716618372743)])",339,"tensor(2.0944e-09, grad_fn=<MseLossBackward>)",11.13,-54.637566
いなげや,2020,Q1,8,54,46,0.7463046908378601,"dict_items([('hidden_units', 138), ('learning_rate', 0.043147695405973935)])",171,"tensor(0.0681, grad_fn=<MseLossBackward>)",45.75,1.6000917
いなげや,2020,Q2,9,58,42,0.8035765290260315,"dict_items([('hidden_units', 556), ('learning_rate', 0.0063966529739498115)])",215,"tensor(1.2107e-05, grad_fn=<MseLossBackward>)",22.33,35.611298
いなげや,2020,Q3,10,63,37,0.7340116500854492,"dict_items([('hidden_units', 331), ('learning_rate', 0.022313036924511285)])",86,"tensor(0.0538, grad_fn=<MseLossBackward>)",30.09,23.423307
いなげや,2020,Q4,11,50,50,0.5678147077560425,"dict_items([('hidden_units', 437), ('learning_rate', 0.015602914931965748)])",107,"tensor(0.0141, grad_fn=<MseLossBackward>)",-9.19,24.811235
かどや製油,2018,Q1,0,63,37,0.07301945239305496,"dict_items([('hidden_units', 787), ('learning_rate', 0.18655230681669266)])",10,"tensor(361.5651, grad_fn=<MseLossBackward>)",127.07,49.472862
かどや製油,2018,Q2,1,54,46,0.09495872259140015,"dict_items([('hidden_units', 779), ('learning_rate', 0.18552230414880674)])",10,"tensor(412.2115, grad_fn=<MseLossBackward>)",101.03,63.580936
かどや製油,2018,Q3,2,58,42,0.0945606604218483,"dict_items([('hidden_units', 810), ('learning_rate', 0.1838456917968926)])",10,"tensor(425.2831, grad_fn=<MseLossBackward>)",81.07,66.12389
かどや製油,2018,Q4,3,59,41,0.09072352200746536,"dict_items([('hidden_units', 461), ('learning_rate', 0.34868941740373394)])",10,"tensor(499.4667, grad_fn=<MseLossBackward>)",11.46,62.109535
