企業名,会計年度,四半期,y_hat_mraf_part3,best_hyparam
岩崎電気,2018,Q3,7.213200000000003,[250  15]
岩崎電気,2018,Q4,56.608800000000095,[250  15]
岩崎電気,2019,Q1,5.434640000000011,[250  15]
岩崎電気,2019,Q2,23.03668238119168,[250  15]
岩崎電気,2019,Q3,46.53108000000005,[250  15]
岩崎電気,2019,Q4,128.25207999999995,[250  15]
岩崎電気,2020,Q1,-9.920759999999989,[250  15]
岩崎電気,2020,Q2,55.71057915750181,[250  15]
岩崎電気,2020,Q3,83.97171999999995,[250  15]
岩崎電気,2020,Q4,140.1072400000001,[250  15]
岩谷産業,2018,Q1,75.61477721414931,[100  10]
岩谷産業,2018,Q2,83.19870000000003,[100  10]
岩谷産業,2018,Q3,105.23490000000011,[100  10]
岩谷産業,2018,Q4,98.60530000000004,[100  10]
岩谷産業,2019,Q1,88.1733,[100  10]
岩谷産業,2019,Q2,90.9746,[100  10]
岩谷産業,2019,Q3,98.78829999999996,[100  10]
岩谷産業,2019,Q4,105.12389999999999,[100  10]
岩谷産業,2020,Q1,67.05680000000002,[100  10]
岩谷産業,2020,Q2,59.760300000000036,[100  10]
岩谷産業,2020,Q3,78.3853,[100  10]
岩谷産業,2020,Q4,140.08630000000002,[100  10]
島津製作所,2018,Q1,22.602800000000002,[100  10]
島津製作所,2018,Q2,28.832699999999978,[100  10]
島津製作所,2018,Q3,26.521300000000007,[100  10]
島津製作所,2018,Q4,34.958200000000005,[100  10]
島津製作所,2019,Q1,14.9432,[100  10]
島津製作所,2019,Q2,36.444800000000015,[100  10]
島津製作所,2019,Q3,19.062799999999985,[100  10]
島津製作所,2019,Q4,38.39620000000001,[100  10]
島津製作所,2020,Q1,11.549600000000007,[100  10]
島津製作所,2020,Q2,28.241199999999996,[100  10]
島津製作所,2020,Q3,25.833399999999997,[100  10]
島津製作所,2020,Q4,38.11160000000001,[100  10]
島精機製作所,2018,Q1,60.19004000000005,[500  15]
島精機製作所,2018,Q2,38.109280000000034,[500  15]
島精機製作所,2018,Q3,33.14948000000002,[500  15]
島精機製作所,2018,Q4,25.54831999999996,[500  15]
島精機製作所,2019,Q1,15.904119999999967,[500  15]
島精機製作所,2019,Q2,14.37124,[500  15]
島精機製作所,2019,Q3,-6.730159999999973,[500  15]
島精機製作所,2019,Q4,-13.730319999999992,[500  15]
島精機製作所,2020,Q1,-37.34395999999997,[500  15]
島精機製作所,2020,Q2,-52.01873999999984,[500  15]
島精機製作所,2020,Q3,-31.23692000000003,[500  15]
島精機製作所,2020,Q4,-54.551779999999944,[500  15]
川崎汽船,2018,Q1,1.2232329648325115,[500  15]
川崎汽船,2018,Q2,-81.52001351758359,[500  15]
川崎汽船,2018,Q3,-70.44567070351637,[500  15]
川崎汽船,2018,Q4,-70.54657999999992,[500  15]
川崎汽船,2019,Q1,-223.00704000000047,[500  15]
川崎汽船,2019,Q2,-102.55373070351624,[500  15]
川崎汽船,2019,Q3,-139.13511070351615,[500  15]
川崎汽船,2019,Q4,-165.01910140703333,[500  15]
川崎汽船,2020,Q1,-85.96009999999991,[500  15]
川崎汽船,2020,Q2,-121.02311070351622,[500  15]
川崎汽船,2020,Q3,-134.07783999999936,[500  15]
川崎汽船,2020,Q4,11.588700000000015,[500  15]
川崎重工業,2018,Q1,32.650940794203365,[100  10]
川崎重工業,2018,Q2,33.274999999999984,[100  10]
川崎重工業,2018,Q3,5.732970397101682,[100  10]
川崎重工業,2018,Q4,61.2202,[100  10]
川崎重工業,2019,Q1,25.923370397101674,[100  10]
川崎重工業,2019,Q2,4.903300000000001,[100  10]
川崎重工業,2019,Q3,44.51289999999998,[100  10]
川崎重工業,2019,Q4,68.32630000000005,[100  10]
川崎重工業,2020,Q1,-2.4812500000000015,[100  10]
川崎重工業,2020,Q2,2.2354000000000003,[100  10]
川崎重工業,2020,Q3,-9.586100000000002,[100  10]
川崎重工業,2020,Q4,35.17149999999999,[100  10]
巴コーポレーション,2018,Q1,12.347000000000005,[100  15]
巴コーポレーション,2018,Q2,9.720400000000003,[100  15]
巴コーポレーション,2018,Q3,18.377699999999997,[100  15]
巴コーポレーション,2018,Q4,23.879800000000003,[100  15]
巴コーポレーション,2019,Q1,8.122499999999999,[100  15]
巴コーポレーション,2019,Q2,17.742400000000004,[100  15]
巴コーポレーション,2019,Q3,7.186099999999995,[100  15]
巴コーポレーション,2019,Q4,22.67470000000001,[100  15]
巴コーポレーション,2020,Q1,5.563199999999995,[100  15]
巴コーポレーション,2020,Q2,7.180399999999999,[100  15]
巴コーポレーション,2020,Q3,8.220800000000004,[100  15]
巴コーポレーション,2020,Q4,20.13639999999999,[100  15]
帝人,2018,Q1,49.21555000000003,[100   5]
帝人,2018,Q2,64.24500000000006,[100   5]
帝人,2018,Q3,66.05930000000004,[100   5]
帝人,2018,Q4,57.345550000000024,[100   5]
帝人,2019,Q1,66.5847061330113,[100   5]
帝人,2019,Q2,57.15620000000004,[100   5]
帝人,2019,Q3,44.753383333333346,[100   5]
帝人,2019,Q4,47.26843333333335,[100   5]
帝人,2020,Q1,28.32263446634463,[100   5]
帝人,2020,Q2,50.618696666666686,[100   5]
帝人,2020,Q3,44.052763333333324,[100   5]
帝人,2020,Q4,44.324725,[100   5]
帝国通信工業,2018,Q1,19.06405949735349,[100   5]
帝国通信工業,2018,Q2,21.48621904761905,[100   5]
帝国通信工業,2018,Q3,23.97236666666666,[100   5]
帝国通信工業,2018,Q4,23.03692916666664,[100   5]
帝国通信工業,2019,Q1,22.97204666666666,[100   5]
帝国通信工業,2019,Q2,22.365483333333323,[100   5]
帝国通信工業,2019,Q3,11.259986666666666,[100   5]
帝国通信工業,2019,Q4,11.4837056878297,[100   5]
帝国通信工業,2020,Q1,-10.721879126984875,[100   5]
帝国通信工業,2020,Q2,-6.1717974074075155,[100   5]
帝国通信工業,2020,Q3,4.658901316738276,[100   5]
帝国通信工業,2020,Q4,19.791309798164708,[100   5]
常磐興産,2018,Q1,14.89014447542822,[250   5]
常磐興産,2018,Q2,18.97988561850055,[250   5]
常磐興産,2018,Q3,14.355044300992326,[250   5]
常磐興産,2018,Q4,-18.872402140671387,[250   5]
常磐興産,2019,Q1,-22.587159597844476,[250   5]
常磐興産,2019,Q2,28.244115915774152,[250   5]
常磐興産,2019,Q3,-4.5744242077164525,[250   5]
常磐興産,2019,Q4,-30.865936555555518,[250   5]
常磐興産,2020,Q1,-43.96655657038231,[250   5]
常磐興産,2020,Q2,-45.968110011842604,[250   5]
常磐興産,2020,Q3,-65.85406465192929,[250   5]
常磐興産,2020,Q4,-72.94786554866091,[250   5]
平和,2018,Q1,51.69533705710956,[100   5]
平和,2018,Q2,55.54902837690091,[100   5]
平和,2018,Q3,23.160312500000014,[100   5]
平和,2018,Q4,28.07538166666668,[100   5]
平和,2019,Q1,47.414466111111125,[100   5]
平和,2019,Q2,56.4684218452381,[100   5]
平和,2019,Q3,64.73344984487734,[100   5]
平和,2019,Q4,20.238246190476193,[100   5]
平和,2020,Q1,12.375716666666667,[100   5]
平和,2020,Q2,-1.6807666666666687,[100   5]
平和,2020,Q3,12.746410198412686,[100   5]
平和,2020,Q4,5.812925714285712,[100   5]
平河ヒューテック,2018,Q1,36.33410526826938,[500  10]
平河ヒューテック,2018,Q2,40.310091585336686,[500  10]
平河ヒューテック,2018,Q3,37.238853341426584,[500  10]
平河ヒューテック,2018,Q4,32.036141756089826,[500  10]
平河ヒューテック,2019,Q1,32.184583861778954,[500  10]
平河ヒューテック,2019,Q2,39.40909474791718,[500  10]
平河ヒューテック,2019,Q3,40.884137625962,[500  10]
平河ヒューテック,2019,Q4,26.853770878044855,[500  10]
平河ヒューテック,2020,Q1,24.76227000000007,[500  10]
