企業名,会計年度,四半期,y_hat_mraf_part4,best_hyparam
東邦亜鉛,2018,Q1,110.34861077746984,[250  15]
東邦亜鉛,2018,Q2,103.4199199999998,[250  15]
東邦亜鉛,2018,Q3,-18.425688766759123,[250  15]
東邦亜鉛,2018,Q4,-10.967544383379607,[250  15]
東邦亜鉛,2019,Q1,-55.18264000000015,[250  15]
東邦亜鉛,2019,Q2,-132.61158146112626,[250  15]
東邦亜鉛,2019,Q3,-86.91640000000008,[250  15]
東邦亜鉛,2019,Q4,-162.02742146112655,[250  15]
東邦亜鉛,2020,Q1,-214.26898438337943,[250  15]
東邦亜鉛,2020,Q2,-88.20882730563261,[250  15]
東邦亜鉛,2020,Q3,-57.39916292225306,[250  15]
東邦亜鉛,2020,Q4,-50.81208292225307,[250  15]
東邦瓦斯,2018,Q1,40.2033,[100  10]
東邦瓦斯,2018,Q2,45.632300000000015,[100  10]
東邦瓦斯,2018,Q3,23.42400000000003,[100  10]
東邦瓦斯,2018,Q4,31.466300000000025,[100  10]
東邦瓦斯,2019,Q1,45.345399999999984,[100  10]
東邦瓦斯,2019,Q2,23.555870272365077,[100  10]
東邦瓦斯,2019,Q3,23.044240544730116,[100  10]
東邦瓦斯,2019,Q4,82.50729999999993,[100  10]
東邦瓦斯,2020,Q1,58.0365,[100  10]
東邦瓦斯,2020,Q2,14.180770272365068,[100  10]
東邦瓦斯,2020,Q3,40.592200000000005,[100  10]
東邦瓦斯,2020,Q4,60.26309999999996,[100  10]
東都水産,2018,Q1,56.805619999999955,[500  15]
東都水産,2018,Q2,52.97907999999985,[500  15]
東都水産,2018,Q3,62.63141999999976,[500  15]
東都水産,2018,Q4,64.58579999999984,[500  15]
東都水産,2019,Q1,70.31905999999984,[500  15]
東都水産,2019,Q2,61.587959999999796,[500  15]
東都水産,2019,Q3,78.45982000000022,[500  15]
東都水産,2019,Q4,86.50532000000028,[500  15]
東都水産,2020,Q1,41.751889607550815,[500  15]
東都水産,2020,Q2,34.86869999999996,[500  15]
東都水産,2020,Q3,93.84262000000044,[500  15]
東都水産,2020,Q4,52.58325921510178,[500  15]
東鉄工業,2018,Q1,25.23149999999998,[500  10]
東鉄工業,2018,Q2,63.6669999999998,[500  10]
東鉄工業,2018,Q3,72.57174000000015,[500  10]
東鉄工業,2018,Q4,106.96718000000003,[500  10]
東鉄工業,2019,Q1,35.55060000000009,[500  10]
