企業名,会計年度,四半期,y_hat_men_a10
あらた,2018,Q1,99.36508558880845
あらた,2018,Q2,77.0409825486667
あらた,2018,Q3,92.80664214548787
あらた,2018,Q4,69.66983884058286
あらた,2019,Q1,118.40777997541062
あらた,2019,Q2,115.86097600709267
あらた,2019,Q3,113.99989540305062
あらた,2019,Q4,100.30991889959435
あらた,2020,Q1,142.43724640463063
あらた,2020,Q2,91.58423149704353
あらた,2020,Q3,119.84170946413153
あらた,2020,Q4,106.50241755948652
いすゞ自動車,2018,Q1,36.1286747296348
いすゞ自動車,2018,Q2,33.45992845275539
いすゞ自動車,2018,Q3,47.76485432933883
いすゞ自動車,2018,Q4,35.474412827526436
いすゞ自動車,2019,Q1,44.37321131671146
いすゞ自動車,2019,Q2,20.04636050716546
いすゞ自動車,2019,Q3,36.11482965911377
いすゞ自動車,2019,Q4,18.43625573101249
いすゞ自動車,2020,Q1,8.911747003126813
いすゞ自動車,2020,Q2,21.89868953329703
いすゞ自動車,2020,Q3,45.42010194407193
いすゞ自動車,2020,Q4,30.622459691733678
いなげや,2018,Q1,1.5475514456671995
いなげや,2018,Q2,1.6516224487776299
いなげや,2018,Q3,16.14781865470345
いなげや,2018,Q4,11.58911279083459
いなげや,2019,Q1,-13.510204492399403
いなげや,2019,Q2,-13.727985970028698
いなげや,2019,Q3,8.013559204389225
いなげや,2019,Q4,-25.834004696938216
いなげや,2020,Q1,14.498602241937292
いなげや,2020,Q2,15.88223590350573
いなげや,2020,Q3,34.97474838851045
いなげや,2020,Q4,-5.759358869862993
かどや製油,2018,Q1,110.66797087056165
かどや製油,2018,Q2,148.10387763194058
かどや製油,2018,Q3,113.24251334148009
かどや製油,2018,Q4,50.477700028056944
かどや製油,2019,Q1,139.70667006657442
かどや製油,2019,Q2,119.2215371627718
かどや製油,2019,Q3,37.877169553054074
かどや製油,2019,Q4,37.17900260831546
かどや製油,2020,Q1,80.93578029794315
かどや製油,2020,Q2,79.15859884006284
かどや製油,2020,Q3,54.46703628873993
かどや製油,2020,Q4,32.33399527011432
きんでん,2018,Q1,11.597902093831493
きんでん,2018,Q2,29.003085545108142
きんでん,2018,Q3,35.984145764250954
きんでん,2018,Q4,71.06728526776274
きんでん,2019,Q1,13.664569076912802
きんでん,2019,Q2,33.7738807314479
きんでん,2019,Q3,43.145514428787386
きんでん,2019,Q4,73.3620380005785
きんでん,2020,Q1,21.849592690911777
きんでん,2020,Q2,32.70711765494437
きんでん,2020,Q3,41.29131146870514
きんでん,2020,Q4,65.64764504519296
さくらインターネット,2018,Q1,6.135407155098449
さくらインターネット,2018,Q2,-6.157328655460546
さくらインターネット,2018,Q3,14.280424071868708
さくらインターネット,2018,Q4,19.03794795370841
さくらインターネット,2019,Q1,12.477968277199743
さくらインターネット,2019,Q2,3.9965702213439513
さくらインターネット,2019,Q3,1.563986721601701
さくらインターネット,2019,Q4,2.6662667462458227
さくらインターネット,2020,Q1,5.746842954606752
さくらインターネット,2020,Q2,0.9736156368642357
さくらインターネット,2020,Q3,3.8223743590608272
さくらインターネット,2020,Q4,4.332671301241155
たけびし,2018,Q1,40.75828888309637
たけびし,2018,Q2,42.39993085228666
たけびし,2018,Q3,45.126017309137964
たけびし,2018,Q4,38.29151189373481
たけびし,2019,Q1,32.34485194189989
たけびし,2019,Q2,37.554153200884286
たけびし,2019,Q3,31.468933669756023
たけびし,2019,Q4,33.55744907527304
たけびし,2020,Q1,23.51513594961492
たけびし,2020,Q2,24.9834233940155
たけびし,2020,Q3,27.139630255340453
たけびし,2020,Q4,39.390718109721
なとり,2018,Q1,23.82936204582198
なとり,2018,Q2,21.685561143154544
なとり,2018,Q3,63.3629546889876
なとり,2018,Q4,-18.089675533032953
なとり,2019,Q1,19.058163986413522
なとり,2019,Q2,27.421363177179845
なとり,2019,Q3,59.96132063242182
なとり,2019,Q4,-14.835285437376323
なとり,2020,Q1,25.606969425828375
なとり,2020,Q2,27.845689728069217
なとり,2020,Q3,84.27621515288318
なとり,2020,Q4,-13.936622096682953
はせがわ,2018,Q1,-5.638970940320593
はせがわ,2018,Q2,22.803118991952083
はせがわ,2018,Q3,-1.8322284091837897
はせがわ,2018,Q4,7.1265785927933045
はせがわ,2019,Q1,-15.048207702481683
はせがわ,2019,Q2,22.518156785752645
はせがわ,2019,Q3,-18.40256549923172
はせがわ,2019,Q4,-17.769089875327055
はせがわ,2020,Q1,-31.23433695861003
はせがわ,2020,Q2,10.561236014518869
はせがわ,2020,Q3,0.4052781463464683
はせがわ,2020,Q4,5.614314193331964
はるやまホールディングス,2018,Q1,2.508567879681351
はるやまホールディングス,2018,Q2,-17.436275318173074
はるやまホールディングス,2018,Q3,33.20068297635086
はるやまホールディングス,2018,Q4,75.09715031237852
はるやまホールディングス,2019,Q1,-14.615561738948742
はるやまホールディングス,2019,Q2,-13.481829293559244
はるやまホールディングス,2019,Q3,-3.0560972277367497
はるやまホールディングス,2019,Q4,22.125417216881686
はるやまホールディングス,2020,Q1,-71.26437890260577
はるやまホールディングス,2020,Q2,-99.38895180023651
はるやまホールディングス,2020,Q3,-33.43182882847344
はるやまホールディングス,2020,Q4,-50.68716762583142
ぴあ,2018,Q1,31.118634649429218
ぴあ,2018,Q2,9.529122993287713
ぴあ,2018,Q3,7.964188322034547
ぴあ,2018,Q4,13.457764069951127
ぴあ,2019,Q1,5.248943936727521
ぴあ,2019,Q2,17.938099271742395
ぴあ,2019,Q3,-18.9200487480119
ぴあ,2019,Q4,20.864444365681113
ぴあ,2020,Q1,-156.5670658085282
