企業名,会計年度,四半期,y_hat_sarima_f
ぴあ,2020,Q2,-95.90862341901133
ぴあ,2020,Q3,-80.40970140535885
ぴあ,2020,Q4,-43.82197444235411
やまや,2018,Q1,58.90702807153187
やまや,2018,Q2,77.71989848697527
やまや,2018,Q3,129.61054493722614
やまや,2018,Q4,52.2197466128795
やまや,2019,Q1,71.40579753659459
やまや,2019,Q2,52.66268471941805
やまや,2019,Q3,138.57632234150424
やまや,2019,Q4,19.896767288205215
やまや,2020,Q1,-85.39527864279714
やまや,2020,Q2,33.34936812236657
やまや,2020,Q3,50.9356455742574
やまや,2020,Q4,-976.9176377647126
りらいあコミュニケーションズ,2018,Q1,8.221316105027938
りらいあコミュニケーションズ,2018,Q2,10.900379320893103
りらいあコミュニケーションズ,2018,Q3,14.713914994344082
りらいあコミュニケーションズ,2018,Q4,12.937291899799925
りらいあコミュニケーションズ,2019,Q1,-111.79020571461436
りらいあコミュニケーションズ,2019,Q2,11.169277475004973
りらいあコミュニケーションズ,2019,Q3,8.581872120437087
りらいあコミュニケーションズ,2019,Q4,-132.79435774314874
りらいあコミュニケーションズ,2020,Q1,52.54990261204492
りらいあコミュニケーションズ,2020,Q2,19.710907709264205
りらいあコミュニケーションズ,2020,Q3,29.597380164030973
りらいあコミュニケーションズ,2020,Q4,46.405443086463016
わかもと製薬,2018,Q1,3.133720514561162
わかもと製薬,2018,Q2,-5.297754279008041
わかもと製薬,2018,Q3,2.975497024063183
わかもと製薬,2018,Q4,3.6958777111351324
わかもと製薬,2019,Q1,1.9203407958694192
わかもと製薬,2019,Q2,-5.764197056489051
わかもと製薬,2019,Q3,-9.366364251551431
わかもと製薬,2019,Q4,-12.140222799710912
わかもと製薬,2020,Q1,-6.099582985220992
わかもと製薬,2020,Q2,-35.59540922528185
わかもと製薬,2020,Q3,8.898396783262635
わかもと製薬,2020,Q4,-2.683679660385696
アイカ工業,2018,Q1,39.184538643081666
アイカ工業,2018,Q2,52.204588445199185
アイカ工業,2018,Q3,50.18789751879534
アイカ工業,2018,Q4,47.25233901287756
アイカ工業,2019,Q1,45.33748131837846
アイカ工業,2019,Q2,52.83779943573319
アイカ工業,2019,Q3,54.45734055825109
アイカ工業,2019,Q4,59.3816381983175
アイカ工業,2020,Q1,36.5807555768162
アイカ工業,2020,Q2,48.78396409039522
アイカ工業,2020,Q3,38.93183578300548
アイカ工業,2020,Q4,39.56984212968242
アイコム,2018,Q1,-6.1170038446495685
アイコム,2018,Q2,4.715792640557729
アイコム,2018,Q3,4.114477438857994
アイコム,2018,Q4,48.975940090198655
アイコム,2019,Q1,27.548714855295515
アイコム,2019,Q2,11.84820233215596
アイコム,2019,Q3,18.690523496014837
アイコム,2019,Q4,82.77966850049891
アイコム,2020,Q1,17.42892108877738
アイコム,2020,Q2,2.0248982589076583
アイコム,2020,Q3,11.185072476102343
アイコム,2020,Q4,96.98767932320231
アイシン,2018,Q1,126.79347300426261
アイシン,2018,Q2,106.68632544972111
アイシン,2018,Q3,149.43723852602963
アイシン,2018,Q4,105.8808217597789
アイシン,2019,Q1,131.22232688804743
アイシン,2019,Q2,64.94060093372674
アイシン,2019,Q3,49.169326930702795
アイシン,2019,Q4,95.87635992040359
アイシン,2020,Q1,-12.632006631759197
アイシン,2020,Q2,-145.60346773192765
アイシン,2020,Q3,83.0616645581782
アイシン,2020,Q4,-18.31929442536368
アイダエンジニアリング,2018,Q1,17.266931303045283
アイダエンジニアリング,2018,Q2,15.690096491363883
アイダエンジニアリング,2018,Q3,11.667468555500509
アイダエンジニアリング,2018,Q4,34.00689070288234
アイダエンジニアリング,2019,Q1,14.366678815450815
アイダエンジニアリング,2019,Q2,12.578877234494083
アイダエンジニアリング,2019,Q3,19.050053750352138
アイダエンジニアリング,2019,Q4,29.740252619356404
アイダエンジニアリング,2020,Q1,9.616903748903098
アイダエンジニアリング,2020,Q2,16.840771264651167
アイダエンジニアリング,2020,Q3,9.570834051087989
アイダエンジニアリング,2020,Q4,14.82522058747793
アイチコーポレーション,2018,Q1,13.344583452635312
アイチコーポレーション,2018,Q2,24.83071059215737
アイチコーポレーション,2018,Q3,13.967518187215946
アイチコーポレーション,2018,Q4,24.96789863604551
アイチコーポレーション,2019,Q1,6.009311538174497
アイチコーポレーション,2019,Q2,15.732280765906149
アイチコーポレーション,2019,Q3,20.44958040564442
アイチコーポレーション,2019,Q4,28.8721489095564
アイチコーポレーション,2020,Q1,14.986785447686472
アイチコーポレーション,2020,Q2,15.529251030532293
アイチコーポレーション,2020,Q3,10.218151022971098
アイチコーポレーション,2020,Q4,22.375558553653658
アイティフォー,2018,Q1,2.1721752049623966
アイティフォー,2018,Q2,6.821490597407214
アイティフォー,2018,Q3,6.217164379052753
アイティフォー,2018,Q4,25.241844052336475
アイティフォー,2019,Q1,3.2356670374878824
アイティフォー,2019,Q2,7.658278519187304
アイティフォー,2019,Q3,8.809180662431357
アイティフォー,2019,Q4,22.20982074522836
アイティフォー,2020,Q1,5.921134528567549
アイティフォー,2020,Q2,12.165293925073874
アイティフォー,2020,Q3,6.0305852590092295
アイティフォー,2020,Q4,21.567876716343715
アイティメディア,2018,Q1,2.4338774684523137
アイティメディア,2018,Q2,6.366458836113929
アイティメディア,2018,Q3,8.407508644001943
アイティメディア,2018,Q4,7.2010309229047165
アイティメディア,2019,Q1,3.3975878537274196
アイティメディア,2019,Q2,7.085789495595985
アイティメディア,2019,Q3,7.347524582559277
アイティメディア,2019,Q4,10.305374918570296
アイティメディア,2020,Q1,9.632409401225363
アイティメディア,2020,Q2,8.774745224831559
アイティメディア,2020,Q3,15.353086851874307
アイティメディア,2020,Q4,10.353187508564726
アイネス,2018,Q1,-6.919255455888446
アイネス,2018,Q2,12.097473885124655
アイネス,2018,Q3,1.3979190686650247
アイネス,2018,Q4,32.902420932515895
アイネス,2019,Q1,-4.497897263397069
アイネス,2019,Q2,14.646278240137134
アイネス,2019,Q3,62.059221909027
アイネス,2019,Q4,-172.6613799844983
アイネス,2020,Q1,59.47925957641584
アイネス,2020,Q2,-43.53680814101538
アイネス,2020,Q3,111.37304063396273
アイネス,2020,Q4,81.55750270007209
アイネット,2018,Q1,8.05000000000002
アイネット,2018,Q2,28.163061748248207
アイネット,2018,Q3,23.223777144110098
アイネット,2018,Q4,27.070568291691707
アイネット,2019,Q1,13.417619234262435
アイネット,2019,Q2,30.349931718141384
アイネット,2019,Q3,24.885470461002697
アイネット,2019,Q4,28.916859358867416
アイネット,2020,Q1,22.741149689437133
アイネット,2020,Q2,19.69154082208269
アイネット,2020,Q3,22.966579044236386
アイネット,2020,Q4,24.78781363296022
アイホン,2018,Q1,-0.8269998434465999
アイホン,2018,Q2,48.070924433124496
アイホン,2018,Q3,12.8093112172192
アイホン,2018,Q4,36.30063619728923
アイホン,2019,Q1,17.901460267333004
アイホン,2019,Q2,53.99449168233518
アイホン,2019,Q3,32.52256065129298
アイホン,2019,Q4,63.007571997416285
アイホン,2020,Q1,6.19639670795741
アイホン,2020,Q2,62.166181945501734
アイホン,2020,Q3,16.973247557044076
アイホン,2020,Q4,35.2218311376153
アイロムグループ,2018,Q1,100.25984474424168
アイロムグループ,2018,Q2,-51.01036836316578
アイロムグループ,2018,Q3,33.55606661167642
アイロムグループ,2018,Q4,21.376622851354607
アイロムグループ,2019,Q1,19.00428026744829
アイロムグループ,2019,Q2,32.27542919625292
アイロムグループ,2019,Q3,6.419499592048613
アイロムグループ,2019,Q4,41.20184194947622
アイロムグループ,2020,Q1,20.763626241693828
アイロムグループ,2020,Q2,5.91879360139969
アイロムグループ,2020,Q3,23.728831930829877
アイロムグループ,2020,Q4,72.58270841045366
アキレス,2018,Q1,47.39391812462538
アキレス,2018,Q2,8.930262099334128
アキレス,2018,Q3,36.360094855712774
アキレス,2018,Q4,-10.612909944002094
アキレス,2019,Q1,13.522936284671115
アキレス,2019,Q2,16.608485574372605
アキレス,2019,Q3,-24.05130398191776
アキレス,2019,Q4,33.55824642400385
アキレス,2020,Q1,36.450447371310275
アキレス,2020,Q2,84.45967068464637
アキレス,2020,Q3,44.051601712186965
アキレス,2020,Q4,34.79619419430697
アクシアル　リテイリング,2018,Q1,63.6433461581461
アクシアル　リテイリング,2018,Q2,62.410030189098485
アクシアル　リテイリング,2018,Q3,88.05093459723902
アクシアル　リテイリング,2018,Q4,47.88820276580565
アクシアル　リテイリング,2019,Q1,60.69088758851446
アクシアル　リテイリング,2019,Q2,75.3817953046177
アクシアル　リテイリング,2019,Q3,73.95754864226006
アクシアル　リテイリング,2019,Q4,67.30720020628871
アクシアル　リテイリング,2020,Q1,67.53361113173797
アクシアル　リテイリング,2020,Q2,58.89294519588103
アクシアル　リテイリング,2020,Q3,82.86807678957834
アクシアル　リテイリング,2020,Q4,60.737781039584604
アクセル,2018,Q1,9.13180057281818
アクセル,2018,Q2,-44.4354665479646
アクセル,2018,Q3,-8.446399509764548
アクセル,2018,Q4,-14.541498518806364
アクセル,2019,Q1,-78.08093079233869
アクセル,2019,Q2,0.6461722673768229
アクセル,2019,Q3,-73.35476403861797
アクセル,2019,Q4,-6.625840273336024
アクセル,2020,Q1,4.4536504146697204
アクセル,2020,Q2,12.067894885534699
アクセル,2020,Q3,19.18254062570052
アクセル,2020,Q4,10.538735143405216
アジアパイルホールディングス,2018,Q1,8.710565858441296
アジアパイルホールディングス,2018,Q2,24.13840996724132
アジアパイルホールディングス,2018,Q3,29.116494586399178
アジアパイルホールディングス,2018,Q4,10.237596970920603
アジアパイルホールディングス,2019,Q1,27.410640814017526
アジアパイルホールディングス,2019,Q2,27.988168966335312
アジアパイルホールディングス,2019,Q3,13.853714578126414
アジアパイルホールディングス,2019,Q4,8.755167032447838
アジアパイルホールディングス,2020,Q1,24.514228332027642
アジアパイルホールディングス,2020,Q2,21.366513998729612
アジアパイルホールディングス,2020,Q3,20.295039227012047
アジアパイルホールディングス,2020,Q4,10.002600053629276
アステラス製薬,2018,Q1,20.042495049962007
アステラス製薬,2018,Q2,19.842387002988936
アステラス製薬,2018,Q3,30.268548785915844
アステラス製薬,2018,Q4,10.988745542949395
アステラス製薬,2019,Q1,27.630543740218627
アステラス製薬,2019,Q2,25.392601300616107
アステラス製薬,2019,Q3,45.45618165589625
アステラス製薬,2019,Q4,16.302665371036824
アステラス製薬,2020,Q1,31.869578632007368
アステラス製薬,2020,Q2,37.076629125790255
アステラス製薬,2020,Q3,34.09360530155249
アステラス製薬,2020,Q4,2.9097898788766847
アズビル,2018,Q1,21.422053190406636
アズビル,2018,Q2,57.53314221960513
アズビル,2018,Q3,56.748175853515306
アズビル,2018,Q4,114.38549930078717
アズビル,2019,Q1,3.534847755405579
アズビル,2019,Q2,56.61156547468668
アズビル,2019,Q3,30.425430001120464
アズビル,2019,Q4,53.35053403384218
アズビル,2020,Q1,13.061158259970032
アズビル,2020,Q2,33.2831005154682
アズビル,2020,Q3,35.32699793941759
アズビル,2020,Q4,64.05908922731638
アズワン,2018,Q1,57.261228872774666
アズワン,2018,Q2,53.96671422932523
アズワン,2018,Q3,61.62626953839437
アズワン,2018,Q4,86.42040032781912
アズワン,2019,Q1,66.57563522874268
アズワン,2019,Q2,61.97902826200781
アズワン,2019,Q3,77.06491009866076
アズワン,2019,Q4,80.58825945965353
アズワン,2020,Q1,72.08948184962779
アズワン,2020,Q2,78.55156580817525
アズワン,2020,Q3,68.88464267120897
アズワン,2020,Q4,100.37791142351513
アツギ,2018,Q1,1.4419770911049758
アツギ,2018,Q2,2.255988250636279
アツギ,2018,Q3,10.699566216586218
アツギ,2018,Q4,2.935296679462093
アツギ,2019,Q1,-539.8909670617508
アツギ,2019,Q2,15.536350988143706
アツギ,2019,Q3,3.275434292397565
アツギ,2019,Q4,-248.76492535297456
アツギ,2020,Q1,-52.290721431767295
アツギ,2020,Q2,13.390437536620247
アツギ,2020,Q3,-298.82803203785846
アツギ,2020,Q4,-130.52301946387666
アドウェイズ,2018,Q1,-0.8546070290696871
アドウェイズ,2018,Q2,1.3084699856199251
アドウェイズ,2018,Q3,-5.439707903306377
アドウェイズ,2018,Q4,6.338653662285872
アドウェイズ,2019,Q1,5.1932809311083
アドウェイズ,2019,Q2,0.997517099074576
アドウェイズ,2019,Q3,3.3166672339384267
アドウェイズ,2019,Q4,8.853654744715662
アドウェイズ,2020,Q1,-6.983457423569069
アドウェイズ,2020,Q2,1.806243198007792
アドウェイズ,2020,Q3,1.8951102021129227
アドウェイズ,2020,Q4,7.603110840577583
アドソル日進,2018,Q1,13.527498155121235
アドソル日進,2018,Q2,16.620180399846195
アドソル日進,2018,Q3,17.756553073234898
アドソル日進,2018,Q4,11.027559495125216
アドソル日進,2019,Q1,17.21539660277949
アドソル日進,2019,Q2,21.11661934001089
アドソル日進,2019,Q3,19.66827244414528
アドソル日進,2019,Q4,15.005067840803
アドソル日進,2020,Q1,22.42210485913751
アドソル日進,2020,Q2,24.91801126952884
アドソル日進,2020,Q3,24.646697434626812
アドソル日進,2020,Q4,16.885830104926722
アドバネクス,2018,Q1,9.64516100122572
アドバネクス,2018,Q2,0.3270821323942563
アドバネクス,2018,Q3,7.634567105776216
アドバネクス,2018,Q4,-13.483007264958838
アドバネクス,2019,Q1,-0.7782566921349647
アドバネクス,2019,Q2,-5.155639914587684
アドバネクス,2019,Q3,-10.82865350647328
アドバネクス,2019,Q4,-7.124118539716021
アドバネクス,2020,Q1,-26.984059603476584
アドバネクス,2020,Q2,3.909349967182955
アドバネクス,2020,Q3,-18.779414484864322
アドバネクス,2020,Q4,-123.07934129828864
アドバンテスト,2018,Q1,9.94729627534553
アドバンテスト,2018,Q2,37.557607598554824
アドバンテスト,2018,Q3,29.748268291488003
アドバンテスト,2018,Q4,77.809687509773
アドバンテスト,2019,Q1,70.34716697145413
アドバンテスト,2019,Q2,80.71719178518768
アドバンテスト,2019,Q3,85.7839510310359
アドバンテスト,2019,Q4,30.195910951733303
アドバンテスト,2020,Q1,74.52916263458141
アドバンテスト,2020,Q2,70.52852499333306
アドバンテスト,2020,Q3,58.55686311450187
アドバンテスト,2020,Q4,75.20234070300178
アドヴァングループ,2018,Q1,19.046754894748663
アドヴァングループ,2018,Q2,26.964345089431756
アドヴァングループ,2018,Q3,22.15647874876329
アドヴァングループ,2018,Q4,-3.0347117865723705
アドヴァングループ,2019,Q1,38.50485463285916
アドヴァングループ,2019,Q2,20.194156863051127
アドヴァングループ,2019,Q3,20.590582554644502
アドヴァングループ,2019,Q4,37.55818023974592
アドヴァングループ,2020,Q1,15.28205626711423
アドヴァングループ,2020,Q2,34.29804762747129
アドヴァングループ,2020,Q3,30.13718108066396
アドヴァングループ,2020,Q4,24.30305355156905
アネスト岩田,2018,Q1,13.1443564423319
アネスト岩田,2018,Q2,21.45213622123097
アネスト岩田,2018,Q3,13.621161763290921
アネスト岩田,2018,Q4,20.587793764136187
アネスト岩田,2019,Q1,14.39334605727673
アネスト岩田,2019,Q2,24.009578501595186
アネスト岩田,2019,Q3,18.67537487232562
アネスト岩田,2019,Q4,11.759458175838732
アネスト岩田,2020,Q1,12.812978675394636
アネスト岩田,2020,Q2,22.84254660072348
アネスト岩田,2020,Q3,12.38693222105655
アネスト岩田,2020,Q4,16.781918192405893
アマダ,2018,Q1,4.9210324576611715
アマダ,2018,Q2,27.081055453023556
アマダ,2018,Q3,21.155053166774692
アマダ,2018,Q4,16.670807995149097
アマダ,2019,Q1,19.103928280417993
アマダ,2019,Q2,30.235015190526177
アマダ,2019,Q3,13.370823015693075
アマダ,2019,Q4,32.298347451723636
アマダ,2020,Q1,4.78511369871456
アマダ,2020,Q2,28.66312860484654
アマダ,2020,Q3,11.342921327631
アマダ,2020,Q4,14.9037195722688
アマノ,2018,Q1,12.067698008622711
アマノ,2018,Q2,38.67181827395412
アマノ,2018,Q3,34.17739398393962
アマノ,2018,Q4,39.03990084744895
アマノ,2019,Q1,12.098508186871284
アマノ,2019,Q2,43.175001261700785
アマノ,2019,Q3,20.164900179304148
アマノ,2019,Q4,56.44612987809312
アマノ,2020,Q1,17.37656298248089
アマノ,2020,Q2,39.293536527386365
アマノ,2020,Q3,28.91689759317684
アマノ,2020,Q4,43.25821855954466
アミューズ,2018,Q1,21.5103799198168
アミューズ,2018,Q2,19.852898992543867
アミューズ,2018,Q3,80.53431671349492
アミューズ,2018,Q4,38.99515901721117
アミューズ,2019,Q1,78.19919415761565
アミューズ,2019,Q2,100.68059871599317
アミューズ,2019,Q3,105.63073145664306
アミューズ,2019,Q4,56.44612977269193
アミューズ,2020,Q1,50.71983855907033
アミューズ,2020,Q2,-10.617717816386708
アミューズ,2020,Q3,81.45993605895963
アミューズ,2020,Q4,-45.69221477780676
アリアケジャパン,2018,Q1,56.22649408686952
アリアケジャパン,2018,Q2,61.86276434658948
アリアケジャパン,2018,Q3,75.60638212068254
アリアケジャパン,2018,Q4,45.776585647109016
アリアケジャパン,2019,Q1,-433.67657938391915
アリアケジャパン,2019,Q2,65.14477703680355
アリアケジャパン,2019,Q3,36.85546185097309
アリアケジャパン,2019,Q4,354.71263578607363
アリアケジャパン,2020,Q1,128.7455233222678
アリアケジャパン,2020,Q2,59.66385903313356
アリアケジャパン,2020,Q3,76.73599722567843
アリアケジャパン,2020,Q4,68.20474626970605
アルインコ,2018,Q1,21.312795417210623
アルインコ,2018,Q2,28.30505506935939
アルインコ,2018,Q3,31.359959015340866
アルインコ,2018,Q4,1.6540319847186835
アルインコ,2019,Q1,26.220487664900663
アルインコ,2019,Q2,26.73220095220532
アルインコ,2019,Q3,41.30517446346885
アルインコ,2019,Q4,15.708932023744662
アルインコ,2020,Q1,19.753809374563755
アルインコ,2020,Q2,40.307850591579175
アルインコ,2020,Q3,41.31076334271359
アルインコ,2020,Q4,-10.930695602271342
アルコニックス,2018,Q1,106.78562123573037
アルコニックス,2018,Q2,36.66977812052098
アルコニックス,2018,Q3,55.36662711946901
アルコニックス,2018,Q4,38.57196075280271
アルコニックス,2019,Q1,58.58970920307534
アルコニックス,2019,Q2,41.47773893241549
アルコニックス,2019,Q3,31.81655809385469
アルコニックス,2019,Q4,20.402189104468565
アルコニックス,2020,Q1,35.407051897713416
アルコニックス,2020,Q2,36.29845893247304
アルコニックス,2020,Q3,49.10228216652165
アルコニックス,2020,Q4,5.6192803026451585
アルゴグラフィックス,2018,Q1,60.95285302473759
アルゴグラフィックス,2018,Q2,63.0199456904253
アルゴグラフィックス,2018,Q3,53.82961551749201
アルゴグラフィックス,2018,Q4,83.85086427689751
アルゴグラフィックス,2019,Q1,90.5685519079203
アルゴグラフィックス,2019,Q2,62.38683961831364
アルゴグラフィックス,2019,Q3,79.89266088830617
アルゴグラフィックス,2019,Q4,75.17770856462883
アルゴグラフィックス,2020,Q1,34.48057257750621
アルゴグラフィックス,2020,Q2,48.45763220447625
アルゴグラフィックス,2020,Q3,46.29206788729283
アルゴグラフィックス,2020,Q4,37.66972813525188
アルビス,2018,Q1,75.48005486037968
アルビス,2018,Q2,79.78346825758433
アルビス,2018,Q3,76.7713288572972
アルビス,2018,Q4,56.23988796085294
アルビス,2019,Q1,63.31885960215471
アルビス,2019,Q2,55.88765895681882
アルビス,2019,Q3,71.94300900482023
アルビス,2019,Q4,33.08908062875964
アルビス,2020,Q1,6.908448737335342
アルビス,2020,Q2,37.99208182725272
アルビス,2020,Q3,41.35443752199789
アルビス,2020,Q4,30.51412640285684
アルファ,2018,Q1,81.39305821254614
アルファ,2018,Q2,44.87311788059943
アルファ,2018,Q3,5.67761249006224
アルファ,2018,Q4,98.59620509522422
アルファ,2019,Q1,36.761237589621025
アルファ,2019,Q2,79.9971709459842
アルファ,2019,Q3,72.47902297455026
アルファ,2019,Q4,20.76196709926951
アルファ,2020,Q1,-3.2997673237780702
アルファ,2020,Q2,15.560633422163491
アルファ,2020,Q3,-32.620564776654184
アルファ,2020,Q4,-220.06350373364583
アルファシステムズ,2018,Q1,28.499135180972832
アルファシステムズ,2018,Q2,31.95604688330798
アルファシステムズ,2018,Q3,23.83908858771311
アルファシステムズ,2018,Q4,49.070856243760076
アルファシステムズ,2019,Q1,36.97754144025562
アルファシステムズ,2019,Q2,36.59191451639874
アルファシステムズ,2019,Q3,27.35491714051597
アルファシステムズ,2019,Q4,41.57560844407604
アルファシステムズ,2020,Q1,23.702177261860623
アルファシステムズ,2020,Q2,45.49504032432356
アルファシステムズ,2020,Q3,40.04154420659914
アルファシステムズ,2020,Q4,52.704070423496425
アルフレッサ　ホールディングス,2018,Q1,31.322756910873135
アルフレッサ　ホールディングス,2018,Q2,37.71891423081853
アルフレッサ　ホールディングス,2018,Q3,57.93519253105497
アルフレッサ　ホールディングス,2018,Q4,61.229898506532145
アルフレッサ　ホールディングス,2019,Q1,32.67674785539059
アルフレッサ　ホールディングス,2019,Q2,39.185518329069005
アルフレッサ　ホールディングス,2019,Q3,87.13687482017723
アルフレッサ　ホールディングス,2019,Q4,20.9553534702951
アルフレッサ　ホールディングス,2020,Q1,44.782054609626
アルフレッサ　ホールディングス,2020,Q2,45.23781389327819
アルフレッサ　ホールディングス,2020,Q3,39.52300975056252
アルフレッサ　ホールディングス,2020,Q4,55.23943506614812
アルプスアルパイン,2018,Q1,22.003357092403615
アルプスアルパイン,2018,Q2,87.67929566927587
アルプスアルパイン,2018,Q3,85.64068689515284
アルプスアルパイン,2018,Q4,-0.6917090116317333
アルプスアルパイン,2019,Q1,4.685190453643715
アルプスアルパイン,2019,Q2,59.163202409464894
アルプスアルパイン,2019,Q3,35.1887556118822
アルプスアルパイン,2019,Q4,-47.8990757813614
アルプスアルパイン,2020,Q1,-15.029023301476778
アルプスアルパイン,2020,Q2,16.069873493357136
アルプスアルパイン,2020,Q3,-19.49634034837824
アルプスアルパイン,2020,Q4,-29.18748436724613
アルプス物流,2018,Q1,16.36160225843978
アルプス物流,2018,Q2,15.13781379364347
アルプス物流,2018,Q3,21.998368440936655
アルプス物流,2018,Q4,13.51347801452463
アルプス物流,2019,Q1,14.199718830008804
アルプス物流,2019,Q2,19.898397265335785
アルプス物流,2019,Q3,24.710686502811278
アルプス物流,2019,Q4,11.907527738632542
アルプス物流,2020,Q1,15.491467880150871
アルプス物流,2020,Q2,16.918847448387673
