企業名,会計年度,四半期,y_hat_sarima_br
アドバンテスト,2018,Q4,77.94018930399558
アドバンテスト,2019,Q1,29.820052622165484
アドバンテスト,2019,Q2,44.2949595427832
アドバンテスト,2019,Q3,39.432967093699155
アドバンテスト,2019,Q4,67.01071989006121
アドバンテスト,2020,Q1,57.94754489473674
アドバンテスト,2020,Q2,47.36545330296931
アドバンテスト,2020,Q3,48.15206907924852
アドバンテスト,2020,Q4,68.37809216607268
アドヴァングループ,2018,Q1,9.180845347718162
アドヴァングループ,2018,Q2,29.34371079217726
アドヴァングループ,2018,Q3,33.612917761460366
アドヴァングループ,2018,Q4,12.85225025257517
アドヴァングループ,2019,Q1,26.438821949713628
アドヴァングループ,2019,Q2,24.275922008786893
アドヴァングループ,2019,Q3,36.534783443847445
アドヴァングループ,2019,Q4,23.98492238191095
アドヴァングループ,2020,Q1,24.742433539592312
アドヴァングループ,2020,Q2,29.450834822531103
アドヴァングループ,2020,Q3,31.827105144373625
アドヴァングループ,2020,Q4,16.461632494034227
アマダ,2018,Q1,4.169988556790738
アマダ,2018,Q2,26.859757696322145
アマダ,2018,Q3,23.52171009737635
アマダ,2018,Q4,19.072754820514028
アマダ,2019,Q1,18.189933826951346
アマダ,2019,Q2,26.948843256240195
アマダ,2019,Q3,16.051940702540065
アマダ,2019,Q4,25.48431327769549
アマダ,2020,Q1,3.3086926344412264
アマダ,2020,Q2,31.1540513629991
アマダ,2020,Q3,8.825496512067463
アマダ,2020,Q4,18.22102884046117
アマノ,2018,Q1,11.70533370112811
アマノ,2018,Q2,36.83326870098997
アマノ,2018,Q3,33.96014462618262
アマノ,2018,Q4,39.146329714180474
アマノ,2019,Q1,12.847592886849739
アマノ,2019,Q2,42.8507132246522
アマノ,2019,Q3,22.326067092500946
アマノ,2019,Q4,54.28724577811208
アマノ,2020,Q1,15.45973111715745
アマノ,2020,Q2,37.80175158750667
アマノ,2020,Q3,26.05687099265693
アマノ,2020,Q4,45.097323428129535
アミューズ,2018,Q1,73.61849017219194
アミューズ,2018,Q2,57.72931919811377
アミューズ,2018,Q3,70.79148942515734
アミューズ,2018,Q4,34.83838567664567
アミューズ,2019,Q1,114.60765523261821
アミューズ,2019,Q2,83.76563219870954
アミューズ,2019,Q3,54.86584883694478
アミューズ,2019,Q4,27.677850619436825
アミューズ,2020,Q1,52.55057262786874
アミューズ,2020,Q2,35.75468196529454
アミューズ,2020,Q3,69.67534905640379
アミューズ,2020,Q4,3.552636113570877
アリアケジャパン,2018,Q1,56.059501799100964
アリアケジャパン,2018,Q2,63.95531081994149
アリアケジャパン,2018,Q3,78.99981101909907
アリアケジャパン,2018,Q4,40.154146561487025
アリアケジャパン,2019,Q1,-481.7577251392295
アリアケジャパン,2019,Q2,65.03803387667055
アリアケジャパン,2019,Q3,37.5397659525936
アリアケジャパン,2019,Q4,331.6871430079931
アリアケジャパン,2020,Q1,54.675597640586105
アリアケジャパン,2020,Q2,54.708190868047716
アリアケジャパン,2020,Q3,61.385196075658556
アリアケジャパン,2020,Q4,124.3219634856392
アルインコ,2018,Q1,18.01101460163131
アルインコ,2018,Q2,28.513837409535686
アルインコ,2018,Q3,31.72577008007552
アルインコ,2018,Q4,1.6608330884807931
アルインコ,2019,Q1,25.59319494809836
アルインコ,2019,Q2,27.35567693858459
アルインコ,2019,Q3,44.43765303936926
アルインコ,2019,Q4,14.78749373453896
アルインコ,2020,Q1,14.666364731611925
アルインコ,2020,Q2,31.309700645973283
アルインコ,2020,Q3,35.37140217644454
アルインコ,2020,Q4,5.272987644764219
アルコニックス,2018,Q1,110.90513452543944
アルコニックス,2018,Q2,59.859655502229664
アルコニックス,2018,Q3,74.43270422244325
アルコニックス,2018,Q4,35.36883837915957
アルコニックス,2019,Q1,71.06615352710365
アルコニックス,2019,Q2,39.45205307364201
アルコニックス,2019,Q3,62.370988269700206
アルコニックス,2019,Q4,29.317405312288017
アルコニックス,2020,Q1,59.281457544819986
アルコニックス,2020,Q2,38.418660384742445
アルコニックス,2020,Q3,51.719239722310455
アルコニックス,2020,Q4,15.273017627233575
アルゴグラフィックス,2018,Q1,55.899575008700936
アルゴグラフィックス,2018,Q2,66.50122999854989
アルゴグラフィックス,2018,Q3,50.70678595222259
アルゴグラフィックス,2018,Q4,85.179185096272
アルゴグラフィックス,2019,Q1,89.520528446903
アルゴグラフィックス,2019,Q2,58.22334456236233
アルゴグラフィックス,2019,Q3,67.33098722408653
アルゴグラフィックス,2019,Q4,72.29993283750035
アルゴグラフィックス,2020,Q1,42.676937754437574
アルゴグラフィックス,2020,Q2,49.13909785225534
アルゴグラフィックス,2020,Q3,50.79667522945697
アルゴグラフィックス,2020,Q4,42.34206186754409
アルファ,2018,Q1,42.34870882837722
アルファ,2018,Q2,9.359894371272276
アルファ,2018,Q3,63.298684397709906
アルファ,2018,Q4,42.8792941742671
アルファ,2019,Q1,26.232767627698244
アルファ,2019,Q2,18.663881604552067
アルファ,2019,Q3,52.15794146517678
アルファ,2019,Q4,36.42762594787349
アルファ,2020,Q1,-38.150187410620134
アルファ,2020,Q2,-5.8150756442175435
アルファ,2020,Q3,2.739820550167707
アルファ,2020,Q4,4.657171204805394
アルファシステムズ,2018,Q1,25.14449309876286
アルファシステムズ,2018,Q2,27.551716594798396
アルファシステムズ,2018,Q3,25.42132177027191
アルファシステムズ,2018,Q4,47.74914720133321
アルファシステムズ,2019,Q1,32.037799653239176
アルファシステムズ,2019,Q2,31.68624507856183
アルファシステムズ,2019,Q3,26.359892311888544
アルファシステムズ,2019,Q4,43.720110944132955
アルファシステムズ,2020,Q1,27.022100907058096
アルファシステムズ,2020,Q2,42.01332691390062
アルファシステムズ,2020,Q3,37.191033427676054
アルファシステムズ,2020,Q4,50.840412467667406
アルフレッサ　ホールディングス,2018,Q1,61.34031496175862
アルフレッサ　ホールディングス,2018,Q2,33.87764479757049
アルフレッサ　ホールディングス,2018,Q3,70.90965521330341
アルフレッサ　ホールディングス,2018,Q4,43.64159904558639
アルフレッサ　ホールディングス,2019,Q1,55.59764054397742
アルフレッサ　ホールディングス,2019,Q2,34.80345553453088
アルフレッサ　ホールディングス,2019,Q3,79.84115881986928
アルフレッサ　ホールディングス,2019,Q4,28.115160675363544
アルフレッサ　ホールディングス,2020,Q1,52.42969304886184
アルフレッサ　ホールディングス,2020,Q2,33.94351658319161
アルフレッサ　ホールディングス,2020,Q3,51.45220885851223
アルフレッサ　ホールディングス,2020,Q4,36.84371125324255
アルプスアルパイン,2018,Q1,23.552367999356257
アルプスアルパイン,2018,Q2,79.6170947661031
アルプスアルパイン,2018,Q3,83.68519510141319
アルプスアルパイン,2018,Q4,6.123480139559888
アルプスアルパイン,2019,Q1,-0.31411803244903425
アルプスアルパイン,2019,Q2,56.26770613166338
アルプスアルパイン,2019,Q3,48.11384619910315
アルプスアルパイン,2019,Q4,-42.60917825872494
アルプスアルパイン,2020,Q1,-18.452750233119982
アルプスアルパイン,2020,Q2,18.702539654409826
アルプスアルパイン,2020,Q3,1.9252412137270838
アルプスアルパイン,2020,Q4,-17.61492070500038
アルプス物流,2018,Q1,17.271463366850863
アルプス物流,2018,Q2,18.360466760843973
アルプス物流,2018,Q3,32.22544968180294
アルプス物流,2018,Q4,19.736644660648487
アルプス物流,2019,Q1,18.4127174171403
アルプス物流,2019,Q2,19.55622904684208
アルプス物流,2019,Q3,31.802587796922296
アルプス物流,2019,Q4,16.453741905620316
アルプス物流,2020,Q1,13.985862661629485
アルプス物流,2020,Q2,15.63860493651324
アルプス物流,2020,Q3,22.75461279591839
アルプス物流,2020,Q4,17.26969726203672
アンリツ,2018,Q1,-1.5854574891168676
アンリツ,2018,Q2,6.384649448451841
アンリツ,2018,Q3,10.709253954967995
アンリツ,2018,Q4,17.170682431978662
アンリツ,2019,Q1,9.853985869731575
アンリツ,2019,Q2,12.91009620407616
アンリツ,2019,Q3,16.86481362145652
アンリツ,2019,Q4,18.809133137484867
アンリツ,2020,Q1,19.57778101617167
アンリツ,2020,Q2,21.7773521946485
アンリツ,2020,Q3,25.093972266758104
アンリツ,2020,Q4,28.734835241946964
アートネイチャー,2018,Q1,1.9435289478715418
アートネイチャー,2018,Q2,15.640895635771919
アートネイチャー,2018,Q3,17.22627122216249
アートネイチャー,2018,Q4,1.1380864400975867
アートネイチャー,2019,Q1,10.526837485517637
アートネイチャー,2019,Q2,17.471101771664223
アートネイチャー,2019,Q3,8.708273232522206
アートネイチャー,2019,Q4,21.5498705148588
アートネイチャー,2020,Q1,7.74832952309329
アートネイチャー,2020,Q2,46.77211768099333
アートネイチャー,2020,Q3,-3.8628061673521774
アートネイチャー,2020,Q4,6.788518260738131
イエローハット,2018,Q1,49.741687121101144
イエローハット,2018,Q2,44.13063679380142
イエローハット,2018,Q3,116.63381473622792
イエローハット,2018,Q4,55.01414504604799
イエローハット,2019,Q1,53.45950403673014
イエローハット,2019,Q2,49.23834911908017
イエローハット,2019,Q3,144.0620363121909
イエローハット,2019,Q4,50.526362660448605
イエローハット,2020,Q1,52.78552291298166
イエローハット,2020,Q2,48.54583490276094
イエローハット,2020,Q3,104.93792009420167
イエローハット,2020,Q4,39.896210840395675
イソライト工業,2018,Q1,20.466960757028723
イソライト工業,2018,Q2,20.143983244460888
イソライト工業,2018,Q3,23.120042359915075
イソライト工業,2018,Q4,21.03991270082006
イソライト工業,2019,Q1,3.3388873191812003
イソライト工業,2019,Q2,24.315658176534633
イソライト工業,2019,Q3,24.629306526549993
イソライト工業,2019,Q4,-1.3522675087416638
イソライト工業,2020,Q1,23.829523240468987
