,,SARIMA: BR,SARIMA: G,SARIMA: F
あらた,MAE,19.684362617932422,19.228380710989235,18.677474338635793
あらた,MAPE,0.20945091591798096,0.19998821916143128,0.20202353714136967
あらた,MSE,0.09365087015424899,0.07715206645764004,0.09275510808506095
あらた,RMSE,25.423847519404216,24.383315189014585,23.696498146634035
あらた,RMSPE,0.30602429667307296,0.27776260809842646,0.30455723285625796
いすゞ自動車,MAE,11.81761505757054,10.832229726250496,14.365059738506014
いすゞ自動車,MAPE,0.674521617605161,0.5964055656475219,0.769031053821554
いすゞ自動車,MSE,1.6226141441465067,1.3356335240539288,1.5590133331960374
いすゞ自動車,RMSE,17.399254371591645,16.14387769838912,18.089403926164817
いすゞ自動車,RMSPE,1.2738187249944581,1.1556961209824703,1.2486045543710136
いなげや,MAE,13.778783109886497,16.39616918332923,16.65136450511986
いなげや,MAPE,0.9335793093385115,1.2393368918433283,1.253766167648563
いなげや,MSE,1.5784789977504399,3.0953534592905005,2.625957383246063
いなげや,RMSE,20.745877950346657,23.095953035199646,23.47500928622773
いなげや,RMSPE,1.2563753411104661,1.7593616624476334,1.6204806025516205
かどや製油,MAE,25.439808600079274,23.233766474351885,23.776624210056312
かどや製油,MAPE,0.6129280671262735,0.5852151509929945,0.717559601807896
かどや製油,MSE,1.2478357052744886,0.917253436012027,2.3488064183088353
かどや製油,RMSE,31.59731888747783,28.679778779973592,29.38884500798009
かどや製油,RMSPE,1.1170656673958288,0.957733489031279,1.5325816188082237
きんでん,MAE,3.8513291431782055,3.6974765414099795,4.0471805634299285
きんでん,MAPE,0.1519856744350128,0.13203904486036724,0.16948141198354016
きんでん,MSE,0.04661833287278403,0.033422876285271796,0.062291030371335404
きんでん,RMSE,4.663927957531237,4.582694492319281,4.628583070102802
きんでん,RMSPE,0.21591278997035823,0.18281924484383966,0.24958171081097952
さくらインターネット,MAE,57.02403490428012,2.391398571467041,67.85523854296831
さくらインターネット,MAPE,48.57367935608806,1.456956880823486,53.48042165543853
さくらインターネット,MSE,10406.98109439386,3.8925076875726514,16124.59436517999
さくらインターネット,RMSE,110.82671267158167,2.810310320316848,149.88366519281513
さくらインターネット,RMSPE,102.01461216116964,1.9729439139450091,126.98265379641421
たけびし,MAE,8.34135706302347,8.987229614278538,9.108618431160943
たけびし,MAPE,0.3109085301702261,0.34144724653363245,0.34241344398731677
たけびし,MSE,0.22986154300882863,0.23770198858144012,0.23066124291269166
たけびし,RMSE,11.890897117629601,12.054030390103124,12.353008727601852
たけびし,RMSPE,0.4794387792083872,0.48754690910869297,0.48027205093851927
なとり,MAE,9.090330079231135,11.37650368815149,9.961420003849552
なとり,MAPE,0.37408376951526484,0.44574791089959853,0.43964968429959966
なとり,MSE,0.3049346059767651,0.3392336884355225,0.39776667362568435
なとり,RMSE,13.03594292234789,14.582359747211726,13.241091682501182
なとり,RMSPE,0.5522088427187354,0.5824377120650092,0.6306874611292699
はせがわ,MAE,12.190184637070784,13.41791502055338,13.281639071108456
はせがわ,MAPE,10.399048030497084,54.19738079531092,6.2173483517233405
はせがわ,MSE,1067.498888171863,33992.93642878599,318.36212644575613
はせがわ,RMSE,16.121820436386802,16.644148395635717,17.006717606377816
はせがわ,RMSPE,32.672601490727104,184.37173435422793,17.84270513251161
はるやまホールディングス,MAE,36.632845243854355,43.33704542655055,31.79623216437656
はるやまホールディングス,MAPE,0.6184917982576544,0.8021515647727399,0.5474718661963526
はるやまホールディングス,MSE,0.5587680630950508,0.7876742411410316,0.45935446558860576
はるやまホールディングス,RMSE,55.78985043243362,59.62880009006918,46.24624442029622
はるやまホールディングス,RMSPE,0.7475079016940562,0.8875101357962237,0.6777569369535112
ぴあ,MAE,45.02154640666686,35.527467550792274,34.67449991632105
ぴあ,MAPE,1.900657072474715,2.0205459373085914,1.512439156807673
ぴあ,MSE,12.827715576886431,17.5758416428275,6.815237125351689
ぴあ,RMSE,76.69089570776475,64.88454969003817,66.13577494583123
ぴあ,RMSPE,3.581580039156801,4.192355142736299,2.6106009126926484
やまや,MAE,182.49293398442214,166.11783054196246,199.99075863156736
やまや,MAPE,2.7099947546002103,2.356252843637396,2.919563768407615
やまや,MSE,24.73725553272227,16.73222594973846,29.126446323795562
やまや,RMSE,361.19275084553414,319.9336136805879,409.71622983755236
やまや,RMSPE,4.973656153447107,4.0905043637354135,5.396892283879266
りらいあコミュニケーションズ,MAE,46.06588091115651,44.57720261426727,56.0489214767924
りらいあコミュニケーションズ,MAPE,1.2812954789782227,1.2537203144622238,1.7215112318275967
りらいあコミュニケーションズ,MSE,5.706792180724005,5.114655015179597,9.387824980059337
りらいあコミュニケーションズ,RMSE,77.40296053293444,77.7994067872002,88.24100046767882
りらいあコミュニケーションズ,RMSPE,2.3888893194796625,2.261560305448342,3.063955773189185
わかもと製薬,MAE,7.683722941696736,9.555425332744859,9.426879252650684
わかもと製薬,MAPE,1.8326319304601812,2.1808036612412702,3.095964940145949
わかもと製薬,MSE,10.861752142267115,9.78577675219537,23.97953284697292
わかもと製薬,RMSE,12.088997820291443,12.821822200387349,12.686912380752226
わかもと製薬,RMSPE,3.2957172424628776,3.1282226187078455,4.896890119961129
アイカ工業,MAE,7.437326766325654,8.787700206719519,8.573116988032167
アイカ工業,MAPE,0.16709740417401928,0.206829039752353,0.22084253370340878
アイカ工業,MSE,0.044422084530842225,0.07876214110639092,0.12976813939882884
アイカ工業,RMSE,8.968528819828615,11.493527514325194,11.78390173664775
アイカ工業,RMSPE,0.21076547281479058,0.2806459354888129,0.3602334512490877
