企業名,会計年度,四半期,y_hat_ul2_i_tuned_simple,best_hyparam
あらた,2018,Q1,126.52347148068395,[1000]
あらた,2018,Q2,91.00845022659443,[1000]
あらた,2018,Q3,117.66251327982627,[1000]
あらた,2018,Q4,95.43088871437755,[1000]
あらた,2019,Q1,112.5684286965654,[1000]
あらた,2019,Q2,109.44584649265246,[1000]
あらた,2019,Q3,118.46245897964099,[1000]
あらた,2019,Q4,110.7480004822622,[1000]
あらた,2020,Q1,110.06872654249047,[1000]
あらた,2020,Q2,104.46220693920958,[1000]
あらた,2020,Q3,141.73123213654327,[1000]
あらた,2020,Q4,122.28551130040574,[1000]
いすゞ自動車,2018,Q1,32.39948690605027,[1000]
いすゞ自動車,2018,Q2,33.58143873157669,[1000]
いすゞ自動車,2018,Q3,34.9832084880035,[1000]
いすゞ自動車,2018,Q4,31.30185235688824,[1000]
いすゞ自動車,2019,Q1,44.562691758515,[1000]
いすゞ自動車,2019,Q2,27.816211455064796,[1000]
いすゞ自動車,2019,Q3,38.56163148670376,[1000]
いすゞ自動車,2019,Q4,25.339708444988652,[1000]
いすゞ自動車,2020,Q1,34.9498129109144,[1000]
いすゞ自動車,2020,Q2,15.468182040259217,[1000]
いすゞ自動車,2020,Q3,18.24479048162681,[1000]
いすゞ自動車,2020,Q4,28.89049854938369,[1000]
いなげや,2018,Q1,4.04750931111583,[100]
いなげや,2018,Q2,9.077285558634408,[100]
いなげや,2018,Q3,15.540965774246551,[100]
いなげや,2018,Q4,4.651360737174582,[100]
いなげや,2019,Q1,-4.669175420405905,[100]
いなげや,2019,Q2,5.5551153828386886,[100]
いなげや,2019,Q3,9.887881746339632,[100]
いなげや,2019,Q4,-16.64602160662318,[100]
いなげや,2020,Q1,0.49713602610802,[100]
いなげや,2020,Q2,10.109097392569504,[100]
いなげや,2020,Q3,7.468402541951221,[100]
いなげや,2020,Q4,14.587039702629262,[100]
かどや製油,2018,Q1,74.89634760340941,[1000]
かどや製油,2018,Q2,115.49513806247465,[1000]
かどや製油,2018,Q3,110.32736115141014,[1000]
かどや製油,2018,Q4,87.9499899365343,[1000]
かどや製油,2019,Q1,66.06607917000969,[1000]
