企業名,会計年度,四半期,y_hat_umlp
りらいあコミュニケーションズ,2019,Q2,-50.056553
りらいあコミュニケーションズ,2019,Q3,72.1234
りらいあコミュニケーションズ,2019,Q4,54.347248
りらいあコミュニケーションズ,2020,Q1,24.17845
りらいあコミュニケーションズ,2020,Q2,19.821663
りらいあコミュニケーションズ,2020,Q3,19.13768
りらいあコミュニケーションズ,2020,Q4,-6.06474
わかもと製薬,2018,Q1,0.72191095
わかもと製薬,2018,Q2,-3.484522
わかもと製薬,2018,Q3,-0.015948214
わかもと製薬,2018,Q4,15.599341
わかもと製薬,2019,Q1,4.9226213
わかもと製薬,2019,Q2,11.474972
わかもと製薬,2019,Q3,-1.4456936
わかもと製薬,2019,Q4,-4.626644
わかもと製薬,2020,Q1,-10.082067
わかもと製薬,2020,Q2,13.90582
わかもと製薬,2020,Q3,4.758127
わかもと製薬,2020,Q4,7.284232
アイカ工業,2018,Q1,40.659744
アイカ工業,2018,Q2,48.71731
アイカ工業,2018,Q3,42.39277
アイカ工業,2018,Q4,47.0164
アイカ工業,2019,Q1,35.092415
アイカ工業,2019,Q2,60.577885
アイカ工業,2019,Q3,33.52491
アイカ工業,2019,Q4,34.107754
アイカ工業,2020,Q1,45.910706
アイカ工業,2020,Q2,25.366095
アイカ工業,2020,Q3,32.71826
アイカ工業,2020,Q4,35.97921
アイコム,2018,Q1,6.2868886
アイコム,2018,Q2,4.1454577
アイコム,2018,Q3,19.73756
アイコム,2018,Q4,40.865112
アイコム,2019,Q1,21.151903
アイコム,2019,Q2,15.815782
アイコム,2019,Q3,48.89348
アイコム,2019,Q4,70.56588
アイコム,2020,Q1,21.33396
アイコム,2020,Q2,-7.2894096
アイコム,2020,Q3,8.345137
アイコム,2020,Q4,52.66128
アイシン,2018,Q1,51.41403
アイシン,2018,Q2,47.624016
アイシン,2018,Q3,103.40861
アイシン,2018,Q4,85.41117
アイシン,2019,Q1,99.91282
アイシン,2019,Q2,67.17498
アイシン,2019,Q3,98.2119
アイシン,2019,Q4,91.045166
アイシン,2020,Q1,56.223335
アイシン,2020,Q2,-80.03711
アイシン,2020,Q3,155.12143
アイシン,2020,Q4,90.366135
アイダエンジニアリング,2018,Q1,16.385311
アイダエンジニアリング,2018,Q2,26.063349
アイダエンジニアリング,2018,Q3,11.360122
アイダエンジニアリング,2018,Q4,25.743402
アイダエンジニアリング,2019,Q1,3.8789089
アイダエンジニアリング,2019,Q2,23.279202
アイダエンジニアリング,2019,Q3,10.08471
アイダエンジニアリング,2019,Q4,19.633654
アイダエンジニアリング,2020,Q1,11.869661
アイダエンジニアリング,2020,Q2,5.1283007
アイダエンジニアリング,2020,Q3,6.852388
アイダエンジニアリング,2020,Q4,1.1498265
アイチコーポレーション,2018,Q1,7.6964355
アイチコーポレーション,2018,Q2,20.158865
アイチコーポレーション,2018,Q3,2.7598617
アイチコーポレーション,2018,Q4,13.1773
アイチコーポレーション,2019,Q1,6.5730925
アイチコーポレーション,2019,Q2,20.163828
アイチコーポレーション,2019,Q3,17.288338
アイチコーポレーション,2019,Q4,25.008307
アイチコーポレーション,2020,Q1,24.283968
アイチコーポレーション,2020,Q2,21.658255
アイチコーポレーション,2020,Q3,5.8180785
アイチコーポレーション,2020,Q4,23.276094
アイティフォー,2018,Q1,0.9110877
アイティフォー,2018,Q2,5.2580447
アイティフォー,2018,Q3,4.2863045
アイティフォー,2018,Q4,19.752054
アイティフォー,2019,Q1,2.8949478
アイティフォー,2019,Q2,9.229972
アイティフォー,2019,Q3,7.62298
アイティフォー,2019,Q4,8.850211
アイティフォー,2020,Q1,4.770172
アイティフォー,2020,Q2,7.0251436
アイティフォー,2020,Q3,2.080998
アイティフォー,2020,Q4,33.553688
アイティメディア,2018,Q1,7.5605865
