企業名,会計年度,四半期,y_hat_rw
わかもと製薬,2020,Q2,0.97
わかもと製薬,2020,Q3,-19.19
わかもと製薬,2020,Q4,2.19
アイカ工業,2018,Q1,46.34
アイカ工業,2018,Q2,40.49
アイカ工業,2018,Q3,52.09
アイカ工業,2018,Q4,52.28
アイカ工業,2019,Q1,59.09
アイカ工業,2019,Q2,42.6
アイカ工業,2019,Q3,58.22
アイカ工業,2019,Q4,53.11
アイカ工業,2020,Q1,41.08
アイカ工業,2020,Q2,23.04
アイカ工業,2020,Q3,35.04
アイカ工業,2020,Q4,50.16
アイコム,2018,Q1,44.89
アイコム,2018,Q2,16.79
アイコム,2018,Q3,12.18
アイコム,2018,Q4,18.98
アイコム,2019,Q1,84.63
アイコム,2019,Q2,15.51
アイコム,2019,Q3,11.06
アイコム,2019,Q4,11.8
アイコム,2020,Q1,92.32
アイコム,2020,Q2,-24.1
アイコム,2020,Q3,8.18
アイコム,2020,Q4,34.56
アイシン,2018,Q1,141.39
アイシン,2018,Q2,148.85
アイシン,2018,Q3,90.68
アイシン,2018,Q4,69.27
アイシン,2019,Q1,99.84
アイシン,2019,Q2,64.57
アイシン,2019,Q3,48.17
アイシン,2019,Q4,60.44
アイシン,2020,Q1,-83.89
アイシン,2020,Q2,-186.66
アイシン,2020,Q3,114.33
アイシン,2020,Q4,217.38
アイダエンジニアリング,2018,Q1,33.44
アイダエンジニアリング,2018,Q2,15.28
アイダエンジニアリング,2018,Q3,12.85
アイダエンジニアリング,2018,Q4,16.98
アイダエンジニアリング,2019,Q1,29.99
アイダエンジニアリング,2019,Q2,13.94
アイダエンジニアリング,2019,Q3,23.44
アイダエンジニアリング,2019,Q4,12.81
アイダエンジニアリング,2020,Q1,16.76
アイダエンジニアリング,2020,Q2,-2.36
アイダエンジニアリング,2020,Q3,15.15
アイダエンジニアリング,2020,Q4,7.78
アイチコーポレーション,2018,Q1,25.22
アイチコーポレーション,2018,Q2,6.14
アイチコーポレーション,2018,Q3,15.82
アイチコーポレーション,2018,Q4,20.45
アイチコーポレーション,2019,Q1,28.77
アイチコーポレーション,2019,Q2,15.34
アイチコーポレーション,2019,Q3,15.86
アイチコーポレーション,2019,Q4,9.99
アイチコーポレーション,2020,Q1,22.23
