企業名,会計年度,四半期,y_hat_srw
わかもと製薬,2018,Q1,2.87
わかもと製薬,2018,Q2,-5.3
わかもと製薬,2018,Q3,2.8
わかもと製薬,2018,Q4,3.25
わかもと製薬,2019,Q1,2.89
わかもと製薬,2019,Q2,-3.8
わかもと製薬,2019,Q3,6.43
わかもと製薬,2019,Q4,-10.75
わかもと製薬,2020,Q1,-8.35
わかもと製薬,2020,Q2,-38.41
わかもと製薬,2020,Q3,1.83
わかもと製薬,2020,Q4,-2.8
アイカ工業,2018,Q1,36.9
アイカ工業,2018,Q2,50.81
アイカ工業,2018,Q3,49.7
アイカ工業,2018,Q4,46.34
アイカ工業,2019,Q1,40.49
アイカ工業,2019,Q2,52.09
アイカ工業,2019,Q3,52.28
アイカ工業,2019,Q4,59.09
アイカ工業,2020,Q1,42.6
アイカ工業,2020,Q2,58.22
アイカ工業,2020,Q3,53.11
アイカ工業,2020,Q4,41.08
アイコム,2018,Q1,-6.42
アイコム,2018,Q2,1.52
アイコム,2018,Q3,2.26
アイコム,2018,Q4,44.89
アイコム,2019,Q1,16.79
アイコム,2019,Q2,12.18
アイコム,2019,Q3,18.98
アイコム,2019,Q4,84.63
アイコム,2020,Q1,15.51
アイコム,2020,Q2,11.06
アイコム,2020,Q3,11.8
アイコム,2020,Q4,92.32
アイシン,2018,Q1,112.82
アイシン,2018,Q2,88.67
アイシン,2018,Q3,148.24
アイシン,2018,Q4,141.39
アイシン,2019,Q1,148.85
アイシン,2019,Q2,90.68
アイシン,2019,Q3,69.27
アイシン,2019,Q4,99.84
アイシン,2020,Q1,64.57
アイシン,2020,Q2,48.17
アイシン,2020,Q3,60.44
アイシン,2020,Q4,-83.89
アイダエンジニアリング,2018,Q1,15.84
アイダエンジニアリング,2018,Q2,15.77
アイダエンジニアリング,2018,Q3,12.1
アイダエンジニアリング,2018,Q4,33.44
アイダエンジニアリング,2019,Q1,15.28
アイダエンジニアリング,2019,Q2,12.85
アイダエンジニアリング,2019,Q3,16.98
アイダエンジニアリング,2019,Q4,29.99
アイダエンジニアリング,2020,Q1,13.94
アイダエンジニアリング,2020,Q2,23.44
アイダエンジニアリング,2020,Q3,12.81
アイダエンジニアリング,2020,Q4,16.76
アイチコーポレーション,2018,Q1,9.96
アイチコーポレーション,2018,Q2,24.95
アイチコーポレーション,2018,Q3,14.39
アイチコーポレーション,2018,Q4,25.22
アイチコーポレーション,2019,Q1,6.14
アイチコーポレーション,2019,Q2,15.82
アイチコーポレーション,2019,Q3,20.45
アイチコーポレーション,2019,Q4,28.77
アイチコーポレーション,2020,Q1,15.34
アイチコーポレーション,2020,Q2,15.86
アイチコーポレーション,2020,Q3,9.99
アイチコーポレーション,2020,Q4,22.23
アイティフォー,2018,Q1,1.86
アイティフォー,2018,Q2,6.73
アイティフォー,2018,Q3,6.17
アイティフォー,2018,Q4,25.16
アイティフォー,2019,Q1,3.35
アイティフォー,2019,Q2,7.61
アイティフォー,2019,Q3,8.59
アイティフォー,2019,Q4,22.25
アイティフォー,2020,Q1,5.95
アイティフォー,2020,Q2,12.13
アイティフォー,2020,Q3,5.89
アイティフォー,2020,Q4,20.98
アイティメディア,2018,Q1,2.68
アイティメディア,2018,Q2,6.12
アイティメディア,2018,Q3,8.56
アイティメディア,2018,Q4,8.09
アイティメディア,2019,Q1,3.76
アイティメディア,2019,Q2,5.56
アイティメディア,2019,Q3,5.23
アイティメディア,2019,Q4,4.78
アイティメディア,2020,Q1,7.37
アイティメディア,2020,Q2,8.77
アイティメディア,2020,Q3,13.97
アイティメディア,2020,Q4,9.36
アイネス,2018,Q1,-7.55
アイネス,2018,Q2,12.37
アイネス,2018,Q3,1.89
アイネス,2018,Q4,33.8
アイネス,2019,Q1,-5.05
アイネス,2019,Q2,17.58
アイネス,2019,Q3,16.69
アイネス,2019,Q4,28.46
アイネス,2020,Q1,17.0
アイネス,2020,Q2,-49.93
アイネス,2020,Q3,148.09
アイネス,2020,Q4,-28.48
アイネット,2018,Q1,8.05
アイネット,2018,Q2,27.91
アイネット,2018,Q3,23.22
アイネット,2018,Q4,26.88
アイネット,2019,Q1,13.21
アイネット,2019,Q2,28.99
アイネット,2019,Q3,24.92
アイネット,2019,Q4,28.6
アイネット,2020,Q1,23.38
アイネット,2020,Q2,28.62
アイネット,2020,Q3,26.36
アイネット,2020,Q4,26.76
アイホン,2018,Q1,2.37
アイホン,2018,Q2,46.72
