,SARIMA: BR,SARIMA: G,SARIMA: F,MLP
MAE,38.46817877367567,34.88179549827391,39.409410696319725,53.452909649270396
MAPE,9.708306137632645,2.823022158660832,6.12333305699648,14.8067688562534
MSE,606873.6427967349,1142.8235067881947,93472.2146503589,1391902.4367691446
RMSE,191.96014985178508,93.5044156819064,117.39399401615171,231.97720890636458
RMSPE,779.0209514491474,33.80567270131146,305.73225974757537,1179.789149284373
