企業名,会計年度,四半期,y_hat_umlp
りらいあコミュニケーションズ,2019,Q2,67.44174
りらいあコミュニケーションズ,2019,Q3,61.33765
りらいあコミュニケーションズ,2019,Q4,72.871574
りらいあコミュニケーションズ,2020,Q1,18.302965
りらいあコミュニケーションズ,2020,Q2,15.714518
りらいあコミュニケーションズ,2020,Q3,18.19254
りらいあコミュニケーションズ,2020,Q4,-42.14017
わかもと製薬,2018,Q1,1.2319571
わかもと製薬,2018,Q2,-3.1150851
わかもと製薬,2018,Q3,1.7645677
わかもと製薬,2018,Q4,14.321998
わかもと製薬,2019,Q1,6.430051
わかもと製薬,2019,Q2,-2.1777904
わかもと製薬,2019,Q3,1.0021993
わかもと製薬,2019,Q4,-6.46981
わかもと製薬,2020,Q1,-19.237135
わかもと製薬,2020,Q2,-5.1981745
わかもと製薬,2020,Q3,-2.2232265
わかもと製薬,2020,Q4,-1.5762851
アイカ工業,2018,Q1,41.120964
アイカ工業,2018,Q2,36.21713
アイカ工業,2018,Q3,36.659966
アイカ工業,2018,Q4,35.813126
アイカ工業,2019,Q1,36.785374
アイカ工業,2019,Q2,38.841995
アイカ工業,2019,Q3,35.136047
アイカ工業,2019,Q4,40.082966
アイカ工業,2020,Q1,41.755444
アイカ工業,2020,Q2,28.753172
アイカ工業,2020,Q3,44.091885
アイカ工業,2020,Q4,46.25277
アイコム,2018,Q1,4.4516835
アイコム,2018,Q2,5.951785
アイコム,2018,Q3,20.150797
アイコム,2018,Q4,42.028572
アイコム,2019,Q1,17.980883
アイコム,2019,Q2,27.525003
アイコム,2019,Q3,34.32323
アイコム,2019,Q4,65.16377
アイコム,2020,Q1,17.332783
アイコム,2020,Q2,-5.786145
アイコム,2020,Q3,7.8974733
アイコム,2020,Q4,72.15534
アイシン,2018,Q1,93.29697
アイシン,2018,Q2,96.476494
アイシン,2018,Q3,77.529
アイシン,2018,Q4,123.4157
アイシン,2019,Q1,90.21539
アイシン,2019,Q2,135.19687
アイシン,2019,Q3,75.41768
アイシン,2019,Q4,72.1825
アイシン,2020,Q1,74.21917
アイシン,2020,Q2,-185.40015
アイシン,2020,Q3,359.26813
アイシン,2020,Q4,89.48275
アイダエンジニアリング,2018,Q1,12.4510765
アイダエンジニアリング,2018,Q2,22.736666
アイダエンジニアリング,2018,Q3,19.910759
アイダエンジニアリング,2018,Q4,19.017807
アイダエンジニアリング,2019,Q1,14.689705
アイダエンジニアリング,2019,Q2,21.95617
アイダエンジニアリング,2019,Q3,17.777527
アイダエンジニアリング,2019,Q4,26.260523
アイダエンジニアリング,2020,Q1,12.740043
アイダエンジニアリング,2020,Q2,13.759533
アイダエンジニアリング,2020,Q3,17.314024
アイダエンジニアリング,2020,Q4,16.86348
アイチコーポレーション,2018,Q1,8.500027
アイチコーポレーション,2018,Q2,10.895219
アイチコーポレーション,2018,Q3,15.225414
アイチコーポレーション,2018,Q4,11.242488
アイチコーポレーション,2019,Q1,4.724135
アイチコーポレーション,2019,Q2,20.33418
アイチコーポレーション,2019,Q3,21.300959
アイチコーポレーション,2019,Q4,28.57906
アイチコーポレーション,2020,Q1,19.071854
アイチコーポレーション,2020,Q2,17.522865
アイチコーポレーション,2020,Q3,7.4862595
アイチコーポレーション,2020,Q4,23.459677
アイティフォー,2018,Q1,1.4167702
アイティフォー,2018,Q2,3.1778817
アイティフォー,2018,Q3,2.8948882
アイティフォー,2018,Q4,13.362452
アイティフォー,2019,Q1,2.6462865
アイティフォー,2019,Q2,8.874074
アイティフォー,2019,Q3,4.887714
