企業名,会計年度,四半期,y_hat_uen,best_hyparam
なとり,2019,Q2,20.07067540783933,[100.   1.]
なとり,2019,Q3,56.6706168679802,[100.   1.]
なとり,2019,Q4,-12.659133131871188,[100.   1.]
なとり,2020,Q1,15.837500194553511,[100.   1.]
なとり,2020,Q2,23.2361442062836,[100.   1.]
なとり,2020,Q3,52.84763792499688,[100.   1.]
なとり,2020,Q4,-0.6135003790175562,[100.   1.]
はせがわ,2018,Q1,3.216564761636537,[1000.    0.]
はせがわ,2018,Q2,13.709419836986145,[1000.    0.]
はせがわ,2018,Q3,4.6116621645822224,[1000.    0.]
はせがわ,2018,Q4,13.40707522599643,[1000.    0.]
はせがわ,2019,Q1,4.910162202287937,[1000.    0.]
はせがわ,2019,Q2,12.741615105535816,[1000.    0.]
はせがわ,2019,Q3,3.270083162090965,[1000.    0.]
はせがわ,2019,Q4,11.825386265042852,[1000.    0.]
はせがわ,2020,Q1,-0.9071278332959808,[1000.    0.]
はせがわ,2020,Q2,5.899684852335797,[1000.    0.]
はせがわ,2020,Q3,-0.7885431866054393,[1000.    0.]
はせがわ,2020,Q4,2.1257290078983018,[1000.    0.]
はるやまホールディングス,2018,Q1,9.236399518039368,[100.   1.]
はるやまホールディングス,2018,Q2,-11.620327826118787,[100.   1.]
はるやまホールディングス,2018,Q3,35.247522603367806,[100.   1.]
はるやまホールディングス,2018,Q4,59.25426449537545,[100.   1.]
はるやまホールディングス,2019,Q1,-7.23767093352193,[100.   1.]
はるやまホールディングス,2019,Q2,-22.549328379629745,[100.   1.]
はるやまホールディングス,2019,Q3,22.564402404443832,[100.   1.]
はるやまホールディングス,2019,Q4,32.580291760085004,[100.   1.]
はるやまホールディングス,2020,Q1,0.5129050709060934,[100.   1.]
はるやまホールディングス,2020,Q2,-27.242584901926747,[100.   1.]
はるやまホールディングス,2020,Q3,35.55644911918299,[100.   1.]
はるやまホールディングス,2020,Q4,35.8273838426929,[100.   1.]
ぴあ,2018,Q1,12.086334407143436,[100.   1.]
ぴあ,2018,Q2,14.27367678526915,[100.   1.]
ぴあ,2018,Q3,11.543808437897937,[100.   1.]
ぴあ,2018,Q4,11.904838905930683,[100.   1.]
ぴあ,2019,Q1,15.871309417147462,[100.   1.]
ぴあ,2019,Q2,12.339452932981208,[100.   1.]
ぴあ,2019,Q3,13.28142317129063,[100.   1.]
ぴあ,2019,Q4,13.356666666666664,[100.   1.]
ぴあ,2020,Q1,12.339263364941626,[100.   1.]
ぴあ,2020,Q2,-95.77293238073418,[100.   1.]
ぴあ,2020,Q3,-62.91820285437103,[100.   1.]
ぴあ,2020,Q4,-30.98153169723488,[100.   1.]
りらいあコミュニケーションズ,2018,Q1,19.275339210742118,[1.e+03 2.e-01]
りらいあコミュニケーションズ,2018,Q2,18.871728099631007,[1.e+03 2.e-01]
りらいあコミュニケーションズ,2018,Q3,18.31978365518656,[1.e+03 2.e-01]
りらいあコミュニケーションズ,2018,Q4,17.515894766297674,[1.e+03 2.e-01]
りらいあコミュニケーションズ,2019,Q1,12.504228099631003,[1.e+03 2.e-01]
りらいあコミュニケーションズ,2019,Q2,12.33617254407545,[1.e+03 2.e-01]
りらいあコミュニケーションズ,2019,Q3,12.095616988519897,[1.e+03 2.e-01]
りらいあコミュニケーションズ,2019,Q4,12.36728365518656,[1.e+03 2.e-01]
りらいあコミュニケーションズ,2020,Q1,12.664228099631003,[1.e+03 2.e-01]
りらいあコミュニケーションズ,2020,Q2,12.31478365518656,[1.e+03 2.e-01]
りらいあコミュニケーションズ,2020,Q3,12.19361111111111,[1.e+03 2.e-01]
りらいあコミュニケーションズ,2020,Q4,12.34222222222222,[1.e+03 2.e-01]
わかもと製薬,2018,Q1,0.5997222222222222,[100.    0.2]
わかもと製薬,2018,Q2,0.7313888888888889,[100.    0.2]
わかもと製薬,2018,Q3,0.5477777777777777,[100.    0.2]
わかもと製薬,2018,Q4,0.6452777777777778,[100.    0.2]
わかもと製薬,2019,Q1,0.4152777777777777,[100.    0.2]
わかもと製薬,2019,Q2,0.2905555555555555,[100.    0.2]
わかもと製薬,2019,Q3,-0.5833333333333331,[100.    0.2]
わかもと製薬,2019,Q4,-0.4924999999999999,[100.    0.2]
わかもと製薬,2020,Q1,-0.5677777777777778,[100.    0.2]
わかもと製薬,2020,Q2,-0.4897222222222221,[100.    0.2]
わかもと製薬,2020,Q3,-0.8015202889078218,[100.    0.2]
わかもと製薬,2020,Q4,-1.0233049515687154,[100.    0.2]
アイカ工業,2018,Q1,38.380000247111525,[100.    0.4]
アイカ工業,2018,Q2,40.53324298186989,[100.    0.4]
アイカ工業,2018,Q3,41.42728755342119,[100.    0.4]
アイカ工業,2018,Q4,41.05543895695325,[100.    0.4]
アイカ工業,2019,Q1,42.65993400506012,[100.    0.4]
アイカ工業,2019,Q2,43.37977670253152,[100.    0.4]
アイカ工業,2019,Q3,45.640556077400944,[100.    0.4]
アイカ工業,2019,Q4,46.954775895029705,[100.    0.4]
アイカ工業,2020,Q1,42.60948103840251,[100.    0.4]
アイカ工業,2020,Q2,41.88265312877821,[100.    0.4]
アイカ工業,2020,Q3,41.27030871278025,[100.    0.4]
アイカ工業,2020,Q4,40.87662731690472,[100.    0.4]
アイコム,2018,Q1,4.779728741976904,[10.  1.]
アイコム,2018,Q2,7.2062568175613,[10.  1.]
アイコム,2018,Q3,14.01854558831479,[10.  1.]
アイコム,2018,Q4,34.602645767805285,[10.  1.]
アイコム,2019,Q1,23.378526084466,[10.  1.]
アイコム,2019,Q2,14.312656862264364,[10.  1.]
アイコム,2019,Q3,24.376698700184846,[10.  1.]
アイコム,2019,Q4,64.11516509483656,[10.  1.]
アイコム,2020,Q1,22.49854924967521,[10.  1.]
アイコム,2020,Q2,18.008779585083577,[10.  1.]
アイコム,2020,Q3,21.988354309556115,[10.  1.]
アイコム,2020,Q4,74.35778465100279,[10.  1.]
アイシン,2018,Q1,93.42110640256274,[1000.    1.]
アイシン,2018,Q2,88.57661232235232,[1000.    1.]
アイシン,2018,Q3,86.3797447229914,[1000.    1.]
アイシン,2018,Q4,85.84780027854697,[1000.    1.]
アイシン,2019,Q1,86.00641138965808,[1000.    1.]
アイシン,2019,Q2,85.67418916743587,[1000.    1.]
アイシン,2019,Q3,84.75224472299142,[1000.    1.]
アイシン,2019,Q4,84.45113361188032,[1000.    1.]
アイシン,2020,Q1,81.612800278547,[1000.    1.]
アイシン,2020,Q2,-28.418142046379643,[1000.    1.]
アイシン,2020,Q3,83.00770047057347,[1000.    1.]
アイシン,2020,Q4,103.88824798931556,[1000.    1.]
アイダエンジニアリング,2018,Q1,15.621530344016785,[1. 1.]
アイダエンジニアリング,2018,Q2,25.866356755523864,[1. 1.]
アイダエンジニアリング,2018,Q3,16.552504691262875,[1. 1.]
アイダエンジニアリング,2018,Q4,10.668508049084572,[1. 1.]
アイダエンジニアリング,2019,Q1,18.460864611074246,[1. 1.]
アイダエンジニアリング,2019,Q2,19.15836050049697,[1. 1.]
アイダエンジニアリング,2019,Q3,20.52944592473467,[1. 1.]
アイダエンジニアリング,2019,Q4,20.92964890009891,[1. 1.]
アイダエンジニアリング,2020,Q1,17.622855401726447,[1. 1.]
アイダエンジニアリング,2020,Q2,20.85775354313568,[1. 1.]
アイダエンジニアリング,2020,Q3,14.942482380805812,[1. 1.]
アイダエンジニアリング,2020,Q4,17.65091804292406,[1. 1.]
アイチコーポレーション,2018,Q1,9.912930488006818,[100.    0.2]
アイチコーポレーション,2018,Q2,14.532681062546724,[100.    0.2]
アイチコーポレーション,2018,Q3,10.31814553104766,[100.    0.2]
アイチコーポレーション,2018,Q4,14.326899074457508,[100.    0.2]
アイチコーポレーション,2019,Q1,10.649201073167353,[100.    0.2]
アイチコーポレーション,2019,Q2,14.232135815596632,[100.    0.2]
アイチコーポレーション,2019,Q3,14.423120689956637,[100.    0.2]
アイチコーポレーション,2019,Q4,16.129655005713495,[100.    0.2]
アイチコーポレーション,2020,Q1,13.229641224550983,[100.    0.2]
アイチコーポレーション,2020,Q2,13.754443110074927,[100.    0.2]
アイチコーポレーション,2020,Q3,12.64426083950276,[100.    0.2]
アイチコーポレーション,2020,Q4,15.413128703017346,[100.    0.2]
アイティフォー,2018,Q1,4.485057773899021,[10.   0.6]
アイティフォー,2018,Q2,7.151514024541623,[10.   0.6]
アイティフォー,2018,Q3,6.298875026019919,[10.   0.6]
アイティフォー,2018,Q4,17.17371331104972,[10.   0.6]
アイティフォー,2019,Q1,5.468732550913016,[10.   0.6]
アイティフォー,2019,Q2,8.121868237735121,[10.   0.6]
アイティフォー,2019,Q3,8.894900950436355,[10.   0.6]
アイティフォー,2019,Q4,16.76149957021402,[10.   0.6]
アイティフォー,2020,Q1,7.153782488197376,[10.   0.6]
アイティフォー,2020,Q2,11.407469270886002,[10.   0.6]
アイティフォー,2020,Q3,7.441291636335055,[10.   0.6]
アイティフォー,2020,Q4,17.336696376613503,[10.   0.6]
アイティメディア,2018,Q1,-16.273293239452748,[1000.    0.]
アイティメディア,2018,Q2,11.61737384976686,[1000.    0.]
アイティメディア,2018,Q3,12.683204878426809,[1000.    0.]
アイティメディア,2018,Q4,9.579989266197892,[1000.    0.]
アイティメディア,2019,Q1,5.575273935448616,[1000.    0.]
アイティメディア,2019,Q2,-0.4270885190777997,[1000.    0.]
アイティメディア,2019,Q3,8.304108436958465,[1000.    0.]
アイティメディア,2019,Q4,8.505137590250374,[1000.    0.]
アイティメディア,2020,Q1,8.501074664001584,[1000.    0.]
アイティメディア,2020,Q2,8.604269772424011,[1000.    0.]
アイティメディア,2020,Q3,8.913372728049108,[1000.    0.]
アイティメディア,2020,Q4,9.174044690448648,[1000.    0.]
アイネス,2018,Q1,7.188535025036126,[1.e+03 1.e-01]
アイネス,2018,Q2,11.48882095578201,[1.e+03 1.e-01]
アイネス,2018,Q3,7.188789290864843,[1.e+03 1.e-01]
アイネス,2018,Q4,11.728954611395874,[1.e+03 1.e-01]
アイネス,2019,Q1,8.56585045290149,[1.e+03 1.e-01]
アイネス,2019,Q2,11.496944366762142,[1.e+03 1.e-01]
アイネス,2019,Q3,10.63593091022792,[1.e+03 1.e-01]
アイネス,2019,Q4,-16.519839365279715,[1.e+03 1.e-01]
アイネス,2020,Q1,22.372064422333573,[1.e+03 1.e-01]
アイネス,2020,Q2,12.306268261109548,[1.e+03 1.e-01]
アイネス,2020,Q3,16.15621509155667,[1.e+03 1.e-01]
アイネス,2020,Q4,10.923438827586969,[1.e+03 1.e-01]
アイネット,2018,Q1,14.976294367477731,[100.    0.5]
アイネット,2018,Q2,17.96178034823354,[100.    0.5]
アイネット,2018,Q3,16.8292556846513,[100.    0.5]
アイネット,2018,Q4,18.56226620219626,[100.    0.5]
