企業名,会計年度,四半期,y_hat_sarima_g
アミューズ,2018,Q3,62.37958549659248
アミューズ,2018,Q4,35.121864209867866
アミューズ,2019,Q1,134.4584313712079
アミューズ,2019,Q2,110.18199482067797
アミューズ,2019,Q3,49.14787545585977
アミューズ,2019,Q4,24.10656833934752
アミューズ,2020,Q1,36.72307459721816
アミューズ,2020,Q2,6.309498728244641
アミューズ,2020,Q3,48.23711599340615
アミューズ,2020,Q4,-11.510544456570862
アリアケジャパン,2018,Q1,62.74795904593007
アリアケジャパン,2018,Q2,66.58672777227166
アリアケジャパン,2018,Q3,82.37692415817064
アリアケジャパン,2018,Q4,55.19698543391548
アリアケジャパン,2019,Q1,88.27052813565433
アリアケジャパン,2019,Q2,81.06031803049741
アリアケジャパン,2019,Q3,57.14749637900392
アリアケジャパン,2019,Q4,314.7424218759037
アリアケジャパン,2020,Q1,84.9229026679833
アリアケジャパン,2020,Q2,85.41269229992167
アリアケジャパン,2020,Q3,93.36025523889401
アリアケジャパン,2020,Q4,128.70761567738185
アルインコ,2018,Q1,13.795843960399285
アルインコ,2018,Q2,26.88337157943228
アルインコ,2018,Q3,34.68765226698223
アルインコ,2018,Q4,1.5861849334744669
アルインコ,2019,Q1,22.834618313690704
アルインコ,2019,Q2,29.41496204525298
アルインコ,2019,Q3,45.460481523540636
アルインコ,2019,Q4,18.416683860133872
アルインコ,2020,Q1,21.311155502543116
アルインコ,2020,Q2,31.296403544801922
アルインコ,2020,Q3,30.51171682512426
アルインコ,2020,Q4,-1.2374884546714142
アルコニックス,2018,Q1,93.12043202384562
アルコニックス,2018,Q2,53.89597808510252
アルコニックス,2018,Q3,60.693752812701554
アルコニックス,2018,Q4,18.146661656423866
アルコニックス,2019,Q1,63.286961956113544
アルコニックス,2019,Q2,31.443595196211273
アルコニックス,2019,Q3,50.05686310123637
アルコニックス,2019,Q4,9.541019187536602
アルコニックス,2020,Q1,55.37779590223022
アルコニックス,2020,Q2,27.425655996906745
アルコニックス,2020,Q3,37.4052781322045
アルコニックス,2020,Q4,1.5012842366603394
アルゴグラフィックス,2018,Q1,58.84393877856359
アルゴグラフィックス,2018,Q2,65.38914043255001
アルゴグラフィックス,2018,Q3,55.079106029120595
アルゴグラフィックス,2018,Q4,87.32669379918556
アルゴグラフィックス,2019,Q1,80.9310948373462
アルゴグラフィックス,2019,Q2,76.90068453297144
アルゴグラフィックス,2019,Q3,62.1619305303185
アルゴグラフィックス,2019,Q4,84.47348874243741
アルゴグラフィックス,2020,Q1,55.3987731583487
アルゴグラフィックス,2020,Q2,47.320896791316294
アルゴグラフィックス,2020,Q3,41.59288199293765
アルゴグラフィックス,2020,Q4,36.41851999918794
アルビス,2018,Q1,75.10520394705365
アルビス,2018,Q2,77.09302591874697
アルビス,2018,Q3,77.05449957564736
アルビス,2018,Q4,61.32665311090014
アルビス,2019,Q1,63.96384728512527
アルビス,2019,Q2,43.0437387267226
アルビス,2019,Q3,45.67448516991375
アルビス,2019,Q4,22.81881060185271
アルビス,2020,Q1,32.52581063854165
アルビス,2020,Q2,50.81167360242573
アルビス,2020,Q3,61.955478455862156
アルビス,2020,Q4,37.82488027430638
アルファ,2018,Q1,55.14544998654859
アルファ,2018,Q2,39.64199169702887
アルファ,2018,Q3,84.20172338444533
アルファ,2018,Q4,66.70025266502128
アルファ,2019,Q1,42.549052012328715
アルファ,2019,Q2,33.66800973524591
アルファ,2019,Q3,66.74962170650235
アルファ,2019,Q4,47.24207177632222
アルファ,2020,Q1,-104.1569501948832
アルファ,2020,Q2,-76.88954185552144
アルファ,2020,Q3,-65.5435381861933
アルファ,2020,Q4,-61.899725143183986
アルファシステムズ,2018,Q1,29.014684249977055
アルファシステムズ,2018,Q2,32.27578093236956
アルファシステムズ,2018,Q3,32.88794199400334
アルファシステムズ,2018,Q4,51.962661653601835
アルファシステムズ,2019,Q1,33.25343556391911
アルファシステムズ,2019,Q2,32.34952052729089
アルファシステムズ,2019,Q3,32.13764297076685
アルファシステムズ,2019,Q4,50.672698246614445
アルファシステムズ,2020,Q1,32.32345432960221
アルファシステムズ,2020,Q2,47.05874648518942
アルファシステムズ,2020,Q3,39.75231096896753
アルファシステムズ,2020,Q4,55.21908329663894
アルフレッサ　ホールディングス,2018,Q1,54.52961388214138
アルフレッサ　ホールディングス,2018,Q2,31.455004040616096
アルフレッサ　ホールディングス,2018,Q3,66.34379138027036
アルフレッサ　ホールディングス,2018,Q4,34.40800955307251
アルフレッサ　ホールディングス,2019,Q1,57.05538399874001
アルフレッサ　ホールディングス,2019,Q2,31.784950782972448
アルフレッサ　ホールディングス,2019,Q3,74.1930217188369
アルフレッサ　ホールディングス,2019,Q4,26.754456413140048
アルフレッサ　ホールディングス,2020,Q1,45.36989487433485
アルフレッサ　ホールディングス,2020,Q2,35.521271346776274
アルフレッサ　ホールディングス,2020,Q3,46.32749177458609
アルフレッサ　ホールディングス,2020,Q4,25.68831324752657
アルプスアルパイン,2018,Q1,28.675508566243955
アルプスアルパイン,2018,Q2,72.68041040632042
アルプスアルパイン,2018,Q3,81.55263725247755
アルプスアルパイン,2018,Q4,7.163372158876726
アルプスアルパイン,2019,Q1,-10.003842395541879
アルプスアルパイン,2019,Q2,40.80418898689853
アルプスアルパイン,2019,Q3,34.69454183129413
アルプスアルパイン,2019,Q4,-52.62819665219865
アルプスアルパイン,2020,Q1,-39.26479688865521
アルプスアルパイン,2020,Q2,2.037907242648357
アルプスアルパイン,2020,Q3,-14.334850725230975
アルプスアルパイン,2020,Q4,-40.3795618493892
アルプス物流,2018,Q1,10.036215442131887
アルプス物流,2018,Q2,10.750215726151026
アルプス物流,2018,Q3,25.181161227291852
アルプス物流,2018,Q4,13.872981607704121
アルプス物流,2019,Q1,14.234500727517817
アルプス物流,2019,Q2,13.455610310729465
