企業名,会計年度,四半期,y_hat_ul1_i_tuned_simple,best_hyparam
はるやまホールディングス,2018,Q2,-11.620327826118789,[100]
はるやまホールディングス,2018,Q3,35.247522603367806,[100]
はるやまホールディングス,2018,Q4,59.25426449537545,[100]
はるやまホールディングス,2019,Q1,-7.23767093352193,[100]
はるやまホールディングス,2019,Q2,-22.549328379629742,[100]
はるやまホールディングス,2019,Q3,22.564402404443832,[100]
はるやまホールディングス,2019,Q4,32.580291760085004,[100]
はるやまホールディングス,2020,Q1,0.5129050709060934,[100]
はるやまホールディングス,2020,Q2,-27.242584901926747,[100]
はるやまホールディングス,2020,Q3,35.55644911918299,[100]
はるやまホールディングス,2020,Q4,35.8273838426929,[100]
ぴあ,2018,Q1,12.086334407143436,[100]
ぴあ,2018,Q2,14.27367678526915,[100]
ぴあ,2018,Q3,11.543808437897937,[100]
ぴあ,2018,Q4,11.904838905930683,[100]
ぴあ,2019,Q1,15.871309417147462,[100]
ぴあ,2019,Q2,12.339452932981207,[100]
ぴあ,2019,Q3,13.28142317129063,[100]
ぴあ,2019,Q4,13.356666666666664,[100]
ぴあ,2020,Q1,12.339263364941626,[100]
ぴあ,2020,Q2,-95.77293238073418,[100]
ぴあ,2020,Q3,-62.91820285437103,[100]
ぴあ,2020,Q4,-30.98153169723488,[100]
やまや,2018,Q1,46.278930170930636,[1000]
やまや,2018,Q2,47.904207948708425,[1000]
やまや,2018,Q3,49.02781905981953,[1000]
やまや,2018,Q4,52.051785692847126,[1000]
やまや,2019,Q1,52.61476350426397,[1000]
やまや,2019,Q2,53.25754128204175,[1000]
やまや,2019,Q3,53.81365239315286,[1000]
やまや,2019,Q4,53.89379030251011,[1000]
やまや,2020,Q1,50.864289671866345,[1000]
やまや,2020,Q2,48.884330867383234,[1000]
やまや,2020,Q3,47.399580725371656,[1000]
やまや,2020,Q4,-59.63128565822875,[1000]
りらいあコミュニケーションズ,2018,Q1,19.275339210742114,[1000]
りらいあコミュニケーションズ,2018,Q2,18.871728099631007,[1000]
りらいあコミュニケーションズ,2018,Q3,18.319783655186562,[1000]
りらいあコミュニケーションズ,2018,Q4,17.515894766297674,[1000]
りらいあコミュニケーションズ,2019,Q1,12.504228099631005,[1000]
りらいあコミュニケーションズ,2019,Q2,12.33617254407545,[1000]
りらいあコミュニケーションズ,2019,Q3,12.095616988519895,[1000]
りらいあコミュニケーションズ,2019,Q4,12.367283655186561,[1000]
りらいあコミュニケーションズ,2020,Q1,12.664228099631005,[1000]
りらいあコミュニケーションズ,2020,Q2,12.314783655186561,[1000]
りらいあコミュニケーションズ,2020,Q3,12.19361111111111,[1000]
りらいあコミュニケーションズ,2020,Q4,12.34222222222222,[1000]
わかもと製薬,2018,Q1,0.5997222222222222,[100]
わかもと製薬,2018,Q2,0.7313888888888889,[100]
わかもと製薬,2018,Q3,0.5477777777777777,[100]
わかもと製薬,2018,Q4,0.6452777777777778,[100]
わかもと製薬,2019,Q1,0.41527777777777775,[100]
わかもと製薬,2019,Q2,0.2905555555555555,[100]
わかもと製薬,2019,Q3,-0.5833333333333331,[100]
わかもと製薬,2019,Q4,-0.49249999999999994,[100]
わかもと製薬,2020,Q1,-0.5677777777777778,[100]
わかもと製薬,2020,Q2,-0.4897222222222221,[100]
わかもと製薬,2020,Q3,-0.9772222222222222,[100]
わかもと製薬,2020,Q4,-0.8527777777777777,[100]
アイカ工業,2018,Q1,32.22718902275587,[100]
アイカ工業,2018,Q2,32.80166666666666,[100]
アイカ工業,2018,Q3,34.191137092545176,[100]
アイカ工業,2018,Q4,35.152972693098704,[100]
アイカ工業,2019,Q1,36.147748881930085,[100]
アイカ工業,2019,Q2,36.502222222222215,[100]
アイカ工業,2019,Q3,37.466944444444444,[100]
アイカ工業,2019,Q4,38.30404171098159,[100]
アイカ工業,2020,Q1,38.780277777777776,[100]
アイカ工業,2020,Q2,38.922777777777775,[100]
アイカ工業,2020,Q3,39.23027777777777,[100]
アイカ工業,2020,Q4,39.93055555555556,[100]
アイコム,2018,Q1,4.7797287419769034,[10]
