,,y_test,y_hat_rw,y_hat_sarima_br,y_hat_sarima_f,y_hat_sarima_g,y_hat_srw,y_hat_uen_i_tuned_simple,y_hat_ul1_i_tuned_fine,y_hat_ul1_i_tuned_simple,y_hat_ul2_i_tuned_simple,y_hat_umlp,y_hat_umlp_sklearn_default,y_hat_men_i_tuned,y_hat_men_i_tuned_simple,y_hat_ml1_i_tuned,y_hat_ml1_i_tuned_fine,y_hat_ml1_i_tuned_simple,y_hat_ml2_i_tuned,y_hat_ml2_i_tuned_simple,y_hat_mlm1,y_hat_mlm2,y_hat_mlm3,y_hat_mlm4,y_hat_mmlp,y_hat_mraf_i_tuned_simple
あらた,Max_error,0.0,91.94655393079901,51.76644466583651,43.53900271702846,55.172240578292026,39.41999999999999,58.145368375966605,57.42289990067683,60.69303621581954,60.88206523120477,41.094899999999996,143.21332203922893,42.14127297373374,42.14127297373374,41.74157382092263,42.01707908751967,42.14127297373374,46.41682268304119,46.41718701809126,36.79350083386255,66.5874511743728,64.709384943023,291.32158251703186,60.70167893079903,49.21385393079908
あらた,Max_percentage_error,0.0,1.4974168359732825,0.8430543883073977,0.7090644826018478,0.8985202640925649,0.3012299001908399,0.9469398233844636,0.9351738962005794,0.9884304562877333,0.9915089319676194,0.31792115143929905,0.9436989523470101,0.6863014321092177,0.6863014321092177,0.6797920392591705,0.6842788438969192,0.6863014321092177,0.5809364541056469,0.7559378176557001,0.41934103109029114,0.950163570928062,1.0538396309239104,4.744384902904566,0.9885712092182731,0.8014835824578256
あらた,MAE,0.0,30.608046160899914,19.684362625095414,19.228380710989242,18.677474338112756,17.89387949423325,21.399625143473756,18.99722262735781,16.757927210320663,17.34261026197323,15.65196532756658,97.07343426647493,17.493858536752352,17.493858536752352,17.544739116385035,17.498749701026995,17.493858536752352,17.968977248885725,19.647339523021767,20.5301302725958,29.458013931314664,25.433400608050693,94.36360595632675,26.378723744233245,20.9382878275666
あらた,MAPE,0.0,0.3269148966354172,0.20945091598610768,0.19998821916143136,0.20202353713098256,0.16775736064957647,0.22097572040240546,0.20292684405936945,0.18641445907165402,0.19449841126940018,0.1443190933092157,0.8929119208700061,0.18388351543154083,0.18388351543154083,0.18373543448235732,0.18375150923522185,0.18388351543154083,0.19062571052429067,0.21216936357328894,0.20053458969469637,0.2983598114733862,0.27327203313047527,1.057403265056551,0.2802633396467013,0.21308958016409532
あらた,MSPE,0.0,0.24505311204104277,0.0936508702221665,0.07715206645764004,0.09275510808039682,0.03617298691624999,0.10368553843656447,0.09754815866756705,0.1025771476255077,0.10636063314973054,0.030661569696279995,0.798703884258885,0.06316196203214369,0.06316196203214369,0.06254528952460563,0.06296618407002957,0.06316196203214369,0.06119459156843438,0.08042873807829394,0.05792707027308027,0.1577481354543576,0.1492752393316748,2.645720201523071,0.14127748540412474,0.08449915956628411
あらた,MAPE-UB,0.0,0.2854634936376436,0.20945091598610768,0.19998821916143136,0.20202353713098256,0.16775736064957647,0.22097572040240546,0.20292684405936945,0.18641445907165402,0.19449841126940018,0.1443190933092157,0.8929119208700061,0.18388351543154083,0.18388351543154083,0.18373543448235732,0.18375150923522185,0.18388351543154083,0.19062571052429067,0.21216936357328894,0.20053458969469637,0.2983598114733862,0.26878539722014944,0.6275100291545008,0.2802633396467013,0.21308958016409532
あらた,MSPE-UB,0.0,0.14153168031968977,0.0936508702221665,0.07715206645764004,0.09275510808039682,0.03617298691624999,0.10368553843656447,0.09754815866756705,0.1025771476255077,0.10636063314973054,0.030661569696279995,0.798703884258885,0.06316196203214369,0.06316196203214369,0.06254528952460563,0.06296618407002957,0.06316196203214369,0.06119459156843438,0.08042873807829394,0.05792707027308027,0.1577481354543576,0.14006040868952116,0.5353505950114895,0.14127748540412474,0.08449915956628411
あらた,Large_error_rate,0.0,0.08333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08333333333333333,0.3333333333333333,0.0,0.0
いすゞ自動車,Max_error,0.0,31.98,48.73345605791634,47.47465865244516,46.61870117620127,50.36,39.85951712843597,40.31466855162395,39.85951712843597,48.17981291091441,42.133553,38.925037915353045,20.82388193013889,20.82388193013889,19.663591104613847,19.691729713767934,20.8354136681513,23.1068623306493,24.738750628807264,102.03537069143029,38.84480716649185,39.99006184420981,201.89306087121165,51.672529999999995,46.44310000000003
いすゞ自動車,Max_percentage_error,0.0,2.417233560090703,3.683556769305846,3.5884095731251064,3.523711351186793,3.8065003779289492,3.0128130860495816,3.047216065882385,3.0128130860495816,3.641709214732759,3.1846978835978836,1.7906784592607654,1.5739895638804904,1.5739895638804904,1.4862880653525206,1.4884149443513177,1.5748611994067498,2.125746304567553,1.869898006712567,9.386878628466448,2.9361154320855514,3.022680411504899,18.240365541411354,3.905708994708994,3.510438397581257
いすゞ自動車,MAE,0.0,22.830833333333334,11.81761505757054,10.832229726250496,14.365059738506014,10.041666666666666,13.791584168397685,13.572459366772796,13.791584168397685,13.117878488217825,12.515885916666667,19.63768450229255,7.983882891019992,7.983882891019992,7.474131334287993,7.477084869369787,8.082334131527888,10.026364092791765,7.877794320624865,21.83713144944241,10.378339911017354,10.95504120244074,70.9876476272505,16.5993695,11.338900000000002
