企業名,会計年度,四半期,|(y_test - y_test) / y_test|,|(y_test - y_hat_rw) / y_test|,|(y_test - y_hat_sarima_br) / y_test|,|(y_test - y_hat_sarima_f) / y_test|,|(y_test - y_hat_sarima_g) / y_test|,|(y_test - y_hat_umlp) / y_test|,|(y_test - y_hat_mlm1) / y_test|,|(y_test - y_hat_mlm2) / y_test|,|(y_test - y_hat_mlm3) / y_test|,|(y_test - y_hat_mlm4) / y_test|
あらた,2018,Q1,0.0,0.3422500474293303,0.16264219110494268,0.16153975169488588,0.23881010357520377,0.05537668374122562,0.34901822077274314,0.07655304289291591,0.11306778224600765,1.5029320351061815
あらた,2018,Q2,0.0,0.16563467492260067,0.11657331281175186,0.11544706518724089,0.04538372953746576,0.06289927023440953,0.0223726851463687,0.7362610700395047,0.6350138069823805,1.0567573549420743
あらた,2018,Q3,0.0,0.14871987951807228,0.1237451088099252,0.12529398043892906,0.12281271823188414,0.07760692771084357,0.11464526077686393,0.20420539297196022,0.20076904564409023,1.8546445378717786
あらた,2018,Q4,0.0,0.07075186454343878,0.39304526085618635,0.39531396168733396,0.34061607745131817,0.20020247933884303,0.2683967648764241,0.1263212775579605,0.1630429054897684,0.5599311091188968
あらた,2019,Q1,0.0,0.1508771929824561,0.08860901439533486,0.07088793379289965,0.07834373322494428,0.027448352588788943,0.16100450362594337,0.07986126750414993,0.1587107837434738,0.17292749167144011
あらた,2019,Q2,0.0,0.14829009433962254,0.03929795130307871,0.03810572582148553,0.048364062721782314,0.07385033411949689,0.044567729649232266,0.1053054983742818,0.15781687729123903,0.9264084521073898
あらた,2019,Q3,0.0,0.10681997717896956,0.00037087729758439634,0.0026085683938832454,0.09224330996915191,0.0249373299394365,0.007477884905814311,0.13803222102941204,0.11037270939095994,0.47097453685804297
あらた,2019,Q4,0.0,0.42590738423028784,0.2976142938279534,0.3047389829816404,0.20060571855440357,0.31792115143929905,0.38643107540510646,0.21095300544462997,0.2034845994406158,0.2270046815151846
あらた,2020,Q1,0.0,0.4498381877022653,0.2769985872127603,0.2811723025404766,0.20857958452465078,0.2829642635819046,0.19238683662577227,0.3031767408042552,0.23562754744332184,0.0467862813791633
あらた,2020,Q2,0.0,0.2034305601590983,0.002565357289222856,0.01386857066003258,0.03289345415747198,0.24974925422605238,0.23335863215461985,0.3058115499760872,0.060631098002149574,0.9586281476801073
あらた,2020,Q3,0.0,0.21304206064558193,0.16889464831675513,0.18181730413651961,0.11710968958257521,0.17349285947179657,0.20741445130717734,0.34367310015741453,0.18688761096778636,0.16745964952378542
あらた,2020,Q4,0.0,1.4974168359732825,0.8430543877902759,0.7090644826018478,0.8985202641655843,0.18538021331849264,0.41934103109029114,0.950163570928062,1.0538396309239109,4.744384902904566
いすゞ自動車,2018,Q1,0.0,0.42662257131045894,0.3138793806855338,0.17464726047405296,0.24979550005359233,0.46444073997519636,0.1824786042317171,0.5942251161833819,0.5762723342946257,1.9939659427337957
いすゞ自動車,2018,Q2,0.0,1.0033126293995862,0.1745939533629411,0.15950726113537428,0.2102269501613438,0.11030008281573488,0.06975403009553119,0.12027435704080978,0.035274637191446245,0.5821894475238125
いすゞ自動車,2018,Q3,0.0,0.5251671254423909,0.2366347638139831,0.2313102557297495,0.18814288752662256,0.20988784899724744,0.23467541006209103,0.1156494254992178,0.05315393576965887,1.1144697060538173
いすゞ自動車,2018,Q4,0.0,0.9243284146802876,0.3636331583810234,0.21148178341954943,0.5722755390937934,0.13896273174423007,0.3395837302472609,0.14594271784589963,0.045861380289845766,0.8136020554444031
いすゞ自動車,2019,Q1,0.0,0.28817667654187995,0.17932111376641655,0.2906752793601449,0.27950773294933795,0.06297796929706416,0.6184895863952926,0.04949002381124803,0.06678910252973505,0.3866304047513757
いすゞ自動車,2019,Q2,0.0,1.1996445497630335,0.22917623844731433,0.2273236264282306,0.5883328194745427,0.5593149289099526,0.2814091694733953,0.46410288941626965,0.0747615396156143,2.249020948737093
いすゞ自動車,2019,Q3,0.0,0.5484216158373463,0.15924899262017628,0.29800101796836803,0.16974366571273233,0.36256923488496523,0.3151520105101458,0.11107545302612364,0.13006295208156257,0.14872344651322697
いすゞ自動車,2019,Q4,0.0,0.9936000000000001,0.2408206778038442,0.15198102470802174,0.4012825487644013,0.46523376000000005,0.8368984757835278,0.6386095829584421,0.27494501700869334,0.6163239330876119
いすゞ自動車,2020,Q1,0.0,2.417233560090703,3.683556769305846,3.5884095731251064,3.523711351186793,3.184697883597884,3.8368737872055894,2.9361154320855514,3.0226804115048984,3.945016350844174
いすゞ自動車,2020,Q2,0.0,2.2171113155473785,2.3236841529029735,1.6518817124964382,2.2028263737627896,1.3998318307267712,9.386878628466448,0.34588430055893915,0.15918321664848809,18.240365541411354
いすゞ自動車,2020,Q3,0.0,0.7347486578818937,0.09761033424096224,0.13696163679877435,0.4393922913209819,0.38221298194241093,0.34893863383642765,0.15327634230026957,0.29708374821477807,3.4491355572809335
いすゞ自動車,2020,Q4,0.0,1.124416796267496,0.09209987593091887,0.03468635612645351,0.4031349858517179,0.1887593571798859,0.43225834833710386,0.4387900871998575,1.6153099615994315,10.466203259264471
いなげや,2018,Q1,0.0,0.363754889178618,0.9291066004256007,1.2877253540188,0.8881544548137779,1.6115305084745761,1.2893148351347685,1.2124127199085266,1.441321364431324,1.3537413669259688
いなげや,2018,Q2,0.0,5.101604278074865,1.752961611664672,2.035289504988364,1.5457484892069953,0.03953572192513356,5.246657109609304,1.9605516268366057,3.8302487397163674,5.2157051080372465
