企業名,会計年度,四半期,y_hat_comb_uall
りらいあコミュニケーションズ,2019,Q4,-43.14545119970964
りらいあコミュニケーションズ,2020,Q1,24.376372526331107
りらいあコミュニケーションズ,2020,Q2,15.678675927369834
りらいあコミュニケーションズ,2020,Q3,17.373589820468833
りらいあコミュニケーションズ,2020,Q4,17.47847983059544
わかもと製薬,2018,Q1,1.4300504531569442
わかもと製薬,2018,Q2,-1.6217294592813616
わかもと製薬,2018,Q3,0.8622537468698332
わかもと製薬,2018,Q4,4.125674641589745
わかもと製薬,2019,Q1,0.21228144076673772
わかもと製薬,2019,Q2,-2.030446300615266
わかもと製薬,2019,Q3,-9.742674188543884
わかもと製薬,2019,Q4,-7.902076949530377
わかもと製薬,2020,Q1,-3.861772043784229
わかもと製薬,2020,Q2,-10.903703011708428
わかもと製薬,2020,Q3,-1.0310005735194192
わかもと製薬,2020,Q4,-2.774440390491155
アイカ工業,2018,Q1,40.34060038332752
アイカ工業,2018,Q2,46.04484650820733
アイカ工業,2018,Q3,47.11534652322855
アイカ工業,2018,Q4,46.832197873840514
アイカ工業,2019,Q1,45.59331011711308
アイカ工業,2019,Q2,49.80673434970734
アイカ工業,2019,Q3,50.25898887466957
アイカ工業,2019,Q4,51.10471395867749
アイカ工業,2020,Q1,41.991477509250146
アイカ工業,2020,Q2,40.53795561614445
アイカ工業,2020,Q3,40.19297783365865
アイカ工業,2020,Q4,42.03370044651156
アイコム,2018,Q1,5.034936997523483
アイコム,2018,Q2,8.574371694442345
アイコム,2018,Q3,14.53704773594345
アイコム,2018,Q4,38.367995485692276
アイコム,2019,Q1,27.53028994912781
アイコム,2019,Q2,15.836632626884665
アイコム,2019,Q3,24.262604896759
アイコム,2019,Q4,59.76889464135519
アイコム,2020,Q1,26.961074947475947
アイコム,2020,Q2,4.929329238055706
アイコム,2020,Q3,15.675133541363365
アイコム,2020,Q4,71.31223477798991
アイシン,2018,Q1,113.38152589441688
アイシン,2018,Q2,96.13090878813804
アイシン,2018,Q3,119.23945684327187
アイシン,2018,Q4,101.55114663349372
アイシン,2019,Q1,110.79612929636785
アイシン,2019,Q2,71.37668519126136
アイシン,2019,Q3,74.73552470376265
アイシン,2019,Q4,85.34061436460539
アイシン,2020,Q1,18.62179321492255
アイシン,2020,Q2,-113.18208557722888
アイシン,2020,Q3,89.91053272090645
アイシン,2020,Q4,30.893170654387934
アイダエンジニアリング,2018,Q1,19.95698046666066
アイダエンジニアリング,2018,Q2,20.37977106006123
アイダエンジニアリング,2018,Q3,13.64617527228189
アイダエンジニアリング,2018,Q4,23.587749603015236
アイダエンジニアリング,2019,Q1,16.200814805180773
アイダエンジニアリング,2019,Q2,16.353780855651095
アイダエンジニアリング,2019,Q3,19.23287473610967
アイダエンジニアリング,2019,Q4,23.558621928193602
アイダエンジニアリング,2020,Q1,14.481397070664253
アイダエンジニアリング,2020,Q2,15.219477416234588
アイダエンジニアリング,2020,Q3,12.053814176319577
アイダエンジニアリング,2020,Q4,14.568328614600635
アイチコーポレーション,2018,Q1,12.769150619399866
アイチコーポレーション,2018,Q2,19.369418465276404
アイチコーポレーション,2018,Q3,13.045277302686594
アイチコーポレーション,2018,Q4,18.658640274528743
アイチコーポレーション,2019,Q1,10.957342357072557
アイチコーポレーション,2019,Q2,17.62464589890032
アイチコーポレーション,2019,Q3,18.407203950480547
アイチコーポレーション,2019,Q4,22.080770591013
アイチコーポレーション,2020,Q1,16.019844579533945
アイチコーポレーション,2020,Q2,16.389388377229107
アイチコーポレーション,2020,Q3,13.59848842637631
アイチコーポレーション,2020,Q4,19.57198750477692
アイティフォー,2018,Q1,5.2416475848507815
アイティフォー,2018,Q2,6.539421599190563
アイティフォー,2018,Q3,5.848563809958226
アイティフォー,2018,Q4,18.67573001145187
アイティフォー,2019,Q1,5.770539592040629
アイティフォー,2019,Q2,7.827894337852906
アイティフォー,2019,Q3,8.599773859472426
アイティフォー,2019,Q4,16.860749762517838
アイティフォー,2020,Q1,7.24894091787491
アイティフォー,2020,Q2,11.52750493228093
アイティフォー,2020,Q3,7.396018119468044
アイティフォー,2020,Q4,20.309968424327934
アイティメディア,2018,Q1,-1.5813426853231292
アイティメディア,2018,Q2,9.387205513717998
アイティメディア,2018,Q3,6.659911130038042
アイティメディア,2018,Q4,6.789431878996771
アイティメディア,2019,Q1,3.4513367385820324
アイティメディア,2019,Q2,6.43745905571884
アイティメディア,2019,Q3,7.693932605854134
アイティメディア,2019,Q4,12.296722231661526
アイティメディア,2020,Q1,8.756001772594146
アイティメディア,2020,Q2,9.993489959345775
アイティメディア,2020,Q3,11.16480083864485
アイティメディア,2020,Q4,12.926063633386036
アイネス,2018,Q1,1.5393736379355203
アイネス,2018,Q2,11.4254108075672
アイネス,2018,Q3,3.295171250011066
アイネス,2018,Q4,24.114534305236607
アイネス,2019,Q1,3.8999005395621706
アイネス,2019,Q2,14.90871982359478
アイネス,2019,Q3,18.460390042239915
アイネス,2019,Q4,-33.85736390860223
アイネス,2020,Q1,22.227121405397202
アイネス,2020,Q2,-11.058628269605883
アイネス,2020,Q3,63.76919544016738
アイネス,2020,Q4,17.79134853937052
アイネット,2018,Q1,14.130633046554113
アイネット,2018,Q2,23.83070229199154
アイネット,2018,Q3,21.624736597113035
アイネット,2018,Q4,24.77340739473211
アイネット,2019,Q1,16.346364075171213
アイネット,2019,Q2,26.296248749892044
アイネット,2019,Q3,23.252017861454156
アイネット,2019,Q4,26.75019175233937
アイネット,2020,Q1,22.03855006227939
アイネット,2020,Q2,21.711119506993207
アイネット,2020,Q3,21.49507422989695
アイネット,2020,Q4,23.920601903683597
アイホン,2018,Q1,7.82818568907241
アイホン,2018,Q2,40.15334734354282
アイホン,2018,Q3,15.450170698756313
アイホン,2018,Q4,36.06271944392086
アイホン,2019,Q1,16.329308938943747
アイホン,2019,Q2,50.26588730546912
アイホン,2019,Q3,33.72755918812442
アイホン,2019,Q4,60.04828480345261
アイホン,2020,Q1,17.39583792409329
アイホン,2020,Q2,46.914091560216356
アイホン,2020,Q3,25.008622449210367
アイホン,2020,Q4,39.89365362981329
アイロムグループ,2018,Q1,46.89233509092739
アイロムグループ,2018,Q2,4.703937158785763
アイロムグループ,2018,Q3,32.88974086475787
アイロムグループ,2018,Q4,21.158258200907394
アイロムグループ,2019,Q1,38.658357442843695
アイロムグループ,2019,Q2,17.116158274174158
アイロムグループ,2019,Q3,36.020640034846096
アイロムグループ,2019,Q4,39.964322426521264
アイロムグループ,2020,Q1,42.174725050796226
アイロムグループ,2020,Q2,10.537568080164212
アイロムグループ,2020,Q3,48.23376779541054
アイロムグループ,2020,Q4,57.55996197815443
アキレス,2018,Q1,32.71189389923434
アキレス,2018,Q2,19.139866402775667
アキレス,2018,Q3,24.13593896670299
アキレス,2018,Q4,-3.335466828724679
アキレス,2019,Q1,4.75427040926322
アキレス,2019,Q2,9.308429438658461
アキレス,2019,Q3,6.4081781010359125
アキレス,2019,Q4,21.407385597943723
アキレス,2020,Q1,30.11529152438399
アキレス,2020,Q2,64.5307449358415
アキレス,2020,Q3,42.38783275889326
アキレス,2020,Q4,24.455090908041083
アクシアル　リテイリング,2018,Q1,61.00931117483215
アクシアル　リテイリング,2018,Q2,63.746786199186225
アクシアル　リテイリング,2018,Q3,82.49880705101391
アクシアル　リテイリング,2018,Q4,52.76470084031761
アクシアル　リテイリング,2019,Q1,64.07103185511261
アクシアル　リテイリング,2019,Q2,74.34195075565255
アクシアル　リテイリング,2019,Q3,73.1455052257996
アクシアル　リテイリング,2019,Q4,70.68715063624408
アクシアル　リテイリング,2020,Q1,68.2807150610011
アクシアル　リテイリング,2020,Q2,69.4028283538034
アクシアル　リテイリング,2020,Q3,86.8079439768531
アクシアル　リテイリング,2020,Q4,70.85339204554188
アクセル,2018,Q1,10.746607077314128
アクセル,2018,Q2,0.7531716941364976
アクセル,2018,Q3,-12.313207444750343
アクセル,2018,Q4,9.66895027604414
アクセル,2019,Q1,-28.972344294117402
アクセル,2019,Q2,3.000110762102257
アクセル,2019,Q3,-4.342249055517081
アクセル,2019,Q4,2.957123899980149
アクセル,2020,Q1,14.51189270785161
アクセル,2020,Q2,5.969206863590297
アクセル,2020,Q3,2.2199842594321106
アクセル,2020,Q4,-5.00363310740039
アジアパイルホールディングス,2018,Q1,10.755876228668486
アジアパイルホールディングス,2018,Q2,19.536377257500256
アジアパイルホールディングス,2018,Q3,23.103258070733617
アジアパイルホールディングス,2018,Q4,15.613778583285896
アジアパイルホールディングス,2019,Q1,18.740506223821928
アジアパイルホールディングス,2019,Q2,23.917929678516746
アジアパイルホールディングス,2019,Q3,16.35899381250199
アジアパイルホールディングス,2019,Q4,13.802956175701159
アジアパイルホールディングス,2020,Q1,18.132446206741903
アジアパイルホールディングス,2020,Q2,22.420553078493406
アジアパイルホールディングス,2020,Q3,19.085634249015833
アジアパイルホールディングス,2020,Q4,14.127055233399787
アステラス製薬,2018,Q1,22.554898548988835
アステラス製薬,2018,Q2,22.665186568786236
アステラス製薬,2018,Q3,31.706221011436504
アステラス製薬,2018,Q4,17.227423686605725
アステラス製薬,2019,Q1,26.949844069869766
アステラス製薬,2019,Q2,25.083957742219646
アステラス製薬,2019,Q3,43.3895921644415
アステラス製薬,2019,Q4,19.435742674139362
アステラス製薬,2020,Q1,29.360218865391253
アステラス製薬,2020,Q2,33.34770953349128
アステラス製薬,2020,Q3,32.483920241398906
アステラス製薬,2020,Q4,10.74226014904027
アズビル,2018,Q1,31.907767180504912
アズビル,2018,Q2,55.553484930482796
アズビル,2018,Q3,60.73552547608305
アズビル,2018,Q4,98.39671742945664
アズビル,2019,Q1,21.401218769290505
アズビル,2019,Q2,49.392797182341354
アズビル,2019,Q3,38.185940139366494
アズビル,2019,Q4,60.941390570058296
アズビル,2020,Q1,16.732376274336453
アズビル,2020,Q2,36.70886797335978
アズビル,2020,Q3,34.46674192531081
アズビル,2020,Q4,57.31628959429245
アズワン,2018,Q1,61.32889246608944
アズワン,2018,Q2,56.51740589567969
アズワン,2018,Q3,63.315975451492946
アズワン,2018,Q4,83.72439627377452
アズワン,2019,Q1,69.56946448708452
アズワン,2019,Q2,64.08777727490866
アズワン,2019,Q3,75.81381928604745
アズワン,2019,Q4,80.71666721724901
アズワン,2020,Q1,72.45795637525987
アズワン,2020,Q2,79.5852712771921
アズワン,2020,Q3,72.49888928916316
アズワン,2020,Q4,90.09807171969747
アツギ,2018,Q1,-0.07595633885924627
アツギ,2018,Q2,0.6773401940232517
アツギ,2018,Q3,9.19815878519583
アツギ,2018,Q4,-1.4261827937737883
アツギ,2019,Q1,-173.08847993011676
アツギ,2019,Q2,36.11081075313616
アツギ,2019,Q3,-54.51462776620967
アツギ,2019,Q4,-206.09508403785406
アツギ,2020,Q1,-24.26858299375663
アツギ,2020,Q2,-129.08956567075236
アツギ,2020,Q3,-131.28945610374325
アツギ,2020,Q4,-61.62543814206329
アドウェイズ,2018,Q1,40.045098367597994
アドウェイズ,2018,Q2,166.2880798040249
アドウェイズ,2018,Q3,59.225563983785875
アドウェイズ,2018,Q4,4.049345486603528
アドウェイズ,2019,Q1,-7.810314393313909
アドウェイズ,2019,Q2,122.21003209272848
アドウェイズ,2019,Q3,44.49754720302278
アドウェイズ,2019,Q4,28.96293869489683
アドウェイズ,2020,Q1,31.96343330213167
アドウェイズ,2020,Q2,5.239809605972903
アドウェイズ,2020,Q3,26.985644857955794
アドウェイズ,2020,Q4,20.328399132861133
アドソル日進,2018,Q1,16.05354956974086
アドソル日進,2018,Q2,18.513619513068424
アドソル日進,2018,Q3,18.64761408292491
アドソル日進,2018,Q4,13.972099389555467
アドソル日進,2019,Q1,17.086189858535594
アドソル日進,2019,Q2,20.59471854620606
アドソル日進,2019,Q3,19.494072054972627
アドソル日進,2019,Q4,17.266589400073542
アドソル日進,2020,Q1,19.81870272446194
アドソル日進,2020,Q2,21.893403880451974
アドソル日進,2020,Q3,22.770983442301
アドソル日進,2020,Q4,18.307278696396843
アドバンテスト,2018,Q1,17.450336898132836
アドバンテスト,2018,Q2,47.66260102810286
アドバンテスト,2018,Q3,52.31116173807062
アドバンテスト,2018,Q4,78.63088899045938
アドバンテスト,2019,Q1,51.70779597589895
アドバンテスト,2019,Q2,56.50204266641151
アドバンテスト,2019,Q3,68.74453527124537
アドバンテスト,2019,Q4,56.3332219875753
アドバンテスト,2020,Q1,66.34020696292843
アドバンテスト,2020,Q2,60.63544052358829
アドバンテスト,2020,Q3,57.79163449569385
アドバンテスト,2020,Q4,68.32338930835911
アドヴァングループ,2018,Q1,13.213726030154419
アドヴァングループ,2018,Q2,28.421914792419905
アドヴァングループ,2018,Q3,25.46833761869034
アドヴァングループ,2018,Q4,13.031718574787936
アドヴァングループ,2019,Q1,31.935093382267677
アドヴァングループ,2019,Q2,23.409630890349
アドヴァングループ,2019,Q3,28.673941416709283
アドヴァングループ,2019,Q4,32.997687982627596
アドヴァングループ,2020,Q1,25.72222671109767
アドヴァングループ,2020,Q2,28.449807741118263
アドヴァングループ,2020,Q3,25.222579892378356
アドヴァングループ,2020,Q4,20.28888828488267
アマダ,2018,Q1,9.959409183581602
アマダ,2018,Q2,20.991206932462138
アマダ,2018,Q3,20.148992279974586
アマダ,2018,Q4,18.911851083467837
アマダ,2019,Q1,17.679421249274952
アマダ,2019,Q2,23.994983771626437
アマダ,2019,Q3,16.398334554265112
アマダ,2019,Q4,23.59307590534788
アマダ,2020,Q1,9.995512414335783
アマダ,2020,Q2,22.43895911909662
アマダ,2020,Q3,15.58952290767952
アマダ,2020,Q4,16.00131345414824
アマノ,2018,Q1,18.174703358229987
アマノ,2018,Q2,32.284078870767715
アマノ,2018,Q3,33.644873335571084
アマノ,2018,Q4,35.38295902259533
アマノ,2019,Q1,17.370933458160586
アマノ,2019,Q2,36.85750368545806
アマノ,2019,Q3,24.767696603821285
アマノ,2019,Q4,45.931036783665085
アマノ,2020,Q1,23.313368764111452
アマノ,2020,Q2,34.40449778332865
アマノ,2020,Q3,27.91628015850818
アマノ,2020,Q4,42.733025509208495
アミューズ,2018,Q1,34.74011525895038
アミューズ,2018,Q2,39.77709346894342
アミューズ,2018,Q3,75.02666897516659
アミューズ,2018,Q4,62.79512890955228
アミューズ,2019,Q1,77.55017625939726
アミューズ,2019,Q2,85.46687185845676
アミューズ,2019,Q3,70.87954519237789
アミューズ,2019,Q4,53.870741576182766
アミューズ,2020,Q1,45.55247425176427
アミューズ,2020,Q2,29.62380020386251
アミューズ,2020,Q3,71.18453649783973
アミューズ,2020,Q4,27.87812853929041
アリアケジャパン,2018,Q1,55.21904779543299
アリアケジャパン,2018,Q2,57.93695849848086
アリアケジャパン,2018,Q3,66.5591773304042
アリアケジャパン,2018,Q4,44.51462504481334
アリアケジャパン,2019,Q1,-41.559576732970754
アリアケジャパン,2019,Q2,75.07526971130741
アリアケジャパン,2019,Q3,70.39797127812368
アリアケジャパン,2019,Q4,231.65404390981956
アリアケジャパン,2020,Q1,71.50674552581962
アリアケジャパン,2020,Q2,68.47761641134464
アリアケジャパン,2020,Q3,72.70600885395997
アリアケジャパン,2020,Q4,76.11694971365642
アルインコ,2018,Q1,20.129265198341372
アルインコ,2018,Q2,28.569980945751837
アルインコ,2018,Q3,31.51544611711396
アルインコ,2018,Q4,7.09319562682528
アルインコ,2019,Q1,21.96501843359283
アルインコ,2019,Q2,28.105923881412224
アルインコ,2019,Q3,39.9797449258469
アルインコ,2019,Q4,17.15275462947228
アルインコ,2020,Q1,18.313769080101537
アルインコ,2020,Q2,34.68721784053075
アルインコ,2020,Q3,39.00723166781611
アルインコ,2020,Q4,5.22901811459686
アルコニックス,2018,Q1,104.81803443346976
アルコニックス,2018,Q2,70.9365373559942
アルコニックス,2018,Q3,76.21548181663886
アルコニックス,2018,Q4,49.33118785892634
アルコニックス,2019,Q1,70.18230858871954
アルコニックス,2019,Q2,52.09880531619503
アルコニックス,2019,Q3,65.13148835860184
アルコニックス,2019,Q4,34.38853813112173
アルコニックス,2020,Q1,50.300192360492055
アルコニックス,2020,Q2,38.90429175540458
アルコニックス,2020,Q3,61.82332012734963
アルコニックス,2020,Q4,25.260941992334015
アルゴグラフィックス,2018,Q1,58.065462507645876
アルゴグラフィックス,2018,Q2,64.00186952057408
アルゴグラフィックス,2018,Q3,57.23623294627841
アルゴグラフィックス,2018,Q4,75.66364197474086
アルゴグラフィックス,2019,Q1,83.54222674564846
アルゴグラフィックス,2019,Q2,66.41996061018092
アルゴグラフィックス,2019,Q3,64.63602972963739
アルゴグラフィックス,2019,Q4,66.84259765293538
アルゴグラフィックス,2020,Q1,51.09180628824762
アルゴグラフィックス,2020,Q2,49.71634183461505
アルゴグラフィックス,2020,Q3,47.956251112103686
アルゴグラフィックス,2020,Q4,43.76498822335266
アルファ,2018,Q1,44.77979840448913
アルファ,2018,Q2,41.44790233641606
アルファ,2018,Q3,33.7904660893676
アルファ,2018,Q4,52.5515903245029
アルファ,2019,Q1,36.340466294407115
アルファ,2019,Q2,35.27238405828514
アルファ,2019,Q3,43.201601811150276
アルファ,2019,Q4,33.28247642532653
アルファ,2020,Q1,-35.769357514247034
アルファ,2020,Q2,-30.96058343655243
アルファ,2020,Q3,-3.377157413692153
アルファ,2020,Q4,-14.99629865393643
アルファシステムズ,2018,Q1,28.326984129227828
アルファシステムズ,2018,Q2,29.354242582094628
アルファシステムズ,2018,Q3,26.33777930906366
アルファシステムズ,2018,Q4,40.48911574863549
アルファシステムズ,2019,Q1,32.95649045449083
アルファシステムズ,2019,Q2,30.53549221213254
アルファシステムズ,2019,Q3,29.431028547480754
アルファシステムズ,2019,Q4,41.57229395384586
アルファシステムズ,2020,Q1,31.517372125811296
アルファシステムズ,2020,Q2,42.027857842159996
アルファシステムズ,2020,Q3,36.27396580512787
アルファシステムズ,2020,Q4,46.1673284392286
アルフレッサ　ホールディングス,2018,Q1,50.145910858071815
アルフレッサ　ホールディングス,2018,Q2,36.201958959922
アルフレッサ　ホールディングス,2018,Q3,52.36880228515382
アルフレッサ　ホールディングス,2018,Q4,56.81402217499151
アルフレッサ　ホールディングス,2019,Q1,62.54937287479903
アルフレッサ　ホールディングス,2019,Q2,34.01302665458108
アルフレッサ　ホールディングス,2019,Q3,66.60635184210462
アルフレッサ　ホールディングス,2019,Q4,36.21971990026838
アルフレッサ　ホールディングス,2020,Q1,48.446600286943735
アルフレッサ　ホールディングス,2020,Q2,44.238618800466156
アルフレッサ　ホールディングス,2020,Q3,41.34474656510604
アルフレッサ　ホールディングス,2020,Q4,45.78613864983136
アルプスアルパイン,2018,Q1,22.641542384471933
アルプスアルパイン,2018,Q2,59.12422922919584
アルプスアルパイン,2018,Q3,75.27505870693548
アルプスアルパイン,2018,Q4,21.650232950236074
アルプスアルパイン,2019,Q1,4.753211282543072
アルプスアルパイン,2019,Q2,42.88241016255998
アルプスアルパイン,2019,Q3,39.288869235184904
アルプスアルパイン,2019,Q4,-19.940154769751015
アルプスアルパイン,2020,Q1,-12.938677944442185
アルプスアルパイン,2020,Q2,4.855963689630905
アルプスアルパイン,2020,Q3,-2.569070784027589
アルプスアルパイン,2020,Q4,-6.857863665595441
アルプス物流,2018,Q1,20.48405580261889
アルプス物流,2018,Q2,17.120326114268714
アルプス物流,2018,Q3,22.69453025578824
アルプス物流,2018,Q4,19.09198121096029
アルプス物流,2019,Q1,16.748859330832385
アルプス物流,2019,Q2,19.120941780424893
アルプス物流,2019,Q3,24.55988512902946
アルプス物流,2019,Q4,15.885611636157048
アルプス物流,2020,Q1,15.427400617309138
アルプス物流,2020,Q2,15.994956132178794
アルプス物流,2020,Q3,19.657770784804036
アルプス物流,2020,Q4,18.13039248422637
アンリツ,2018,Q1,3.469218739323659
アンリツ,2018,Q2,8.575717109787401
アンリツ,2018,Q3,10.363058530274051
アンリツ,2018,Q4,16.531299182586714
アンリツ,2019,Q1,16.012603953791622
アンリツ,2019,Q2,13.231647289510182
アンリツ,2019,Q3,18.951498340720466
アンリツ,2019,Q4,19.985870750589008
アンリツ,2020,Q1,21.260800418023607
アンリツ,2020,Q2,25.703112801872855
アンリツ,2020,Q3,26.210704734484487
アンリツ,2020,Q4,27.946693872799575
アートネイチャー,2018,Q1,3.382359147151514
アートネイチャー,2018,Q2,15.36656186654427
アートネイチャー,2018,Q3,14.079283612242175
アートネイチャー,2018,Q4,4.200109060017742
アートネイチャー,2019,Q1,14.093689062079662
アートネイチャー,2019,Q2,14.694619862043627
アートネイチャー,2019,Q3,21.776557243051595
アートネイチャー,2019,Q4,14.430002835265231
アートネイチャー,2020,Q1,16.89867563247573
アートネイチャー,2020,Q2,18.04434347362651
アートネイチャー,2020,Q3,-6.871447377511027
アートネイチャー,2020,Q4,13.569476590890636
イエローハット,2018,Q1,57.8577764543233
イエローハット,2018,Q2,54.077164674394815
イエローハット,2018,Q3,105.52352861050069
イエローハット,2018,Q4,64.34600271314449
イエローハット,2019,Q1,59.73336866565353
イエローハット,2019,Q2,57.08972032341036
イエローハット,2019,Q3,126.14761044221889
イエローハット,2019,Q4,56.0811759202827
イエローハット,2020,Q1,47.01613268711652
イエローハット,2020,Q2,55.68115536551918
イエローハット,2020,Q3,65.76163961244893
イエローハット,2020,Q4,40.358336198577966
イソライト工業,2018,Q1,18.758843286278324
イソライト工業,2018,Q2,18.36073495051896
イソライト工業,2018,Q3,20.427500823074986
イソライト工業,2018,Q4,20.35663342528975
イソライト工業,2019,Q1,6.11910572126192
イソライト工業,2019,Q2,14.723774330864913
イソライト工業,2019,Q3,18.034211652041353
イソライト工業,2019,Q4,6.224624101586513
イソライト工業,2020,Q1,18.177064667376392
イソライト工業,2020,Q2,17.345609196324567
