企業名,会計年度,四半期,y_hat_comb_all
あらた,2018,Q1,114.35585461266153
あらた,2018,Q2,96.017203676967
あらた,2018,Q3,92.12086159114254
あらた,2018,Q4,76.95849025738619
あらた,2019,Q1,113.29212807210014
あらた,2019,Q2,111.09468377676863
あらた,2019,Q3,113.56019742702267
あらた,2019,Q4,103.63155439729738
あらた,2020,Q1,115.54864094645612
あらた,2020,Q2,103.35997870346812
あらた,2020,Q3,122.82244244897
あらた,2020,Q4,123.05116405937376
いすゞ自動車,2018,Q1,28.027377024015834
いすゞ自動車,2018,Q2,28.331215568091384
いすゞ自動車,2018,Q3,34.67483916219714
いすゞ自動車,2018,Q4,34.32489451659698
いすゞ自動車,2019,Q1,40.98443747041413
いすゞ自動車,2019,Q2,28.03738941815758
いすゞ自動車,2019,Q3,36.94148629759084
いすゞ自動車,2019,Q4,23.60397053626167
いすゞ自動車,2020,Q1,28.456974848045483
いすゞ自動車,2020,Q2,17.585100739014198
いすゞ自動車,2020,Q3,22.822646548196172
いすゞ自動車,2020,Q4,36.87828202521939
いなげや,2018,Q1,1.9422780215848445
いなげや,2018,Q2,2.879090639888372
いなげや,2018,Q3,10.950707773798566
いなげや,2018,Q4,2.808605780123752
いなげや,2019,Q1,-8.531809225927727
いなげや,2019,Q2,-2.3368613150688673
いなげや,2019,Q3,8.24717831414096
いなげや,2019,Q4,-18.69834337203286
いなげや,2020,Q1,6.718143858035295
いなげや,2020,Q2,15.911426905078919
いなげや,2020,Q3,17.343122645005963
いなげや,2020,Q4,11.013741375649026
かどや製油,2018,Q1,81.63991063197858
かどや製油,2018,Q2,109.02256141060032
かどや製油,2018,Q3,88.61960082074448
かどや製油,2018,Q4,62.91455841804404
かどや製油,2019,Q1,82.02066759339445
かどや製油,2019,Q2,80.1136520335508
かどや製油,2019,Q3,72.8641386354228
かどや製油,2019,Q4,43.614439339209696
かどや製油,2020,Q1,68.3862482822663
かどや製油,2020,Q2,58.401614810486905
かどや製油,2020,Q3,54.362785914935024
かどや製油,2020,Q4,45.48273612205314
きんでん,2018,Q1,12.364089472095738
きんでん,2018,Q2,24.511929306949483
きんでん,2018,Q3,31.519841641597946
きんでん,2018,Q4,70.60392147342613
きんでん,2019,Q1,14.81236156564456
きんでん,2019,Q2,29.024473036864226
きんでん,2019,Q3,33.1323309731936
きんでん,2019,Q4,66.82016722296116
きんでん,2020,Q1,19.60115095158791
きんでん,2020,Q2,31.836392278100366
きんでん,2020,Q3,43.260275613161454
きんでん,2020,Q4,62.458699615170616
さくらインターネット,2018,Q1,9.028320808985088
さくらインターネット,2018,Q2,26.612616671893978
さくらインターネット,2018,Q3,53.3485994727902
さくらインターネット,2018,Q4,56.40802231734729
さくらインターネット,2019,Q1,41.5964753351373
さくらインターネット,2019,Q2,28.23510738812041
さくらインターネット,2019,Q3,26.3266509963783
さくらインターネット,2019,Q4,-6.691907000090875
さくらインターネット,2020,Q1,176.51404767191895
さくらインターネット,2020,Q2,185.3714504892816
さくらインターネット,2020,Q3,37.70744121287022
さくらインターネット,2020,Q4,14.222707670739759
たけびし,2018,Q1,38.96938228778573
たけびし,2018,Q2,40.297200308043415
たけびし,2018,Q3,42.43876424294324
たけびし,2018,Q4,44.91423393627892
たけびし,2019,Q1,38.95736632689792
たけびし,2019,Q2,37.501984341932996
たけびし,2019,Q3,38.36306196026513
たけびし,2019,Q4,26.87526587662968
たけびし,2020,Q1,23.4499627907313
たけびし,2020,Q2,32.309434565790994
たけびし,2020,Q3,25.001679090115996
たけびし,2020,Q4,26.9012107587789
なとり,2018,Q1,24.483832428671157
なとり,2018,Q2,15.428325009801613
なとり,2018,Q3,47.69616779243941
なとり,2018,Q4,-10.242996256098413
なとり,2019,Q1,24.795876012981648
なとり,2019,Q2,24.687647254846038
なとり,2019,Q3,57.89283812812269
なとり,2019,Q4,-19.897435942703897
なとり,2020,Q1,18.376637634429816
なとり,2020,Q2,22.524667070437005
なとり,2020,Q3,67.611657495944
なとり,2020,Q4,-9.441845545856047
はせがわ,2018,Q1,-4.282538115289923
はせがわ,2018,Q2,24.3358707798221
はせがわ,2018,Q3,2.7736986602780767
はせがわ,2018,Q4,5.350833365616604
はせがわ,2019,Q1,-7.936235558665042
はせがわ,2019,Q2,13.87931646302551
はせがわ,2019,Q3,-9.878094720455824
はせがわ,2019,Q4,-13.660718488503182
はせがわ,2020,Q1,-28.054316785264817
はせがわ,2020,Q2,6.021059627891109
はせがわ,2020,Q3,-15.12562373797853
はせがわ,2020,Q4,-7.118153039120508
はるやまホールディングス,2018,Q1,1.9173466501829988
はるやまホールディングス,2018,Q2,-23.027015957176317
はるやまホールディングス,2018,Q3,88.20530080404315
はるやまホールディングス,2018,Q4,53.567776301580544
はるやまホールディングス,2019,Q1,-13.644682707430837
はるやまホールディングス,2019,Q2,-23.781907558060542
はるやまホールディングス,2019,Q3,10.190982353642292
はるやまホールディングス,2019,Q4,35.9066398991215
はるやまホールディングス,2020,Q1,-19.392854419795924
はるやまホールディングス,2020,Q2,-46.19659818675322
はるやまホールディングス,2020,Q3,-5.515973757785529
はるやまホールディングス,2020,Q4,-10.852177550707644
ぴあ,2018,Q1,11.583285330614784
ぴあ,2018,Q2,20.550966121364098
ぴあ,2018,Q3,14.769080110330375
ぴあ,2018,Q4,21.11295201048248
ぴあ,2019,Q1,21.875775782983673
ぴあ,2019,Q2,11.840212714029995
ぴあ,2019,Q3,10.28084674919656
ぴあ,2019,Q4,16.137166007912068
ぴあ,2020,Q1,6.260172451343728
ぴあ,2020,Q2,-52.98454480459666
ぴあ,2020,Q3,-44.45563683207467
ぴあ,2020,Q4,-19.87538360891324
りらいあコミュニケーションズ,2018,Q1,11.99156551654719
りらいあコミュニケーションズ,2018,Q2,16.597288654022197
りらいあコミュニケーションズ,2018,Q3,15.350239660025855
りらいあコミュニケーションズ,2018,Q4,15.16588437260543
りらいあコミュニケーションズ,2019,Q1,-157.24151480299582
りらいあコミュニケーションズ,2019,Q2,-8.003219872643825
りらいあコミュニケーションズ,2019,Q3,-61.330571953734925
りらいあコミュニケーションズ,2019,Q4,-144.76753785341316
りらいあコミュニケーションズ,2020,Q1,21.11986735517896
りらいあコミュニケーションズ,2020,Q2,14.218680217262069
りらいあコミュニケーションズ,2020,Q3,14.62713535872665
りらいあコミュニケーションズ,2020,Q4,10.378698586509874
わかもと製薬,2018,Q1,1.3049551854129262
わかもと製薬,2018,Q2,-2.608010863075944
わかもと製薬,2018,Q3,1.1867169423681274
わかもと製薬,2018,Q4,2.6236865303341883
わかもと製薬,2019,Q1,-0.6316971793938673
わかもと製薬,2019,Q2,-4.072170354601908
