企業名,会計年度,四半期,y_test,y_hat_rw,y_hat_sarima_br,y_hat_sarima_f,y_hat_sarima_g,y_hat_umlp,y_hat_mlm1,y_hat_mlm2,y_hat_mlm3,y_hat_mlm4
あらた,2018,Q1,105.42,69.34,122.56573978628306,122.44952062367487,130.59536111889798,111.25781,142.21350083386258,113.4902217817712,117.33960560437413,263.85909514089366
あらた,2018,Q2,90.44,105.42,79.89710958930516,79.99896742446593,94.5445044993684,84.75139,92.46338564463758,157.0274511743728,147.8706487034865,186.0131351809612
あらた,2018,Q3,106.24,90.44,119.38668035996645,119.55123248183182,119.28762318495536,114.48496000000002,118.41991250493402,84.54521905065894,84.91029659077185,-90.79743570349774
あらた,2018,Q4,99.22,106.24,60.22204921784919,59.99694872138272,65.42407279528021,79.35591,72.5896729889612,111.75359715930084,83.04288291730518,43.663635353223064
あらた,2019,Q1,116.85,99.22,127.20396333209487,125.13325506370032,126.00446522733473,113.64266,98.03662375130851,126.18178910785991,135.3953550804249,137.05657740180777
あらた,2019,Q2,101.76,116.85,97.76104047539872,97.88236134040564,106.68152702256857,109.27501000000001,97.22478783089413,112.47588751456692,117.81944543315649,196.031324086448
あらた,2019,Q3,113.93,101.76,113.9722540505138,113.63280580288489,124.43928030478548,116.77111000000001,114.78195542731943,98.20398905811909,101.35523721908794,167.58812898423685
あらた,2019,Q4,79.9,113.93,103.67938207685349,104.24864474023308,95.92839691249685,105.3019,110.77584292486802,96.75514513502594,96.15841949530521,98.03767405306326
あらた,2020,Q1,145.23,79.9,105.00149517909081,104.39534650204658,114.93798693948496,104.1351,117.28965971683908,101.199641932998,111.00981128480636,152.02477164469587
あらた,2020,Q2,120.68,145.23,120.37041268233659,119.00634089274728,116.71041795227629,90.54026,92.51828027158048,157.58533785111422,127.99696090689942,4.99275513796465
あらた,2020,Q3,153.35,120.68,127.4500056806256,125.46831641066471,135.39122910251209,126.74486999999999,121.54299389204435,100.64773009086048,124.69078485808996,127.6700627455275
あらた,2020,Q4,61.403446069200974,153.35,113.16989070328442,104.94244878622943,116.57568665197664,72.78643000000001,87.1524304563568,119.74676365360165,126.11283101222399,352.72502858623284
いすゞ自動車,2018,Q1,48.38,27.74,33.19451556243388,39.93056553826532,36.294893707407205,25.910357,39.55168512726953,19.631388879047986,20.499944466826012,-48.08807230946104
いすゞ自動車,2018,Q2,24.15,48.38,28.366443973715025,28.002100356419287,29.22698084639645,26.813746999999996,22.46544017319292,27.054625722535555,23.29811751182657,10.090124842299927
いすゞ自動車,2018,Q3,50.86,24.15,38.82475591242082,39.09556039358494,41.291052740395976,40.185103999999995,38.92440864424205,44.97807021910978,48.15659082675515,-5.821929249897152
いすゞ自動車,2018,Q4,26.43,50.86,36.04082437601045,32.01946353577869,41.55524249824896,22.757215,35.405197990435106,30.287266032667127,27.642116281060623,47.93350232539557
いすゞ自動車,2019,Q1,37.13,26.43,43.78819295414705,47.922773122642184,47.50812212440892,39.468371999999995,60.09451834285722,38.96756458411164,39.609879376929065,22.77441307158142
いすゞ自動車,2019,Q2,16.88,37.13,20.748494904990665,20.71722281410853,26.81105799273028,26.321236,21.63018678071091,24.71405677334663,18.14197478871157,54.84347361468213
いすゞ自動車,2019,Q3,37.38,16.88,43.33272734414219,48.5192780516576,43.72501822434194,23.827162,49.16038215286925,41.532000434116505,42.24175314880881,42.93928243066443
いすゞ自動車,2019,Q4,18.75,37.38,23.26538770882208,21.599644213275408,26.274047789332524,27.473133,34.44184642094115,6.776070319529212,13.594780931087,7.193926254607277
いすゞ自動車,2020,Q1,-13.23,18.75,35.503456057916345,34.24465865244516,33.388701176201266,28.903553000000002,37.531840204729946,25.61480716649185,26.760061844209808,38.96256632166842
いすゞ自動車,2020,Q2,10.87,-13.23,-14.38844674205532,-7.085954214836281,-13.074722682801523,26.086172,-91.16537069143028,14.629762347075667,12.600321564969065,209.1427734351414
いすゞ自動車,2020,Q3,40.98,10.87,36.979928502805365,35.367312123986224,22.97370390166616,25.316912,26.680494785383193,34.69873549253495,28.805507998158394,-100.36557513737263
いすゞ自動車,2020,Q4,19.29,40.98,21.066606606707424,19.959099809679287,11.51352612292036,15.648832,27.628263539422733,27.75426078208525,50.44932915925303,221.18306087121164
いなげや,2018,Q1,-7.67,-4.88,-0.543752374735643,2.2068534653241967,-0.8578553315783237,4.690439,2.219044785483675,1.6292055616983987,3.3849348651882565,2.71319628432218
いなげや,2018,Q2,1.87,-7.67,5.148038213812937,5.675991374328241,4.7605496748170815,1.9439317999999999,-7.941248794969398,5.536231542184453,9.032565143269608,-7.883368552029651
いなげや,2018,Q3,12.29,1.87,16.64379703238729,14.392625367232672,15.915372863492069,21.344662,2.399382531528317,14.422334606218124,19.34452801010315,-15.547409706964572
いなげや,2018,Q4,-34.61,12.29,-0.2049259454160461,-5.943614080153463,-1.6835478703349178,6.7401089999999995,-3.3416939350788653,4.404831657698652,6.4682877971061705,9.709801995938506
いなげや,2019,Q1,-7.99,-34.61,-10.734429918556561,-15.074635712436983,-11.351431519757686,2.63288,-18.58739370873309,1.0215455362840091,2.796222184406417,-18.611402949599782
いなげや,2019,Q2,2.09,-7.99,2.7507073949098806,1.7959238092617935,-2.7757171591456355,9.870766,-24.52233125131033,-5.898780546282978,-1.1797025786445374,-12.330398616888713
いなげや,2019,Q3,9.56,2.09,13.560954039905171,12.34089000758605,8.709605287559997,20.823063,0.28650894252655235,4.569406743648642,7.579918298613392,2.7130891018000507
