決算期,y_hat_lstm_mv_hid100_lr0.001_epoch1000
2016-06-01,103.30754089355469
2016-09-01,57.72760772705078
2016-12-01,72.96054077148438
2017-03-01,98.6506576538086
2017-06-01,115.98033142089844
2017-09-01,58.868080139160156
2017-12-01,100.17277526855469
2018-03-01,109.58615112304688
2018-06-01,116.50019073486328
2018-09-01,58.868080139160156
2018-12-01,83.49774169921875
2019-03-01,106.19439697265625
2019-06-01,117.41232299804688
2019-09-01,59.080718994140625
2019-12-01,92.4441909790039
2020-03-01,112.2734375
