決算期,y_hat_lstm_mv_hid500_lr0.001_epoch1000
2016-06-01,133.64688110351562
2016-09-01,94.94862365722656
2016-12-01,99.65238189697266
2017-03-01,102.76378631591797
2017-06-01,132.1143035888672
2017-09-01,72.126220703125
2017-12-01,91.9996337890625
2018-03-01,70.43505096435547
2018-06-01,112.6712646484375
2018-09-01,110.81893157958984
2018-12-01,92.2593002319336
2019-03-01,103.66181182861328
2019-06-01,127.0533676147461
2019-09-01,115.89861297607422
2019-12-01,108.9052963256836
2020-03-01,120.22052764892578
