,Max_error,Max_percentage_error,MAE,MAPE,MSPE,MAPE-UB,MSPE-UB,Large_error_rate
y_test,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
y_hat_rw,1989.2900000000002,5895.0,38.745585660313026,4.313952874440274,7001.957272395744,0.5843682674878335,0.47266481423808926,0.3220844811753903
y_hat_sarima_br,17667.440089197364,88978.12720468803,38.46816167244812,9.708297979309114,606873.6412154108,0.5269849363129254,0.41068852537142825,0.2654576063666973
y_hat_sarima_f,3611.477871154157,2068.1666195968014,34.88179549796493,2.8230221587315794,1142.8235067882406,0.5267488636082492,0.4128049930743981,0.27280379553106826
y_hat_sarima_g,3370.1152294008502,34626.006762120596,39.41015669757641,6.123383840803384,93472.21479614862,0.5340728298933848,0.4234006776809586,0.2864248546066728
y_hat_srw,2685.3,1945.9999999999998,33.354025426312916,2.703543552930894,937.3205735796945,0.5286416152435759,0.41550373268637386,0.2682124273033364
y_hat_uen_i_tuned_simple,3306.700498695129,21034.826350826323,36.73955670423467,4.397027624980394,35047.212159483286,0.5581337259677744,0.43328113033455035,0.24839302112029385
y_hat_ul1_i_tuned_fine,2627.9839353628468,21034.82609004944,35.578318493106984,4.178090502651476,34742.63096959929,0.5619532540263363,0.43713551452992455,0.24563820018365473
y_hat_ul1_i_tuned_simple,4322.802062678167,21034.826118882942,37.35562801003979,4.471173477276446,35063.34668565157,0.5665064363545129,0.4427594017875807,0.2529843893480257
y_hat_ul2_i_tuned_simple,6374.325185481017,21034.82608900957,44.109668643438,5.326720934316392,35475.46905362889,0.5482088655130886,0.4350756496798139,0.2937710437710438
y_hat_umlp,8148.714599999999,134665.3,53.452909649270396,14.8067688562534,1391902.4367691446,0.603028898935092,0.4890306022314526,0.3154269972451791
y_hat_umlp_sklearn_default,2132.5983862659664,424.439154866935,44.95190141937093,1.095581006874809,43.80263146449646,0.7875463469831291,0.6732931872351712,0.17156412610958066
y_hat_men_i_tuned,1950.1349189149255,4491.73457869031,26.727324578039827,1.6516535389014066,1691.3462641782467,0.46900646218231257,0.3499176308976685,0.19635751453933273
y_hat_men_i_tuned_simple,6511.645744254159,4491.73457869031,28.91741113444463,1.883392404414793,1847.730249294882,0.46322718959753834,0.34695137679119736,0.21082032445668808
y_hat_ml1_i_tuned,6494.613840701019,5870.756026852765,31.840115185837792,2.3514722113513984,3116.9974556437514,0.46595691662976374,0.3531393076569798,0.2263544536271809
y_hat_ml1_i_tuned_fine,1950.3163726424546,3975.6685909371113,26.5047801972636,1.5712301212686715,1361.7822665674723,0.46696823660628045,0.34746300333154817,0.19023569023569023
y_hat_ml1_i_tuned_simple,6549.907405790951,5870.756026852765,29.542919974200597,2.1695578903943074,2980.8637450163956,0.47146395803965196,0.3561108119021395,0.2202326293235384
y_hat_ml2_i_tuned,7844.3061978979395,12692.441109467794,53.966489076883626,5.03715901842952,15603.042601490992,0.5508777564559251,0.45079985832756153,0.33157330884603614
y_hat_ml2_i_tuned_simple,7930.70327889743,14011.154376873365,43.43787538733154,4.27145125077708,18003.39415396238,0.5141502770788705,0.4070353800872288,0.28481787572696665
y_hat_mlm1,33025.10977108403,19193.225310254435,60.12612479755852,5.778863078119971,29555.807146614276,0.5855431040459406,0.48052652291435655,0.3435873890419345
y_hat_mlm2,40758.24486034228,120789.43709849025,71.75213462916302,14.285042602426318,1118622.1025931328,0.5970327526822384,0.49413410834686183,0.3590449954086318
y_hat_mlm3,37297.9540670777,125258.15505302214,82.16874358995267,15.209636664911974,1203296.2144553894,0.6094438041425083,0.5089603686242875,0.3736608509335782
y_hat_mlm4,202488.020543519,50075.35412876696,343.68720733579823,31.944188995180777,513129.94805098174,0.8053810626502039,0.7471058988322139,0.647995102540557
y_hat_mmlp,11637.991,3937.5307,39.402029515085935,3.837378304212214,3237.6051016174083,0.5668385802759545,0.4527007004690345,0.3026476890113254
y_hat_mraf_i_tuned_simple,2484.391429902901,26081.83071974265,27.490445366621692,4.06730802884177,52534.24069662732,0.46703821077290236,0.3508894317452565,0.22543617998163454
