,y_hat_sarima_br
56,156.61481457312257
57,127.67380871951369
58,165.77246034177693
59,125.59292749762882
60,198.41828458973373
61,189.2935249852738
62,199.2521683183741
63,177.42456143355784
64,255.2515114505911
65,187.4242149110496
66,299.6226941554955
67,159.56619987198036
68,279.54843809247564
69,187.96791591307283
70,170.11641938794202
71,119.60517227137666
