企業名,会計年度,四半期,y_test - y_test,y_test - y_hat_rw,y_test - y_hat_sarima_br,y_test - y_hat_sarima_f,y_test - y_hat_sarima_g,y_test - y_hat_umlp,y_test - y_hat_mlm1,y_test - y_hat_mlm2,y_test - y_hat_mlm3,y_test - y_hat_mlm4
あらた,2018,Q1,0.0,36.08,-17.145739786283045,-17.029520623674884,-25.175361118897982,-5.837810000000005,-36.79350083386255,-8.070221781771195,-11.919605604374112,-158.4390951408937
あらた,2018,Q2,0.0,-14.980000000000004,10.542890410694838,10.441032575534066,-4.104504499368403,5.688609999999997,-2.0233856446375853,-66.5874511743728,-57.4306487034865,-95.5731351809612
あらた,2018,Q3,0.0,15.799999999999997,-13.146680359966467,-13.311232481831823,-13.04762318495537,-8.244960000000006,-12.179912504934023,21.69478094934105,21.329703409228145,197.03743570349775
あらた,2018,Q4,0.0,-7.019999999999996,38.99795078215081,39.22305127861728,33.79592720471979,19.864090000000004,26.630327011038815,-12.53359715930084,16.17711708269482,55.55636464677693
あらた,2019,Q1,0.0,17.629999999999995,-10.353963332094892,-8.283255063700324,-9.154465227334725,3.207339999999988,18.81337624869147,-9.331789107859919,-18.545355080424912,-20.206577401807778
あらた,2019,Q2,0.0,-15.08999999999999,3.998959524601304,3.8776386595943677,-4.921527022568554,-7.5150099999999895,4.53521216910589,-10.715887514566916,-16.05944543315647,-94.27132408644799
あらた,2019,Q3,0.0,12.170000000000002,-0.042254050513790276,0.2971941971151324,-10.509280304785477,-2.8411099999999863,-0.8519554273194103,15.72601094188093,12.574762780912067,-53.65812898423684
あらた,2019,Q4,0.0,-34.03,-23.77938207685348,-24.34864474023307,-16.02839691249686,-25.401899999999998,-30.87584292486801,-16.855145135025936,-16.25841949530522,-18.13767405306325
あらた,2020,Q1,0.0,65.32999999999998,40.228504820909166,40.83465349795341,30.292013060515032,41.094899999999996,27.940340283160907,44.03035806700197,34.22018871519363,-6.794771644695885
あらた,2020,Q2,0.0,-24.549999999999983,0.3095873176634001,1.673659107252746,3.9695820477237334,30.139740000000003,28.161719728419527,-36.90533785111421,-7.316960906899396,115.68724486203536
あらた,2020,Q3,0.0,32.66999999999999,25.8999943193744,27.881683589335296,17.95877089748788,26.60512999999999,31.80700610795563,52.70226990913952,28.65921514191004,25.67993725447249
あらた,2020,Q4,0.0,-91.94655393079901,-51.76644463408345,-43.53900271702846,-55.172240582775665,-11.382983930799021,-25.748984387155822,-58.34331758440067,-64.709384943023,-291.32158251703186
いすゞ自動車,2018,Q1,0.0,20.640000000000004,15.185484437566124,8.449434461734683,12.085106292592805,22.469643,8.828314872730466,28.748611120952013,27.880055533173994,96.46807230946104
いすゞ自動車,2018,Q2,0.0,-24.230000000000004,-4.216443973715027,-3.852100356419289,-5.076980846396452,-2.6637470000000008,1.684559826807078,-2.904625722535549,0.8518824881734268,14.05987515770007
いすゞ自動車,2018,Q3,0.0,26.71,12.03524408757918,11.76443960641506,9.568947259604023,10.674895999999997,11.93559135575795,5.881929780890218,2.70340917324485,56.68192924989715
いすゞ自動車,2018,Q4,0.0,-24.43,-9.610824376010449,-5.589463535778691,-15.125242498248959,3.672785000000001,-8.975197990435113,-3.857266032667134,-1.2121162810606236,-21.50350232539558
いすゞ自動車,2019,Q1,0.0,10.700000000000003,-6.658192954147054,-10.792773122642188,-10.378122124408918,-2.3383719999999997,-22.96451834285721,-1.8375645841116395,-2.4798793769290555,14.355586928418582
いすゞ自動車,2019,Q2,0.0,-20.250000000000004,-3.8684949049906656,-3.8372228141085323,-9.931057992730281,-9.441236,-4.750186780710916,-7.834056773346628,-1.2619747887115658,-37.96347361468213
いすゞ自動車,2019,Q3,0.0,20.500000000000004,-5.95272734414219,-11.139278051657598,-6.345018224341935,13.552838000000001,-11.780382152869258,-4.152000434116495,-4.861753148808809,-5.559282430664432
いすゞ自動車,2019,Q4,0.0,-18.630000000000003,-4.515387708822079,-2.849644213275411,-7.524047789332524,-8.723133,-15.691846420941147,11.973929680470789,5.155219068913,11.556073745392723
いすゞ自動車,2020,Q1,0.0,-31.98,-48.73345605791634,-47.47465865244516,-46.61870117620127,-42.133553,-50.76184020472995,-38.84480716649185,-39.99006184420981,-52.19256632166842
いすゞ自動車,2020,Q2,0.0,24.1,25.25844674205532,17.955954214836282,23.94472268280152,-15.216172000000002,102.03537069143029,-3.759762347075668,-1.7303215649690653,-198.2727734351414
いすゞ自動車,2020,Q3,0.0,30.11,4.000071497194632,5.612687876013766,18.006296098333838,15.663087999999998,14.299505214616808,6.281264507465046,12.174492001841607,141.3455751373726
いすゞ自動車,2020,Q4,0.0,-21.689999999999998,-1.7766066067074249,-0.6690998096792882,7.776473877079638,3.6411679999999986,-8.338263539422734,-8.464260782085251,-31.15932915925304,-201.89306087121165
いなげや,2018,Q1,0.0,-2.79,-7.126247625264357,-9.876853465324198,-6.812144668421676,-12.360439,-9.889044785483675,-9.299205561698399,-11.054934865188256,-10.38319628432218
いなげや,2018,Q2,0.0,9.54,-3.2780382138129367,-3.805991374328241,-2.8905496748170814,-0.07393179999999999,9.811248794969398,-3.6662315421844527,-7.162565143269608,9.753368552029652
いなげや,2018,Q3,0.0,10.419999999999998,-4.353797032387291,-2.1026253672326725,-3.625372863492071,-9.054662,9.890617468471682,-2.132334606218123,-7.054528010103148,27.83740970696457
いなげや,2018,Q4,0.0,-46.9,-34.405074054583956,-28.666385919846537,-32.92645212966508,-41.350109,-31.268306064921134,-39.01483165769865,-41.07828779710617,-44.319801995938505
