企業名,会計年度,四半期,y_hat_ibes_comb_all
エフピコ,2018,Q2,56.933577347764206
エフピコ,2018,Q3,83.75631002506373
エフピコ,2018,Q4,38.80246076559801
エフピコ,2019,Q1,46.587431396047606
エフピコ,2019,Q2,62.60351824183254
エフピコ,2019,Q3,93.15904613853313
エフピコ,2019,Q4,40.582963199723046
エフピコ,2020,Q1,53.604634268669095
エフピコ,2020,Q2,74.95613417130726
エフピコ,2020,Q3,88.43124778944208
エフピコ,2020,Q4,43.90698129714244
エムスリー,2018,Q1,-5.390848307009079
エムスリー,2018,Q2,4.64387950918923
エムスリー,2018,Q3,4.339221010806775
エムスリー,2018,Q4,-9.429248659596139
エムスリー,2019,Q1,-10.176669330470443
エムスリー,2019,Q2,-8.668411388217812
エムスリー,2019,Q3,-8.344165635246043
エムスリー,2019,Q4,-2.9937858759198677
エムスリー,2020,Q1,-17.40811998434875
エムスリー,2020,Q2,6.200920421788239
エムスリー,2020,Q3,6.353914055398564
エムスリー,2020,Q4,8.935476155953854
エーザイ,2018,Q1,54.30740743785977
エーザイ,2018,Q2,49.01997997503633
エーザイ,2018,Q3,43.19297151053087
エーザイ,2018,Q4,56.277179548668855
エーザイ,2019,Q1,40.99298675553558
エーザイ,2019,Q2,52.979168396162834
エーザイ,2019,Q3,66.66803615537277
エーザイ,2019,Q4,65.78311714516524
エーザイ,2020,Q1,75.4170565516093
エーザイ,2020,Q2,35.973539073076616
エーザイ,2020,Q3,70.10605727737452
エーザイ,2020,Q4,75.34922591019976
オリンパス,2018,Q1,15.795769531932375
オリンパス,2018,Q2,34.84936846037032
オリンパス,2018,Q3,25.77867411653277
オリンパス,2018,Q4,5.871076607613973
オリンパス,2019,Q1,-4.53159817428508
オリンパス,2019,Q2,-16.874779950744358
オリンパス,2019,Q3,168.12161365251126
オリンパス,2019,Q4,-13.79078102976499
オリンパス,2020,Q1,12.686757999230187
オリンパス,2020,Q2,11.133052259561248
オリンパス,2020,Q3,9.085471482975876
オリンパス,2020,Q4,-20.374357097349026
カシオ計算機,2018,Q1,16.290191991605244
カシオ計算機,2018,Q2,22.321730041829763
カシオ計算機,2018,Q3,23.349241937514723
カシオ計算機,2018,Q4,22.626693113979535
カシオ計算機,2019,Q1,17.32531871943735
カシオ計算機,2019,Q2,23.568516264470496
カシオ計算機,2019,Q3,25.828108509684135
カシオ計算機,2019,Q4,22.552021972686273
カシオ計算機,2020,Q1,-9.782403244527483
カシオ計算機,2020,Q2,20.27935107472534
カシオ計算機,2020,Q3,20.044874310243127
カシオ計算機,2020,Q4,3.5119863615698934
カプコン,2018,Q1,10.97768763034677
カプコン,2018,Q2,44.288143590184916
カプコン,2018,Q3,13.162207926462619
カプコン,2018,Q4,50.47099217680865
カプコン,2019,Q1,12.908058827661845
カプコン,2019,Q2,29.706738915904253
カプコン,2019,Q3,31.46024508189729
カプコン,2019,Q4,25.693891793693478
カプコン,2020,Q1,39.02351355868336
カプコン,2020,Q2,31.7211487110585
カプコン,2020,Q3,36.39478984225784
カプコン,2020,Q4,30.044647544547995
キーエンス,2018,Q1,462.1019450581767
キーエンス,2018,Q2,479.4746856803576
キーエンス,2018,Q3,475.4393181596119
キーエンス,2018,Q4,479.7901517802341
