企業名,会計年度,四半期,y_hat_ibes_comb_mml
エフピコ,2018,Q2,53.54220495133808
エフピコ,2018,Q3,83.33447567799705
エフピコ,2018,Q4,28.084694373231756
エフピコ,2019,Q1,43.74832739646228
エフピコ,2019,Q2,58.720749925453646
エフピコ,2019,Q3,84.47263718604816
エフピコ,2019,Q4,34.382465693250936
エフピコ,2020,Q1,53.40836415301555
エフピコ,2020,Q2,71.95345647118172
エフピコ,2020,Q3,72.90438876093646
エフピコ,2020,Q4,34.48078505381709
エムスリー,2018,Q1,16.241536129551644
エムスリー,2018,Q2,16.112911598855707
エムスリー,2018,Q3,13.425741411634583
エムスリー,2018,Q4,9.246937349347833
エムスリー,2019,Q1,8.276621410580825
エムスリー,2019,Q2,9.883685078161127
エムスリー,2019,Q3,11.480377572904372
エムスリー,2019,Q4,11.279503713253211
エムスリー,2020,Q1,9.980413273000712
エムスリー,2020,Q2,14.265798639268105
エムスリー,2020,Q3,18.27562735174676
エムスリー,2020,Q4,21.27440050391517
エーザイ,2018,Q1,37.6641953074082
エーザイ,2018,Q2,55.645814624662734
エーザイ,2018,Q3,46.45623164390389
エーザイ,2018,Q4,57.770218924063435
エーザイ,2019,Q1,45.08247668899898
エーザイ,2019,Q2,54.226362189304325
エーザイ,2019,Q3,107.41017129687519
エーザイ,2019,Q4,111.75448468908142
エーザイ,2020,Q1,74.58190687398357
エーザイ,2020,Q2,47.460530787605876
エーザイ,2020,Q3,79.058977557094
エーザイ,2020,Q4,42.10914237588056
オリンパス,2018,Q1,15.756419587926166
オリンパス,2018,Q2,47.01673080183057
オリンパス,2018,Q3,25.027799435952314
オリンパス,2018,Q4,10.366665316981807
オリンパス,2019,Q1,14.133964716325645
オリンパス,2019,Q2,30.940521242800802
オリンパス,2019,Q3,83.36846986471068
オリンパス,2019,Q4,32.65725372874791
オリンパス,2020,Q1,31.60106785806379
オリンパス,2020,Q2,11.992814277795354
オリンパス,2020,Q3,4.293117788728567
オリンパス,2020,Q4,4.901926970827884
カシオ計算機,2018,Q1,18.037448914996578
カシオ計算機,2018,Q2,22.412231414999667
カシオ計算機,2018,Q3,21.554910401159123
カシオ計算機,2018,Q4,20.79226608670493
カシオ計算機,2019,Q1,17.907990247328318
カシオ計算機,2019,Q2,23.474510334069603
カシオ計算機,2019,Q3,23.552287761276535
カシオ計算機,2019,Q4,19.633775494504576
カシオ計算機,2020,Q1,1.2661753033804677
カシオ計算機,2020,Q2,12.969524458882313
カシオ計算機,2020,Q3,18.647523659094126
カシオ計算機,2020,Q4,10.698024875346777
カプコン,2018,Q1,17.138103114724238
カプコン,2018,Q2,32.78129246810132
カプコン,2018,Q3,9.388275016301362
カプコン,2018,Q4,30.38422913189625
カプコン,2019,Q1,24.54887784737582
カプコン,2019,Q2,28.122195420136237
カプコン,2019,Q3,27.04502301247838
カプコン,2019,Q4,20.327680436325704
カプコン,2020,Q1,43.708130596511104
カプコン,2020,Q2,33.52581249579578
カプコン,2020,Q3,35.99474659392147
カプコン,2020,Q4,32.597851371452975
キーエンス,2018,Q1,428.6381001799978
キーエンス,2018,Q2,435.8141823975409
キーエンス,2018,Q3,455.734242254666
キーエンス,2018,Q4,466.030934408958
キーエンス,2019,Q1,399.2652619493277
キーエンス,2019,Q2,375.595135684184
キーエンス,2019,Q3,233.86067450244863
キーエンス,2019,Q4,235.70895599515254
キーエンス,2020,Q1,167.4190186296989
キーエンス,2020,Q2,230.97699815207662
キーエンス,2020,Q3,223.74006702252407
キーエンス,2020,Q4,254.42725897012664
ケーズホールディングス,2018,Q1,44.04025770121266
ケーズホールディングス,2018,Q2,53.36168728275538
ケーズホールディングス,2018,Q3,38.14872266151557
ケーズホールディングス,2018,Q4,34.600816129037185
ケーズホールディングス,2019,Q1,33.99144361314264
ケーズホールディングス,2019,Q2,57.25990785751387
ケーズホールディングス,2019,Q3,25.289278473824734
ケーズホールディングス,2019,Q4,34.159822606077796
ケーズホールディングス,2020,Q1,43.003073405112964
ケーズホールディングス,2020,Q2,45.44341125281691
ケーズホールディングス,2020,Q3,33.076255781438526
ケーズホールディングス,2020,Q4,29.28619698563773
コマツ,2018,Q1,53.78365762066244
コマツ,2018,Q2,68.23427594075756
コマツ,2018,Q3,63.57815824711389
コマツ,2018,Q4,58.25348014211959
コマツ,2019,Q1,53.51341588591552
コマツ,2019,Q2,50.532456296225405
コマツ,2019,Q3,46.68889907941036
