,y_hat_mlp_mv
0,148.73639
1,118.93128
2,97.24365
3,-30.54823
4,129.70789
5,133.63031
6,106.6948
7,55.133198
8,106.241234
9,148.35614
10,120.845924
11,57.878857
12,102.08116
13,117.43002
14,90.539215
15,31.359692
