,y_hat_mlp_mv
0,174.83191
1,51.94004
2,91.6706
3,-49.295414
4,228.28065
5,167.93765
6,151.37619
7,62.608017
8,191.43176
9,183.74582
10,204.125
11,75.64413
12,195.14185
13,147.50674
14,116.0342
15,5.4255676
