,y_hat_sarima_f
56,160.08736524640125
57,136.8268173232797
58,180.1523382900931
59,123.47279057330384
60,200.0460282156051
61,181.62272091465115
62,194.4325233946551
63,178.03910630716865
64,254.14272498056496
65,176.53724847104255
66,331.88075834289066
67,152.02362226627253
68,260.2954565882732
69,191.9735824544559
70,50.8696634858901
71,137.77883842571455
