,y_hat_mlp_mv
0,8.77375
1,8.107643
2,9.162279
3,8.981067
4,9.031002
5,8.99888
6,10.266219
7,9.250327
8,9.3821335
9,8.875459
10,10.148706
11,9.429334
12,9.311129
13,8.744709
14,10.09968
15,9.063625
