,,y_test,y_hat_rw,y_hat_sarima_br,y_hat_sarima_f,y_hat_sarima_g,y_hat_umlp,y_hat_men_a10,y_hat_men,y_hat_ml1_a10,y_hat_ml1_a100,y_hat_ml1_a1000,y_hat_ml1_a20,y_hat_ml1,y_hat_ml1_i_tuned,y_hat_ml1_tuned_optuna,y_hat_ml2_a10,y_hat_ml2,y_hat_mlgb,y_hat_mlm1,y_hat_mlm2,y_hat_mlm3,y_hat_mlm4,y_hat_mmlp,y_hat_mraf,y_hat_msvm
あらた,Max_error,0.0,91.94655393079901,51.76644463408345,43.53900271702846,55.172240582775665,41.094899999999996,45.09897149028554,45.43444012700491,42.14127297373374,41.88792839161033,41.88792839161033,40.06087971678323,45.61192392820697,42.14127297373374,43.53740381123155,60.451465000888845,69.0193066548795,96.32391479607257,36.79350083386255,66.5874511743728,64.709384943023,291.32158251703186,60.70167893079903,49.21385393079908,94.0041833115834
あらた,Max_percentage_error,0.0,1.4974168359732825,0.8430543877902759,0.7090644826018478,0.8985202641655843,0.31792115143929905,0.734469714280523,0.7399330662289022,0.6863014321092177,0.5045957966058514,0.5045957966058514,0.6524207073269972,0.7428235196572333,0.6863014321092177,0.7090384432522793,0.7565890488221382,0.8638211095729599,0.732359169414361,0.41934103109029114,0.950163570928062,1.0538396309239104,4.744384902904566,0.9885712092182731,0.8014835824578256,0.7783539696218854
あらた,MAE,0.0,30.608046160899914,19.68436261793242,19.22838071098924,18.677474338635786,15.65196532756658,17.422650440506853,21.434863211761357,17.493858536752352,18.125204736316128,18.125204736316128,18.483999647518676,21.315676919740156,17.493858536752352,22.197230919899056,15.369861660102343,23.102663690241794,64.19001210929676,20.5301302725958,29.458013931314664,25.433400608050693,94.36360595632675,26.378723744233245,20.928521160899933,67.89422360941238
あらた,MAPE,0.0,0.3269148966354172,0.209450915917981,0.1999882191614313,0.20202353714136967,0.1443190933092157,0.18759364494557804,0.2260943679214322,0.18388351543154083,0.17166006689242277,0.17166006689242277,0.1876390762942497,0.22584835469640574,0.18388351543154083,0.2341037376840203,0.15443504779482317,0.22177471894891387,0.5681154470266063,0.20053458969469637,0.2983598114733862,0.27327203313047527,1.057403265056551,0.2802633396467013,0.21298130044949112,0.6169892865281864
あらた,MSPE,0.0,0.24505311204104277,0.09365087015424899,0.07715206645764004,0.09275510808506095,0.030661569696279995,0.07168810082194498,0.08705239306043584,0.06316196203214369,0.044951699956599624,0.044951699956599624,0.06274668902802444,0.08707385412091344,0.06316196203214369,0.09021046396114295,0.06287760105876292,0.10750968124301696,0.3578855136887315,0.05792707027308027,0.1577481354543576,0.1492752393316748,2.645720201523071,0.14127748540412474,0.0844520974753832,0.40541873625741515
あらた,MAPE-UB,0.0,0.2854634936376436,0.209450915917981,0.1999882191614313,0.20202353714136967,0.1443190933092157,0.18759364494557804,0.2260943679214322,0.18388351543154083,0.17166006689242277,0.17166006689242277,0.1876390762942497,0.22584835469640574,0.18388351543154083,0.2341037376840203,0.15443504779482317,0.22177471894891387,0.5681154470266063,0.20053458969469637,0.2983598114733862,0.26878539722014944,0.6275100291545008,0.2802633396467013,0.21298130044949112,0.6169892865281864
あらた,MSPE-UB,0.0,0.14153168031968977,0.09365087015424899,0.07715206645764004,0.09275510808506095,0.030661569696279995,0.07168810082194498,0.08705239306043584,0.06316196203214369,0.044951699956599624,0.044951699956599624,0.06274668902802444,0.08707385412091344,0.06316196203214369,0.09021046396114295,0.06287760105876292,0.10750968124301696,0.3578855136887315,0.05792707027308027,0.1577481354543576,0.14006040868952116,0.5353505950114895,0.14127748540412474,0.0844520974753832,0.40541873625741515
あらた,Large_error_rate,,1.4974168359732825,,,,,,,,,,,,,,,,,,,1.0538396309239104,2.28967970770615,,,
いすゞ自動車,Max_error,0.0,31.98,48.73345605791634,47.47465865244516,46.61870117620127,42.133553,22.141747003126813,22.028812902435156,20.8354136681513,39.501563806072554,39.501563806072554,24.975282178976734,19.59530769129598,19.755605332519167,19.41800073465115,31.323897652229434,52.61385502385756,39.501953317854145,102.03537069143029,38.84480716649185,39.99006184420981,201.89306087121165,51.672529999999995,46.44310000000003,39.7273542591618
いすゞ自動車,Max_percentage_error,0.0,2.417233560090703,3.683556769305846,3.5884095731251064,3.523711351186793,3.1846978835978836,1.67360143636635,2.026569724235065,1.5748611994067498,2.985756901441614,2.985756901441614,1.8877764307616578,1.6749193865587313,1.4932430334481608,1.4677249232540552,2.8816833166724414,3.3617935381390653,2.9857863429972897,9.386878628466448,2.9361154320855514,3.022680411504899,18.240365541411354,3.905708994708994,3.510438397581257,3.0028234511838092
いすゞ自動車,MAE,0.0,22.830833333333334,11.81761505757054,10.832229726250496,14.365059738506014,12.515885916666667,7.88602473560736,9.960072889287785,8.082334131527888,15.567978870854716,15.567978870854716,9.89779578932219,8.336778116062577,7.505756964052072,8.491856355808334,15.226621318883934,20.658787467473378,14.943910581094249,21.83713144944241,10.378339911017354,10.95504120244074,70.9876476272505,16.5993695,11.350241666666669,14.01342991893258
いすゞ自動車,MAPE,0.0,1.033565326063538,0.674521617605161,0.596405565647522,0.769031053821554,0.6274324458392785,0.4049214874436216,0.5446337434168186,0.38933105064608947,0.7994823894368056,0.7994823894368056,0.45557887057612373,0.461911956026774,0.36726671941939687,0.4264903777360127,0.7935691332388334,1.0279969494854873,0.6656329413429244,1.4069492012203775,0.5094529773271675,0.5292815197290649,3.667137216137172,0.838838409745307,0.6276351361018759,0.6556781176162928
