企業名,会計年度,四半期,y_hat_comb_uml
アイカ工業,2020,Q4,39.97518234402845
アイコム,2018,Q1,5.212254972074476
アイコム,2018,Q2,6.147164221161708
アイコム,2018,Q3,15.54208759596689
アイコム,2018,Q4,36.22945271258711
アイコム,2019,Q1,23.156377600271142
アイコム,2019,Q2,14.205070907229768
アイコム,2019,Q3,30.83763084364801
アイコム,2019,Q4,66.00578558092171
アイコム,2020,Q1,22.157013825783356
アイコム,2020,Q2,11.73517043080751
アイコム,2020,Q3,18.39575072203397
アイコム,2020,Q4,69.23070101225751
アイシン,2018,Q1,91.20148699253124
アイシン,2018,Q2,84.57228754240532
アイシン,2018,Q3,91.75061905425672
アイシン,2018,Q4,84.9998442834262
アイシン,2019,Q1,94.34176498591881
アイシン,2019,Q2,79.9003159680229
アイシン,2019,Q3,82.76078087128164
アイシン,2019,Q4,84.65603563001687
アイシン,2020,Q1,56.10566134279928
アイシン,2020,Q2,-72.13827462476327
アイシン,2020,Q3,113.78323462137797
アイシン,2020,Q4,90.80019304692036
アイダエンジニアリング,2018,Q1,15.813711468918841
アイダエンジニアリング,2018,Q2,25.930370122278386
アイダエンジニアリング,2018,Q3,15.26560810016922
アイダエンジニアリング,2018,Q4,14.414285356778628
アイダエンジニアリング,2019,Q1,14.788481925291919
アイダエンジニアリング,2019,Q2,20.20295429265485
アイダエンジニアリング,2019,Q3,17.87250067625641
アイダエンジニアリング,2019,Q4,20.68002824445887
アイダエンジニアリング,2020,Q1,16.196462480222614
アイダエンジニアリング,2020,Q2,17.11000425984411
アイダエンジニアリング,2020,Q3,12.779768480455013
アイダエンジニアリング,2020,Q4,13.617174728279583
アイチコーポレーション,2018,Q1,9.927282641952583
アイチコーポレーション,2018,Q2,16.446117750866932
アイチコーポレーション,2018,Q3,8.766535248954135
アイチコーポレーション,2018,Q4,14.241282971172957
アイチコーポレーション,2019,Q1,10.013527354132544
アイチコーポレーション,2019,Q2,16.117632292959254
アイチコーポレーション,2019,Q3,15.542795066170726
アイチコーポレーション,2019,Q4,18.575747825621637
アイチコーポレーション,2020,Q1,16.122171191929922
アイチコーポレーション,2020,Q2,16.05233194265838
アイチコーポレーション,2020,Q3,10.973396954802668
アイチコーポレーション,2020,Q4,18.074295607062417
アイティフォー,2018,Q1,3.37015162878593
アイティフォー,2018,Q2,6.718455032048058
アイティフォー,2018,Q3,5.444201275842463
アイティフォー,2018,Q4,16.78106031233446
アイティフォー,2019,Q1,4.61656119374541
アイティフォー,2019,Q2,8.385288187719253
アイティフォー,2019,Q3,7.916848221371781
アイティフォー,2019,Q4,14.07441392036332
アイティフォー,2020,Q1,6.242132133733957
アイティフォー,2020,Q2,10.189415822090654
アイティフォー,2020,Q3,5.630597721224345
アイティフォー,2020,Q4,20.60718051386352
アイティメディア,2018,Q1,-10.066797766498105
アイティメディア,2018,Q2,13.786993468260171
アイティメディア,2018,Q3,5.875884554015757
アイティメディア,2018,Q4,7.362165377124054
アイティメディア,2019,Q1,4.096800820072293
アイティメディア,2019,Q2,5.953153973372319
アイティメディア,2019,Q3,8.665684928119827
アイティメディア,2019,Q4,15.35436833086426
アイティメディア,2020,Q1,7.595042911534451
アイティメディア,2020,Q2,9.611384544503256
アイティメディア,2020,Q3,4.839631216254265
アイティメディア,2020,Q4,12.5790409976095
アイネス,2018,Q1,1.6012286271381218
アイネス,2018,Q2,12.323909490173932
アイネス,2018,Q3,2.088049341194452
アイネス,2018,Q4,19.15656662222876
アイネス,2019,Q1,7.662895791733525
アイネス,2019,Q2,14.502623541001018
アイネス,2019,Q3,18.667856665763253
アイネス,2019,Q4,-39.31251137411985
アイネス,2020,Q1,16.109528122923795
アイネス,2020,Q2,18.15659244874233
アイネス,2020,Q3,38.91769724651509
アイネス,2020,Q4,13.59849335686575
アイネット,2018,Q1,15.469189963015264
アイネット,2018,Q2,21.811549038766337
アイネット,2018,Q3,18.685671703784088
アイネット,2018,Q4,21.619460583287847
アイネット,2019,Q1,16.744944265476214
アイネット,2019,Q2,20.864156780413847
アイネット,2019,Q3,19.930780467218455
アイネット,2019,Q4,23.334422204829558
アイネット,2020,Q1,21.052407235089476
アイネット,2020,Q2,24.5485167044359
アイネット,2020,Q3,21.782979734829713
アイネット,2020,Q4,23.633359023134922
アイホン,2018,Q1,12.9100837700508
アイホン,2018,Q2,41.84241639873211
アイホン,2018,Q3,11.7893761545706
アイホン,2018,Q4,37.5061434931369
アイホン,2019,Q1,10.836309675702502
アイホン,2019,Q2,53.989963186349875
アイホン,2019,Q3,24.373987483138876
アイホン,2019,Q4,65.11449704433332
アイホン,2020,Q1,19.60794369608178
アイホン,2020,Q2,48.90712786011905
アイホン,2020,Q3,21.630118456999995
アイホン,2020,Q4,41.18000647372765
アイロムグループ,2018,Q1,51.57850504792994
アイロムグループ,2018,Q2,35.36149961296139
アイロムグループ,2018,Q3,38.07463966551874
アイロムグループ,2018,Q4,10.202038624191317
アイロムグループ,2019,Q1,55.56533212089814
アイロムグループ,2019,Q2,25.31704028062131
アイロムグループ,2019,Q3,42.18073657347122
アイロムグループ,2019,Q4,34.62282006165608
アイロムグループ,2020,Q1,72.06954378988576
アイロムグループ,2020,Q2,28.223625148056424
アイロムグループ,2020,Q3,72.1865839735364
アイロムグループ,2020,Q4,49.81632550607237
アキレス,2018,Q1,24.65532294190514
アキレス,2018,Q2,18.88482598232588
アキレス,2018,Q3,14.86760237545861
アキレス,2018,Q4,2.7607426312021883
アキレス,2019,Q1,-1.0632612654840696
アキレス,2019,Q2,4.397323676307077
アキレス,2019,Q3,9.72442721699787
アキレス,2019,Q4,13.910737911943512
アキレス,2020,Q1,25.760021999763218
アキレス,2020,Q2,43.24277669702688
アキレス,2020,Q3,45.172889374882054
アキレス,2020,Q4,12.483058192708139
アクシアル　リテイリング,2018,Q1,57.968385650419776
アクシアル　リテイリング,2018,Q2,62.528993681926345
アクシアル　リテイリング,2018,Q3,79.82579717954602
アクシアル　リテイリング,2018,Q4,50.316779799636926
アクシアル　リテイリング,2019,Q1,64.73863925642024
アクシアル　リテイリング,2019,Q2,73.71042472837959
アクシアル　リテイリング,2019,Q3,72.6542627559468
アクシアル　リテイリング,2019,Q4,70.63660326591219
アクシアル　リテイリング,2020,Q1,70.89774730698177
アクシアル　リテイリング,2020,Q2,70.33182852389855
アクシアル　リテイリング,2020,Q3,85.18688287422779
アクシアル　リテイリング,2020,Q4,68.67962404481511
アクセル,2018,Q1,17.946424483241707
アクセル,2018,Q2,56.19797452920524
アクセル,2018,Q3,-19.471243593609206
アクセル,2018,Q4,41.727058531842516
アクセル,2019,Q1,14.167864865749234
アクセル,2019,Q2,16.3463387642916
アクセル,2019,Q3,42.92325342232523
アクセル,2019,Q4,20.54572635132658
アクセル,2020,Q1,36.69285639438405
アクセル,2020,Q2,-7.218388869858794
アクセル,2020,Q3,-7.537689552654861
アクセル,2020,Q4,-23.050124209283815
アジアパイルホールディングス,2018,Q1,12.38166082167302
アジアパイルホールディングス,2018,Q2,13.809607061352512
アジアパイルホールディングス,2018,Q3,17.00631944582835
アジアパイルホールディングス,2018,Q4,16.943854672727348
アジアパイルホールディングス,2019,Q1,15.218019482759061
アジアパイルホールディングス,2019,Q2,19.119419436532514
アジアパイルホールディングス,2019,Q3,16.52156010483076
アジアパイルホールディングス,2019,Q4,17.13018707666373
アジアパイルホールディングス,2020,Q1,14.411754695195993
アジアパイルホールディングス,2020,Q2,19.795992116527373
アジアパイルホールディングス,2020,Q3,18.871049864552717
アジアパイルホールディングス,2020,Q4,17.49913980464074
アステラス製薬,2018,Q1,25.953291866148295
アステラス製薬,2018,Q2,25.21925692049535
アステラス製薬,2018,Q3,35.899737384012646
アステラス製薬,2018,Q4,15.215993534978027
アステラス製薬,2019,Q1,30.08640380527029
アステラス製薬,2019,Q2,25.787526350501814
アステラス製薬,2019,Q3,45.2440811401047
アステラス製薬,2019,Q4,20.571084065607085
アステラス製薬,2020,Q1,36.3169652122564
アステラス製薬,2020,Q2,35.85572346400738
アステラス製薬,2020,Q3,39.77562708915646
アステラス製薬,2020,Q4,11.352373981829178
アズビル,2018,Q1,24.649224042750888
アズビル,2018,Q2,57.346928464858294
アズビル,2018,Q3,60.066997952382195
アズビル,2018,Q4,103.10564287138132
アズビル,2019,Q1,30.88343473833414
アズビル,2019,Q2,55.22313579263514
アズビル,2019,Q3,41.71247076737143
アズビル,2019,Q4,66.06626655193945
アズビル,2020,Q1,18.298750481613308
アズビル,2020,Q2,40.395656621468326
アズビル,2020,Q3,32.953601960765084
アズビル,2020,Q4,52.397557669803376
アズワン,2018,Q1,59.067015068687155
アズワン,2018,Q2,55.44931678785786
アズワン,2018,Q3,62.866323806892936
アズワン,2018,Q4,85.66950167874013
アズワン,2019,Q1,67.5705592976809
アズワン,2019,Q2,63.07914529049801
アズワン,2019,Q3,75.74895934724785
アズワン,2019,Q4,81.17714795029838
アズワン,2020,Q1,67.0315955780719
アズワン,2020,Q2,79.23877790994173
アズワン,2020,Q3,74.06633311761236
アズワン,2020,Q4,91.55566853037172
アツギ,2018,Q1,-0.0892375497676442
アツギ,2018,Q2,3.5972056011028695
アツギ,2018,Q3,3.98741334428323
アツギ,2018,Q4,-2.453242039889355
アツギ,2019,Q1,3.8085593194608247
アツギ,2019,Q2,79.40715560575907
アツギ,2019,Q3,-115.51877942128051
アツギ,2019,Q4,-96.21019074900595
アツギ,2020,Q1,-2.5494042995821657
アツギ,2020,Q2,-251.04905589250816
アツギ,2020,Q3,-77.8034441882395
アツギ,2020,Q4,-40.58367618218716
アドウェイズ,2018,Q1,195.01878003191143
アドウェイズ,2018,Q2,171.90400811940782
アドウェイズ,2018,Q3,132.73834402977153
アドウェイズ,2018,Q4,85.24824011253423
アドウェイズ,2019,Q1,93.56825690785368
アドウェイズ,2019,Q2,147.26529890876276
アドウェイズ,2019,Q3,102.88787478921279
アドウェイズ,2019,Q4,139.91281714206917
アドウェイズ,2020,Q1,163.582203667236
アドウェイズ,2020,Q2,6.2878942972830245
アドウェイズ,2020,Q3,81.44126592304268
アドウェイズ,2020,Q4,45.08483758754102
アドソル日進,2018,Q1,16.862900116083352
アドソル日進,2018,Q2,17.861756653029914
アドソル日進,2018,Q3,18.06232571765103
アドソル日進,2018,Q4,14.961507795253967
アドソル日進,2019,Q1,17.825051802085035
アドソル日進,2019,Q2,19.051356738009254
アドソル日進,2019,Q3,18.36154034139092
アドソル日進,2019,Q4,16.953132824960527
アドソル日進,2020,Q1,18.86222398186118
アドソル日進,2020,Q2,18.96894754491487
アドソル日進,2020,Q3,19.793051778809634
アドソル日進,2020,Q4,16.412557307332648
アドバンテスト,2018,Q1,8.14956055740273
アドバンテスト,2018,Q2,43.129963008716736
アドバンテスト,2018,Q3,50.179610784960836
アドバンテスト,2018,Q4,68.01203825853139
アドバンテスト,2019,Q1,46.76797380621344
アドバンテスト,2019,Q2,42.23857495289735
アドバンテスト,2019,Q3,66.84793569319272
アドバンテスト,2019,Q4,51.77901389263236
アドバンテスト,2020,Q1,63.1806741477891
アドバンテスト,2020,Q2,59.25872008452828
アドバンテスト,2020,Q3,57.90652588970121
アドバンテスト,2020,Q4,61.13447840561634
アドヴァングループ,2018,Q1,14.648035770851296
アドヴァングループ,2018,Q2,27.663039779404144
アドヴァングループ,2018,Q3,23.309758071895445
アドヴァングループ,2018,Q4,18.67037762207829
アドヴァングループ,2019,Q1,34.85455255721419
アドヴァングループ,2019,Q2,25.9689266413149
アドヴァングループ,2019,Q3,29.08140080711839
アドヴァングループ,2019,Q4,33.95237600260416
アドヴァングループ,2020,Q1,28.77837844926031
アドヴァングループ,2020,Q2,25.555885725370278
アドヴァングループ,2020,Q3,22.586265538376562
アドヴァングループ,2020,Q4,21.601657069130002
アマダ,2018,Q1,11.341698947327506
アマダ,2018,Q2,17.58316863057365
アマダ,2018,Q3,16.186791438589978
アマダ,2018,Q4,17.10556509097712
アマダ,2019,Q1,15.11374651033471
アマダ,2019,Q2,21.193252544529525
アマダ,2019,Q3,13.55931986420471
アマダ,2019,Q4,19.306847507734307
アマダ,2020,Q1,11.63505740080881
アマダ,2020,Q2,18.102752392865657
アマダ,2020,Q3,17.727125217071492
アマダ,2020,Q4,16.33445090603835
アマノ,2018,Q1,17.30843768086751
アマノ,2018,Q2,28.854249327949084
アマノ,2018,Q3,28.93647243377817
アマノ,2018,Q4,29.806878197533916
アマノ,2019,Q1,14.433488350948105
アマノ,2019,Q2,34.06509260607832
アマノ,2019,Q3,21.668514012043474
アマノ,2019,Q4,41.79981342445569
アマノ,2020,Q1,21.012698241839452
アマノ,2020,Q2,33.950648743945926
アマノ,2020,Q3,25.728540982908985
アマノ,2020,Q4,43.320573026571424
アミューズ,2018,Q1,34.23980784413957
アミューズ,2018,Q2,43.8629948689326
アミューズ,2018,Q3,82.6598820421851
アミューズ,2018,Q4,78.15402705901082
アミューズ,2019,Q1,60.10274123017533
アミューズ,2019,Q2,70.97972289979649
アミューズ,2019,Q3,59.81083654358251
アミューズ,2019,Q4,56.519099090921074
アミューズ,2020,Q1,43.56164168337136
アミューズ,2020,Q2,44.605527165368144
アミューズ,2020,Q3,81.99993996740699
アミューズ,2020,Q4,55.782779628427676
アリアケジャパン,2018,Q1,47.65180575560733
アリアケジャパン,2018,Q2,49.68588051150148
アリアケジャパン,2018,Q3,56.4132640015224
アリアケジャパン,2018,Q4,37.13699320140548
アリアケジャパン,2019,Q1,-35.81239773555331
アリアケジャパン,2019,Q2,72.9048220422758
アリアケジャパン,2019,Q3,105.8520921496666
アリアケジャパン,2019,Q4,202.8658596070563
アリアケジャパン,2020,Q1,56.60096290683978
アリアケジャパン,2020,Q2,67.39025047808585
アリアケジャパン,2020,Q3,72.14609499984219
アリアケジャパン,2020,Q4,60.489032925959265
アルインコ,2018,Q1,25.866824501043123
アルインコ,2018,Q2,30.077761349797765
アルインコ,2018,Q3,31.425944952185258
アルインコ,2018,Q4,5.9741765653947185
アルインコ,2019,Q1,22.89989585230966
アルインコ,2019,Q2,29.13464971951984
アルインコ,2019,Q3,36.60591005802256
アルインコ,2019,Q4,10.403409169076324
アルインコ,2020,Q1,21.401215298074135
アルインコ,2020,Q2,37.8804559057383
アルインコ,2020,Q3,47.411583583469664
アルインコ,2020,Q4,5.3676193895367845
アルコニックス,2018,Q1,123.91620408693943
アルコニックス,2018,Q2,95.34610671302222
アルコニックス,2018,Q3,99.0894160029437
アルコニックス,2018,Q4,67.67062445021922
アルコニックス,2019,Q1,79.1638678002258
アルコニックス,2019,Q2,68.42924398992051
アルコニックス,2019,Q3,83.41147353030642
アルコニックス,2019,Q4,45.7679394267311
アルコニックス,2020,Q1,64.54041831503936
アルコニックス,2020,Q2,48.54603430998104
アルコニックス,2020,Q3,84.32587906311511
アルコニックス,2020,Q4,38.289883189200175
アルゴグラフィックス,2018,Q1,51.50795206611454
アルゴグラフィックス,2018,Q2,58.398728521054124
アルゴグラフィックス,2018,Q3,55.345797990987286
アルゴグラフィックス,2018,Q4,65.31878789376313
アルゴグラフィックス,2019,Q1,79.49006887119162
アルゴグラフィックス,2019,Q2,65.62370784149303
アルゴグラフィックス,2019,Q3,58.18878314154044
アルゴグラフィックス,2019,Q4,60.45227470805625
アルゴグラフィックス,2020,Q1,55.049798598046195
アルゴグラフィックス,2020,Q2,49.427699124525745
アルゴグラフィックス,2020,Q3,49.265767232003945
アルゴグラフィックス,2020,Q4,50.23445889121885
アルファ,2018,Q1,23.33969175435482
アルファ,2018,Q2,44.04230485381501
アルファ,2018,Q3,19.107310155364633
アルファ,2018,Q4,32.8368878276291
アルファ,2019,Q1,36.0113514286058
アルファ,2019,Q2,15.912169574267292
アルファ,2019,Q3,22.84373299131834
アルファ,2019,Q4,39.09494985745002
アルファ,2020,Q1,-13.543892553297265
アルファ,2020,Q2,-49.68498757198719
アルファ,2020,Q3,42.28327706893957
アルファ,2020,Q4,68.59489278316505
アルファシステムズ,2018,Q1,24.600957190641395
アルファシステムズ,2018,Q2,28.741570352617593
アルファシステムズ,2018,Q3,24.066110184662065
アルファシステムズ,2018,Q4,36.65900260554227
アルファシステムズ,2019,Q1,28.488381971873608
アルファシステムズ,2019,Q2,27.734610499768483
アルファシステムズ,2019,Q3,27.77693326290904
アルファシステムズ,2019,Q4,41.01398498453608
アルファシステムズ,2020,Q1,29.92754718989801
アルファシステムズ,2020,Q2,43.03581371768315
アルファシステムズ,2020,Q3,32.69056736200899
アルファシステムズ,2020,Q4,43.41507955112081
アルフレッサ　ホールディングス,2018,Q1,58.72770570648609
アルフレッサ　ホールディングス,2018,Q2,40.28478663255382
アルフレッサ　ホールディングス,2018,Q3,50.25937343172739
アルフレッサ　ホールディングス,2018,Q4,60.26219807862033
アルフレッサ　ホールディングス,2019,Q1,70.09530185444635
アルフレッサ　ホールディングス,2019,Q2,31.189319358297535
アルフレッサ　ホールディングス,2019,Q3,61.1799899160042
アルフレッサ　ホールディングス,2019,Q4,42.70126961097128
アルフレッサ　ホールディングス,2020,Q1,50.51454508415365
アルフレッサ　ホールディングス,2020,Q2,53.9086415453539
アルフレッサ　ホールディングス,2020,Q3,38.029221316849814
アルフレッサ　ホールディングス,2020,Q4,46.94371423284898
アルプスアルパイン,2018,Q1,17.37782754667889
アルプスアルパイン,2018,Q2,49.329067862564706
アルプスアルパイン,2018,Q3,62.213241955077905
アルプスアルパイン,2018,Q4,26.27373222055566
アルプスアルパイン,2019,Q1,11.44444569994447
アルプスアルパイン,2019,Q2,42.12777602439326
アルプスアルパイン,2019,Q3,30.289942177392426
アルプスアルパイン,2019,Q4,-10.787416751306283
アルプスアルパイン,2020,Q1,-2.216085588625797
アルプスアルパイン,2020,Q2,0.6809741264734239
アルプスアルパイン,2020,Q3,-1.007979495098446
アルプスアルパイン,2020,Q4,4.495925066420339
アルプス物流,2018,Q1,27.864934239691564
アルプス物流,2018,Q2,19.54197371551213
アルプス物流,2018,Q3,22.7156458019627
アルプス物流,2018,Q4,20.999121956681368
アルプス物流,2019,Q1,19.2930665834142
アルプス物流,2019,Q2,20.919902795335407
アルプス物流,2019,Q3,24.311540536997768
アルプス物流,2019,Q4,16.523832071788704
アルプス物流,2020,Q1,17.952595668748625
アルプス物流,2020,Q2,17.382972637020945
アルプス物流,2020,Q3,17.767647161236614
アルプス物流,2020,Q4,19.140769847563405
アンリツ,2018,Q1,6.090993039562136
アンリツ,2018,Q2,9.972342937614151
アンリツ,2018,Q3,10.048596848369893
アンリツ,2018,Q4,17.635410912339314
アンリツ,2019,Q1,18.25733990443057
アンリツ,2019,Q2,13.607907722275414
アンリツ,2019,Q3,17.162553388815454
アンリツ,2019,Q4,18.60735489351135
アンリツ,2020,Q1,21.468189282674622
アンリツ,2020,Q2,26.54849435408892
アンリツ,2020,Q3,23.899607828885422
アンリツ,2020,Q4,23.652230425894277
アートネイチャー,2018,Q1,11.323428398514102
アートネイチャー,2018,Q2,18.529179159043927
アートネイチャー,2018,Q3,13.129410990204457
アートネイチャー,2018,Q4,7.30186843815652
アートネイチャー,2019,Q1,17.064293420552083
アートネイチャー,2019,Q2,14.628199487096204
アートネイチャー,2019,Q3,18.789584047185745
アートネイチャー,2019,Q4,21.089556418092
アートネイチャー,2020,Q1,25.31095128537503
アートネイチャー,2020,Q2,11.159937944832528
アートネイチャー,2020,Q3,-13.58842175376266
アートネイチャー,2020,Q4,20.27675414078732
イエローハット,2018,Q1,57.78458995937085
イエローハット,2018,Q2,61.08907142007891
イエローハット,2018,Q3,97.08756665184008
イエローハット,2018,Q4,49.12409851030219
イエローハット,2019,Q1,63.20060733312454
イエローハット,2019,Q2,64.3027279808142
イエローハット,2019,Q3,120.02013943049832
イエローハット,2019,Q4,61.4785607947778
イエローハット,2020,Q1,60.06435880382358
イエローハット,2020,Q2,66.53024214882683
イエローハット,2020,Q3,55.90696020016115
イエローハット,2020,Q4,43.35504344063533
イソライト工業,2018,Q1,13.629281496741827
イソライト工業,2018,Q2,11.30838414663113
イソライト工業,2018,Q3,15.448511814538534
イソライト工業,2018,Q4,18.007062695659894
イソライト工業,2019,Q1,6.771146969062313
イソライト工業,2019,Q2,3.9228993752134196
イソライト工業,2019,Q3,11.535577365399881
イソライト工業,2019,Q4,9.214258188148426
イソライト工業,2020,Q1,14.459461887593097
イソライト工業,2020,Q2,12.951867150151466
イソライト工業,2020,Q3,14.839607661455293
