決算期,y_hat_lstm_mv_hid200_lr0.001_epoch1000
2016-06-01,96.59893798828125
2016-09-01,81.89461517333984
2016-12-01,73.8004379272461
2017-03-01,76.38166046142578
2017-06-01,104.40657806396484
2017-09-01,79.49658203125
2017-12-01,103.98014068603516
2018-03-01,85.06432342529297
2018-06-01,99.7260971069336
2018-09-01,84.22180938720703
2018-12-01,100.5317611694336
2019-03-01,86.64413452148438
2019-06-01,115.84070587158203
2019-09-01,85.22203063964844
2019-12-01,99.8449935913086
2020-03-01,100.43280792236328
