,,y_test,y_hat_rw,y_hat_sarima_br,y_hat_sarima_f,y_hat_sarima_g,y_hat_srw,y_hat_uen_i_tuned_simple,y_hat_ul1_i_tuned_fine,y_hat_ul1_i_tuned_simple,y_hat_ul2_i_tuned_simple,y_hat_umlp,y_hat_men_i_tuned_simple,y_hat_ml1_i_tuned_fine,y_hat_ml1_i_tuned_simple,y_hat_ml2_i_tuned_simple,y_hat_mlm1,y_hat_mlm2,y_hat_mlm3,y_hat_mlm4,y_hat_mmlp,y_hat_mraf_i_tuned_simple,y_hat_ibes
いすゞ自動車,Max_error,0.0,31.98,48.73345605791634,47.47465865244516,46.61870117620127,50.36,39.85951712843597,40.31466855162395,39.85951712843597,48.17981291091441,42.133553,20.82388193013889,19.691729713767934,20.8354136681513,24.738750628807264,102.03537069143029,38.84480716649185,39.99006184420981,201.89306087121165,51.672529999999995,46.44310000000003,34.730000000000004
いすゞ自動車,Max_percentage_error,0.0,2.417233560090703,3.683556769305846,3.5884095731251064,3.523711351186793,3.8065003779289492,3.0128130860495816,3.047216065882385,3.0128130860495816,3.641709214732759,3.1846978835978836,1.5739895638804904,1.4884149443513177,1.5748611994067498,1.869898006712567,9.386878628466448,2.9361154320855514,3.022680411504899,18.240365541411354,3.905708994708994,3.510438397581257,2.6250944822373397
いすゞ自動車,MAE,0.0,22.830833333333334,11.81761505757054,10.832229726250496,14.365059738506014,10.041666666666666,13.791584168397685,13.572459366772796,13.791584168397685,13.117878488217825,12.515885916666667,7.983882891019992,7.477084869369787,8.082334131527888,7.877794320624865,21.83713144944241,10.378339911017354,10.95504120244074,70.9876476272505,16.5993695,11.338900000000002,9.959166666666668
いすゞ自動車,MAPE,0.0,1.033565326063538,0.674521617605161,0.596405565647522,0.769031053821554,0.5359333525125634,0.6369268981072174,0.6333406103399076,0.6369268981072174,0.6304728009758874,0.6274324458392785,0.386257350845834,0.36690582772764735,0.38933105064608947,0.41343467874402134,1.4069492012203775,0.5094529773271675,0.5292815197290649,3.667137216137172,0.838838409745307,0.627047180338959,0.5015022493695748
いすゞ自動車,MSPE,0.0,1.474316336786357,1.6226141441465067,1.3356335240539288,1.5590133331960374,1.2876161296182589,1.0249804727909917,1.0392787108115782,1.0249804727909917,1.2478220055297387,1.1032899831360403,0.31662785641685415,0.29105443255510566,0.3184985254223287,0.43639356884291414,8.717807529640845,0.8330570286621533,1.0250204256958708,40.12836864709781,1.8022764164741993,1.249108070157765,0.701788964310135
いすゞ自動車,MAPE-UB,0.0,0.7867554218078548,0.3405848740877595,0.3263812918457266,0.4584862434090889,0.3020583210184843,0.43836512013930445,0.4319119173859279,0.43836512013930445,0.4103303664148242,0.4120549696455573,0.33842488718912644,0.3262045823650376,0.341425950695527,0.34094317818464076,0.4716364999143745,0.34811002465337154,0.3094489886370373,0.7956224406100358,0.5057482705783568,0.40713328423417905,0.3660777091831297
いすゞ自動車,MSPE-UB,0.0,0.6852582468384966,0.20860593455056234,0.20185048600592248,0.2865978565770727,0.16349570235382285,0.27883496442192096,0.275759614050831,0.27883496442192096,0.22598483847394787,0.2614708361269819,0.19350759414979612,0.18977284534107766,0.19514954230592318,0.2283503558839448,0.3148832925987199,0.19799254278457637,0.2128684971843889,0.7126958151124173,0.3478463615312492,0.2827119040929424,0.21086221092072457
いすゞ自動車,Large_error_rate,0.0,0.4166666666666667,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.08333333333333333,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.08333333333333333,0.16666666666666666,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.16666666666666666,0.08333333333333333,0.16666666666666666,0.5833333333333334,0.25,0.16666666666666666,0.08333333333333333
アイシン,Max_error,0.0,300.99,366.60876260340456,265.22929442536366,422.67797665825026,330.8,268.272800278547,268.272800278547,268.272800278547,266.0097044062938,242.883335,157.20982265887574,143.78915184563533,144.3980269745516,116.11435429829928,460.66491003626567,332.68947468141334,416.74270246546564,517.6859776315579,304.22174,211.60092204970906,146.31
アイシン,Max_percentage_error,0.0,2.632642351088953,3.1511859699460447,2.2735368471261053,2.8986895988938306,2.19012993205388,2.0066889213479593,2.0066889213479593,2.0066889213479593,2.326683323767111,2.085292239837883,1.2423348102364669,1.2059715554636383,1.4077457139508947,1.6786705481266508,4.029256625874798,2.8333154026976994,2.9799588940744,5.556171298586683,1.8339761654858742,2.0367232493753336,1.2646322565264037
アイシン,MAE,0.0,71.85166666666666,116.847659643326,102.68666370917465,128.35301124976772,106.92,85.72026653971103,81.0660185185185,85.72026653971103,87.14632550486347,92.680595,45.853458003686136,43.35496296456946,49.0655076061926,54.129843629898254,112.1318517309726,127.31281779929095,138.56754056146414,201.45307846751555,103.33053033333333,77.37517183664636,68.89583333333333
アイシン,MAPE,0.0,0.6578259329044254,0.929161137405321,0.8458525482954206,0.9879596604511041,0.8608928228859772,0.6821178674866886,0.6301306632576059,0.6821178674866886,0.721486740258294,0.7783809753718497,0.47143925312639007,0.4460510933804564,0.48291920060130433,0.5981975216413625,0.9503819460548012,1.146817634986485,1.273403718859196,1.9973545860130042,0.8551052015987164,0.6576883891575207,0.6012624051156042
アイシン,MSPE,0.0,0.9576473948954446,1.6813856277575996,1.2319593002588378,1.6756802009562028,1.107916937343446,0.7889188244471322,0.6879855687205442,0.7889188244471322,0.9994623770742819,0.9316078440555803,0.38746905342679927,0.35074559715117987,0.4010031047898391,0.5418377026501163,2.029698503084934,1.8798201019100163,2.3593525762264305,6.935430698411106,1.0767568851193243,0.722231239455823,0.5220690273931385
