企業名,会計年度,四半期,y_hat_comb_uts
アルインコ,2019,Q2,26.75056798720858
アルインコ,2019,Q3,42.006661805275755
アルインコ,2019,Q4,22.0226219236835
アルインコ,2020,Q1,14.48226592174376
アルインコ,2020,Q2,32.67679095647087
アルインコ,2020,Q3,33.86277646885648
アルインコ,2020,Q4,5.004960717564292
アルコニックス,2018,Q1,92.83023755700307
アルコニックス,2018,Q2,53.14908234157063
アルコニックス,2018,Q3,58.20461683092276
アルコニックス,2018,Q4,33.35549215767723
アルコニックス,2019,Q1,54.3285649372585
アルコニックス,2019,Q2,38.35267744045375
アルコニックス,2019,Q3,43.38888189295825
アルコニックス,2019,Q4,25.562122720858635
アルコニックス,2020,Q1,40.03526106895272
アルコニックス,2020,Q2,32.800555062824444
アルコニックス,2020,Q3,43.48336000420731
アルコニックス,2020,Q4,11.910716433307815
アルゴグラフィックス,2018,Q1,61.78327336240043
アルゴグラフィックス,2018,Q2,67.94806322430503
アルゴグラフィックス,2018,Q3,56.33310149976704
アルゴグラフィックス,2018,Q4,83.54934863447102
アルゴグラフィックス,2019,Q1,87.11047093357573
アルゴグラフィックス,2019,Q2,64.39017374272949
アルゴグラフィックス,2019,Q3,69.21711572854224
アルゴグラフィックス,2019,Q4,73.63866192405513
アルゴグラフィックス,2020,Q1,45.993256698058495
アルゴグラフィックス,2020,Q2,48.63952536960958
アルゴグラフィックス,2020,Q3,46.45832502193749
アルゴグラフィックス,2020,Q4,38.71606200039678
アルファ,2018,Q1,67.67144340549439
アルファ,2018,Q2,37.72100078978011
アルファ,2018,Q3,46.4756040544435
アルファ,2018,Q4,74.3751503869025
アルファ,2019,Q1,34.8186114459296
アルファ,2019,Q2,51.491812457156435
アルファ,2019,Q3,61.38531722924588
アルファ,2019,Q4,28.830332964693042
アルファ,2020,Q1,-65.08338098585628
アルファ,2020,Q2,-15.8187968155151
アルファ,2020,Q3,-38.416856482535955
アルファ,2020,Q4,-93.99921153440489
アルファシステムズ,2018,Q1,32.06366250594255
アルファシステムズ,2018,Q2,32.18670888209518
アルファシステムズ,2018,Q3,28.44967047039767
アルファシステムズ,2018,Q4,45.46053301973903
アルファシステムズ,2019,Q1,36.47575533148278
アルファシステムズ,2019,Q2,32.42153602445029
アルファシステムズ,2019,Q3,32.32249048463427
アルファシステムズ,2019,Q4,43.62368352696469
アルファシステムズ,2020,Q1,32.22554649970418
アルファシステムズ,2020,Q2,42.60342274468271
アルファシステムズ,2020,Q3,38.90297772064854
アルファシステムズ,2020,Q4,49.91671323756056
アルフレッサ　ホールディングス,2018,Q1,44.72053715095463
アルフレッサ　ホールディングス,2018,Q2,34.89431261380102
アルフレッサ　ホールディングス,2018,Q3,57.987727824925756
アルフレッサ　ホールディングス,2018,Q4,54.50590142103821
アルフレッサ　ホールディングス,2019,Q1,43.585954479621606
アルフレッサ　ホールディングス,2019,Q2,36.550784929314474
アルフレッサ　ホールディングス,2019,Q3,74.6562110717767
アルフレッサ　ホールディングス,2019,Q4,31.28299411175974
アルフレッサ　ホールディングス,2020,Q1,47.570328506564536
アルフレッサ　ホールディングス,2020,Q2,38.01252036464921
アルフレッサ　ホールディングス,2020,Q3,41.87054207673217
アルフレッサ　ホールディングス,2020,Q4,42.70229191338345
アルプスアルパイン,2018,Q1,24.344246731600766
アルプスアルパイン,2018,Q2,70.84136016833989
アルプスアルパイン,2018,Q3,83.98770384980871
アルプスアルパイン,2018,Q4,15.549028657360978
アルプスアルパイン,2019,Q1,-1.9245539948694403
アルプスアルパイン,2019,Q2,44.013019505605364
アルプスアルパイン,2019,Q3,40.46142872845589
アルプスアルパイン,2019,Q4,-34.007290138457
アルプスアルパイン,2020,Q1,-24.705314084650396
アルプスアルパイン,2020,Q2,5.320064078083064
アルプスアルパイン,2020,Q3,-6.917189971976427
アルプスアルパイン,2020,Q4,-19.842393384327142
アルプス物流,2018,Q1,14.989856213484506
アルプス物流,2018,Q2,15.041699256127695
アルプス物流,2018,Q3,23.97499587000629
アルプス物流,2018,Q4,16.900620856575447
アルプス物流,2019,Q1,14.655387394933385
アルプス物流,2019,Q2,17.704047324581467
アルプス物流,2019,Q3,25.47639382846065
アルプス物流,2019,Q4,15.502983614883135
アルプス物流,2020,Q1,13.325344699619356
アルプス物流,2020,Q2,14.344744154740848
アルプス物流,2020,Q3,20.557065840618726
アルプス物流,2020,Q4,16.663025090401984
アンリツ,2018,Q1,0.8747809151812342
アンリツ,2018,Q2,7.355020551319737
アンリツ,2018,Q3,10.506107922770312
アンリツ,2018,Q4,16.157271185321854
アンリツ,2019,Q1,13.816027456773293
アンリツ,2019,Q2,12.67235280423395
アンリツ,2019,Q3,21.66045683857219
アンリツ,2019,Q4,21.90934619091981
アンリツ,2020,Q1,22.135886619009266
アンリツ,2020,Q2,24.35965585684183
アンリツ,2020,Q3,27.97040320586064
アンリツ,2020,Q4,32.008786273067344
アートネイチャー,2018,Q1,-0.42120442450825424
アートネイチャー,2018,Q2,13.1101404058534
アートネイチャー,2018,Q3,15.359142432320786
アートネイチャー,2018,Q4,4.084863369510268
アートネイチャー,2019,Q1,11.332567387717656
アートネイチャー,2019,Q2,15.067650134410286
アートネイチャー,2019,Q3,24.073427248354594
アートネイチャー,2019,Q4,9.253040536056863
アートネイチャー,2020,Q1,6.046193033556673
アートネイチャー,2020,Q2,23.335236591386998
アートネイチャー,2020,Q3,-0.893037352011925
アートネイチャー,2020,Q4,9.096565067088244
イエローハット,2018,Q1,55.90934794114978
イエローハット,2018,Q2,50.11262721272642
イエローハット,2018,Q3,113.96331489952902
イエローハット,2018,Q4,78.16476661804737
イエローハット,2019,Q1,55.67939091405824
イエローハット,2019,Q2,49.46717990893437
イエローハット,2019,Q3,131.5614623400386
イエローハット,2019,Q4,52.05966564802344
イエローハット,2020,Q1,32.496055810277525
イエローハット,2020,Q2,44.260971503021096
イエローハット,2020,Q3,72.70213706476878
イエローハット,2020,Q4,34.15549480036844
イソライト工業,2018,Q1,22.26835737516324
イソライト工業,2018,Q2,23.50716558373302
イソライト工業,2018,Q3,23.8046751945192
イソライト工業,2018,Q4,21.524348694051678
