,y_hat_sarima_g
56,236.61396288806327
57,180.446174986831
58,178.12411241710424
59,152.11568092506275
60,196.14431292794256
61,201.45485886849985
62,176.88326695470664
63,226.9682127305704
64,273.81500839852134
65,195.39412871517396
66,252.39507127588868
67,94.91133745093236
68,207.40279431286626
69,157.83070715794588
70,159.3327547254305
71,313.2553141715407
