,y_hat_mlp_mv
0,78.23752
1,102.43399
2,45.957363
3,-320.26593
4,236.72356
5,113.467575
6,143.08488
7,93.70041
8,102.271225
9,204.39134
10,143.97762
11,37.86539
12,-36.12077
13,126.12303
14,103.69037
15,0.38370132
