model,date,t,P1,P2,P3,P4,P5,Spread,Cum_Spread
P/y_test,2018-08-31,0,-0.0540240988519939,-0.0219520088215552,-0.0327920795381468,-0.0345164472892653,0.0290049314645925,0.0830290303165864,0.0830290303165864
P/y_test,2018-11-30,1,-0.0326196111792668,0.0014465642339632,-0.0433460485848348,-0.0157984520131698,0.0285226279407743,0.0611422391200411,0.1441712694366275
P/y_test,2019-02-28,2,-0.0625079610895463,-0.0263761506487387,-0.0465973489980804,-0.0339875294398447,-0.0410023267441789,0.0215056343453673,0.1656769037819948
P/y_test,2019-05-31,3,-0.0417089546641415,-0.0815197427886302,-0.0778672264421793,-0.1035027680212137,-0.0687832924361018,-0.0270743377719603,0.1386025660100345
P/y_test,2019-08-30,4,0.0015763985947067,0.0122201853637723,-0.0163062813397854,0.0001364530150069,0.0065442844831332,0.0049678858884265,0.143570451898461
P/y_test,2019-11-29,5,0.0443439600954239,0.1127885684985803,0.1356194297968456,0.1518621888847199,0.2163375058751835,0.1719935457797595,0.3155639976782205
P/y_test,2020-02-28,6,-0.1599256192276616,-0.1381684310152736,-0.1354268800196397,-0.1344913573313614,-0.1275033967070068,0.0324222225206547,0.3479862201988752
P/y_test,2020-05-29,7,0.1193817038133941,0.1032480075413062,0.0433855177252071,0.046000578499875,0.0569534068628597,-0.0624282969505343,0.2855579232483409
P/y_test,2020-08-31,8,0.0096086623679198,0.0247442901373862,0.0198185136188608,0.0771277100275946,0.0392478201039286,0.0296391577360088,0.3151970809843497
P/y_test,2020-11-30,9,0.0866647336202665,0.0843003557066106,0.0627292890122613,0.070627905028317,0.0967492197480554,0.0100844861277888,0.3252815671121385
P/y_test,2021-02-26,10,-0.0040950739553435,0.0006141949018865,0.0475019160452094,0.063934833956662,0.118382366710987,0.1224774406663306,0.4477590077784691
P/y_hat_rw,2018-08-31,0,-0.047346391734137,-0.0087929421670153,-0.0158125219962821,-0.0521559190967046,-0.0200093334090542,0.0273370583250828,0.0273370583250828
P/y_hat_rw,2018-11-30,1,-0.0202032989974227,-0.0645470322324836,-0.0116949367164933,-0.0024791076185726,0.0067021229572378,0.0269054219546605,0.054242480279743294
P/y_hat_rw,2019-02-28,2,-0.0392197445193517,-0.0439547108774767,-0.039246996015313,-0.0441208525521695,-0.0552810227893793,-0.0160612782700276,0.0381812020097157
P/y_hat_rw,2019-05-31,3,-0.0400470652907902,-0.0793126325350691,-0.0740651631090317,-0.0867635069784212,-0.1311189086560423,-0.0910718433652521,-0.05289064135553641
P/y_hat_rw,2019-08-30,4,0.0037433066882835,-0.0009452354886264,0.0065107777811472,-0.0020437066679841,0.0019138790228043,-0.0018294276654791,-0.054720069021015505
P/y_hat_rw,2019-11-29,5,0.0327169730197622,0.1206505146588496,0.1533414655545987,0.1383405953925008,0.1478161071486513,0.1150991341288891,0.060379065107873595
P/y_hat_rw,2020-02-28,6,-0.1540396851144406,-0.133247566861364,-0.1485662296686579,-0.145050108715187,-0.1375230767336629,0.0165166083807777,0.0768956734886513
P/y_hat_rw,2020-05-29,7,0.1277737391446887,0.0690756974234632,0.0670609416291064,0.0637117793115824,0.0157897071720828,-0.1119840319726059,-0.0350883584839546
P/y_hat_rw,2020-08-31,8,0.0322951428092687,0.0421807198112687,0.0268339732126109,0.0040069705956044,-0.0141992940438095,-0.0464944368530783,-0.0815827953370329
P/y_hat_rw,2020-11-30,9,0.1118150255645608,0.0908615484149233,0.0812523367925934,0.0212599978010509,0.0657421519145831,-0.0460728736499776,-0.1276556689870105
P/y_hat_rw,2021-02-26,10,-0.0018395904767305,0.0179312449680851,0.0250470180437078,0.0418790788356642,0.0789454954897412,0.0807850859664718,-0.0468705830205387
P/y_hat_srw,2018-08-31,0,-0.0569418022708733,-0.0257782474517989,-0.0173978419475417,-0.0305878162841834,-0.0182667934093789,0.0386750088614944,0.0386750088614944
P/y_hat_srw,2018-11-30,1,-0.0663440144668127,-0.0205041335818682,-0.0485275197303176,0.0140312943469695,0.0605766555582993,0.1269206700251121,0.16559567888660648
P/y_hat_srw,2019-02-28,2,-0.0498381096776594,-0.0330909108630391,-0.0377807105230866,-0.0405824090979882,-0.0529079063915236,-0.0030697967138642,0.16252588217274228
P/y_hat_srw,2019-05-31,3,-0.0552540031087315,-0.0528442105161405,-0.0666902563526087,-0.0948888501592234,-0.1348178049251202,-0.0795638018163886,0.08296208035635368
P/y_hat_srw,2019-08-30,4,0.0062201772324471,-0.0006098131702626,0.0157452441843227,-0.0147397345996377,-0.0351769121890807,-0.0413970894215278,0.04156499093482588
P/y_hat_srw,2019-11-29,5,0.038391430597942,0.1201843314393443,0.1462380561670747,0.157277168329914,0.1886232819808379,0.1502318513828958,0.19179684231772168
P/y_hat_srw,2020-02-28,6,-0.1561093284979561,-0.1347448419696332,-0.1427471657601402,-0.150628204643913,-0.1490612106711579,0.0070481178267982,0.19884496014451988
P/y_hat_srw,2020-05-29,7,0.1304925166532308,0.084178622731099,0.039694864700849,0.0384731522065016,0.0134637257507308,-0.1170287909025,0.08181616924201988
P/y_hat_srw,2020-08-31,8,0.0528557065139562,0.0234550962257904,0.0123184741836482,-0.007618661158588,-0.0328747347414752,-0.0857304412554315,-0.0039142720134116155
P/y_hat_srw,2020-11-30,9,0.1052739593342961,0.0613282066367741,0.0733803419684102,0.0315613571761464,0.0399340543955513,-0.0653399049387448,-0.06925417695215641
P/y_hat_srw,2021-02-26,10,-0.0067659327686342,0.0059712262067029,0.0586901630399236,0.0603902877028026,0.1030168974642553,0.1097828302328896,0.040528653280733185
